GEN.1.1	Yan laputu ey lintun Apu Dios hu kabunyan niya puyek. 
GEN.1.2	Nem ya puyek ey eleg ni mapkel, ey endi nanha-ad diman. Edallem ni danum ni ebuh hu wadadman niya engeenget. Ey wada hu Ispirituh Apu Dios e heni dibdib di ta-pew ni danum.
GEN.1.3	Immehel hi Apu Dios et kantuy “Kaweda kan kawwalwal.” Ey tu-wangun newalwalan. 
GEN.1.4	Ey inang-ang Apu Dios humman ni lintu tu ey kayyaggud. Impan-appil tu hu kawwalwal niya engeenget. 
GEN.1.5	Et ngadanan tu hu kawwalwal ni aggew ey nginedanan tu hu engeenget ni hileng. Et mahileng nunman et mewa-wa ey humman hu nemangulun aggew.
GEN.1.6+GEN.1.7	Kan mewan nan Apu Dios ey “Kaweda kan mengedwan danum et wadad ahpat edum ey wadad nandaul hu edum.” 
GEN.1.8	Humman ni nengedwan danum di ahpat et yad nandaul ey nginedanan Apu Dios ni kabunyan. Et mahileng et mewa-wa ey humman hu neikadwan aggew.
GEN.1.9	Kan Apu Dios ey “Kesiplud kan danum et meappil kad pangil ma-lat meang-ang hu puyek.” Ey humman neipahding.
GEN.1.10	Ya etan mamega ey nginedanan tun puyek, ey ya siniplud tun danum ey nginedanan tun baybay. Ey humman ni lintu tu ey kayyaggud. 
GEN.1.11+GEN.1.12	Immehel mewan hi Apu Dios et kantuy “Patmel mu e puyek emin hu nambakbaklang ni kameitnem niyadda keyew ni kaumlameh ni nebukelan ma-lat mannananeng ni wada henin nunman ni meitnem.” Ey neipahding humman. Ey kayyaggud humman ni lintun Apu Dios. 
GEN.1.13	Nehileng et mewa-wa ey humman hu neikatlun aggew.
GEN.1.14	Kan mewan Apu Dios ey “Kawedadda umbebnang di kabunyan ma-lat meappil hu kawwalwal di hileng et pengiimmatunan niya pengamtaan ni tsimpuh ni aggew niyadda tsimpuh ni toon. 
GEN.1.15	Et humman idan umbebnang di kabunyan ey bebnangan da hu puyek.” Ey neipahding ida huyya. 
GEN.1.16	Lintun Apu Dios hu dewwan et-eteng ni kaumbebnang e humman hu aggew e kaumbebnang ni kawwalwal et ya bulan e kaumbebnang ni hileng. Ey lintu tudda pay hu dakel ni bittuwen. 
GEN.1.17	Inha-ad tudda huyyan kaumbebnang di kabunyan ma-lat mabnangan hu puyek 
GEN.1.18	ni kawwalwal ni yan hileng, ey ma-lat meappil hu kawwalwal niya hileng. Ey inang-ang Apu Dios humman ni lintu tu ey kayyaggud. 
GEN.1.19	Nehileng et mewa-wa ey humman neika-pat ni aggew.
GEN.1.20	Kan Apu Dios ey “Kawedan emin hu nambakbaklang ni mategud danum niya kaweda dakel ni nambakbaklang ni mantayyatayyab di kabunyan.” 
GEN.1.21	Et mawedan emin hu nambakbaklang ni mategud baybay e etta-teng ida edum. Ey lintu tu nambakbaklang ni sisit. Ey inang-ang Apu Dios ida humman ni lintu tu ey kayyaggud. 
GEN.1.22	Binendisyonan tudda hu mategun wadad baybay ma-lat medakkel ida et mapnu hu baybay. Ey binendisyonan tudda dama hu sisit ma-lat medakkel ida. 
GEN.1.23	Nehileng et mewa-wa ey humman neikeliman aggew.
GEN.1.24+GEN.1.25	Kan mewan Apu Dios ey “Kaweda eyad puyek hu nambakbaklang ni animal ni kaman-impah, yadda maeyum niyadda beken, yadda kamambinulluh, yadda kamangkinaddap niyadda kamandinallan.” Ey tu-wangun newadadda. Ey inang-ang Apu Dios ida humman ni lintu tu ey kayyaggud.
GEN.1.26	Entanni ey kan Apu Dios ey “Yan nunya ey leltuen tayu law hu tuun henin
GEN.1.27	Henin nunman hu impahding Apu Dios e lintu tu hu tuun mei-ingngeh hu elaw dad elaw tu. Ey lintu tuddan laki niya bii.
GEN.1.28	Et bendisyonan tudda e kantuy “Kahlag kayu et medakkel kayu et mebebleyan ni emin eya puyek et hi-gayu hu ngenamung eyan puyek, anin idan deleg di baybay, yadda sisit niyaddan emin hu animal.”
GEN.1.29	Ey kantuy “Indaddan kun emin hu nambakbaklang ni kameitnem niyadda keyew ni kamekkan lameh da ma-lat wada kennen yu. 
