GEN.1.1	Idi punganay, pinarsua ti Dios ti lubong.
GEN.1.2	Gusoguso ken awan urnos ti amin ken nakumotan iti napuskol a sipnget ti nadawel a taaw a nanglapunos iti amin, ket ti Espiritu ti Dios
GEN.1.3	Imbilin
GEN.1.4	Naragsakan ti Dios iti nakitana. Pinaglasinna ti lawag ken ti sipnget. 
GEN.1.5	Pinanagananna ti lawag iti “Aldaw,” ket ti sipnget, “Rabii.”
GEN.1.5	Limmabas ti rabii, ket dimteng ti bigat. Daytoy ti umuna nga aldaw.
GEN.1.6+GEN.1.7	Kalpasanna,
GEN.1.8	Pinanagananna ti tangatang iti “Langit.”
GEN.1.8	Limmabas ti rabii, ket dimteng ti bigat.
GEN.1.9	Kalpasanna, imbilin ti Dios, “Mapagtitipon iti maymaysa a disso ti danum nga adda iti baba ti tangatang tapno agparang ti daga.” Ket naaramid a kasta. 
GEN.1.10	Pinanagananna ti namaga a disso iti “Daga.” Pinanagananna ti naurnong a danum iti “Taaw.” Naragsakan ti Dios iti nakitana. 
GEN.1.11	Imbilin ti Dios, “Tumaud iti daga dagiti amin a kita ti mula a mangted iti bukel ken dagiti amin a kita ti kayo nga agbunga.” Ket naaramid a kasta. 
GEN.1.12	Nagtubo ngarud dagiti amin a kita ti mula a mangted iti bukel ken dagiti amin a kita ti kayo nga agbunga. Naragsakan ti Dios iti nakitana.
GEN.1.13	Limmabas ti rabii, ket dimteng ti bigat. Daytoy ti maikatlo nga aldaw.
GEN.1.14	Imbilin ti Dios, “Agparang dagiti silaw iti tangatang tapno paglasinenda ti aldaw ken ti rabii, ken tapno ipakitada ti pangrugian dagiti tiempo, aldaw ken tawen. 
GEN.1.15	Agpaaydanto a silaw iti tangatang tapno lawaganda ti daga.” Ket naaramid a kasta. 
GEN.1.16	Inaramid ti Dios dagiti dua a dadakkel a silaw: ti init nga agraniag iti aldaw ken ti bulan nga agraniag iti rabii. Inaramidna pay dagiti bituen. 
GEN.1.17	Inkabilna dagiti silaw iti tangatang a manglawag iti daga, 
GEN.1.18	mangraniag iti aldaw ken rabii, ken mamaglasin iti lawag ken sipnget. Naragsakan ti Dios iti nakitana.
GEN.1.19	Limmabas ti rabii, ket dimteng ti bigat. Daytoy ti maikapat nga aldaw.
GEN.1.20	Imbilin ti Dios, “Maaddaan dagiti dandanum iti adu a kita ti sibibiag a parsua, kasta met a maaddaan ti tangatang kadagiti tumatayab.” 
