GEN.1.1	NEL principio Iddio creò il cielo e la terra
GEN.1.2	E la terra era una cosa deserta e vacua; e tenebre 
GEN.1.3	E Iddio disse: Sia la luce. E la luce fu
GEN.1.4	E Iddio vide che la luce 
GEN.1.5	E Iddio nominò la luce Giorno, e le tenebre Notte. Così fu sera, e 
GEN.1.6	Poi Iddio disse: Siavi una distesa tra le acque, la quale separi le acque dalle acque. 
GEN.1.7	E Iddio fece quella distesa: e separò le acque che 
GEN.1.8	E Iddio nominò la distesa Cielo. Così fu sera, e 
GEN.1.9	Poi Iddio disse: Sieno tutte le acque, 
GEN.1.10	E Iddio nominò l'asciutto Terra, e la raccolta delle acque Mari. E Iddio vide che 
GEN.1.11	Poi Iddio disse: Produca la terra erba minuta, erbe che facciano seme, ed alberi fruttiferi che portino frutto, secondo le loro specie; il cui seme 
GEN.1.12	La terra adunque produsse erba minuta
GEN.1.13	Così fu sera, e 
GEN.1.14	Poi Iddio disse: Sienvi de' luminari nella distesa del cielo, per far distinzione tra il giorno e la notte: e quelli sieno per segni, e per 
GEN.1.15	E sieno per luminari nella distesa del cielo, per recar la luce in su la terra. E così fu. 
GEN.1.16	Iddio adunque fece i due gran luminari (il maggiore per avere il reggimento del giorno, e il minore per avere il reggimento della notte), e le stelle. 
GEN.1.17	E Iddio li mise nella distesa del cielo, per recar la luce sopra la terra
GEN.1.18	e per avere il reggimento del giorno e della notte, e per separar la luce dalle tenebre. E Iddio vide che 
GEN.1.19	Così fu sera, e 
GEN.1.20	Poi Iddio disse: Producano le acque copiosamente rettili, 
GEN.1.21	Iddio adunque creò le grandi balene, ed ogni animal vivente che va serpendo; i quali animali le acque produssero copiosamente, secondo le loro specie; ed ogni 
GEN.1.22	E Iddio li benedisse, dicendo: Figliate, moltiplicate, ed empiete le acque ne' mari; moltiplichino parimente gli uccelli sulla terra
GEN.1.23	Così fu sera, e 
GEN.1.24	Poi Iddio disse: Produca la terra animali viventi, secondo le loro specie; bestie domestiche, rettili e fiere della terra, secondo le loro specie. E così fu. 
GEN.1.25	Iddio adunque fece le fiere della terra, secondo le loro specie; e gli animali domestici, secondo le loro specie; ed ogni 
GEN.1.26	Poi Iddio disse: Facciamo l'uomo alla nostra immagine, secondo la nostra somiglianza
