GEN.1.1	Do nakapamarswaw ni Āpo Dyos so hanyit kan lobong,
GEN.1.2	abaw potar no lobongaya, as kan abo paw mimyan na. Oltimo so kasari do dawri, as kan natonep pa tabo do magpapalot a kelsang no ranom. As no Ispirito no Dyos,
GEN.1.3	Ki do dawri, inchirin ni Āpo Dyos a kāna, “Myan pakono sedang.” Ki nyeng a myan sedang a akmas inchirin naw. 
GEN.1.4	Do nakaboyaw no Dyos so sedang, naboya na maganay. Sinpangan na, pinaysyay naw sedangaw kan saryaw. 
GEN.1.5	Iyaw sedangaya, ki pinangaranan nas “Maraw,” as iyaw saryaya, ki pinangaranan nas “Mahep.” Homnabas mahep kan myan danaw mabekas. Iyaw nyaw manōma araw.
GEN.1.6	Katayokan nawri, inchirin ni Āpo Dyos a kāna, “Myan pakono kademdeman
GEN.1.7	Pinarin ni Āpo Dyos kademdeman a mapaytawa so ranom tan myan do tohos kan myan ranom do ibaba. Ki oyod a naparin iyaw inchirin naw. 
GEN.1.8	No mapaytawa so ranom, ki pinangaranan nas “Kademdeman.” Sinpangan na, homnabas mahep kan myan danaw mabekas. Iyaw nyaw chadadwa narana karaw.
GEN.1.9	Inchirin ni Āpo Dyos a kāna, “Mayrarapa sa pakono ranomaya a myan do ohbo no kademdemanaya do asa yanan tan myan mabkoh a yanan.” Ki oyod a naparin.
GEN.1.10	Pinangaranan ni Āpo Dyos so “Tana” iyaw mabkohaw a yanan, as iyaw nayrarapaya a ranom, ki pinangaranan nas “Tāw.” As do nakaboyaw sya no Dyos, naboya na maganay. 
GEN.1.11	Sinpangan na, inchirin ni Āpo Dyos a kāna, “Patobohen pakono no tanaw tabo a kita no tomobo a myan so botoh kan kayokayo a omsi.” Ki oyod a naparin. 
GEN.1.12	Dawa, pinahtot no tanaw tabo a kitan mohamoha a myan so botoh kan siraw kayokayo a myan so asi. Do nakaboyaw sya no Dyos, naboya na maganay.
GEN.1.13	Homnabas mahep kan myan danaw mabekas. Iyaw nyaw chatatdo narana karaw.
GEN.1.14	Sinpangan na, inchirin ni Āpo Dyos a kāna, “Maparin pakono saw soho do hanyit tan myan mapaysyay so maraw kan mahep tan myan pakailasinan so siknanan araw, bohan,
GEN.1.15	Magranyag sa do hanyit tan masedangan lobongaya.” Ki oyod a naparin. 
GEN.1.16	Dawa, pinarin ni Āpo Dyos dadwa rarakoh a soho. Iyaw mayīyitaw, ki araw a magranyag an maraw, kan iyaw makapkapsotaw, ki bohan a magranyag an mahep. Pinarin na paw bitohen saw. 
GEN.1.17	On, pinangay sa ni Āpo Dyos do hanyit a mangsedang so lobongaya 
GEN.1.18	tan magranyag sa do maraw kan mahep a mapaysyay so sedang kan sari. As do nakaboyaw sya ni Āpo Dyos, naboya na maganay.
GEN.1.19	Homnabas mahep kan myan danaw mabekas. Iyaw nyaw chapat narana karaw.
GEN.1.20	Minirwa inchirin ni Āpo Dyos a kāna, “Myan pakono do ranom aro a matatarek a kitan mabyay, as kan myan pakono do tohos tabo a kita no manomanok.” 
GEN.1.21	Dawa, pinarswa ni Āpo Dyos siraw rarakoh saya a nabyay do tāw kan tabo a parswa a mayhodyihodyi do ranom. Pinarswa na pa saw tabo a kitan manomanok. As do nakaboyaw sya no Dyos, naboya na maganay. 
GEN.1.22	Binindisyonan na sa tabo, as nakaibahey na sya dyirad myanaw do ranom a mayparo sa tan apnohen daw tāw. Komwan inbahey na dyirad manomanok saw a mayparo sa.
GEN.1.23	Homnabas mahep kan myan danaw mabekas. Iyaw nyaw chadadima narana karaw.
GEN.1.24	Inchirin ni Āpo Dyos a kāna, “Myan pakono do tanaw tabo a kitan mabyay a maywam kan bolaw kan siraw komayakayab do tana.” Ki naparin nyaya. 
GEN.1.25	On, pinarswa no Dyos bolaw saw a binyay sigon do kita da kan siraw maywam saw a binyay sigon do kita da. Pinarswa na paw komayakayab saw do tana sigon do kita da. As do nakaboyaw sya no Dyos, ki naboya na maganay.
GEN.1.26	Katayoka na, binata ni Āpo Dyos a kāna, “Sichangori, parinen taw tawo, ki parinen ta akma dyaten. Torohan ta sa so toray da do tabo a among do tāw, manomanok do tohos, kan tabo binyay a maywam kan bolaw do hapot no tanaya, as kan siraw tabo komayakayab do tana.” 
GEN.1.27	Do dawri, pinarswa ni Āpo Dyos tawo a akma dya.
GEN.1.28	Ki binindisyonan na sa, as binata na a kāna, “Mayparo kamo tan omyan sanchiw kapotōtan nyo saw do tabo a yanan do lobongaya a mangitoray siras among do tāw, manomanok do tohos, kan kāda mabyay a naparswa a makayam kan komayakayab do tana. 
