MAT.1.1	Aꞌ u tachul ibꞌii qꞌul ikꞌuy imam u Jesucristo tzaꞌ, vituꞌxh ixalam u Daviid utz, vituꞌxh ixalam u Abrahaam.
MAT.1.2	Uncheeꞌ aatz u Abrahaam, aꞌ ikꞌaol atini u Isaac.
MAT.1.2	Aatz u Isaac, aꞌ ikꞌaol atini u Jacoob.
MAT.1.2	Aatz u Jacoob, aꞌ ikꞌaol atini u Judaa tuchꞌ tereꞌn qꞌu tatzik tuchꞌ itzaꞌqꞌ.
MAT.1.3	Aatz u Judaa, aꞌ initxaꞌa atin tuchꞌ u Tamaar, u Fares tuchꞌ u Zara.
MAT.1.3	Aatz u Fares, aꞌ ikꞌaol atini u Esroom.
MAT.1.3	Aatz u Esroom, aꞌ ikꞌaol atini u Araam.
MAT.1.4	Aatz u Araam, aꞌ ikꞌaol atini u Aminadaab.
MAT.1.4	Aatz u Aminadaab, aꞌ ikꞌaol atini u Nasoon.
MAT.1.4	Aatz u Nasoon, aꞌ ikꞌaol atini u Salmoon.
MAT.1.5	Aatz u Salmoon, aꞌ initxaꞌa atin tuchꞌ u Rahaab, u Booz.
MAT.1.5	Aatz u Booz, aꞌ initxaꞌa atin tuchꞌ u Rut, u Obeed.
MAT.1.5	Aatz u Obeed, aꞌ ikꞌaol atini u Isaii.
MAT.1.6	Aatz u Isaii, aꞌ ikꞌaol atini u ijlenal Daviid.
MAT.1.6	Aatz u ijlenal Daviid, aꞌ ikꞌaol atini u Salomoon,
MAT.1.6	initxaꞌa tuchꞌ u ixoj vaꞌl tixojich u Urias.
MAT.1.7	Uncheeꞌ aatz u Salomoon, aꞌ ikꞌaol atini u Roboaam.
MAT.1.7	Aatz u Roboaam, aꞌ ikꞌaol atini u Abias.
MAT.1.7	Aatz u Abias, aꞌ ikꞌaol atini u Asa.
MAT.1.8	Aatz u Asa, aꞌ ikꞌaol atini u Josafaat.
MAT.1.8	Aatz u Josafaat, aꞌ ikꞌaol atini u Joraam.
MAT.1.8	Aatz u Joraam, aꞌ ikꞌaol atini u Uzias.
MAT.1.9	Aatz u Uzias, aꞌ ikꞌaol atini u Jotaam.
MAT.1.9	Aatz u Jotaam, aꞌ ikꞌaol atini u Acaaz.
MAT.1.9	Aatz u Acaaz, aꞌ ikꞌaol atini u Esequias.
MAT.1.10	Aatz u Esequias, aꞌ ikꞌaol atini u Manasees.
MAT.1.10	Aatz u Manasees, aꞌ ikꞌaol atini u Amoon.
MAT.1.10	Aatz u Amoon, aꞌ ikꞌaol atini u Josias.
MAT.1.11	Aatz u Josias, aꞌ ikꞌaol atini u Jeconias, tuchꞌ tereꞌn itzaꞌqꞌ.
MAT.1.11	Aꞌ titzꞌpeꞌ tikuenta u txaypichil bꞌen tu u txꞌavaꞌ Babiloonia.
MAT.1.12	Uncheeꞌ xamtich tek tiꞌ u txaypichil bꞌen tu Babiloonia,
MAT.1.12	aatz u Jeconias, atin ikꞌaol; ayaꞌ u Salatieel.
MAT.1.12	Aatz u Salatieel, aꞌ ikꞌaol atini u Zorobabeel.
MAT.1.13	Aatz u Zorobabeel, aꞌ ikꞌaol atini u Abiuud.
MAT.1.13	Aatz u Abiuud, aꞌ ikꞌaol atini u Eliaquiim.
MAT.1.13	Aatz u Eliaquiim, aꞌ ikꞌaol atini u Azoor.
MAT.1.14	Aatz u Azoor, aꞌ ikꞌaol atini u Sadooc.
MAT.1.14	Aatz u Sadooc, aꞌ ikꞌaol atini u Aquiim.
MAT.1.14	Aatz u Aquiim, aꞌ ikꞌaol atini u Eliuud.
MAT.1.15	Aatz u Eliuud, aꞌ ikꞌaol atini u Eleazar.
MAT.1.15	Aatz u Eleazar, aꞌ ikꞌaol atini u Mataan.
MAT.1.15	Aatz u Mataan, aꞌ ikꞌaol atini u Jacoob.
MAT.1.16	Aatz u Jacoob, aꞌ ikꞌaol atini u Xhep.
MAT.1.16	Ayaꞌ vivinaj u Liꞌ, u alan tetz u Jesuus.
MAT.1.16	Aatz u Jesuus, aꞌ viTxaaom u Tioxh.
MAT.1.17	Uncheeꞌ ech 14 tanul qꞌu kꞌuya mama tziꞌ, nixeꞌtkꞌasuꞌl tiꞌ u Abrahaam utz, nuꞌlyaꞌoj tiꞌ u Daviid. Utz aatz nixeꞌtkꞌasuꞌl tiꞌ u Daviid, neꞌnyaꞌoj tu u txaypichil bꞌen tu Babiloonia, 14 paj tanul.
