MAT.1.1	Jesukrístu we̱a̱trí̱ ju̱ áiniawai. Tura ashí naṉkaamas ti uunt we̱a̱t Tawitcha Apraámsha áiniawai. 
MAT.1.2	Apraáma uchirí̱ Isak. Tura Isaka uchirí̱ Jakup. Jakupa uchirí̱sha Jutá ni yachi̱ji̱a̱i̱. 
MAT.1.3	Tura Jutá uchiri̱n Páresan tura Sarancha Tamar jurermiayi. Páresa uchirí̱sha Esrum, nuna uchirí̱sha Aram. 
MAT.1.4	Nuna uchirí̱sha Aminiatáp. Nuna uchirí̱sha Nasuṉ. Nuna uchirí̱sha Sarmuṉ. 
MAT.1.5	Sarmuṉka uchirí̱ncha Púusan Raap jurermiayi. Puusa uchirí̱n Uwitian Ruut jurermiayi. Uwitia uchirí̱sha Isaí. 
MAT.1.6	Nuna uchirí̱sha uunt akupin Tawit. Uunt akupin Tawitia uchirí̱ncha Sarumúṉkan Patsepa jurermiayi. Patsepasha emka Uríasa nuwe̱e̱yayi.
MAT.1.7	Sarumúṉka uchirí̱ Rupuam. Nuna uchirí̱sha Apías. Nuna uchirí̱sha Asa. 
MAT.1.8	Asa uchirí̱sha Jusapát. Nuna uchirí̱sha Juram. Nuna uchirí̱ Usías. 
MAT.1.9	Usíasa uchirí̱ Jutam. Nuna uchirí̱ Akas. Nuna uchirí̱ Esekías. 
MAT.1.10	Esekíasa uchirí̱ Manasés. Nuna uchirí̱ Amuṉ. Nuna uchirí̱ Jusías. 
MAT.1.11	Jusíasa uchirí̱ Jekunías ni yachi̱ armia nu̱ja̱i̱. Nui̱ Papirúnianmaya̱ shuar Israer shuaran mesetja̱i̱ nupetkar Papirúnia nuṉkanam achirar júkiarmiayi.
MAT.1.12	Nu ukunmaṉka Jekuníasa uchirí̱ Saratiár akiiniamiayi. Tura nuna uchirí̱ Surupapír. 
MAT.1.13	Surupapíra uchirí̱ Awiut. Nuna uchirí̱ Iriakím. Nuna uchirí̱ Asur. 
MAT.1.14	Asura uchirí̱ Satuk. Nuna uchirí̱ Akim. Nuna uchirí̱ Eriut. 
MAT.1.15	Eriuta uchirí̱ Ereasár. Nuna uchirí̱ Mataṉ. Nuna uchirí̱ Jakup. 
MAT.1.16	Jakupa uchirí̱ Jusé Marí áishri̱ya nu. Marisha Jesusan jurermiayi. Nu Jesuska shuáran uwemtikiartin asa Kristu tu anaikiamuiti.
MAT.1.17	Tuma asamtai Apraámnumia̱ Tawitnium Jesusa we̱a̱trí̱ katurse (14) áiniawai. Tawitniumia̱sha Papirúnianam jukimiunma nui̱sha katurse we̱a̱t áiniawai. Papirúnianam jukimiunmaya̱sha Krístunam ataksha katurse áiniawai.
MAT.1.18	Jesukrístu akiiniamu jú̱nis ámiayi. Ni nukurí̱ Marí Juseja̱i̱ anajmanairuyayi. Tura tsaníatsa̱i̱ṉ Yusa Wakaní̱ ajaprumtikiamiayi. 
MAT.1.19	Ajaprukmataisha Jusé Marin iniatsa̱a̱tsuk nin ajapatniun enentáimpramiayi. Tura ti péṉker asa aya iniaisatniun wakerimiayi aents nékainiatsa̱i̱ṉ. 
