MAT.1.1	Á̱si̱ bani bya yet nche a̱yaatyia̱ a̱khwop Yesu a̱ yet Kristi, a̱tyu nang A̱gwaza kup gu tyok a̱ni. Nggu wa yet a̱ka̱mbwon Da̱wuda ma̱ng Ibrahim.
MAT.1.2	Ibrahim wa yet a̱tyia̱ Ishaku.
MAT.1.2	Ishaku si̱ yet a̱tyia̱ Yakubu.
MAT.1.2	Yakubu si̱ yet a̱tyia̱ Yahuda ma̱ng á̱na̱nyiuk Yahuda ba.
MAT.1.3	Yahuda si̱ yet a̱tyia̱ Fa̱risa ma̱ng Zera (a̱yang mba wu wa ku yet Tama).
MAT.1.3	Fa̱risa si̱ yet a̱tyia̱ Ha̱sa̱ron.
MAT.1.3	Ha̱sa̱ron si̱ yet a̱tyia̱ A̱ram
MAT.1.4	A̱ram si̱ yet a̱tyia̱ A̱minadap.
MAT.1.4	A̱minadap si̱ yet a̱tyia̱ Nashon.
MAT.1.4	Nashon si̱ yet a̱tyia̱ Salmun.
MAT.1.5	Salmun si̱ yet a̱tyia̱ Bowat
MAT.1.5	(a̱yang nggu wu wa ku yet Rahab).
MAT.1.5	Bowat si̱ yet a̱tyia̱ Obed
MAT.1.5	(a̱yang nggu wu wa ku yet Rut).
MAT.1.5	Obed si̱ yet a̱tyia̱ Yesi.
MAT.1.6	Yesi si̱ yet a̱tyia̱ a̱gwam
MAT.1.6	A̱gwam Da̱wuda si̱ ma ngyet a̱tyia̱ Solomon.
MAT.1.6	(A̱yang byin Solomon wu wa ku yet Ba̱sheba a̱byii̱k a̱tyo a̱khwu, nang á̱ ku ngyei Uriya a̱ni).
MAT.1.7	Solomon si̱ yet a̱tyia̱ Ra̱habam.
MAT.1.7	Ra̱habam si̱ yet a̱tyia̱ A̱biya.
MAT.1.7	A̱biya si̱ yet a̱tyia̱ Asa
MAT.1.8	Asa si̱ yet a̱tyia̱ Ja̱hushafat.
MAT.1.8	Ja̱hushafat si̱ yet a̱tyia̱ Joram
MAT.1.8	Joram si̱ yet a̱tyia̱
MAT.1.9	Uziya si̱ yet a̱tyia̱ Jotam.
MAT.1.9	Jotam si̱ yet a̱tyia̱ Ahaz.
MAT.1.9	Ahaz si̱ yet a̱tyia̱ Hezikiya.
MAT.1.10	Hezikiya si̱ yet a̱tyia̱ Ma̱nasa.
MAT.1.10	Ma̱nasa si̱ yet a̱tyia̱ Amon
MAT.1.10	Amon si̱ yet a̱tyia̱ Josiya.
MAT.1.11	Josiya si̱ yet a̱tyia̱
MAT.1.11	(Á̱ ku tyei mba di̱n jen ji nang á̱ ku nya̱baat á̱niet Isi̱rela ba á̱ nat ndyo mi̱ khwo ma̱ a̱byin Babila ka a̱ni.)
MAT.1.12	Nang ba̱ ku ntyak khwo hu ma̱ a̱byin Babila ka a̱ni,
MAT.1.12	Jehoyakim si̱ yet a̱tyia̱ Sha̱li̱tiyel.
MAT.1.12	Sha̱li̱tiyel si̱ yet a̱tyia̱ Za̱rubabel.
MAT.1.13	Za̱rubabel si̱ yet a̱tyia̱ Abihudu.
MAT.1.13	Abihudu si̱ yet a̱tyia̱ A̱li̱yakim.
MAT.1.13	A̱li̱yakim si̱ yet a̱tyia̱ Azuro.
MAT.1.14	Azuro si̱ yet a̱tyia̱ Za̱dok.
MAT.1.14	Za̱dok si̱ yet a̱tyia̱ A̱kim.
MAT.1.14	A̱kim si̱ yet a̱tyia̱ A̱li̱yudu.
MAT.1.15	A̱li̱yudu si̱ yet a̱tyia̱ A̱li̱yazar.
MAT.1.15	A̱li̱yazar si̱ yet a̱tyia̱ Ma̱tana.
MAT.1.15	Ma̱tana si̱ yet a̱tyia̱ Yakubu.
MAT.1.16	Yakubu si̱ yet a̱tyia̱ Isuu a̱tyok Ma̱ryamu a̱ byin Yesu a̱ yet Kristi, a̱tyu nang A̱gwaza kup gu tyok a̱ni.
MAT.1.17	Nche a̱yaatyia̱ a̱khwop Yesu nang á̱ fang neet di̱ njen Ibrahim ba̱ng si̱ nat da̱ a̱gwam Da̱wuda a̱ni, nche swak ma̱ naai nia.
MAT.1.17	Neet da̱ a̱gwam Da̱wuda si̱ nat jen nang á̱ nya̱baat mba á̱ nat ndyo mi̱ khwo hu ma̱ a̱byin Babila ka a̱ni, nche swak ma̱ naai nia.
MAT.1.17	Neet di̱ ya̱baat á̱niet Isi̱rela nat ndyo Babila ba̱ng ba̱ tat byin Yesu a̱ yet Kristi, a̱tyu nang A̱gwaza kup gu tyok a̱ni, nche swak ma̱ naai nia.
MAT.1.18	A̱ni wa nang byin Yesu a̱ yet Kristi, a̱tyu nang A̱gwaza kup gu tyok a̱ni, ndi. Di̱n jen nang Isuu ma̱ng Ma̱ryamu, a̱yang Yesu wu, ku nda̱p si̱sak ba̱ na nnyia̱ nyeang a̱ni, neet nang ba̱ ka̱n nyia̱ nyeang hu bah, á̱ si̱ li nang gu shya̱ ma̱ng shya̱ neet di̱n chet A̱za̱za̱rak Ntswa.
MAT.1.19	Mat nang a̱sak nggu wu Isuu ku ngyet a̱tsotswat a̱yin wa a̱ni, a̱ si̱ chat a̱ ghwut kpa̱sai a̱ tyia̱ Ma̱ryamu nsum bah. A̱ si̱ nyia̱ a̱di̱dam, a̱ tyat si̱sak hu da̱ bang.
MAT.1.20	Di̱n jen ji nang gu nshya̱ ma̱ a̱di̱dam wu a̱ni, a̱ta̱m tswa A̱gwaza a̱ghyang si̱ bai da̱ a̱vwuo gu ma̱ laat, a̱ si̱ nyia̱, “Isuu nggwon Da̱wuda, yok fa̱k a̱wun di̱ bwuo Ma̱ryamu a̱ yet a̱kyuo ang bah! Mat shya̱ gu shya̱ ndyo a̱ni, ku neet di̱n chet A̱za̱za̱rak Ntswa hwa. 
MAT.1.21	A̱wot a̱ na byin nggwon a̱sam, a na ntyia̱ nggu a̱lyoot ‘Yesu
MAT.1.22	A̱mgba̱m nkyang nani bai ma̱ cha̱chaat ma̱ng kyang hu nang A̱gwaza ku hyia̱ a̱bwonu Ishaya a̱ta̱m a̱kwonu nggu wu, nyia̱,
MAT.1.23	“Nggwon neam di̱ ka̱ ka̱n myia̱
MAT.1.23	ma̱ng a̱tyok a̱ni bah,
MAT.1.23	na shya̱ shya̱!
MAT.1.23	Ka̱ byin nggwon a̱sam,
MAT.1.23	á̱ na ngyei nggwon a̱kya ‘Imaniet.’
MAT.1.23	A̱lyoot ‘Imaniet’ ka fa,
MAT.1.23	‘A̱gwaza shya̱ dundung ma̱ng a̱nzi̱t.’ ”
MAT.1.24	Nang Isuu nshyip mi̱ nda na a̱ni, a̱ si̱ nyia̱ ma̱ cha̱chaat ma̱nang a̱ta̱m tswa A̱gwaza wu ntak ma̱ng a̱nggu a̱ni. A̱ si̱ bwuo Ma̱ryamu, a̱ si̱ yet a̱kyuo nggu.
MAT.1.25	A̱wot Isuu du myia̱ ma̱ng Ma̱ryamu bah, ba̱ng si̱ nat jen nang gu mbyin nggwon a̱sam nggu ka a̱ni. A̱ si̱ tyia̱ nka a̱lyoot “Yesu.”
MAT.2.1	Nang á̱ mbyin Yesu mi̱ Ba̱italami ma̱ a̱byin Yahudiya a̱ni, nang a̱gwam Hiridut wa nyia̱ tyok hu; a̱jawa a̱yaagwak lyen á̱ta̱ngwat si̱ bai Urusha̱lima neet di̱ nfam a̱tyin. 
MAT.2.2	Ba̱ si̱ ba̱ lyip nyia̱, “Nggwon ka nang á̱ byin ka̱ yet a̱gwam A̱yahudawa wu a̱ni, shya̱ a̱ji wa? Mat zi̱ li a̱ta̱ngwat nggu ka ghwut neet di̱ nfam a̱tyin, zi̱ bai zi̱ ka kyuak gu ntong.”
MAT.2.3	Nang a̱gwam Hiridut
MAT.2.4	A̱ si̱ yorong a̱cha̱chet a̱yaapris ma̱ng á̱niet tyiet doká A̱gwaza ba, a̱ si̱ lyip ba a̱vwuo ka nang á̱ ntak á̱ na mbyin Kristi, a̱tyu nang A̱gwaza kup gu tyok a̱ni.
MAT.2.5	Ba̱ si̱ nyia̱ ma̱ng a̱nggu, “Á̱ na byin gu ma̱ a̱keang Ba̱italami kya, mi̱ fam a̱byin Yahudiya. Kyang hu nang a̱ta̱m a̱kwonu A̱gwaza wu ku lyuut a̱ni, huhwa hu:
MAT.2.6	‘A̱wot nwan Ba̱italami mi̱ fam a̱byin Yahudiya,
MAT.2.6	nwan wa yet a̱tsak a̱gba̱ndang wu
MAT.2.6	mami ntyok a̱ka̱keang fam a̱byin Yahudiya na.
MAT.2.6	Mat mami ang kya A̱gwam na nghwut,
MAT.2.6	a̱tyu a̱ na chok á̱niet nung ba, Isi̱rela a̱ni.’ ”
MAT.2.7	A̱gwam Hiridut si̱ bu yorong a̱yaagwak lyen á̱ta̱ngwat a̱bya da̱ bang, da̱nian gu ka lyen a̱cha̱chaat njen wu nang ba̱ ndi a̱ta̱ngwat ka nghwut a̱ni. 
MAT.2.8	Nang gu nfa̱k a̱bwonu mba a̱ni, a̱ si̱ bu ta̱m ba Ba̱italami nyia̱, “Nyi nat nyi zop shansham tazwa nggwon kani. A̱wot ka̱ nyi shya̱ nka, nyi bai nyi tak ma̱ng a̱nung, da̱nian nung mameang n ka nat n kyuak nka ntong.”
MAT.2.9	Nang ba̱ nfa̱k a̱lyiat a̱gwam na a̱ni, ba̱ si̱ doot á̱ ta̱bat vak. Ba̱ si̱ bu li a̱ta̱ngwat ka, ba̱ ku li neet di̱ fam a̱tyin hu a̱ni nang ka̱ kwak a̱son mba. A̱ta̱ngwat ka si̱ chong, ka̱ si̱si̱ yong cha̱chaat tazwa a̱vwuo ka nang nggwon ka nshya̱ a̱ni. 
MAT.2.10	Nang ba̱ ndi a̱ta̱ngwat ka a̱ni, ba̱ si̱ fa̱k a̱sai a̱lyia̱, ba̱ si̱ gwai ba̱t! 
MAT.2.11	Ba̱ si̱ nwuo mami a̱li ka, ba̱ si̱ li nggwon ka ma̱ng a̱yang nka wu Ma̱ryamu. Ba̱ si̱ ta̱bwak a̱byin ba̱ si̱ kyuak nka ntong. Ba̱ si̱ khwuk a̱ka̱sham gumaat mba na, ba̱ si̱ ti̱n za̱nang mba ji. Ba̱ si̱ neap nka zi̱nariya, turare, ma̱ng a̱myia̱ nang á̱ ngyei mur a̱ni.
MAT.2.12	Nang ba̱ ndoot na bwuok a̱ni, ba̱ si̱ kai vak ghyang á̱ nat a̱byin mba ka. Mat A̱gwaza ku tyai ma̱ng a̱mba ma̱ a̱laat nyia̱, da̱ ba̱ yok bwuok ba̱ kai da̱ a̱vwuo a̱gwam Hiridut bah.
MAT.2.13	Nang a̱yaagwak lyen á̱ta̱ngwat a̱bya nkat a̱ni, a̱ta̱m tswa A̱gwaza si̱ tyai a̱pyia̱ nggu da̱ a̱vwuo Isuu ma̱ a̱laat nyia̱, “Doot, a kyiak nggwon ka ma̱ng a̱yang nka wu, nyi tyong nat Ma̱sa̱r! Nyi si̱ swan a̱ja si̱ nat jen ji n na ntak ma̱ng a̱nyin nyi bwuok a̱ni. Mat a̱gwam Hiridut na nwuo chat nggwon ka, ka̱ a̱ shya̱ nka, gu hyat.”
MAT.2.14	A̱tyetuk a̱kya, Isuu si̱ doot a̱ si̱ kyiak nggwon ka ma̱ng a̱yang nka wu, ba̱ si̱ nkat Ma̱sa̱r. 
MAT.2.15	Ba̱ si̱ swan a̱ja si̱ nat jen nang a̱gwam Hiridut nkhwu a̱ni. Tyong nat Ma̱sa̱r huni nat cha̱chaat ma̱ng kyang A̱gwaza ku tak a̱bwonu a̱ta̱m a̱kwonu nggu wu gbangbang a̱ni nyia̱, “N gyei nggwon nung ka ghwut ndyo mi̱ Ma̱sa̱r.”
MAT.2.16	Nang a̱gwam Hiridut ba̱ nfi̱k nang a̱yaagwak lyen á̱ta̱ngwat a̱bya, ba̱ neet di̱ nfam a̱tyin hu ndaai gu a̱ni, a̱ si̱ fa̱k a̱lyia̱ ya ba̱t. A̱ si̱ tyia̱ á̱ si̱ hyaai a̱chyuang mman á̱sam ma̱ a̱keang Ba̱italami ma̱ng á̱kum a̱ka̱keang na̱ hyia̱k a̱ja a̱ni, kyiak neet di̱ mbyin si̱ nat a̱lyia̱ a̱feang. A̱ ku nyia̱ a̱nia, ku nat cha̱chaat ma̱ng nkhang nang a̱yaagwak lyen á̱ta̱ngwat ba ku hyia̱ tazwa njen nang a̱ta̱ngwat mbyin ka na ntsa ghwut a̱ni. 
MAT.2.17	A̱ka̱kpa̱t a̱gwam Hiridut na nat cha̱chaat ma̱ng kyang hu nang Iri̱miya a̱ta̱m a̱kwonu A̱gwaza ku ntak á̱zanson gbangbang a̱ni, nyia̱,
MAT.2.18	“Á̱ fa̱k kun ku neet ma̱ a̱keang Rama.
MAT.2.18	Á̱ hyaai nkun ma̱ng byian fwuo ba̱t.
