MAT.1.1	Kitabu cha lukolo lwa Yesu Kilisito mzukulu wa Daudi, mzukulu wa Abulahamu.
MAT.1.2	Abulahamu kamulela Isaka, Isaka kamulela Yakobo, Yakobo kamulela Yuda na ndugu zake. 
MAT.1.3	Yuda kamulela Pelesi na Zela, mamao kakala Tamali, Pelesi kamulela Heziloni, Heziloni kamulela Alamu. 
MAT.1.4	Alamu kamulela Aminadabu, Aminadabu kamulela Nashoni, Nashoni kamulela Salimoni, 
MAT.1.5	Salimoni kamulela Boazi, mamake Boazi kakala Lahabu, Boazi kamulela Obedi, mamake Obedi kakala Lusi, Obedi kamulela Yese, 
MAT.1.6	Yese kamulela Mndewa Daudi.
MAT.1.6	Daudi kamulela Sulemani, mamake Sulemani kakala mwehe wa Ulia. 
MAT.1.7	Sulemani kamulela Lehoboamu, Lehoboamu kamulela Abiya, Abiya kamulela Asa, 
MAT.1.8	Asa kamulela Yehoshafati, Yehoshafati kamulela Yolamu, Yolamu kamulela Uzia, 
MAT.1.9	Uzia kamulela Yotamu, Yotamu kamulela Ahazi, Ahazi kamulela Hezekia, 
MAT.1.10	Hezekia kamulela Manase, Manase kamulela Amoni, Amoni kamulela Yosia, 
MAT.1.11	Yosia kamulela Yekonia na ndugu zake, kipindi kija Wayahudi viwahamizigwe kugaligwa Babeli.
MAT.1.12	Viubitile uhamizo wa Babeli, Yekonia kamulela Shealitieli, Shealitieli kamulela Zelubabeli, 
MAT.1.13	Zelubabeli kamulela Abiudi, Abiudi kamulela Eliakimu, Eliakimu kamulela Azoli, 
MAT.1.14	Azoli kamulela Sadoki, Sadoki kamulela Akimu, Akimu kamulela Eliudi, 
MAT.1.15	Eliudi kamulela Eliazali, Eliazali kamulela Matani, Matani kamulela Yakobo, 
MAT.1.16	Yakobo kamulela Yusufu, mbigalo wake Malia, yamulelile Yesu yokemigwa Kilisito.
MAT.1.17	Avo kukala na ng'holo longo na nne kulawa Abulahamu mbaka Daudi, na ng'holo longo na nne kulawa Daudi mbaka Wayahudi viwahamizigwe Babeli na ng'holo longo na nne toka viwahamizigwe Babeli mbaka kuleleka kwa Kilisito Mkombola.
MAT.1.18	Kuvumbuka kwa Yesu Kilisito kukala vino, Malia yafungiligwe zengele na Yusufu, lakini wang'hali hawanakala hamoja kamba mbigalo na mtwanzi, Malia koneka kana inda kwa udahi wa Loho Yang'alile. 
MAT.1.19	Kwavija Yusufu kakala munhu yotenda ganogile, halondile kumgela kinyala Malia, avo kalonda kumuleka kinyelegezi. 
MAT.1.20	Viyakalile kogelegeza vivo, msenga wa kuulanga wa Mndewa kamulawilila mzinzozi na kamulongela, “Yusufu mzukulu wa Daudi, sekeudumbe kumsola Malia yawe mwehe wako, kwavija inda yake kaipata kwa udahi wa Loho Yang'alile. 
MAT.1.21	Kolela mwana wa kimbigalo na gweye komgwaa twaga da Yesu, kwavija kowakombola wanhu zake mzinzambi zao.”
MAT.1.22	Gano gose gatendeka kutenda galongigwe na Mndewa kubitila mtula ndagu wake galawilile, 
MAT.1.23	“Mhambe kogoga inda, na kolela mwana wa kimbigalo, nao womkema Imanueli,” fambulo jake, “Mulungu kahamoja na tweye.”
MAT.1.24	Avo Yusufu viyalamuke muutulo, kamsola Malia kamba viyalongeligwe na imsenga wa Mndewa. 
MAT.1.25	Lakini hatembele nayo mbaka viyalelile mwana na Yusufu kamgwaa twaga mwana ayo Yesu.
MAT.2.1	Yesu kavumbuka kudibuga da Beselehemu mwiisi ya Yudea, kipindi Helode viyakalile Mndewa. Aho viyavumbuke wanhu wayagwe wajuwile mbuli za nhondo weza kulawa mwambu wa kudilawila zuwa wavika Yelusalemu. 
MAT.2.2	Wauza, “Kakwahi imwana yavumbuke yawe Mndewa wa Wayahudi? Kwavija tuyona nhondo yake kulawa mwambu wa kudilawila zuwa na tweye twiza kumfugamila.”
MAT.2.3	Mndewa Helode viyahulike vivo kanyawanyawa ng'hani na vivija kila munhu yakalile Yelusalemu kanyawanyawa. 
MAT.2.4	Kawakema hamoja wakulu wa walava nhosa na wafundiza Malagizo ga Musa kawauza, “Vino Kilisito Mkombola kovumbukila kwahi?”
MAT.2.5	Wamwidika, “Kovumbukila kudibuga da Beselehemu mwiisi ya Yudea, vivo yandike mtula ndagu wa Mulungu,
MAT.2.6	‘Mweye wanhu wa Beselehemu mwiisi ya Yudea,
MAT.2.6	buga jenu hadili dodo bule mna gamabuga ga Yuda,
MAT.2.6	kwavija kumwenu kolawa mulangulizi
MAT.2.6	yonda yawalongoze wanhu zangu wa Izilaeli.’ ”
MAT.2.7	Avo Helode kawakema kinyelegezi wanhu waja wojuwa mbuli za nhondo kawauza kipindi gani nhondo viyoneke. 
MAT.2.8	Abaho kawatuma wachole Beselehemu na kuwalagiza, “Choleni mkazahile goya kuyali imwana, mwahamona nongeleni, nanie vivija nichole nikamfugamile.”
MAT.2.9	Viwamalile kumtegeleza, walawanya, mnzila wayona nhondo iija iwayone mwambu wa kudilawila zuwa, iwalongolela na kwima hanhu aho kuyavumbuke imwana. 
MAT.2.10	Viwayone inhondo, wadeng'helela ng'hani. 
MAT.2.11	Avo wengila mng'anda, wamona imwana na Malia mamake, wamfugamila na kumtambikila. Abaho wamgwaa nhunza za zahabu, mavumba na mavuta ga bei ng'hulu gokemigwa manemane.
MAT.2.12	Abaho wabwela ukayao kwa kubitila nzila iyagwe, kwavija Mulungu kawazuma mzinzozi sekewabwele kwa Helode.
MAT.2.13	Viwasegele msenga wa Mndewa kamulawilila Yusufu mzinzozi kamulongela, “Helode komzahila imwana yamkome. Avo lamuka umsole imwana na mamake mkimbilile Misili, na mukale kuko mbaka vonda nikulongele usegele.”
MAT.2.14	Yusufu kalamuka, kamsola imwana na mamake kasegela ikilo acho na kuchola Misili, 
MAT.2.15	kakala ako mbaka Helode viyafile. Gano gatendigwa kutenda acho kiyalongile Mndewa kubitila mtula ndagu kilawilile, “Nimkema mwanangu kulawa Misili.”
MAT.2.16	Helode viyajuwile kamba wanhu wacholile kumulola Yesu kulawa mwambu wa kudilawila zuwa wamvizila, kagevuzika ng'hani. Kalava lagizo da kuwakoma wana wose wa kimbigalo weli Beselehemu na hiwo weli behi, kusongela wana ving'hele mbaka wana weli na miyaka mibili ino itendigwa kamba viyajuwile kulawa kwa wanhu wacholile kumulola Yesu mna ikipindi viwayone inhondo.
MAT.2.17	Kwa mbuli ino kilawilila kija kiyalongile Yelemia yakalile mtula ndagu wa Mulungu,
MAT.2.18	“Sauti ihulikigwa mwiisi ya Lama,
MAT.2.18	kulila na kuiyalala ng'hani.
MAT.2.18	Laheli kowalilila wanage
MAT.2.18	nayo kolema kuhozigwa,
MAT.2.18	kwavija wafa.”
MAT.2.19	Helode viyafile, msenga wa Mndewa kamulawilila Yusufu mzinzozi mwiisi ya Misili, 
MAT.2.20	kamulongela, “Lamuka umsole imwana na mamake, na ubweleganye mna iisi ya Izilaeli, kwavija wose walondile kumkoma imwana wafa.” 
MAT.2.21	Avo Yusufu kalamuka, kamsola imwana na mamake na kabweleganya mwiisi ya Izilaeli.
MAT.2.22	Lakini Yusufu viyahulike Alikelao mwanage Helode, kahala Undewa wa tatake ako Yudea, kadumba kuchola kuko, kwavija kazumigwa ng'hani mzinzozi. Avo kachola mwiisi ya Galilaya. 
MAT.2.23	Kahamila kudibuga da Nazaleti keka ukazi wake kuko. Avo kilawilile kija kiwalongile watula ndagu wa Mulungu, “Kokemigwa Mnazaleti.”
MAT.3.1	Mna izisiku azo Yohana Mbatizaji keza kuluwala lwa Yudea, kasonga kuwapetela wanhu. 
MAT.3.2	Kawalongela, “Lekeni nzambi zenu kwavija Undewa wa kuulanga wammabehi!” 
MAT.3.3	Ayo Yohana, ayo munhu yalongigwe na mtula ndagu wa Mulungu Isaya,
MAT.3.3	“Munhu imoja kokema kuluwala,
MAT.3.3	‘Itandeni nzila ya Mndewa,
MAT.3.3	goloseni nzila yake yonda yabite!’ ”
MAT.3.4	Kiwalo cha Yohana kitendigwa kwa mibahila ya ngamiya, na kavala mkwiji wa ng'hwembe mkigudi chake. Lujo lwake lukala nzige na uki. 
MAT.3.5	Wanhu wamcholela kulawa Yelusalemu, na isi yose ya Yudea na kulawa isi zose zilihabehi na lwanda lwa Yolidani. 
MAT.3.6	Watogola hewo watenda nzambi na Yohana kawabatiza muulwanda lwa Yolidani.
MAT.3.7	Yohana viyawone Mafalisayo na Masadukayo wengi womwizila yawabatize, kawalongela, “Mweye mizoka nani yawalongele modaha kuikimbila nhaguso yonda igaligwe na Mulungu? 
MAT.3.8	Musang'hane gaja gonda galaguse muzileka nzambi zenu. 
MAT.3.9	Sekemugese kwa kulonga kamba Abulahamu heyo muhenga wetu. Nowalongela Mulungu kodaha kugasola mabwe gano na kugatenda lukolo lwa Abulahamu! 
MAT.3.10	Shoka ikigwa goya kukanha mibiki mna gamasina. Kila mbiki uleka kulela matunda ganogile wokanhigwa na kwasigwa muumoto. 
MAT.3.11	Niye nowabatiza mweye kwa mazi kulagusa muzileka nzambi zenu. Lakini yonda yeze kukisogo changu kowabatiza kwa Loho Yang'alile na kwa moto, heyo ni munhu mkulu kubanza nene, niye sifaya hata kupapa vilatu vake. 
MAT.3.12	Ayo kana lungo lwa kubetela uhule mmakono gake. Nayo kousola uhemba wake na kuwika kudikanho, lakini koisoma imikumvi muumoto haufaga.”
MAT.3.13	Mna izisiku azo Yesu kasegela kulawa Galilaya kachola kuna ulwanda lwa Yolidani yakabatizigwe na Yohana. 
MAT.3.14	Lakini Yohana kalonda kumgomesa Yesu, kalonga, “Niye nolondeka nibatizigwe na gweye, habali wiza kumwangu?”
MAT.3.15	Yesu kamwidika, “Leka sambi iwe vivo kwavija kwakutenda vivo togatenda gaja gose golondigwa na Mulungu.” Avo Yohana katogola.
MAT.3.16	Bahaja Yesu viyabatizigwe, kalawa mgamazi, ulanga ugubuka, na kamona Loho wa Mulungu kohumuluka kamba huwa na kakala uchanha yake. 
MAT.3.17	Abaho sauti ihulikigwa kulawa kuulanga ilonga, “Ino heyo mwanangu nimnogele, ninogezigwa nayo.”
MAT.4.1	Abaho Loho Yang'alile kamulongoza Yesu yachole kuluwala yakagezigwe na Mwenembago. 
MAT.4.2	Kakala kuko siku malongo mane imisi na ikilo bila kuja. Viyamambukize siku azo, Yesu kona nzala. 
MAT.4.3	Abaho Mwenembago kamcholela kamulongela, “Kamba gweye kwa Mwana wa Mulungu kweli galagize mabwe gano gagaluke magate.”
MAT.4.4	Lakini Yesu kamwidika, “Maandiko Gang'alile golonga, ‘Munhu hawa mgima kwa kuja kwiiyeka, lakini kwa kila mbuli yoolonga Mulungu.’ ”
MAT.4.5	Abaho Mwenembago kamsola Yesu mbaka Yelusalemu buga ding'alile, kamwika mna ikiswili cha Ing'anda ya Mulungu. 
MAT.4.6	Abaho kamulongela Yesu, “Kamba kweli gweye kwa Mwana wa Mulungu, ilagaze mwenyego hasi, kwavija Maandiko Gang'alile golonga,
