MAT.1.2	Ibrahím waalʊ́rʊ 
MAT.1.3	Yúúda ɩlɛ́ waalʊ́rʊ Faarɛ́ɛ́sɩ na Zaará (bɛlɛ́ bɔgɔɔ gɛ Tamáárɩ), Faarɛ́ɛ́sɩ waalʊ́rʊ Ɛsɩrɔ́ɔ́nɩ, Ɛsɩrɔ́ɔ́nɩ ɩlʊ́rʊ Aráámɩ 
MAT.1.4	Aráámɩ waalʊ́rʊ Aminadáábɩ, Aminadáábɩ ɩlʊ́rʊ Naasɔ́ɔ́nɩ, Naasɔ́ɔ́nɩ ɩlɛ́ waalʊ́rʊ Sulemáána; 
MAT.1.5	Sulemáána waalʊ́rʊ Bóozɩ, ɩlɛ́ ɩgɔɔ gɛ Ráábí. Bóozɩ waalʊ́rʊ Obɛ́ɛ́dɩ, ɩlɛ́ ɩgɔɔ gɛ Ruwétu. Obɛ́ɛ́dɩ waalʊ́rʊ 
MAT.1.6	Yesée waalʊrʊná wúro Ɖáwʊɖa. Ɖáwʊɖa waalʊ́rʊ Sulemána (ɩlɛ́ ɩgɔɔ fʊngɛ́ɛna Uríi ɖɛɛlʊ́) 
MAT.1.7	 waalʊ́rʊ Robowáámɩ, Robowáámɩ ɩlʊ́rʊ Abiyáa, Abiyáa ɩlʊ́rʊ Azáa. 
MAT.1.8	Azáa waalʊ́rʊ Yozafáátɩ, Yozafáátɩ ɩlʊ́rʊ Yoráámɩ, Yoráámɩ ɩlʊ́rʊ Oziyáásɩ. 
MAT.1.9	Oziyáásɩ waalʊ́rʊ Yowatáánɩ, Yowatáánɩ ɩlʊ́rʊ Akáazɩ, Akáazɩ ɩlʊ́rʊ Ezekíyáasɩ. 
MAT.1.10	Ezekíyáasɩ waalʊ́rʊ Manasée, Manasée ɩlʊ́rʊ Amɔ́ɔ́nɩ, Amɔ́ɔ́nɩ ɩlʊ́rʊ Yoziyáásɩ. 
MAT.1.11	Yoziyáásɩ waalʊ́rʊ Yokoniyáasɩ na igoobíya. Bɩdɛ́ɛ sáátɩ gɛ baagba Israyɛ́ɛ́lɩ bíya bɛɖɛɛná Yoḿti 
MAT.1.12	Bɛɛɖɛɛná Israyɛ́ɛ́lɩ bíya 
MAT.1.13	Zorobabɛ́ɛ́lɩ waalʊ́rʊ Abiwúúdi, Abiwúúdi ɩlʊ́rʊ Eliyakíími, Eliyakíími ɩlʊ́rʊ Azɔ́ɔ́rɩ. 
MAT.1.14	Azɔ́ɔ́rɩ waalʊ́rʊ Sadɔ́ɔ́kɩ, Sadɔ́ɔ́kɩ ɩlʊ́rʊ Akíími, Akíími ɩlʊ́rʊ Eliwúúdi. 
MAT.1.15	Eliwúúdi waalʊ́rʊ Eleyazáarɩ, Eleyazáarɩ ɩlʊ́rʊ Matáánɩ, Matáánɩ ɩlʊ́rʊ Yaakúbu. 
MAT.1.16	Yaakúbu waalʊ́rʊ Ísífu Marɩyáma weení waalʊ́rʊ Yeésu weení bánÿaá yɩ sɩsɩ 
MAT.1.17	Kɔgbɔɔ 
MAT.1.18	Ɩbɛ́ɛ nŋɩ́nɩ́táá baalʊrʊná Yeésu Krísto nɛ́. Báńváa ɩgɔɔ
MAT.1.19	Ísífu weení baava yɩ nɛ́, kɛ́ɛ ɩrʊ́ weení ɩzɩɩzɛ́ɛ nɛ́, ɩdɔsɔ́ɔ́lɩ sɩ ɩŋmátɩ tɩ ɩráa zamɔ́ɔ ɩnɩ́ɩ bɩka bɩfɔrɔ́sɩ Marɩyáma yɩ́ɖɛ, biiyéle wɔɔzɔ́ɔ́lɩ sɩsɩ ɩ́na yɩ batára súmúú‑daá. 
MAT.1.20	Ɩwɛ wánmaazɩ́ bɩlɛ́ nɛ́, ngɛ Ɖádʊ́ʊ Ɩsɔ́ɔ‑dɛ́ɛ 
MAT.1.21	Wánlʊrʊ́ʊ bú abaalʊ́ na nva yɩ yɩ́ɖɛ sɩsɩ Yeésu, káma ɩmʊ́ sɩ ɩlɛɛ ná ɩdɛ́ɛ zamɔ́ɔ kɩdɛ́ɛ alaháácɩ́wá‑daá.»
MAT.1.22	Bɩrɩ́ŋa bɩɩlá bɩlɛ́ gɛ na wentí Ɖádʊ́ʊ Ɩsɔ́ɔ waaŋmatɩná 
MAT.1.23	«aléeré waasɩ abaalʊ́ nɛ́ wɛ́nÿɛɛ́ fuwá ɩlʊ́rʊ bú abaalʊ́
MAT.1.23	na bafa yɩ yɩ́ɖɛ sɩsɩ Emanuwɛ́ɛlɩ» nɛ́ ikóódi.
MAT.1.23	Yɩ́ɖɛ ɖɩḿ ɖugutoluú gɛ sɩsɩ: «Ɩsɔ́ɔ wɛ ɖɔ́jɔ́.»
