PSA.1.1	Ic ségi ségiyaguc imi ic ʒipiliŋ ʒapalaŋa ionac niniŋ areŋgia imi ménda méndacma kemma, képésic ic ionac kekecac hénaiguc momacnec ménda namma, ʒédesi ic iniguc
PSA.1.2	Néŋ Yaweac
PSA.1.3	Inéŋ ic hésa doku téfara giŋgiŋaiguc himicgic naŋanʒac ésécnec haréŋa ménda bura tiyu naléya méndacma héla gocmia haianʒac. Inéŋ imuac me imuac ai meyu hiabianec saima keŋanʒac.
PSA.1.4	Néŋ ic ʒipiliŋ ʒapalaŋa imi imuhuc qahac. Inéŋ imi gorosoŋa sénéwéra luhucnéŋ mihilaŋgéyu keŋanʒac ésécnec. 
PSA.1.5	Imuac niŋac ic ʒipiliŋ ʒapalaŋa ieneŋ imi Anutunéŋ kitiwa biria meleŋ énécmiyu hia ménda naŋselimu. Waŋu képésic ic ieneŋ ic solaŋa iniguc momacnec kecmuac séc qahac. 
PSA.1.6	Ic hiabia imi Yawenéŋ inicgaleŋ waŋ énécmianʒac, néŋ ic ʒipiliŋ ʒapalaŋa imi eneŋ tima keŋanʒu héna imuac tetecgia imi humu qai wawaŋa.
PSA.2.1	Némac niŋac baera baera ic embac ieneŋ qeqetali ac qeweloŋa wamma, imuac ic embac ieneŋ ai gorosoŋa imuhucyawac niŋareŋ waŋanʒu? 
PSA.2.2	Waŋu Yawe ʒéma iwac halécnéŋ météré mima gésimimia iorac haʒéc waŋ érécmima baecac ic kewu ieneŋ ʒéréŋqéréŋ wamma naŋgic, baecac galeŋhéra ieneŋ momacnec toroqe amuma yomuhuc emininʒu; 
PSA.2.3	Seŋ hésa ɋaté nénécmizac imi qetecgéma hésa selia ʒiki sipac menénéc mizac imi hulac gilidacbiŋ.
PSA.2.4	Waŋu ou kurumeŋiguc tacʒac inéŋ desi énécmizac. Miŋ Kewunéŋ isocfagociguc onopocʒac. 
PSA.2.5	Inéŋ qeri geric wamma ac waŋ énécmizac, tericgé énécmima yomuhuc ʒézac; 
PSA.2.6	Nenaoc, nena ic kewu, nuac baec boŋa téréya Zioniguc kumuwa nanʒac.
PSA.2.7	Imuac ni miŋ kewuac ʒézé seli ac imi ʒéau énécmiwa baec séc kenʒac. Yawenéŋ yomuhuc nézézac; Gi imi nuac naŋna. Deguc ni héri haima mihicŋi génʒua. 
PSA.2.8	Ʒéwelecnénna neŋ nuac mératéc baec séc ic embac hénia hénia imi gémba guac buŋa wandacmu. Waŋu baec tetecgia séc mocʒoŋ guac buŋa wandacmu. 
PSA.2.9	Waŋu geŋ aiŋ ɋarucganéŋ haʒéchécga unuwésémaŋ. Kewuc nomuŋ ésécnec qéséŋénécmina.
PSA.2.10	Imuac baera baera ic kewu ini niŋtegic qiŋtegic ginaguc wammu. Baera baera galeŋ ini goro ac imuac gezac haimu. 
PSA.2.11	Bac yandi yandi wamma Yaweac weleŋ qemima, bac yandi yandi wamma ʒézé ségiségi wammimu. 
PSA.2.12	Qeri geric waŋ énécmiyu baec hénaginaiguc biriwu niŋac. Iwac naŋa kiricne mima weleŋ qemimu. Qeri birianéŋ élanzaŋnec geric bélaŋ ésécnec yacma onowac niŋac. Iwac muru héima naŋanʒu imi eneŋ mocʒoŋ ségiségi ginaguc wammu.
PSA.3.1	(Dawidinéŋ eŋeya naŋa Apsalomac wésia igucnec néŋgacma keŋec nalé imuaru oyec.) Yawe, haʒéc hécna imi yei sasala yanda. Ic embac haʒéc wannémma yaré qewiŋ ʒéma yacma nanʒu imi sasala yanda. 
PSA.3.2	Ic embac sasalanéŋ nuac
PSA.3.3	Néŋ Yawe, gi imi nuac saiwa, nuac edamuna, nuac orucna meyac néŋanʒaŋ. 
PSA.3.4	Ni Yaweac kucnec ewa ewananéŋ qacma héiwa, inéŋ iwac baec boŋa téréyaiguc
PSA.3.5	Ni ama siŋiyu gau heanʒua. Waŋu Yawenéŋ néŋgaleŋ waŋnéŋu siŋunec muŋguc yacanʒua. 
PSA.3.6	Haʒéchécna tauseŋa tauseŋa ieneŋ lelecgé néŋgic, néŋ ni bac yandi yandi ménda waŋanʒua.
PSA.3.7+PSA.3.8	Aŋgéŋ titi imi Yawe guac murunec. Miŋ kewuac mériaŋ imi ic embachécga qacginaiguc mama heanʒac. Imuac niŋac, Yawe, gi yacna! Oh nuac Anutu, ni aŋgéŋna tina. Nuac haʒéchécna nekaŋgina kuma ic ʒipiliŋ ʒapalaŋa ionac ʒécgina héʒéŋgéna.
PSA.4.1	(Legic galeŋawac; waŋgoŋ hésiaguc, Dawidiac legic ʒéra.) Anutu, nuac solaŋa miŋina, ni guac qacma guruwa acna meleŋ némbésémaŋ, ni baec wéŋwéŋgiaiguc kecba baec kondoŋa mihicŋi nénnec, imuac ewa hia niŋnémma ʒéwelecna niŋna.
PSA.4.2	Baec ic ionac naŋhéra
PSA.4.3	Yawenéŋ eŋeya niŋac wamma siŋ niŋmianʒac i gésimiyec imi niŋasarimu. Imuac ni ʒéwelec wamba Yawenéŋ nimma kecanʒac. 
PSA.4.4	Ini bac yandi yandi wamma képésic ménda wammu. Gaugina hewiŋ ʒé emma acgina qaiyu bénʒéŋnec qeriginanéŋ ʒéma nimmu. (Ohec) 
PSA.4.5	Miŋ Kewuac muru hakagina solaŋa iminéŋ mulu ésécnec haimimu. Yaweac muru héima nammu.
PSA.4.6	Ic embac sasalanéŋ Mérénéŋ haka silic hiabia méŋ nénézéyu hémbiŋ? ʒéanʒu. Imuac Yawe gi guac kic tanecga asac mararaŋa gucnéŋ ninicna. 
PSA.4.7	Miŋ Kewunéŋ nuac ewa qerinaiguc ségiségi kuneŋ yanda tiyu sécgéanʒac. Ségiségi iminéŋ padi me waiŋ ɋelianéŋ sécgéyu ségiségi waŋanʒiŋ imi qeyu maanʒac. 
PSA.4.8	Ni imuhuc solaŋanec demiŋ menémma néŋgaleŋ waŋnéŋanʒac imi Yawe momacguc sac kecʒac, imuac mia ni ewana déŋ waŋu gauna heanʒua.
PSA.5.1	(Legic galeŋawac; kuŋaguc héigic, Dawidiac legic.) Yawe nuac acnawac gezac haina. Nuac yaiwisisiŋ acna niŋnénna. 
PSA.5.2	Méra némbésémaŋ niŋ wamma guru héhéli génʒua imi nimbésémaŋ. 
PSA.5.3	Yawe, siŋunec séc geŋ nuac ac ewana niŋanʒaŋ. Acna meleŋ némbésémaŋ niŋac siŋunec ʒéwelecma bénʒéŋnec mambéc kecanʒua.
PSA.5.4	Hénia imi yomuhuc; Miŋ Kewu gi biriawac siŋa ménda niŋanʒaŋ. Ic birianéŋ giguc hia tacyac ménda wammac. 
PSA.5.5	Séwi eŋeŋ icnéŋ guac wéségaiguc nammuac séc qahac. Miŋ Kewu gi imi haka silic biria waŋanʒu imi onac méʒéga kuneŋ yanda tianʒac. 
PSA.5.6	Yawenéŋ ikoc ac ʒéanʒu imi unuma sac naec énécmianʒu imi ʒéma tilic qilic ic ionac méʒéya tianʒac.
PSA.5.7	Ni imi Miŋ Kewu guac goi héihéiganéŋ naŋgé néŋu kucna mihicŋima Miŋ Kewuac ocmuŋ téréyaiguc keremmaŋ. Eega héigémma simiŋ héigémba Miŋ Kewu guac ocmuŋ téréyawac muru kemmac. 
PSA.5.8	Yawe, nuac leleciguc haʒéchécna sasala kecʒu, imuac Miŋ Kewu guac héna solaŋaiguc nuagicma kenna, Miŋ Kewu, hénaga dindiŋa imi nézéna hémba.
PSA.5.9	Imuac hénia imi yomuhuc; Kuaginaiguc imi ac héla méŋ ménda hezac. Ewa qerigina imi ic embac mebiri énécmiwiŋ ʒé niŋareŋgégic sécgédacʒac. Waŋu déméŋgina imi kic suaŋ aŋaŋgia ésécnec. Waŋu ezelaŋgina iminéŋ haléc ac efima ʒéanʒu. 
PSA.5.10	Anutu, ionac imi képésic ginaguc ʒéénécmina. Waiénécmina eŋaŋ niniŋ bétaciguc eŋaoc hiŋgacgic inimac. Ieneŋ Miŋ Kewu andé qeanʒu, imuac niŋac wawaŋ memegina biria imuac niŋac wamma nesi énécmina kemmu.
PSA.5.11	Néŋ méŋnéŋ méŋ guac muru hama saŋgianʒu imi ségiségi mihicŋi énécmina. Ionac imi wai énécmina nalé tetecgia qahac ségiségiac legic héima kecmu. Ic imuhucya imi saiwa waŋ énécmina, guac waŋanʒu imi eneŋ guac niŋ wamma ségiségi wammu. 
