MAT.1.1	កំណត់ត្រា​វង្សត្រកូល​របស់​ព្រះយេស៊ូវ​គ្រីស្ទ ដែលជា​ពូជពង្ស​ដាវីឌ និងជា​ពូជពង្ស​អ័ប្រាហាំ​:
MAT.1.2	អ័ប្រាហាំ​បង្កើត​អ៊ីសាក
MAT.1.2	អ៊ីសាក​បង្កើត​យ៉ាកុប
MAT.1.2	យ៉ាកុប​បង្កើត​យូដា និង​បងប្អូន​របស់​គាត់
MAT.1.3	យូដា​បង្កើត​ពេរេស និង​សេរ៉ាស​ពី​នាង​តាម៉ារ
MAT.1.3	ពេរេស​បង្កើត​ហេស្រុន
MAT.1.3	ហេស្រុន​បង្កើត​អើរ៉ាម
MAT.1.4	អើរ៉ាម​បង្កើត​អ័មីណាដាប់
MAT.1.4	អ័មីណាដាប់​បង្កើត​ណាសូន
MAT.1.4	ណាសូន​បង្កើត​សាលម៉ូន
MAT.1.5	សាលម៉ូន​បង្កើត​បូអូស​ពី​នាង​រ៉ាហាប
MAT.1.5	បូអូស​បង្កើត​អូបិឌ​ពី​នាង​រូស
MAT.1.5	អូបិឌ​បង្កើត​អ៊ីសាយ
MAT.1.6	អ៊ីសាយ​បង្កើត​ដាវីឌ​ដែល​ជា​ស្ដេច​។
MAT.1.6	ដាវីឌ
MAT.1.7	សាឡូម៉ូន​បង្កើត​រេហូបោម
MAT.1.7	រេហូបោម​បង្កើត​អ័ប៊ីយ៉ា
MAT.1.7	អ័ប៊ីយ៉ា​បង្កើត​អេសា
MAT.1.8	អេសា​បង្កើត​យ៉ូសាផាត
MAT.1.8	យ៉ូសាផាត​បង្កើត​យ៉ូរាម
MAT.1.8	យ៉ូរាម​បង្កើត​អូសៀស
MAT.1.9	អូសៀស​បង្កើត​យ៉ូថាម
MAT.1.9	យ៉ូថាម​បង្កើត​អេហាស
MAT.1.9	អេហាស​បង្កើត​អេសេគាស
MAT.1.10	អេសេគាស​បង្កើត​ម៉ាណាសេ
MAT.1.10	ម៉ាណាសេ​បង្កើត​អាំម៉ូន
MAT.1.10	អាំម៉ូន​បង្កើត​យ៉ូសៀស
MAT.1.11	យ៉ូសៀស​បង្កើត​យេកូនាស និង​បងប្អូន​របស់​គាត់
MAT.1.11	នៅគ្រា​ដែល​ត្រូវជម្លៀស​ទៅ​បាប៊ីឡូន​។
MAT.1.12	បន្ទាប់ពី​ត្រូវជម្លៀស​ទៅ​បាប៊ីឡូន
MAT.1.12	យេកូនាស​បង្កើត​សាលធាល
