GEN.1.2	Erd vikîvala û bêşikil bû, tariyê kûrahî rapêçabû. Ruhê Xwedê li ser rûyê avê digeriya.
GEN.1.4	Xwedê dît ku ronahî qenc e û wî ronahî ji tariyê veqetand. 
GEN.1.5	Xwedê navê ronahiyê «Roj» û yê tariyê «Şev» danî. Bû êvar û bû sibe, ev roja pêşî bû.
GEN.1.7	Îcar Xwedê qûbeyek çêkir û ava li bin qûbeyê, ji ava li ser veqetand. Wisa jî çêbû. 
GEN.1.8	Xwedê navê qûbeyê «Ezman» danî. Bû êvar û bû sibe, ev roja diduyan bû.
GEN.1.9	Xwedê got: «Bila ava di bin ezman de li derekê bicive û bejahî bê dîtin.» Wisa jî çêbû. 
GEN.1.10	Xwedê navê bejahiyê «Erd» û navê ava civiyayî «Derya» danî. Xwedê dît ku ev qenc e.
GEN.1.11	Piştre Xwedê got: «Bila li erdê giya û şînahiyên xweyî ber û dar çêbin û li gorî cureyên xwe ber û fêkî bidin.» Wisa jî çêbû. 
GEN.1.12	Erdê, giya û şînahiyên ku li gorî cureyên xwe ber didin û darên wiha gihandin ku berê wan di fêkiyê wan de ne. Xwedê dît ku ev qenc e. 
GEN.1.13	Bû êvar û bû sibe, ev roja sisiyan bû.
GEN.1.14	Xwedê got: «Bila di qûbeya ezman de ronahî çêbin, da ku roj û şevê ji hev veqetînin û ji roj, demsal û salan re bibin nîşan. 
GEN.1.15	Bila ev di qûbeya ezman de bibin ronahî, da ku ronahiyê bidin erdê.» Wisa jî çêbû. 
GEN.1.16	Xwedê du ronahiyên mezin çêkirin: Ya mezin ji bo ku serweriyê li rojê bike, ya biçûk jî ji bo ku serweriyê li şevê bike. Wî stêr jî çêkirin. 
GEN.1.17	Xwedê ew di qûbeya ezman de bi cih kirin, da ku ew ronahiyê bidin erdê, 
GEN.1.18	serweriyê li şev û rojê bikin û ronahî û tariyê ji hev veqetînin. Xwedê dît ku ev qenc e. 
GEN.1.19	Bû êvar û bû sibe, ev roja çaran bû.
GEN.1.20	Xwedê got: «Bila av kerî bi kerî bi afirîdên jîndar tije bibe û bila li ser erdê, li qûbeya ezman teyr bifirin.» 
GEN.1.21	Xwedê hûtên deryayê yên mezin, hemû keriyên jîndar ên ku di avê de tev digerin û teyrên ku difirin li gorî cureyên wan afirandin. Xwedê dît ku ev qenc e. 
GEN.1.22	Xwedê ew pîroz kirin û got: «Zêde û berdar bin, ava deryayan dagirin. Bila teyr li erdê zêde bibin.» 
GEN.1.23	Bû êvar û bû sibe, ev roja pêncan bû.
GEN.1.24	Xwedê got: «Bila erd li gorî cureyên wan afirîdên jîndar, heywanên kedî, afirîdên ku bi erdê ve dişêlin
GEN.1.25	Xwedê li gorî cureyên wan heywanên kovî, kedî û cureyên wan afirîdên ku dişêlin çêkirin. Xwedê dît ku ev qenc e.
