MAT.1.2	Abraham Aisak nɨŋuva. Aisak Jekop nɨŋuva. Juda nɨŋusinava naŋga nɨŋuranava nɨŋuva Jekop. 
MAT.1.3	Peres naŋga Sera nɨŋuva Juda, nurɨŋandɨ nɨŋum Tamar. Peres Hesron nɨŋuva, Hesron Ram nɨŋuva. 
MAT.1.4	Ram Aminadap nɨŋuva, Aminadap Nason nɨŋuva, Nason Salmon nɨŋuva. 
MAT.1.5	Salmon Boas nɨŋuva, Boas nɨŋum Rahap. Boas Obet nɨŋuva, Obet nɨŋum Rut. Obet Jesi nɨŋuva. 
MAT.1.6	Jesi, aru miku Devit nɨŋuva. Devit Solomon nɨŋuva. Solomon nɨŋum Batseba, Batseba Uria kindahu. 
MAT.1.7	Solomon Rehoboam nɨŋuva, Rehoboam Abiya nɨŋuva, Abiya Asap nɨŋuva. 
MAT.1.8	Asap Jehosafat nɨŋuva, Jehosafat Jehoram nɨŋuva, Jehoram Usia nɨŋuva. 
MAT.1.9	Usia Jotam nɨŋuva, Jotam Ahas nɨŋuva, Ahas Hesekia nɨŋuva. 
MAT.1.10	Hesekia Manase nɨŋuva, Manase Emon nɨŋuva, Emon Josaia nɨŋuva. 
MAT.1.11	Josaia Jehoiakim naŋga nɨŋuranava nɨŋuva. Kandɨhɨrɨvɨ hañɨ Babilon hati pata Israel saŋga kurɨhata, Israel hatiŋ mɨŋata uta Babilon tamahu sɨmbɨra tɨkatɨka mɨŋamu. 
MAT.1.12	Babilon kɨta sɨmbɨra tɨkatɨka mɨŋamu hɨrɨvɨyɨ Jehoiakim Sealtielɨŋ kavumi. Sealtiel Serubabel nɨŋuva. 
MAT.1.13	Serubabel Abiut nɨŋuva, Abiut Eliakim nɨŋuva, Eliakim Asor nɨŋuva. 
MAT.1.14	Asor Sadok nɨŋuva, Sadok Akim nɨŋuva, Akim Eliut nɨŋuva. 
MAT.1.15	Eliut Eleasar nɨŋuva, Eleasar Matan nɨŋuva, Matan Jekop nɨŋuva. 
MAT.1.16	Jekop, Josep nɨŋuva, Maria nɨmuŋa. Maria Jisasɨŋ kavuhi, Jisasɨrɨm Krais vandu.
MAT.1.17	Jisasɨndu krunzapayɨndu kimaŋgima hama Abraham. Abrahamɨyɨ kɨta 14 krunzapa sɨwɨtɨmbɨyɨtɨmbɨyɨ ñɨŋi kavumu patavata Devitɨyɨ. Devitɨyɨ kɨta 14 krunzapa sɨwɨtɨmbɨyɨtɨmbɨyɨ ñɨŋi kavumu patavata Jehoiakim kuhɨrata tɨhi, mɨŋata Babilon umu. Babilon uta sɨmbɨra tɨkatɨka mɨŋamu takuk hañɨ kɨta 14 krunzapa sɨwɨtɨmbɨyɨtɨmbɨyɨ ñɨŋi kavumu patavata Krais kuhɨrami.
MAT.1.19	Nɨmuŋa Josep, nu tɨtɨtaya kɨyɨhɨyɨ mɨŋga. Maria naŋga kɨhɨrɨ upɨ maŋgarɨhandu. Harɨm Maria kɨpɨ naŋgandɨhi ŋgata, krunavundindu tamɨŋgaŋgɨmbañɨ pɨŋguvarɨtɨnda Maria sɨwɨmanzɨwɨmandɨtima vata, aviñam hañɨ kɨta nuŋ mitɨrɨm indarɨmitami. 
MAT.1.20	Kamatɨrɨman vata indarɨmitata kɨyɨmiyɨ, kɨvɨyɨ karɨhata akwɨsɨhuyɨ Aru nɨmandu kutɨkara hamaŋ ŋgahi nuŋ nɨmavami, Josep, Devit nɨŋuñɨŋgi ŋgana, ñɨŋi mavɨ humbambu kɨyɨ haŋandɨhin Gotɨndu Mavɨñɨŋi mavɨndaŋguramahi kɨpɨ naŋgandɨsɨmi. Harɨm Mariaŋ uraurarɨm pɨŋimandu. 
MAT.1.21	Nu kru ñɨŋi kavɨrɨmandɨ. Nu tɨhi nuŋandɨ krunavundi ñamba vanavana andɨndu haŋɨnɨŋ sɨhiŋgata nurɨŋ ŋguramata aŋga mɨŋɨmandɨ. Harɨm nuŋ ñɨmbi ŋguta Jisas vamba amba, vami.
MAT.1.24	Kamavahi Josep karɨhata yahamɨrata Aru nɨmandu kutɨkara ambami maña Mariaŋ urami. 
MAT.1.25	Hara Maria naŋga kɨhɨrɨ upɨ maŋgarɨhɨmat kɨyɨhi ututa Maria kru ñɨŋi ha kavuhi Josep ñɨmbi ŋguta Jisas, vami.
MAT.2.3	Kamavahu aru miku Herot kuyu kandɨha indarɨhira nuŋandɨ mavɨ hambu avi mandɨmi. Jerusalemɨndu krunavundi ndahara sɨhanaŋga nurɨŋandɨ mavɨ hambu avi mandɨmi. 
MAT.2.4	Kamata Herot yahata Gotɨŋ kɨrañɨŋguhundu aru miku haŋɨnɨŋ naŋga Israelɨndu tɨkatɨka kuyundu mirɨmba naŋga haŋɨnɨŋ ambahi pata tɨhɨruhu nurɨŋ nɨmavamba kitɨhumi, Got krunavundiŋ aŋga mɨŋɨmandɨ vata yɨhɨramami kru kandɨhama pɨhu pañɨ nzɨkwɨ yɨvurahɨmandɨ, vami. 
MAT.2.5	Kamavahi nɨmavamu, Pɨhu Betlehem, pɨrɨvɨsa Judia nduyɨ yɨvurahɨmandɨ. Kru Gotɨndu kuyu mɨŋata ambavaravara mɨŋga kuyu nɨmata yɨhimbɨvɨrami. 
MAT.2.6	Pɨhu Betlehem, krunzapa Judandu pɨrɨvɨsayɨ kɨndana. Krunzapa Judandu pɨrɨvɨsayɨ pɨhu aruru muvɨra haŋɨnɨŋ ñɨmbi naŋga. Nandahara ñɨmbi naŋga. Nandɨ kru mumɨŋga aru miku mɨŋga yɨvurahata Gotɨndu krunavundi Israel hatiŋ karatamɨrɨmandɨ vamba yɨhimbɨvɨrami, vamu.
MAT.2.7	Kamavahu Herot kuyu kandɨha indarɨta kru mumɨŋgaŋ aviñam ambahi, uta kru indarɨmit avi ina yahayahavundu haŋɨnɨŋ ambahi payɨmu. Payɨhu nurɨŋ nɨmavamba kitɨhumi, Pamata hɨrɨvɨyɨ kinɨkɨ kandɨha yɨvurahahi ŋgamara, vami. 
