LUK.1.1+LUK.1.2	Awe Teyofil eñaap ya,
LUK.1.1+LUK.1.2	keemeeŋe kacukaacuk niŋ ñíkinii eeha Pútuun pa mpíhine ha púlooŋ ti píyaañ eteeho toonii. Nkáyenoonii pikamana 
LUK.1.3	Kápiliŋ ti píyaañ waah ewwe fo ti pikelan, inci úwwincinoole heetaakiye púlooŋ. Ekina ewune, insok nii napaanap pikiici, awe Teyofil, pakiical peetempiye mpucoonool 
LUK.1.4	aakati méyi nii eeha nkakalaŋanuu ha, hilim hiti pánipani.
LUK.1.5	Ti caanak ca citi amansa ya aŋa nkasok ya 
LUK.1.6	Poko t’ésupakii 
LUK.1.7	Pale kataakut añii kamma Elisabet naayem caakonta, apan poko púlooŋ pamaamanal.
LUK.1.8	Hikee hinoom Sakaliya naayeno kaawaaseen la ti 
LUK.1.9	Ti cosaan ya eti puwaaseena pa nkañakoo kaakaaw ti kamamal apiyeno aŋa afaanako ya ti ekumpaan ya enfakat ya eti Pútuun pa, la sampanee la, kati áluntan caminkoloŋ ya.
LUK.1.10	Waati ya eti káaluntan ka néetuuno, pakan paka púlooŋ nkayeno kaluum tíkitaaŋ.
LUK.1.12	Sakaliya naacuk yo naasuco naafe. 
LUK.1.13	Maleekoo ya neesokoo: “Tumpufe Sakaliya, kaluum ka kitii kisayaneesayan, aali Elisabet afaataak añii aafawasoo caacaw ence: 
LUK.1.14	Afaayeno t’awe pásuuma penfakat, hícump pakan lompo efikataak pásuuma ti hipuku ha hiteyoo. 
LUK.1.15	Afáayenoonii an eemaka ti Ateeteyo, añaŋut pálaani elaan niŋ pikee palaanal empa mpúkuman. Le niŋ afaapukee, afaameeŋ niŋ 
LUK.1.16	Afáañahanii pakan keemeeŋe pakati 
LUK.1.17	Afáanowii hátikin Ateeteyo ti kunuu niŋ ti sempe samat nii 
LUK.1.18	Sakaliya naacakan maleekoo ya: “Puume inci fáyini kameye eehuu? Inci oopa maamane aalam lompo sitiiloo séelaaŋane.” 
LUK.1.19	Maleekoo ya neesokoo: “Inci yem Gabriyel. Inci ninsiiŋo hátikin Pútuun pa, inci mpúpoñii píkey soki ekooŋan ya éesuume eyye. 
LUK.1.20	Síitan, ti káyinanaati kilimam, putumi efipucok, áatiyini káakup fo ta eehe efihitaako. Pánipani kilim ka kutoom efikitaako incolaa toko.”
LUK.1.21	Pakan paka nkayeno hítuulu ínnimii heewune Sakaliya náafiyoonii páhantuwa ekumpaan ya enfakat ya eti Pútuun pa. 
LUK.1.22	Emma náafulii ma ayinaat káakup neyii nkámeyi nii aŋe ácukuyoocuk waah páhantuwa ti ekumpaan ya enfakat ya eti Pútuun pa. Naayeno nkáakupaati fo káakup niŋ sipees. 
LUK.1.23	Lóokuŋ ya eti kaawaaseen ka kiteyoo ta nkipaye ta, naañoho t’enuuf.
LUK.1.24	Fiyiit aaloo Elisabet naasa munow naayolo nemmo páhantuwa fo kiim isak. 
LUK.1.25	Naasok: “Fiye Ateeteyo náahinaam eehe, áfulanaam ti ñusuu ti pakan paka.”
LUK.1.26	Elisabet ti hiimoo hísakiyenu niŋ hoonool hiti munow, Pútuun pa mpúpoñii 
LUK.1.27	Pupupoñoo ti ámaacul a aŋa nkasok ya 
LUK.1.28	Maleekoo ya neenako la teyoo neesokoo: “Kásuumaay kiyeno n’awe, awe aŋa ataake ya pálafi pa piti 
LUK.1.29	Mpásiyaloo kilim enkuu Mari naaliim naayeno ecakanoolo pakicanal puume mpaaw. 
LUK.1.30	Maleekoo ya neesokoo: “Tumpufe Mari, áasuumaasuum Pútuun pa. 
