MAT.1.1	Iesu Keriso vouḡa nizeꞌe ꞌahi eꞌe. Aniꞌe kini Davida mariga ebu zuni Aberahamo mariga.
MAT.1.2	Aberahamoꞌe Isako moga,
MAT.1.2	Isakoꞌe Iakobo moga, Iakoboꞌe Iuda zu ane negoḡa duḡuru moze.
MAT.1.3	Iudaꞌe Feresi zu Zera moze ebu Tamaraꞌe zeḡe vize. Feresiꞌe Esiromo moga, Esiromoꞌe Ramo moga.
MAT.1.4	Ramoꞌe Aminadabo moga, Aminadaboꞌe Nasona moga, Nasonaꞌe Salemona moga.
MAT.1.5	Salemonaꞌe Boaza moga ebu Rahaboꞌe Boaza viꞌa. Boazaꞌe Obedi moga ebu Rutaꞌe Obedi viꞌa. Obediꞌe Iese moga.
MAT.1.6	Ieseꞌe kini Davida moga.
MAT.1.6	Davidaꞌe Solomona moga ebu Basebaꞌe Solomona viꞌa. Basebaꞌe ibite Urea inuga.
MAT.1.7	Solomonaꞌe Rehoboamo moga, Rehoboamoꞌe Abia moga, Abiaꞌe Asa moga.
MAT.1.8	Asaꞌe Iehosafate moga, Iehosafateꞌe Ioramo moga, Ioramoꞌe Uzia moga.
MAT.1.9	Uziaꞌe Iotamo moga, Iotamoꞌe Ahaza moga, Ahazaꞌe Hezekia moga.
MAT.1.10	Hezekiaꞌe Manase moga, Manaseꞌe Amono moga, Amonoꞌe Iosia moga.
MAT.1.11	Iosiaꞌe Iekonia
MAT.1.11	Eꞌe madaḡano Babilonia azaḡaniꞌa Isaraela azaḡa teite utitaduni, Isaraela azaḡa Babilonia habaꞌa tutuze onamiro.
MAT.1.12	Babilonia habaꞌa tutuze onamiroteꞌe ḡarugano,
MAT.1.12	Iekoniaꞌe Sealatiela moga, Salatielaꞌe Zerubabela moga.
MAT.1.13	Zerubabelaꞌe Abiuda moga, Abiudaꞌe Eliakima moga, Eliakimaꞌe Azora moga.
MAT.1.14	Azoraꞌe Zadoka moga, Zadokaꞌe Akima moga, Akimaꞌe Eluida moga.
MAT.1.15	Eliudaꞌe Eleazara moga, Eleazaraꞌe Matana moga, Matanaꞌe Iakobo moga.
MAT.1.16	Iakoboꞌe Iosefa moga ebu Iosefa inugaꞌe Maria.
MAT.1.16	Mariaꞌa Keriso rae huniroteꞌe vazeḡa, Iesu fureniro.
MAT.1.17	Eꞌanoꞌo Aberahamoꞌonoꞌo onao Davida madaḡano, zeḡe ega niduꞌaꞌe 14, Davidaꞌonoꞌo onao Isaraela azaḡa Babilonia habaꞌa tutuze onamiroteꞌe madaḡano zeḡe ega niduꞌaꞌe 14 ebu Babilonia habaꞌa tutuze onamiroteꞌe madaḡanonoꞌo onao Keriso madaḡano zeḡe ega niduꞌaꞌe 14.
MAT.1.18	Iesu Kerisoꞌe ꞌahige fureraro. Ani viꞌa Mariaꞌe Iosefa iraꞌauḡa. Anianine izema hahurogano, Vine Zaḡoḡaonoꞌo Mariaꞌe ahiꞌeta reiro. 
MAT.1.19	Maria iꞌa, Iosefaꞌe haḡai duduḡa vazeḡa, eꞌanoꞌo hunihunio Maria mene mazagaronihi radu ani sifu tuḡune modiꞌuma rae zamariro.
MAT.1.20	Ani ꞌouge rae zamarirotene, Zuhiꞌa Boro tuḡure viga ꞌahoganiꞌa iḡunao fureraro. Ebu raenaꞌa, “Iosefa, Davida mariga! Maria teite hahuroga ago rihanoꞌi. Mazaḡa Mariaꞌe Vine Zaḡoḡaonoꞌo ene teha. 
MAT.1.21	Aniꞌe ubuga ꞌahoga furenoꞌidene, ani niḡaꞌe Iesu rae turahoꞌi. Mazaḡa aniꞌe ane vaze sauꞌazenonoꞌo ḡaboziꞌuma. 
MAT.1.22	Aꞌe ibite peroveta vazeḡaniꞌa Zuhiꞌa Boro ḡoere reiroteꞌeꞌa hudaro, raenaꞌa,
MAT.1.23	'Ḡianoꞌi! Ohoze teite ize mene hidiroteꞌe nogobaḡa ꞌahoganiꞌa ahiꞌeta reꞌuma,
MAT.1.23	ebu ubuga ꞌahoga fureniꞌuma.
MAT.1.23	Vazeꞌa ubugaꞌe Emanuela rae huniꞌuma.
MAT.1.23	Eꞌe huganiꞌe, “Badiꞌaꞌe emeḡe teite” raꞌohe.'”
MAT.1.24	Iosefaꞌa bazunanoꞌo evatirotene, Zuhiꞌa Boro tuḡure vigaꞌa ḡoere niroteꞌe idunaḡano haḡaadu inuga Maria zamaharo. 
MAT.1.25	Rehano Iosefaꞌa Maria teite tibano mene bazido, onamo ubuga fureniro. Ebu ubuga niḡaꞌe Iesu rae turahiro.
MAT.2.1	Herodaꞌe Iudea habaꞌa kiniḡa madaḡano Iesuꞌe Iudea habaꞌano ne ꞌahoga Betelehemao fureraro. Eꞌe madaḡano, edeḡa azaḡa nuꞌa madaꞌa iteꞌeteꞌe moneonoꞌo Ierusalema feuri onairo. Zeꞌe buzuva moneo edeḡa boro azaḡa. Ebu ze vaze ḡadiziro, raenaꞌa, 
MAT.2.2	“Iuda azaḡa kini raꞌeteꞌe vazeḡaꞌe mouma fureraneha? Mazaḡa eme madaꞌa iteꞌeteꞌe moneḡa habaꞌano buzuva ꞌahoga horoniro.
MAT.2.3	kini Herodaꞌa ḡoere eꞌe igirotene, zamaḡaniꞌa adudaro. Ebu Ierusalema azaḡa niduꞌa zuni zamazeꞌa adudaro. 
MAT.2.4	Eꞌanoꞌo Herodaꞌa dibuꞌo azaḡa ḡihiꞌaḡa niduꞌa zu Mose goro ḡoeꞌa ihozeꞌeteꞌe azaḡa niduꞌa nuꞌozadu ḡadiziro, raenaꞌa, “Keriso aniꞌe noumao fureraꞌuma?” 
MAT.2.5	Zeḡeꞌa naenaeninaꞌa, “Aniꞌe Iudea habaꞌano Betelehema neḡano fureraꞌuma. Mazaḡa peroveta vazeḡaꞌe ꞌahige mirihiro, raenaꞌa,
MAT.2.6	'O Iudea habaꞌano Betelehema neḡa,
MAT.2.6	ḡaꞌe Iudea neḡa boroboro zamaḡano mene zuhuꞌa.
MAT.2.6	Mazaḡa ḡaeꞌonoꞌo ibitoziniꞌeteꞌe vazeḡa ꞌahoganiꞌa onaiꞌuma.
MAT.2.6	Aniꞌe, mamoe taufeꞌeteꞌe teige, Isaraela azaḡa, Badiꞌa vaze ibitoziniꞌuma zu taufiꞌuma.'”
MAT.2.7	Ebu Herodaꞌa edeḡa azaḡa sifu huzadu noꞌe madaḡa huneo buzuvaꞌa fureraroteꞌe ederiro. 
MAT.2.8	Ebu edeḡa azaḡa Betelehema neḡano tuḡuzeꞌenaꞌa, ziro, raenaꞌa, “Onamadu tahiꞌa komeꞌa eꞌe faine vaḡoꞌi. Horonoꞌidene, eḡe zuni onamadu ani mazao kurafine, ihohoꞌi.”
MAT.2.9+MAT.2.10	Ze Heroda ḡoere igi hauḡirotene, ibio onamiro. Ze ibio onameꞌenogano, ibite madaꞌa iteꞌeteꞌe moneḡa habaꞌano horonirotaꞌaꞌe
MAT.2.11	Zeḡeꞌa ne zamaḡa diuḡiro ebu tahiꞌa komeꞌaꞌe viꞌa Maria teite radiuꞌeteꞌe horoniro. Edeḡa azaḡaniꞌa ḡuḡuradu Iesu matuꞌo haro. Ebu ꞌumaze ḡau manomanoḡeta fuhiꞌadu ḡahuno nu ani haro. Aꞌe golo, ꞌuvahu hohoḡa manoḡa ebu murava hohoḡa manoḡa.
MAT.2.12	Ebu Badiꞌaꞌa iḡunao edeḡa azaḡa ihoziro, raenaꞌa, “Heroda vaḡe ago bare onamoꞌi.” Eꞌanoꞌo zeꞌe ibi ꞌahoganonoꞌo zeḡe haba bare onamiro.
MAT.2.13	Edeḡa azaḡaniꞌa iḡuniroteꞌe enogano Zuhiꞌa Boro tuḡure viganiꞌa iḡunao Iosefa zamao fureraro, raenaꞌa, “Iḡunoꞌi. Ene komeꞌa viꞌeta zamazadu Izipi habaꞌa ferau onamoꞌi. Ebu eꞌea radoꞌi, onamo eḡeꞌa iḡunoꞌi rae ziꞌuma. Mazaḡa kini Herodaꞌa ane uti azaḡa tuḡuzadu ene komeꞌa manoga veize vaḡiꞌuma.” 
MAT.2.14	Eꞌanoꞌo Iosefa ani ene komeꞌa viꞌeta zamazadu ohere zamaḡano Izipi habaꞌa onamiro. 
