GEN.1.1	Ndre mamunen Petngendrei ihnan lok eleng pe lokpoi, pe sane ndre sulo-on. 
GEN.1.2	Odoke lokpoi ti indrehpa ndre mahkele ti pwi. Sane hendre-en ndruhu’ sa pwi, handrai ile ke lon handrai. Lok indrilik, wo isorohe lokpoi ndresih, pe Puko-on tam Petngendrei inemehleu ise pule-en.
GEN.1.3	Eri pe Petngendrei ipe ihpa, “Moleu kihir,” pe moleu ihir. 
GEN.1.4	Iy indre-et ile eriy pe ihposan ipe huyen, pe Iy ide kapetne-et odo moleu pe lik. 
GEN.1.5	Iy iyuwen moleu ile “meseren,” pe lik ile “lukumwen.” Lukumwen inum pe meseren ihir. Rang eti sei (1).
GEN.1.6	Inum pe Petngendrei ipe ihpa, “Kapetne-et odo wo kah kihir.” 
GEN.1.7	Ile pe Petngendrei ihnan yor iyin ndrokoron pe itlangan wo se ile eleng pe wo se ile pahndran. Pe ihir ihpa ndre eriy. 
GEN.1.8	Pe iy iyuwen eleng ile “parar.” Lukumwen inum pe meseren ihir. Iy eti rang ruu (2).
GEN.1.9	Inum pe Petngendrei ipe ihpa, “Wo iyin pahndran eri kihtok kile ke sehir, pe lok puko-on kihir pe kipkos.” Pe ihir ihpa ndre eriy. 
GEN.1.10	Petngendrei iyuwen lok ndre pusukon eri “poi,” pe wo ndre ihtok ile ke sehir, eri Iy iyuwen ile “ndras.” Iy indre-et ile eriy pe ihposan ipe huyen.
GEN.1.11	Inum pe Petngendrei ipe ihpa, “Kei pe sane handrai pe handrai ndre henerenge ti kah hehir odo poi pe hotou mbrwe’ su.” Pe ihir ihpa ndre eriy. 
GEN.1.12	Ile pe sane kei pe mundriu handrai pe handrai hehir odo poi pe hehwei. Iy indre-et ile eriy pe ihposan ipe huyen. 
GEN.1.13	Lukumwen inum pe meseren ihir. Iy eti rang tul (3).
GEN.1.14	Inum pe Petngendrei ipe ihpa, “Sane ndre rama’ su eri kah hehir odo parar, kile pe hampaninyan meseren pe lukumwen. Pe hampaninyan rang, pe rangen handrai pe handrai kinto lon krismas ndre sulo-on. 
GEN.1.15	Pe su we hannai hosso parar pe heneraman lok poi.” Pe ihir ihpa ndre eriy. 
GEN.1.16	Petngendrei ihnan mundroi ti mandra-an, madan iso meseren, pe ndrou ti lehyen, madan iso lukumwen. Iy ihnan su pudiy yi. 
GEN.1.17	Iy iduwe horu horso parar, kile pe hereneraman lokpoi, 
GEN.1.18	pe mada’ horu kisso meseren pe lukumwen, pe we herempaniyan meseren pe lukumwen. Iy indre-et ile eriy pe ihposan ipe huyen. 
GEN.1.19	Lukumwen inum pe meseren ihir. Iy eti rang hai (4).
GEN.1.20	Inum pe Petngendrei ipe ihpa, “Sane mente-en lon ndras ndre sulo-on hohu ngoho’ su, eri hehir pe hohor hala sulo-on. Pe nenka-an hono-oh eri hehir pe hohor yi.” 
GEN.1.21	Ile pe Petngendrei ihnan ni mandra-ane pe mone pe sane se yi honto lon ndras. Pe ihnan nenka-an handrai pe handrai yi. Iy indre-et ile eriy pe ihposan ipe huyen. 
GEN.1.22	Pe Petngendrei ipatihi su pe ipe ihpa, “Oduu sane mente-en lon ndras oduhor kile lon ndras ndre mandra-an. Pe oduu nenka-an eri oduhor yi.” 
GEN.1.23	Lukumwen inum pe meseren ihir. Iy eti rang lim (5).
GEN.1.24	Inum pe Petngendrei ipe ihpa, “Ka-an handrai pe handrai ndre henehti ngoho’ su eri hehir odo pule-en poi. Su odo hangahang pe su puyep, mandra-ane pe mone.” Pe ihir ihpa ndre eriy. 
GEN.1.25	Ile pe Petngendrei ihnan su ndre sulo-on. Iy indre-et ile eriy pe ihposan ipe huyen.
GEN.1.26	Pe Petngendrei ipe ihpa, “Mahkele eri tidu ka we tidahnan ndramat hahpa ndre tidu. Kile pe su we mada’ su kise pule-en ni, nenka-an pe ka-an odo hangahang pe puyep, mandra-ane pe mone.”
GEN.1.27	Ile pe Petngendrei ihnan ndramat ihpa ke ndre Iy.
GEN.1.27	Iy ihnan ndramat kamal pe pedih.
GEN.1.28	Iy ipatihi horu pe ipe ihpah, “Orpo nedu’ oruu hala sulo-on, pe hasarpat hala lokpoi ndre mandra-an, pe mada’ su kise eriy. Yu uduwe oruu mada’ oruu kise pule-e’ su ni, su ka-an pe su nenka-an.”
GEN.1.29	Petngendrei ipe ihpah, “Sane mbrwen kei handrai pe handrai ndre Yu undretawei eri ana’ oruu odo yo-on. 
GEN.1.30	Odoke su ka-an pe nenka-an eri ana’ su song ti mundriu pe ndrokei orwon.”
GEN.1.31	Petngendrei indre-et ile sane ndre sulo-on ndre Iy indrahnan indrinum ti pe, Iy ipe huyen pe ihposan lakopwi. Lukumwen inum pe meseren ihir. Iy eti rang on (6).
GEN.2.1	Petngendrei ke indrahnan sane ndre sulo-on odo lokpoi pe lok eleng indrinum, takokopwe ile eriy.
GEN.2.2	Pe idu rang ndrodul eri Petngendrei indre-et ile pule-en sane ndre sulo-on ndre Iy indrahnan hondrunum ti pe Iy imyau. 
GEN.2.3	Petngendrei ipatihi rang ndrodul pe itnembruwen, odosa marai ndre sulo-on ti Iy indritakokopwe indrinum, pe Iy imyau idu eriy.
GEN.2.4	Sane odo lokpoi pe lok eleng eri hehir ihpa ndre kurtih.
GEN.2.4	Kalmene-en Lapan Petngendrei ihnan lokpoi pe lok eleng, 
GEN.2.5	eri Iy ihndrahnan lengin indrundrut mapwi, pe homou ndramat odo po maryan ndruhun tehe sane mapwi. Ile pe sane kei pe sane mundriu hendrerenge mapwi. 
GEN.2.6	Lengin isendrut mapwi, odoke wo inu-us lon poi isa ndritan pe isonolwi poi. 
GEN.2.7	Inum pe Lapan Petngendrei ikuni poi se, pe iyepisi ndramat kamal ile eriy. Pe Lapan Petngendrei iruhi ngohon ile lon ndrongon ndramat. Ndramat ti ihu ngohon pe ile moren.
GEN.2.8	Inum pe Lapan Petngendrei iduhon poi hombrul ise Iden, pe iduwe ndramat ndre Iy iyepisii eri imin eriy. Iden ti ile wuron rai ea. 
GEN.2.9	Iy iduwe kei handrai pe handrai rahye’ su, pe mbrwe’ su ti huyen odo yo-on, eri hehir odo pule-en poi Iden. Idu ndrokoron lok eriy, eri kei ndre ru-iy. Kei he-ei odo hasamat pwi,
GEN.2.10	Wo handrang ihtot iyin Iden pe inahnan sane henerenge ile huyen. Iy ihtot ile ndre kan ti pe iltalngan iy ile wo mandra-ane ndre haandrang. 
GEN.2.11	Wo handrang eri rangan Pison, ihtot iyin lo lok Havilah. 
GEN.2.12	Gol huyen, pe kei handrai menuhun huyen, ndrodan ndre pat handrai huyen he-en lok eti. 
GEN.2.13	Iy handrang eri Gihon, ihtot iyin lon lok Kus. 
