MAT.1.1	Uriro uvas ma garip ma eap am Iesu Karisito. Iesu irie a gar ang Devit ga Abraham.
MAT.1.2	Abraham irie mamo ang Aisak. Pa Aisak irie mamo ang Iakobo. Iakobo irie mamo ang Iuda, irie ga papap am.
MAT.1.3	Iuda irie mamo ang Peres ga Sera. Naga liong o Tamar, magabun onim Kenan. Pa Peres irie mamo ang Esarom. Pa Esarom irie mamo ang Ram.
MAT.1.4	Pa Ram irie mamo ang Aminadab. Pa Aminadab irie mamo ang Nason. Nason irie mamo ang Salmon.
MAT.1.5	Pa Salmon irie mamo ang Boas. Naga ang o Rap, magabun onim Ieriko. Pa Boas irie mamo ang Obet. Naga ang o Rut, magabun onim Moab. Pa Obet irie mamo ang Iesi.
MAT.1.6	Pa Iesi irie mamo ang Orong Devit. Pa Devit irie mamo ang Solomon. Naga ang urie tinan la kuala ang Uria.
MAT.1.7	Pa Solomon irie mamo ang Reoboam. Reoboam irie mamo ang Abia. Pa Abia irie mamo ang Asa.
MAT.1.8	Pa Asa irie mamo ang Iosapat. Pa Iosapat irie mamo ang Ioram. Ioram irie mamo ang Usia.
MAT.1.9	Pa Usia irie mamo ang Iotam. Pa Iotam irie mamo ang Akas. Akas irie mamo ang Isekia.
MAT.1.10	Pa Isekia irie mamo ang Manase. Manase irie mamo ang Amon. Amon irie mamo ang Iosia. 
MAT.1.11	Pa Iosia irie mamo ang Iekonia ga papap am. Na irie tara Israel la mela maionama na luguan o arubu na kantri Balilon.
MAT.1.12	Mela maionama na luguan o arubu Balilon, tie Iekonia irie la betong mamo ang Salatiel. Salatiel irie mamo ang Serubabel. 
MAT.1.13	Serubabel irie mamo ang Abiut. Abiut irie mamo ang Eliakim. Pa Eliakim irie mamo ang Asor.
MAT.1.14	Asor irie mamo ang Sadok. Sadok irie mamo ang Akim. Pa Akim irie mamo ang Eliut.
MAT.1.15	Eliut irie mamo ang Eleasar. Eleasar irie mamo ang Matan. Matan irie mamo ang Iakobo.
MAT.1.16	Iakobo irie mamo ang Iosep, pa Iosep irie lai iang Maria. Ga avarangeieng Iesu la mime meiva inamaniap Karisito. Morowa la avuvuoong meba ina malagiang inamaniap am. 
MAT.1.17	Tie, mirier garip am Abraham ganam la mumaio puomeng ira orong Devit, mirie 14 ma garip ma eap. Pa mirier garip am Devit la mumaio puomeng na tara la maionama Iudaiap na luguan o arubu Babilon are 14 ma garip ma eap. Pa na tara la maionama na luguan o arubu Babilon ga muio puoieng na tara la avarangeieng Maria Karisito, irie gat la betong ga 14 ma garip ma eap.
MAT.1.18	Urie, gas a Iesu la betong gare ratmat: Naga ang, Maria la ovuomeng meba magieng ira Iosep. Pa tale kan iat lionama, pa ogimameng Maria la mugo a Muranama Ila Babai. 
MAT.1.19	Iosep lai, iang Maria la agatong gare ro, “Atabo magabun tung la duriieng ga noba migana ga mugo.” Irie migana ila muri ga ouluan maimai ang Moses. Are ratmat ga tale kan namo omotmuliaba Maria ga airang it teteiliat. 
MAT.1.20	Urie, Iosep la man agatong ka me iriro paga, pa tubiat na non kikiritniap non angelo ang Ila Kakani la betong ai. Ga ugama angelo, “Iosep, nunuo migana a gar ang Devit, baraba nurau le olaginang magabun nung Maria. Iruo kulot la ut na karima o, Muranama Ila Babai la uabua tapma una. 
MAT.1.21	Naptang, eba avarangeieng kulot ila migana ga eba nevang bonim a Iesu. Memani, eba oduratang kirinim maiong teip ga magaulap am ga eba ina malagiang.” 
MAT.1.22	Miriro pagap la betmeng meba ovuomeng non ties ula kakanu la uaramo na nanam a unuli Aisaia la tiesong gare ro,
MAT.1.23	“Miptang! Non magabun la tale kan durieng ga noba migana, tubiat eba mugo ba ga eba avarangeieng kulot ba ila migana. Ga teip ga magaulap leba meivang bonim a Emanuel.” 
MAT.1.23	Muana o uriro bonim la are ro, “Morowa la unama ga bubuo.”
MAT.1.24	Urie, Iosep la inim na duri ga teuara ga okosarong garet tie la aulo angelo ang ila kakani. Ga olagiong magabun ang Maria. 
MAT.1.25	Pa tale kan duriong ga urie, ga ila puoieng na tara la avarangeieng kulot ila migana. Tie, na tara la avarangeieng, ivo bonim a Iesu.
MAT.2.1	Urie, Maria la avarangeieng Iesu toma na pianam Betilem na provins Iudaia, na irie tara Herot la orongong. Tie, non teip o agat ula muru onim toma la ime bet muabari la mumaio Ierusalem ga mamarikmeng tapmat gare ro, 
MAT.2.2	“Kulot ila nei la betong meba orong ang me gar onim Israel, lagum la unama? Ogimapang marala ang toma na nap la ime bet muabari, ga mupo meba lotupang me ai.” 
MAT.2.3	Urie, orong Herot la upto uriro ties ga turupuaba kirat. Ga papot ma teip ga magaulap onim Ierusalem la mepto uriro ties ga mirie gat la turupmaiaba kirat. 
MAT.2.4	Are ratmat ga upamuam Herot mirier miridaip ganam mila uke ga teip mila omeit maimai ga mamarikong, “Iriro migana Karisito, naga ang eba avarangeieng na man pianam?” 
MAT.2.5	Mepulo ties gare ro, “Eba avarangeieng na pianam ula kapio Betilem na provins Iudaia. Are unuli Maika la omirong ties gare ro,
