MAT.1.1	Yomba i Yesus Krais
MAT.1.2	Abraham ye wam Aisak,
MAT.1.2	te Aisak ye wam Jekop,
MAT.1.2	te Jekop ye wam Juda ya
MAT.1.2	te angiglma tau bogl meglkwa.
MAT.1.3	te Juda ye wam suwo Peres ya Sera. Ye suwo i mano Tamar.
MAT.1.3	Peres ye wam Hesron,
MAT.1.3	te Hesron ye wam Ram,
MAT.1.4	te Ram ye wam Aminadap,
MAT.1.4	te Aminadap ye wam Nason,
MAT.1.4	te Nason ye wam Salmon,
MAT.1.5	te Salmon ye wam Boas, ye mam Rehap,
MAT.1.5	te Boas ye wam Obet, ye mam Rut,
MAT.1.5	te Obet ye wam Jesi,
MAT.1.6	te Jesi ye wam King Devit moglkwa,
MAT.1.6	te Devit ye wam Solomon ye mam okuna imbo Uriya embiye kra,
MAT.1.7	te Solomon ye wam Rehoboam,
MAT.1.7	te Rehoboam ye wam Abiya,
MAT.1.7	te Abiya ye wam Asa,
MAT.1.8	te Asa ye wam Jehosafat,
MAT.1.8	te Jehosafat ye wam Jehoram,
MAT.1.8	te Jehoram ye wam Usia,
MAT.1.9	te Usia ye wam Jotam,
MAT.1.9	te Jotam ye wam Ahas,
MAT.1.9	te Ahas ye wam Hesekia,
MAT.1.10	te Hesekia ye wam Manase,
MAT.1.10	te Manase ye wam Emon,
MAT.1.10	te Emon ye wam Josaia,
MAT.1.11	te Josaia ye wam Jehoiakin
MAT.1.11	ya te angiglma tau meglkwa.
MAT.1.11	Enge igle Israel yomba kane ende Babilon eingwa.
MAT.1.12	Ye kane ende pi Babilon eingo,
MAT.1.12	ana Jehoiakin ye wam Sialtiel,
MAT.1.12	te Sialtiel ye wam Serubabel,
MAT.1.13	te Serubabel ye wam Abiut,
MAT.1.13	te Abiut ye wam Eliakim,
MAT.1.13	te Eliakim ye wam Asor,
MAT.1.14	te Asor ye wam Sadok,
MAT.1.14	te Sadok ye wam Akim,
MAT.1.14	te Akim ye wam Eliut,
MAT.1.15	te Eliut ye wam Elieser,
MAT.1.15	te Elieser ye wam Matan,
MAT.1.15	te Matan ye wam Jekop,
MAT.1.16	te Jekop ye wam Josep.
MAT.1.16	Ana Josep ye Maria wiye moglkwa. Te Maria Yesus kugl yongwa, ye kangiye Krais we dingwa.
MAT.1.17	Yegl orko Abraham kowamo awamo mogl wingo ende wu Devit moglkwa engemo i epiglmo 14 orkwa. Te Devit kowamo awamo mogl ende wu kane Babilon eingwa i epigl 14 orkwa. Te ye mambuno bogl mogl ende wu kane Babilon pindre ende ikine wingo Krais enge igle plau dungwa, yomba i ama prapra epigl 14 orkwa.
MAT.1.18	Yesus Krais plaudi moglkwa kamo boglo i yegl. Mam Maria ye Josep inambe dipandiglkwa. Ba ye akiye ta pai wanmoglkiurko, ye kanigwa Maria gak dane moglkwa. I Holi Spirit gak dane moglkwa. 
MAT.1.19	Wiye Josep, ye yagl du-yene. Ye prukwa Maria gak dane moglme digo, ye kinde kondinagledi prukwa. Ba ye yegl erimbo Maria ye yomba ongumutno wagle angai gogl dinambedi prukwa. Yeglpre ye uglmange ere kondinagledi prukwa.
MAT.1.20	Josep taragl i poglodi pir moglko, uglkumbu mina Yaglkande angelomo suwarata plau dite yegl dungwa, “Josep, ene Devit yungumo ombuno ta motnga, ene Maria i-wanatnga i embin mereyegl i-wanatnga, ipre ene kundugl goglkro. Pro. Gak etne dane mina moglkwa i Holi Spirit gak moglkwa. 
MAT.1.21	Ye yagl gak ta kurambuka, ene kangiye Yesus we dinatnga.
MAT.1.22	Taragl prapra plau dungwa i Yaglkande kamo propet dumere mere paiyungwa. Propet ka yegl dungwa, 
MAT.1.23	“Piryo, ambai mor ta ye yagl bogl ta akiye wanmoglpai erekrambuka. Ye gak dane panan yagl gak ta kugl yenambuka. Ana ye kangiye Imanuel we dinaglkwa.”
MAT.1.24	Ana Josep ye ugl pamara andigltre, ye Yaglkande angelomo ditomere ere, Maria embiye mereyegl auro yend yungumugl ongwa. 
MAT.1.25	Ba ye akiye ta kungro paikre wanmogl embriko, ana Maria wam kugl yongwa. Ana Josep eremogl gak kangiye Yesus we dungwa.
MAT.2.1	Herot king moglkwa enge igle
MAT.2.2	“Juda yomba ene kingno, gak kuglambu i aglo moglme? No ande umara iro kugl-kurimo kandre, ana no dembiye karaugl ere tenamnedi pre umga.”
MAT.2.3	Yegl digo King Herot ka i pirtre kinde prukwa, te Jerusalem yomba ye bogl akiye meglkwa i prapra pirkwa. 
MAT.2.4	Ana Herot eremogl pris kande wagle ya te lo beke teingwa yomba dimakaisi krapogl prukwa, “Yomba ere-inambuka yagle ye morambe dingura i kamun aglo morambedi dune?” 
MAT.2.5	Ana ye yegl diteingwa, “Betlehem kamun Judia makan. Propet ka yegl muno boglko pangwa. 
