MAT.1.1	Neꞌeŋa a Yesu one a David yaaŋ, ka a Abraham yaaŋ la yaanam yela. 
MAT.1.2	Abraham duꞌa Isaak. Ka Isaak duꞌa Jakob. Ka Jakob duꞌa Juda, ne o bieya ne o pitib. 
MAT.1.3	Ka Juda duꞌa Perez ne Zera, ka ba ma yuꞌur a Tama. Ka Perez duꞌa Heziron. Ka Heziron duꞌa Ram. 
MAT.1.4	Ka Ram duꞌa Aminadab. Ka Aminadab duꞌa Nason. Ka Nason duꞌa Salmon. 
MAT.1.5	Ka Salmon duꞌa Boaz, ka Rahab aa o ma. Ka Boaz duꞌa Obed ka Ruf aa o ma. Ka Obed duꞌa Jese. 
MAT.1.6	Ka Jese duꞌa naꞌab David.
MAT.1.6	Ka David duꞌa Solomon. O ma da ane Uria poꞌa. 
MAT.1.7	Ka Solomon duꞌa Rehoboam. Ka Rehoboam duꞌa Abija. Ka Abija duꞌa Asa. 
MAT.1.8	Ka Asa duꞌa Jehosafat. Ka Jehosafat duꞌa Joram. Ka Joram duꞌa Uzia. 
MAT.1.9	Ka Uzia duꞌa Jotam. Ka Jotam duꞌa Ahaz. Ka Ahaz duꞌa Hezekia. 
MAT.1.10	Ka Hezekia duꞌa Manase. Ka Manase duꞌa Amos. Ka Amos duꞌa Josia. 
MAT.1.11	Ka Josia duꞌa Jekonia ne bisieba. Saŋkan la ka ba gbanꞌe Israel dim n more ba keŋ Babilon la.
MAT.1.12	Ka ban keŋ Babilon la, li nyaꞌaŋ, ka Jekonia duꞌa Sealtiel. Ka Sealtiel duꞌa Zerubabel. 
MAT.1.13	Ka Zerubabel duꞌa Abiud. Ka Abiud duꞌa Eliakim. Ka Eliakim duꞌa Azor. 
MAT.1.14	Ka Azor duꞌa Zadok. Ka Zadok duꞌa Akim. Ka Akim duꞌa Eliud. 
MAT.1.15	Ka Eliud duꞌa Eleazar. Ka Eleazar duꞌa Matan. Ka Matan duꞌa Jakob. 
MAT.1.16	Ka Jakob duꞌa Josef, Meeri sid, one da a Yesu on ka ba buon Kiristo la ma.
MAT.1.17	Neꞌeŋa paꞌal ye Abraham n ti paae David ane yaanam konꞌob konꞌob piinanaasi. Ka David n ti paae saŋkan ka ba more Israel dim keŋ Babilon la ane yaanam konꞌob konꞌob piinanaasi. Ka saŋkan ka ba more ba keŋ Babilon la n ti paae Kiristo la da ane yaanam konꞌob konꞌob piinanaasi.
MAT.1.18	Yesu Kiristo duꞌam daa ane nwa. O ma Meeri daa ane Josef poꞌaꞌeliŋ. Ka Josef daa nan pu baŋ o la, ba nye ka o mor ne poog lin a Winaꞌam Siig Suŋ la din. 
MAT.1.19	Ka o sid Josef ane dau kane a sida sob, ka pu bood ye o diis Meeri nyan nidibinee, ka gbanꞌe o potenꞌerin ye o suꞌa bas Meeri.
MAT.1.20	Ka on daa tenꞌesid yelbama o suunrin la, ka Zugsob malek kenn o saꞌan na zaansuŋin. Ka malek la yel o ye, “Josef, David yaaŋa, da ke ka dabiem kpenꞌ uf ne fun na diꞌe Meeri ka o niŋ fu poꞌa, bozugo biig kan poog ka o mor la, ane Winaꞌam Siig Suŋ la din. 
MAT.1.21	Ka o na duꞌa biribiŋ. Ka fu na pud o yuꞌur ye Yesu, bozugo o na faaenn o nidib ba tuumbeꞌedin.”
MAT.1.22	Yelbama wusa daa niŋ ne ye Zugsob la da ke ka o nodiꞌesidib la yel siꞌel la niŋ ameŋa ye, 
MAT.1.23	“Gosima, poꞌasadir kane ziꞌ dau la, na tuk poog n duꞌa biribiŋ, ka ba na pud o yuꞌur Emanuel, lin gbin ane ye, Winaꞌam be ne ti.”
MAT.1.24	Ka Josef nie gbeemin n niŋ wuu Zugsob malek la yel o siꞌem la, ka piꞌe o poꞌa kul. 
MAT.1.25	Amaa o daa pu baŋ oo, hale ka o ti duꞌa biribiŋ la. Ka o pud biig la yuꞌur Yesu.
MAT.2.1	Ba daa duꞌa Yesu Betilehem n be Juuda soꞌolim, naꞌab Herod saŋa la. Ka dap bane a baŋidib yi ya nyaꞌaŋ n kenn Jerusalem na 
MAT.2.2	n buꞌosid ye, “On ka ba duꞌa ye o niŋ Jew dim naꞌab la be yaani? Bozugo ti nye ne o nwadibil ya nyaꞌaŋ, lin zug ka ti kena ye ti puꞌus o.”
MAT.2.3	Naꞌab Herod n daa wum la, li pak on ne Jerusalem dim wusa. 
MAT.2.4	Ka o buol Winaꞌam maalmaan kpeenmnam ne gbauŋmiꞌidib n buꞌosi ba wusa ye, “Yaani ka ba na ti duꞌa Kiristo la?” 
MAT.2.5	Ka ba yel o ye, “Betilehem n be Juuda soꞌolim, bozugo Winaꞌam nodiꞌesidib la da sobne ala ye,
MAT.2.6	‘Yanam Betilehem dima,
MAT.2.6	Betilehem kane be Juuda soꞌolim la,
MAT.2.6	ye ya naꞌam kaꞌ bumbil Juuda naꞌanam sisooginee,
MAT.2.6	ye bozugo ya ni ka naꞌab na yi na
MAT.2.6	n gur on Winaꞌam nidib Israel dim.’ ”
MAT.2.7	Ka Herod suꞌa buol baŋidib la n buꞌosi ba saŋkan ka nwadibil la daa nie, 
MAT.2.8	ka yeli ba ye, “Kem Betilehem n ia suꞌuŋa, ka ya yaꞌa nye biig la, yanam leb na ka m baŋ, ka mam me na keŋ n puꞌus o.”
MAT.2.9	Ka ban wum naꞌab la yel la, ka ba keŋ. Ka nwadibil kan ka ba daa nye ya nyaꞌaŋ la, gaad ba tuon hale n paae ziꞌen biig la n be zinꞌisiꞌa la.
MAT.2.10	Ban daa nye nwadibil la, ka ba sunya maꞌae. Ka ba maal sumalisim bedego. 
MAT.2.11	Ka ban kpenꞌ yin la n nye biig la ne o ma Meeri, ba igin teŋin n puꞌus o, ka yidig ba bunsuma la n tis o piini line a salima ne frankinsense ne mir.
MAT.2.12	Ka Winaꞌam saꞌali ba zaansuŋ poogin ye ba da lem leb naꞌab Herod saꞌane. Alazug ka ba luak n leb kul ba meŋ teŋin.
MAT.2.13	Ka ban yi la, ka Zugsob malek nie o meŋ n paꞌal Josef zaansuŋin n yel o ye, “Duom n zaŋ biig la ne o ma n zo n keŋ Egipiti teŋin n zinꞌi anina n ti paae saŋkan ka m na yel uf siꞌel, bozugo naꞌab Herod na ti ied biig la ye o ku.”
MAT.2.14	Ka Josef due yuꞌuŋ n zaŋ biig la ne o ma n keŋ Egipiti teŋin 
MAT.2.15	n zinꞌin anina hale ka Herod ti kpi. Lin na ke ka Zugsob la da yel ne o nodiꞌes noor siꞌem la niŋ ameŋa ye, “M buol m biribiŋi yi Egipiti teŋin la na.”
MAT.2.16	Herod n daa baŋ ye baŋidib nwa zam o la, o sunf daa pelig hale. Ka o tum ye ba ku biribis bane be Betilehem ne teens bane kpiꞌe anina la, bane a yuma ayi bee bane pu paae ala wusa, wenne on buꞌos baŋidib n baŋ saŋa la.
MAT.2.17	Ka Winaꞌam nodiꞌes Jeremia da yel siꞌem la niŋ ameŋa ye,
MAT.2.18	“Ba wum soꞌ kukor Rama teŋin,
MAT.2.18	ka o kaasid ka fabin.
MAT.2.18	Li ane Rakel, n kaasid o biis la yela,
MAT.2.18	ka pu siakid belisigo
MAT.2.18	bozugo o biis kpi ne.”
MAT.2.19	Ka naꞌab Herod kuꞌum nyaꞌaŋ la, ka Zugsob malek daa nie o meŋ n paꞌal Josef zaansuŋin, Egipiti teŋin, n yel o ye, 
MAT.2.20	“Duom n zaŋ biig la ne o ma n leb Israel teŋin, bozugo bane da ied biig la ye ba ku o la, kpiya.”
MAT.2.21	Ka o due n zaŋ biig la ne o ma n kul Israel teŋin. 
MAT.2.22	Ka Josef n daa wum ye Arkelaus n di o baꞌ Herod naꞌam Juuda ni la, o daa zotne dabiem ye o keŋ anina. Ka Josef zaansim nye ka li saꞌal o. Ka o yi anina n keŋ Galilee soꞌolim 
MAT.2.23	ka keŋ zinꞌin Nazaret teŋin, wen wuu Winaꞌam nodiꞌesidib la da yel siꞌem la niŋ ameŋa, ye, “Ba na buol o ye o ane Nazaret teŋ nid.”
MAT.3.1	Saŋkan la ka Joon one suud nidib Winaꞌam kuꞌom la keŋ Juuda moogin n moon 
MAT.3.2	n yet ye, “Tiakimi ya sunya ka bas ya tuumbeꞌed; ka Winaꞌam naꞌam la liꞌelne.” 
MAT.3.3	Winaꞌam nodiꞌes on ka ba buon Azaya la da sob yel Joon yela la, ye,
MAT.3.3	“Soꞌ be moogin, n moon ne kukotitaꞌar ye,
MAT.3.3	‘Maalimi suer suꞌuŋa ka tiꞌebi gur Zugsob la.
MAT.3.3	Maalimi suer la suꞌuŋa o zug.’ ”
MAT.3.4	Joon da yene fukan ka ba maal ne yugum konbid, ka nok gbauŋ senbidiŋ n loo o sia. Ka o diib da ane naꞌazomnam ne siint. 
MAT.3.5	Ka nidib da yi Jerusalem ne Juuda soꞌolim wusa ne teens bane kpiꞌe Joodan moꞌar wusa n kenn o saꞌan na, 
MAT.3.6	ka peligi ba poos n tuꞌasi ba tuumbeꞌed. Ka o suu ba Winaꞌam kuꞌom moꞌarin la.
MAT.3.7	Ka on nye ka Farisee dim ne Sadusii dim bedego kenna ye o suu ba Winaꞌam kuꞌom la, o yeli ba ye, “Yanam bane wenne wiigi nwa, anoꞌone yeli ya ye ya zom Winaꞌam supeen yela line kenna la? 
MAT.3.8	Ala zug tumme tuum bane paꞌan ye ya tiakeya, 
MAT.3.9	ka da tenꞌesid ye, Abraham ane ya yaaba. Ka m yeti ya ye, Winaꞌam tunꞌe zaŋ kuga nwa n maal yaas tis Abraham. 
MAT.3.10	Nannanna lieŋ be tiis gbinin. Ka tikan wusa pu wel welsumaa, ba na nwaesi lob bugumin.
MAT.3.11	“Man suudi ya Winaꞌam kuꞌom, ka li paꞌal ya tiaker yela. Ka one doli mam nyaꞌaŋ la mor paŋ gati m. Ka m pu nar ye m zal o taꞌada. On na suu ya ne Winaꞌam Siig Suŋ ne bugum. 
MAT.3.12	O zanl wanzauk o nuꞌugin ka na yeleg ki line be zieŋin la, ka na vaae ki bielim la n su buorin, ka nyuꞌe udug la ne bugum line pu kpiisida.”
MAT.3.13	Ka Yesu yi Galilee n kenn Joodan moꞌarin na ye Joon suu o Winaꞌam kuꞌom. 
MAT.3.14	Ka Joon zanꞌas, ka yel ye, “Li suꞌum ka fun na suu man, fu lee kene man saꞌan naa?”
MAT.3.15	Ka Yesu lebisi yel o ye, “Kel ka ti siak niŋ ala nannanna, bozugo li suꞌum ye ti tum Winaꞌam bood siꞌem la wusa.” Ka o siak ala.
MAT.3.16	Ka one suu o naae la, Yesu du kuꞌom gbeug na, ka nye ka arazana yoꞌog. Ka o nye Winaꞌam Siig Suŋ sigid na wenne dawan ne n zoon o zugin. 
MAT.3.17	Ka kukor yi arazana ni na n yel ye, “Oŋa ane man binoŋir, one ke ka m sunf malis bedego.”
MAT.4.1	Ka Winaꞌam Siig Suŋ la daa zaŋ Yesu n keŋ moogin, ka Sutaana ti mak o. 
MAT.4.2	Ka o lo noor dabisa piisnaasi yuꞌuŋ ne nintaŋ wusa. Ka o koꞌom daa zabid. 
MAT.4.3	Ka Sutaana kenn o saꞌan na, ka yel o ye, “Fu yaꞌa ane Winaꞌam Biig, fun yelim kuga nwa ye ba kilim diib.”
MAT.4.4	Ka Yesu lebis ye, “Li sobne Winaꞌam gbauŋin ye, ‘Ninsaal ku tunꞌe voe ne diib yel maꞌane, asee pianꞌad kan wusa yit Winaꞌam noorin la paas.’ ”
MAT.4.5	Ka Sutaana mor Yesu n kpenꞌ teŋsuŋ (line a Jerusalem) la n du Winaꞌam puꞌusum yin la zug, 
