MAT.1.1	Man buk me kwari a Yecu Kricito, akwar Daudi, akwar Iburaim. 
MAT.1.2	Iburaim onywalo Icaka, Icaka onywalo Yakobo, Yakobo onywalo Juda kede omego mege; 
MAT.1.3	eka Juda kede Tamali te nywalo Perej kede Jera, Perej te nywalo Kejeron, Kejeron te nywalo Aram; 
MAT.1.4	Aram te nywalo Aminadab, Aminadab te nywalo Nacon, Nacon te nywalo Calamon; 
MAT.1.5	Calamon kede cege Rakab te nywalo Boaj, Boaj kede cege Luci te nywalo Obed, Obed te nywalo Yece; 
MAT.1.6	Yece te nywalo abaka Daudi.
MAT.1.6	Daudi i dako a Uria te nywalo Culeman; 
MAT.1.7	Culeman te nywalo Rekoboam, Rekoboam te nywalo Abija, Abija te nywalo Acap; 
MAT.1.8	Acap te nywalo Yekocafati, Yekocafati te nywalo Joram, Joram te nywalo Ujia; 
MAT.1.9	Ujia te nywalo Yocam, Yocam te nywalo Akaj, Akaj te nywalo Kejekia; 
MAT.1.10	Kejekia te nywalo Manace, Manace te nywalo Amoc, Amoc te nywalo Yocia; 
MAT.1.11	Yocia te nywalo Yekonia kede omego mege i kare ame oterogi i Babulon.
MAT.1.12	Dok icennere ame doŋ oterogi oko i Babulon, Yekonia dok te nywalo Calatiel, Calatiel daŋ te nywalo Jerubabel; 
MAT.1.13	Jerubabel te nywalo Abiuda, Abiuda te nywalo Eliakim, Eliakim te nywalo Ajor; 
MAT.1.14	Ajor te nywalo Jadok, Jadok te nywalo Akim, Akim te nywalo Eliuda; 
MAT.1.15	Eliuda te nywalo Eleajar, Eleajar te nywalo Matan, Matan te nywalo Yakobo; 
MAT.1.16	Yakobo te nywalo Yucepu cwar Maliam a rik onywalo Yecu ame olwoŋo ni Kricito.
MAT.1.17	Amannono kwari luŋ ame onywalo geye i kom Iburaim ituno kede i kom Daudi, romo kwari apar wie aŋwen, dok geye i kom Daudi ituno i kare ame oterogi i Babulon romo kwari apar wie aŋwen, dok geye i kare ame oterogi i Babulon ituno kede i kom Kricito romo kwari apar wie aŋwen.
MAT.1.19	Cware Yucepu nwaŋ en baŋ o a kite atir, mom omito kelo lewic i kom nyan-nu; oparo ni ewek aweka i muŋ. 
MAT.1.20	Ame onwoŋo pwod tye aparo koppono, amalaika a Rwot te nen baŋe i waŋ lek, a kun kobbe ni, “Yucepu akwar Daudi, kur ilwor tero Maliam me wot bedo cegi, pien yic ame en tye kede-nu mea Cuny Acil gire. 
MAT.1.21	En bino nywalo atin awobi, ibino cako nyiŋe Yecu, pien bino laro jo mere i kom bal megi.” 
MAT.1.22	Mano ducu otimere me wek kop a Rwot cobere kakare a yam okobo i dog odwarpiny ni, 
MAT.1.23	“Nen, nyako a mom ru tye kede apayi mere, bino yac, bino nywalo atin awobi; obino cako nyiŋe Emmanuel,” te koppere ni, Obaŋa tye kedwa. 
MAT.1.24	A doŋ Yucepu oco i waŋ nino, otimo i kite acalo amalaika a Rwot ocike kede; otero dako mere baŋe, 
MAT.1.25	naka mom te notte kede, ituno ka onywalo atin; te cako nyiŋe Yecu.
MAT.2.1	Ame doŋ onywalo Yecu i Beterekem i lobo Judaya i kare abaka Kerode, oryeko mogo te nen oko kun ya i tuŋ kide, obino i Jerucalem. Ote penyo ni, 
MAT.2.2	“En ame onywalo me bedo abaka Ojudaya kara tye ka kwene? Pien wan oneno acerrere tuŋ kide, obino me wore.” 
MAT.2.3	Ka abaka Kerode owinyo kop man, cunye opoto, anaka cuny jo me Jerucalem luŋ aluŋa; 
MAT.2.4	omio en te coko olamdog adoŋo kede opwony-cik me rokgi luŋ, te penyogi ni, “Kricito obino nywale kwene?” 
MAT.2.5	Gin te kobbe ni, “I Beterekem i lobo Judaya, pien adwarpiny yam ocoo oko ni,
MAT.2.6	yin mom itidi wok kadi acel i akina oloc a jo Juda;
MAT.2.6	pien aloc bino ya i yin,
MAT.2.6	en ame bino kwayo jo mera Icrael.’ ”
MAT.2.7	Kerode te cwano oryeko i muŋ, gin te niaŋe kare ikome ame acer onen iye. 
MAT.2.8	Eka te cwayogi i Beterekem kun kobbigi ni, “Wun wotu, peny wunu kop i kom atin i yore i yore; ka doŋ ityeko wunu nwoŋo, dwoggo wunu koppere baŋa, me an daŋ awot, awore.” 
MAT.2.9	A doŋ gin owinyo kop abaka, gin owoto ote neno acer a yam koŋ gin oneno i tuŋ kide otelogi, obino olirakino malo kakan ame atin-nu tye iye. 
MAT.2.10	Ka gin oneno acer, oyomo yigi, ote lelo atek meicel.
MAT.2.11	Ka gin odonyo i ot, ote neno atin, kede tottere Maliam, ote ryebere piny, wore, ote gonyo jamigi me wel ame gin okelo, ote miye mot, jabu kede luban kede murra. 
MAT.2.12	Obaŋa te kwenyorogi i waŋ lek ni kur odok baŋ Kerode, gin te dok turgi deke yo ocele.
MAT.2.13	A doŋ gin odok oko, amalaika a Rwok te nen baŋ Yucepu i waŋ lek kun kobbe ni, “Ya malo, iter atin gin kede tottere, iriŋ, ilar Miciri, bed wunu kuno ituno ka abino kobbi, pien Kerode bino moyo atin wek enek oko.” 
MAT.2.14	En te ya tero at in kede tottere dyewor, te wot i Miciri; 
MAT.2.15	naka obedo kuno ituno ka Kerode doŋ oto. Man otimere me kop a Rwot cobere kakare a rik okobo i dog adwarpiny ni, “Rik alwono woda i Miciri.”
MAT.2.16	Kerode ka oneno ni oryeko opale, akemo omake atek; ocwao jo, oneko itino a co luŋ ame tye i Beterekem kede kabedo ducu ame ceggi i laŋete geye i kom itino me akina mwaka aryo, dwogo kede piny, ame porre kede kare a rik oryeko oniaŋe pire. 
MAT.2.17	Man te miyo kop a rik obino i dog adwarpiny Jeremia cobere kakare ni,
MAT.2.18	Lakeri okoko itino mere.
MAT.2.18	En okwero oko ni kur kwe cunye, pien gin doŋ omom.”
MAT.2.19	Ame doŋ Kerode otyeko to, amalaika a Rwot te nen baŋ Yucepu i Miciri i waŋ lek, 
MAT.2.20	te kobbe ni, “Ya malo iter atin kede tottere, idok i lobo me Icrael, pien jo a rik mito neko atin doŋ ototoa oko.” 
MAT.2.21	En oya, otero atin kede tottere, odwogo i lobo Icrael. 
MAT.2.22	Ento ka en dok owinyo ni Arkelao en ame doŋ loo Judaya aka pappere Kerode, en te lworo wot kuno oko, cite ote kwenyoro en i waŋ lek, omie ewoto i lobo me Galilaya. 
MAT.2.23	En owoto obedo i boma ame olwoŋo Najaret, me kop a nwaŋ obino i dog odwarpiny cobere kakare ni, “Obino lwoŋe Anajaret.”
MAT.3.1	I kare-nono Lakana Abatija obino kun rabo kop i tim me Judaya, 
MAT.3.2	kun kobo ni, “Ŋut wunu, pien loc me polo doŋ onoko ceggi.” 
MAT.3.3	Pien man en baŋ o ame adwarpiny Icaya yam orabo pire ni,
MAT.3.3	“Dwon baŋ o a redo i tim ni,
MAT.3.3	Ger wunu yo pi Rwot,
MAT.3.3	yik wunu gudo mere cuŋ atira.”
MAT.3.5	Jo nwaŋ ya i Jerucalem, kede Judaya luŋ, kede lobo ducu ame tye i ŋet Jor baŋ, ciro, obino baŋe. 
MAT.3.6	Gin tuco balgi, en batijagi i kulo Jordan.
MAT.3.8	Nyak wunu doŋ nyig a myero me ŋut, 
MAT.3.9	kur dok icak tamo wunu ni, ‘Otye kede kwarowa en Iburaim’; pien akobbiwu ni, Obaŋa tye kede teko me miyo gweŋe magi doko ikwae Iburaim. 
MAT.3.10	Aman doŋ otyeko keto lee oko me toŋo lwit yen; yat acel acel a mom nyako nyige abeco, otoŋo, obolo i mac.
