MAT.1.1	Maketourou gel ka dooudjé lo Jésus Christ, ngon lo David, ngon lo Abraham.
MAT.1.2	Abraham to bò Isaac, Isaac to bò Jacob, Jacob to bò Juda ke ngaköèdjé.
MAT.1.3	Juda to bò Pharès ke Zara ke Thamar oudjoudè sa. Pharès to bò Esrom, Esrom to bò Aram.
MAT.1.4	Aram to bò Aminadab, Aminadab to bò Naasson. Naasson to bò Salmon.
MAT.1.5	Salmon to bò Boaz ke Rahab oudjè sa. Boaz to bò Obed ke Ruth oudjè sa. Obed to bò Isaï.
MAT.1.6	Isaï to bò David, ke to mbaibé ndja.
MAT.1.6	David to bò Salomon ke dènè lo Urie oudjè sa.
MAT.1.7	Salomon to bò Roboam, Roboam to bò Abia, Abia to bò Asa.
MAT.1.8	Asa to bò Josaphat, Josaphat to bò Joram, Joram to bò Ozias.
MAT.1.9	Ozias to bò Joatham, Joatham to bò Achaz, Achaz to bò Ézéchias.
MAT.1.10	Ézéchias to bò Manassé, Manassé to bò Amon, Amon to bò Josias.
MAT.1.11	Josias to bò Jéchonias ke ngaköèdjé, ndò té ke dèdè dwaadè dao kedè Babylone té.
MAT.1.12	Goukoudang dao kedè Babylone té, Jéchonias to bò Salathiel, Salathiel to bò Zorobabel.
MAT.1.13	Zorobabel to bò Abiud, Abiud to bò Éliakim, Éliakim to bò Azor.
MAT.1.14	Azor to bò Sadok, Sadok to bò Achim, Achim to bò Éliud.
MAT.1.15	Éliud to bò Éléazar, Éléazar to bò Matthan, Matthan to bò Jacob.
MAT.1.16	Jacob to bò Joseph ngao lo Marie ke oudjou Jésus, nè ke dèdè mmarè na Christ.
MAT.1.17	Gel ka dooudjé toï ke ounkotè ke Abraham nderèng David to gel dooudjé dòkou gérè sò. Yéh ke ounkotè ke David nderèng dèdè dao kedè Babylone té to gel dooudjé dòkou gérè sò. Yéh ke ounkotè ke ndò té ke dao kedè Babylone té nderèng Christ to gel dooudjé dòkou gérè sò.
MAT.1.18	Tar koudjou Jésus Christ to tokou ban. Tokou Joseph doudjou ta taa Marie kö Jésusdjè to dènè la, dongor Joseph baa taa Marie, do Marie waa sem deo té lo Ndil ke madji toï.
MAT.1.19	Ngaoèdjè Joseph edji mèa té ta mbetè hoi, mbata nè nto doou ke gaté gaté, ke nè ndiki ta kila tar ròkoul dè té ang.
MAT.1.20	Tokou nè nedji tar nèn, wo, ange lo Mbaibé Seigneur kada téh rè té ke ni, pana, Joseph, ngon lo David, eda bel ang ta taa dènè loi Marie, mbata sem ke nè nwaa to deo té lo Ndil ke madji toï.
MAT.1.21	Nè na koudjou ngon ke dingao, ke i a kounda ria na Jésus, mbata nè na kadji dooudjé la deo né ke madjang té lodè.
MAT.1.22	Tar nèn toï dé tokou ban ta kare tar ke Mbaibé Seigneur pa leo deo té lo prophète, dé to tar ke tokoro,
MAT.1.23	Wo, ngomandé kada a kwaa sem ke nè na koudjou ngon ke dingao, ke da kounda ria na Emmanuel, ke pana, Allah éh kedjè.
MAT.1.24	Tokou Joseph ndol dò ni tén, nè nda tokou ange lo Mbaibé Seigneur pa arè ta da, nè ntaa dènè la.
MAT.1.25	A nè ngerè to dènè ang nderèng gè té ke nè noudjou ngon ke dingao, ke nè nounda ria na Jésus.
MAT.2.1	Tokou doudjou Jésus béh té ke Bethléhem, nange té ke Judée, ndò té lo Mbaibé Hérode, wo, dooudjé ke ndjè kemkarèdjé ke loou té ke kade téh, ndé Jérusalem té, mpana,
MAT.2.2	Nè ke dèdè doudjè to Mbaibé lo Juifdjé néh da wa? Mbata djèdjè djo ndètélendè la loou té ke kade téh, ke djèdjè ndé ta mpitè.
MAT.2.3	Tokou Mbaibé Hérode wo tar nèn, bel dè ke dèdè toï ke Jérusalem té tò.
MAT.2.4	Nè mbòn tokou ndjè kòrdjé ke ndjè da maketourou ndedjidjé lo Juifdjé, nè ndoudjoudè da koudjou Christ loou té ke da wa.
MAT.2.5	Dèdè mpa darè, Mè béh Bethléhem té ke Judée, mbata prophète da mè maketourou té tokou ban,
MAT.2.6	I Bethléhem ke nange té lo Juda,
MAT.2.6	I to ngadjiba horo mbaidjé té lo Juda ang,
MAT.2.6	Mbata mbai kada a téh hori té,
MAT.2.6	Ke nè na kö dooudjé lom Israël.
MAT.2.7	Tokou ban Hérode bar ndjè kemkarèdjé hoi, nè ndoudjoudè ndètélendè téh ke ndò ban wa.
MAT.2.8	Nè nouladè Bethléhem té, mpana, Abidjé, esangidjé tar lo ngon nèn gaté gaté madji. Tokou sésè ingèdjé, etélidjé ta pa karem, baa mase ta kao pitè tò.
MAT.2.9	Tokou dèdè do tar lo Mbaibé ase, dèdè dao deo té lodè. Wo, ndètélendè ke dèdè do loou té ke kade téh, ao nòdè té sar nè narr loou té ke ngon éh kendé.
MAT.2.10	Tokou dèdè do ndètélendè mèdè koukou ke rònèl nya.
MAT.2.11	Tokou dèdè dao mè kei té, dèdè do ngon ke këndjè Marie. Dèdè doso nange, dèdè mpitè. Tokou ban dèdè dòrou né kinga lodè, dèdè dare ngon né kinga ba, narè lor ke yambo encens ke myrrhe.
MAT.2.12	Mbata Allah ndedjidè ke ni ta tél rò Hérode té ang, dèdè ntél dao béh lodè ke deo ke dang.
MAT.2.13	Tokou dèdè dao nga, wo, ange lo Mbaibé Seigneur kada téh rò Joseph té ke ni, pana, I tarr, oun ngon ke këndjè, aïndjé ke Egypte té. Isi nou sar ma mpa mari, mbata Hérode a sange ngon ta tòlè.
MAT.2.14	Joseph ï tarr, nè noun ngon ke këndjè tilti, nao Egypte té.
MAT.2.15	Nè nisi nou sar Hérode woei. Tar nèn dé tokou ban ta kare tar ke Mbaibé Seigneur pa leo deo té lo prophète, dé to tar ke tokoro, Ma mmar ngonem ke dingao ta téh Egypte té.
MAT.2.16	Tokou Hérode wo ndjè kemkarèdjé erè nga, ongou dè nya. Nè noula ta tòl ngandjé ke dingao toï ke Bethléhem té, ke mare béh té toï ke ngosiba to, dèdè toï ke bal lodè ase djo, ke dèdè ke bal lodè ase djo ang bai to. Nè ntoura ndò ke ndjè kemkarèdjé tòdjè mbä.
MAT.2.17	Tokou ban tar ke prophète Jérémie pa leo, dé to tar ke tokoro,
MAT.2.18	Do ndou Rama té, nò ke ki ke ongou,
MAT.2.18	Rachel nò mbata nganè, nè ndiki ta kare mèa woul ang, mbata dèdè ngoto.
MAT.2.19	Tokou Hérode woei mbä, wo, ange lo Mbaibé Seigneur kada téh rò Joseph té ke ni ke Egypte té, pana,
MAT.2.20	I tarr, oun ngon ke këndjè ao nange té lo Israël, mbata dèdè ke nsange ta tòl ngon doei mbä.
MAT.2.21	Joseph ï tarr, noun ngon ke këndjè, nao nange té lo Israël.
MAT.2.22	Tokou nè no tar na Archélaüs ö nange ke Judée tourou bèdjè Hérode té, bel da Joseph ta kao nou. Mbata Allah ndedjè ke ni, nè ntéh nao nange té ke Galilée.
MAT.2.23	Nè nao nisi béh té kada ke ria na Nazareth, ta kare tar ke prophètedjé pa leo dé to tar ke tokoro, Dèdè da barè to Nazaréen.
MAT.3.1	Ndò té ke nou, Jean ndjè da baptême téh, nao mpa tar mè kòr té, nange té ke Judée.
MAT.3.2	Nè mpana, Mbetidjé kedji né da ke madjang, mbata béh kö ke dara éh ngosiba.
MAT.3.3	Mbata yèn to nè ke prophète Ésaïe pa tar la, tokou nè mpana,
MAT.3.3	To to ndou doou ke ourouki mè kòr té,
MAT.3.3	Edaidjé deo lo Mbaibé Seigneur,
MAT.3.3	Edaidjé deo la gaté gaté.
MAT.3.4	Jean oula koubou bi da djambal, ke nè ntò koulaa ndar berè té, ke né kousa la to ebètèdjé ke oubou tèdjé ke mè kòr té.
MAT.3.5	Ndè té ke nou, dooudjé ke Jérusalem ke dèdè ke Judée toï, ke dèdè ke nange té toï mbòr man Jourdain té, ntéh ndé rò Jean té.
MAT.3.6	Nè ndadè baptême mè man Jourdain té, tokou dèdè mpa né ke madjang lodè ke daka.
MAT.3.7	Tokou nè no mare Pharisiendjé ke Sadducéendjé baya ndé ta kinga baptême, nè mpa naredè, Sè ngan horomahodjé, na ndedjisè ta kaïn saria ke ata dé wa?
MAT.3.8	Anidjé kandé ke a tòdjou ke sésè mbetidjé kedji né da ke madjang mbä.
MAT.3.9	Edjidjé ta pa mèsè té ang, Abraham to bòdjèdjè, mbata ma mpa maresè, Allah ase ta da ngandjé kare Abraham ke err nèn.
MAT.3.10	Loshénè nèn tina to kò kake té, tokou ban kake kada kada toï ke an kandè ke madji ang, ntoukadè, diladè pouro.
MAT.3.11	Mam ndasè baptême ke man mbata mbetidjé kedji né da ke madjang, a nè ke nao ndé gom té noutam ke singa, ma mase kwaa ndar kongou gòlè ang. Nè na dasè baptême ke Ndil ke madji toï ke pourou tò.
MAT.3.12	Kaa to né to dja té, nè na kouta loou to né la, nè na mbòn kandè kongou mè dam té la, a nè na nounga kisè ke pourou ke woei ndò kada ang.
MAT.3.13	Bana Jésus ï Galilée té, nao rò Jean té mbòr man Jourdain té ta kare Jean dè baptême.
MAT.3.14	A Jean ata mbetè, nè mpana, To tar lom ta kinga baptême dji té, a i dé ròm té wa?
MAT.3.15	Jésus tél pa arè, Are eda tokou ban loshénè, mbata to madji ta kare djèdjè nda né ke gaté gaté toî ase. Tokou ban Jean ndiki gè.
MAT.3.16	Tokou Jésus inga baptême mbä, nè ntéh mè man té ke daka loshénè loshénè, wo, ta dara teï, nè no Ndil lo Allah disi tokou egoutou isi dè té.
MAT.3.17	Wo, ndou téh dara pana, Yèn to Ngonem ke mam ndikè nya, rom nèlem nya mbata la.
MAT.4.1	Tokou ban Ndil ndja oula Jésus ta kao mè kòr té, ta kare Satan nèè.
MAT.4.2	Kade dòsò ke til dòsò nè nön mourou ang, gè té boo dè.
MAT.4.3	Ndjè kere dé pa are Jésus, Tokou i to Ngon lo Allah, epa are err nèn ta tél pila mourou.
MAT.4.4	Jésus tél tar pana, Maketourou lo Allah pana,
MAT.4.4	To to tar lo doou ta kisi ke tébe nga mourou ke kadè ang, a to nga tar toï ke téh ta Allah té.
MAT.4.5	Tokou ban Satan ao sa béh té ke madji toï, narè nisi dè tokou kei Allah té ke ndeo.
MAT.4.6	Nè mpa narè, Tokou i to Ngon lo Allah, ekoudja ourou nange, mbata maketourou lo Allah pana,
MAT.4.6	Nè na kare angedjé la ta ngemi,
MAT.4.6	ke,
MAT.4.6	Dèdè da laai ke djidè,
MAT.4.6	na dòmadjang a gòli a kòsou err té.
MAT.4.7	Jésus pa arè, Maketourou lo Allah pa mare bai,
MAT.4.7	Ase kare i naa Mbaibé Allah loi ang.
MAT.4.8	Satan tél ao sa dò err té ke ndeo nya, nè ntòdjè béh kö ke nange nèn toï ke ndokoo lodè.
MAT.4.9	Nè mpa nare Jésus, Tokou i oso nange epitim, ma ma karidè toï.
MAT.4.10	Tokou ban Jésus pa arè, Etél ke dang Satan, maketourou lo Allah pana,
MAT.4.10	Ase kare i piti Mbaibé Allah loi,
MAT.4.10	ke ta da sa kadaba.
MAT.4.11	Tokou ban Satan ïyè, ke wo, angedjé dé rè té ta da sa.
MAT.4.12	Tokou Jésus wo dila Jean kei koula té, nè ntéh nao Galilée té.
MAT.4.13	Nè nïya Nazareth nao nisi Capernaüm té, mbòr tokou man té, nange té ke Zabulon ke Naphthali.
MAT.4.14	Ta kare tar ke prophète Ésaïe pa leo dé to tar ke tokoro,
MAT.4.15	Nange ke Zabulon ke nange ke Naphthali,
MAT.4.15	deo ta kao tokou man té, ke nange ke toura man
MAT.4.15	Jourdain té, Galilée lo Gentildjé,
MAT.4.16	Dooudjé ke isi londoul té, do tokou lokarè,
MAT.4.16	ke mbata dèdè ke disi loou kò ndil yo té,
MAT.4.16	loou arè mbata lodè mbä.
MAT.4.17	Ke ndé tén lé, Jésus ounkotè ta pa tar pana, Mbetidjé kedji né da ke madjang, mbata béh kö ke dara éh ngosiba.
MAT.4.18	Tokou nè ndja kare tokou man Galilée té, nè no ngakö-nadjé djo, Simon ke dèdè mmarè na Pierre ke Andrè ngoköè. Dèdè dao dila boura mè man té, mbata dèdè nto ndjè ndön mandjé.
MAT.4.19	Jésus pa aredè, Edéidjé gom té, ma ma dasè to ndjè ndön dooudjé.
MAT.4.20	Loshénè loshénè dèdè dïya boura lodè, dao gè té.
MAT.4.21	Tokou nè nao ndai ngadji, nè no mare ngakönadjé djo, Jacques ngon lo Zébédée ke Jean ngoköè. Dèdè disi mè to té ke bòdèdè Zébédée, dao ntòrou kem boura lodè. Jésus bardè.
MAT.4.22	Loshénè loshénè dèdè dïya to ke bòdèdè, dao go Jésus té.
MAT.4.23	Nè ndja do nange té ke Galilée toï, nao ntòdjou tar mè kei Allah té lodè, nè mpa tar ke madji lo béh kô, ke nè nòrou rò too toï ke né toï horo dooudjé té ke da ròdè madjang.
MAT.4.24	Tar la bar do nange té ke Syrie toï. Dèdè ndé ke ndjè rò toodjé toï rè té, dèdè ke disi ke rô too ke ongou dang dang, ke ndjè ndildjé ke madjang, ke ndjè woeidjé, ke ndjè ke oso mete, ke nè nda nare ròdè dé madji.
MAT.4.25	Dooudjé baya baya ke Galilée, ke Décapole, ke Jérusalem, ke Judée ke toura man Jourdain té, dao gè té.
MAT.5.1	Tokou Jésus wo dooudjé ke baya bayan lé, nè nal do tokou err té. Tokou nè nisi nange ndjè kao gè tédjé dé rè té.
MAT.5.2	Nè nteï tè ntòdjou tar ndjè kao gè tédjé, mpana,
MAT.5.3	Madji éh kedè, dèdè ke nto dangetédjé deo ndil té,
MAT.5.3	mbata béh kö ke dara to mbata lodè.
MAT.5.4	Madji éh kedè, dèdè ke nnò ke ongou,
MAT.5.4	mbata dèdè da kisi ke mè woul.
MAT.5.5	Madji éh kedè, dèdè ke mèdè to dèkèkè,
MAT.5.5	mbata dèdè da kinga nange nèn to né ndouba.
MAT.5.6	Madji éh kedè, dèdè ke boo ke kounda dadè mbata tar ke
MAT.5.6	gaté gaté, mbata mèdè a ndan.
MAT.5.7	Madji éh kedè, dèdè ke nda mè madji,
MAT.5.7	mbata dèdè da kinga mè madji.
MAT.5.8	Madji éh kedè, dèdè ke mèdè ndaa kaï,
MAT.5.8	mbata dèdè da ko Allah.
MAT.5.9	Madji éh kedè, dèdè ke nto ndjè moso tar,
MAT.5.9	mbata dabardè ngandjé lo Allah.
MAT.5.10	Madji éh kedè, dèdè ke ngädè ke tar mbata tar ke gaté gaté,
MAT.5.10	mbata béh kö ke dara to mbata lodè.
MAT.5.11	Madji éh kesè tokou dooudjé tadjisè ke ngäsè ke tar,
MAT.5.11	ke ngange tar ngem ke madjang dang dang dòsè té mbata tar lom.
MAT.5.12	Ekoukidjé, isidjé ke rònèl nya, mbata kouka losè éh dara tokou bo, mbata tokou ban dooudjé ngà prophètedjé ke tar ke éh dongor kèté aresè.
MAT.5.13	Sésè etoidjé to katé ke nange nèn, a tokou katé nèl ang a da karè ntél nèl to di wa? Nè nto madji mbata né kada ang, a ta kongou koro ke ta kare dooudjé mbòï ke gòldè.
MAT.5.14	Sésè etoidjé to lokarè ke nange nèn. Béh ke dò err té a kiyaa rè pi.
MAT.5.15	Dooudjé ounda pourou lampe té ta kounda kö karè té ang, dounda dò kake té ke tarr ta kare ndokoo dèdè toï ke mè kei té.
MAT.5.16	Aridjé lokarè losè ndokoo kem dooudjé té, baa ta karedè do koula ke madji losè, ke ta kòsou gadji Bòsésè ke éh dara.
MAT.5.17	Edjidjé ang ke mam ndé ta toudjou tar ndedji aséh prophètedjé, mam ndé ta toudjoudè ang, a ta karedè ndé to tar ke tokoro.
MAT.5.18	Mbata tokoro ma mpa maresè, sar dara ke nange nèn ndai ang bai, ngon tar maketourou aséh tar dang dang lo tar ndedji ndai ba kada ang, sar né toï a dé baa.
MAT.5.19	Tokou ban, doou ke mbeté tar ndedji ke ngadji ngadji, ke tòdjou dooudjé ban tò, da barè yéh ke ngadji ngadjiba mè béh kö té ke dara, a doou ke ngemdè ke tòdjoudè dooudjé, da barè yéh ke boui mè béh kö té ke dara.
MAT.5.20	Mbata ma mpa maresè, tokou gaté gaté losè ndai yéh ke ngà ndjè da maketourou ndedjidjé ke Pharisiendjé ang, sésè a téhdjé mè béh kö té ke dara ndò kada ang.
MAT.5.21	Sésè woidjé ke dèdè mpa dare dooudjé ke leo, Ase kare i tòl doou ang. Doou ke tòl doou ase téh loou saria té.
MAT.5.22	A ma mpa maresè, dooudjé kada kada toï ke ongou dadè ke ngoködè, dase téh loou saria té. Doou ke tadji ngoköè ase téh rò ndjè gange sariadjé té, ke nè ke mpana, I mbe, nase kao loou kem pourou té.
MAT.5.23	Tokou ban, tokou i ao ke né kare ba dò bann té, tokou i edji mei té ke ngoköi éh ke tar dòi té,
MAT.5.24	Iya né kare ba loi nò bann té, ao moso tar ke ngoköi dongor, gè té edé ta kare né kare ba loi.
MAT.5.25	Moso tar ke ndjè toula dòi loshénè loshénè tokou i ao sa deo ta kao loou saria té, na dòmadjang a nè na kilai dji ndjè gange saria té, ke ndjè gange saria a kilai dji ndjè pourou té, ke a kilai kei koula té.
MAT.5.26	Tokoro ma mpa mari, i a téh daka ndò kada ang, nderèng i a kouka ngon narè ke to dòbon baa.
MAT.5.27	Sésè woidjé ke dèdè mpa leo, Ase kare i da kaiya ang.
MAT.5.28	A ma mpa maresè, dooudjé kada kada toï ke aa dène ke boo ke ta to sa, nè nda kaiya sa mèa té mbä.
MAT.5.29	Tokou kemi ke kòl eri ta kari da madjang, etò kemi ke dang, ilè deo eo sei, to madji wota mbata loi tokou barkem ròi kada a nai, wota ta kare dila ròi toï loou kem pourou té.
MAT.5.30	Tokou dji ke kòl eri ta kari da madjang, egangè, ilè deo eo sei, to madji wota mbata loi tokou barkem ròi kada a nai, wota ta kare ròi toï ao loou kem pourou té.
MAT.5.31	Dèdè mpa leo tò, Doou ke touba dènè la, ase kare nè narè maketourou tar touba dènè.
MAT.5.32	A ma mpa maresè, dooudjé kada kada toï ke touba dènè lodè, tokou to tar to loou to madjang ang, dèdè ndadè to dènè kaiya. Doou ke taa dènè ke ntoubè mbä, nè nda kaiya.
