MAT.1.1	Yezu Kristə wɔ́ Abəraham ǹdə́ Dəvyidi nɔ̃̌. Nyǐnə ń nàmbala bɛ́ yilə né.
MAT.1.2	Wɔ́ Abəraham ń lùl Yəzakɛ,
MAT.1.2	Yəzakɛ zɛ̃̀ n lù Zhakɔɔbɛ,
MAT.1.2	Zhakɔɔbɛ zɛ̃̀ n lù Zhidə ǹdə́ ń da-byâ bɛ́,
MAT.1.3	Zhidə zɛ̃̀ n zə Tamaarɛ n mə n lù Farɛɛsɛ ǹdə́ Zara,
MAT.1.3	Farɛɛsɛ zɛ̃̀ n lù Esərɔm,
MAT.1.3	Esərɔm zɛ̃̀ n lù Aram,
MAT.1.4	Aram zɛ̃̀ n lù Amyənadaabɛ,
MAT.1.4	Amyənadaabɛ zɛ̃̀ n lù Naasɔ̃,
MAT.1.4	Naasɔ̃ zɛ̃̀ n lù Saləma,
MAT.1.5	Saləma ǹdə́ ń kɛ̃ Arayaabɛ zɛ̃̀ bə lù Booze,
MAT.1.5	Booze ǹdə́ ń kɛ̃ Riti zɛ̃̀ bə lù Obɛɛdɛ,
MAT.1.5	Obɛɛdɛ zɛ̃̀ n lù Zhese,
MAT.1.6	Zhese zɛ̃̀ n lù pyɔ̌ Dəvyidi,
MAT.1.6	Dəvyidi zɛ̃̀ n zə Yuri kɛ̃ mɔ́ n mə n lù Saləmɔ,
MAT.1.7	Saləmɔ zɛ̃̀ n lù Orɔbwaam,
MAT.1.7	Orɔbwaam zɛ̃̀ n lù Abya,
MAT.1.7	Abya zɛ̃̀ n lù Asafɛ,
MAT.1.8	Asafɛ zɛ̃̀ n lù Zhɔzafatɛ,
MAT.1.8	Zhɔzafatɛ zɛ̃̀ n lù Zhɔram,
MAT.1.8	Zhɔram zɛ̃̀ n lù Ozhaasɛ,
MAT.1.9	Ozhaasɛ zɛ̃̀ n lù Zhwatam,
MAT.1.9	Zhwatam zɛ̃̀ n lù Akaazɛ,
MAT.1.9	Akaazɛ zɛ̃̀ n lù Ezəcaasɛ,
MAT.1.10	Ezəcaasɛ zɛ̃̀ n lù Manasɛ,
MAT.1.10	Manasɛ zɛ̃̀ n lù Amɔnɛ,
MAT.1.10	Amɔnɛ zɛ̃̀ n lù Zhɔzhaasɛ,
MAT.1.11	Zhɔzhaasɛ zɛ̃̀ n lù Yəkɔnəya ǹdə́ ń da-byâ bɛ́.
MAT.1.11	Wɔ́ rə̀myɛ́ yi ní bə̀ zɔ Esərayɛl lyì bí bə mʼe vò Babyəlɔnɛ.
MAT.1.12	Bə̀ gə́ zɔ bɛ bə mʼe vò gàà, rə̀myɛ́ kwã nɛ́, Yəkɔnəya zɛ̃̀ n lù Salacəə,
MAT.1.12	Salacəə zɛ̃̀ n lù Zorobəbyəə,
MAT.1.13	Zorobəbyəə zɛ̃̀ n lù Abyuudi,
MAT.1.13	Abyuudi zɛ̃̀ n lù Elyəcim,
MAT.1.13	Elyəcim zɛ̃̀ n lù Azɔɔrɛ,
MAT.1.14	Azɔɔrɛ zɛ̃̀ n lù Sadɔɔkɛ,
MAT.1.14	Sadɔɔkɛ zɛ̃̀ n lù Acim,
MAT.1.14	Acim zɛ̃̀ n lù Elyuudi,
MAT.1.15	Elyuudi zɛ̃̀ n lù Elyazaarɛ,
