MAT.1.1	Kyeka mankombo ma ɓankɔkɔ ɓa Yesu-Klisto: Yesu ali nkɔkɔ wa Davidi, na nkɔkɔ wa Abalayama.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Abalayama aɓoti Izake,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Izake aɓoti Yakoɓo,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yakoɓo aɓoti Yuda na ɓanaa nyango,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yuda aɓoti Pɛlɛsi na Zala nyango wa ɓɛ́ɛ Tamala,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Pɛlɛsi aɓoti Esilɔnɛ,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Esilɔnɛ aɓoti Lama,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Lama aɓoti Aminadaba,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Aminadaba aɓoti Nasonɛ,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Nasonɛ aɓoti Salamani,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Salamani aɓoti Boaze (nyango yaɓaka Laaɓa),
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Boaze aɓoti Obɛdɛ (nyango yaɓaka Luta),
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Obɛdɛ aɓoti Yese,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yese aɓoti mokonzi Davidi,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Davidi aɓoti Salomo (nyango yaɓaka ŋwasi owa zalaka phanza na Uliya),
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Salomo aɓoti Loboama,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Loboama aɓoti Abiya,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Abiya aɓoti Asa,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Asa aɓoti Yozafa,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yozafa aɓoti Yolama,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yolama aɓoti Azaliya,
