GEN.1.1	Mulimu a kala ku bupa lihalimu ni lifasi ni ze ku zona kaufela. 
GEN.1.2	Lifasi ne li si na sibupeho. Lififi ne li kwahezi liwate le lituna, mi moya o maata n'o fuka fahalimw'a mezi. 
GEN.1.3	 Cwale Mulimu a laela, a li, “Liseli a li be teñi.” Mi kwa ba ni liseli. 
GEN.1.4	A li talima, mi la mu tabisa. Kiha s'a kauhanya liseli ni lififi. 
GEN.1.5	Liseli a li biza Musihali, mi lififi a li biza Busihu. Manzibwana a fela, mi kwa taha kakusasana. Leo la ba lizazi la pili.
GEN.1.6	 Mulimu a laela hape, a li, “Ku be ni mbyumbyulu ye ka kauhanya mezi, kuli a be mwa libaka ze peli ze kauhani.” Mi kwa ezahala cwalo. 
GEN.1.7	Cwale Mulimu a eza mbyumbyulu ku kauhanya mezi a kwatas'a yona ni mezi a fahalimw'a yona. 
GEN.1.8	Mbyumbyulu a i biza Lihalimu. Manzibwana a fela, mi kwa taha kakusasana. Leo la ba lizazi la bubeli. 
GEN.1.9	Mulimu hape a laela, a li, “Mezi a mwatas'a lihalimu a kubukane mwa sibaka si li siñwi kuli ku bonahale mubu o omile.” Mi kwa ezahala cwalo. 
GEN.1.10	A biza mubu Lifasi, mi mezi a n'a kubukani mwa sibaka si li siñwi, a li ki Liwate. A talima z'a ezize, mi za mu tabisa. 
GEN.1.11	A laela hape, a li, “Mubu u melise mishobo kaufela ya limela, ze beya bubeke ni ze beya miselo. Mi kwa ezahala cwalo. 
GEN.1.12	Cwale mubu wa melisa limela kaufela ka mifuta ya zona, ze beya bubeke ni ze beya miselo. Mulimu a talima z'a ezize, mi za mu tabisa. 
GEN.1.13	Manzibwana a fela, mi kwa taha kakusasana. Leo la ba lizazi la bulalu.”
GEN.1.14	Cwale Mulimu a laela, a li, “Ku be ni maseli kwahalimu, ku kauhanya musihali kwa busihu, ili ku bonisa mazazi, lilimo, ni linako za miyaha fo li kalela. 
GEN.1.15	Li ta benya kwahalimu ku tisa liseli fafasi.” Mi kwa ezahala cwalo. 
GEN.1.16	Cwale Mulimu a eza maseli a mabeli a matuna, ili lizazi kuli li buse musihali ni kweli kuli i buse busihu. Mi a eza hape ni linaleli. 
GEN.1.17	A beya maseli ao kwahalimu ku bonisa fafasi. 
GEN.1.18	A a beya hape ku busa musihali ni busihu, ni ku kauhanya liseli kwa lififi. A talima z'a ezize, mi za mu tabisa. 
GEN.1.19	Manzibwana a fela, mi kwa taha kakusasana. Leo la ba lizazi la bune. 
GEN.1.20	Mulimu cwale a laela, a li, “Mezi a tise ze pila ka mifuta ya zona kaufela, ni linyunywani ze fufa mwa mbuyumbyulu.” Mi kwa ezahala cwalo. 
GEN.1.21	Mulimu kih'a eza libilimita ni libupiwa ze zamaya ka mba ni mifuta-futa ya ze pila mwa mezi kaufela ni linyunywani kamukana ka mifuta ya zona. A talima z'a ezize, mi za mu tabisa. 
GEN.1.22	Kih'a li tohonolofaza ka taelo ye, a li, “Ze pila mwa mezi kaufela li te li ate, li taze liwate, ni palo ya linyunywani i ekezehe.” 
GEN.1.23	Manzibwana a fela, mi kwa taha kakusasana. Leo la ba lizazi la buketalizoho.
GEN.1.24	Cwale Mulimu a laela, a li, “Lifasi li tahise limunanu ka mifuta ya zona kaufela ni lifolofolo za mifuta-futa, ni libupiwa kaufela ze zamaya ka mba.” Mi kwa ezahala cwalo. 
GEN.1.25	Mulimu a eza limunanu ka mifuta ya zona, ni lifolofolo za mifuta-futa, ni libupiwa ze zamaya ka mba. A talima z'a ezize, mi za mu tabisa.
GEN.1.26	 Mulimu kih'a li, “Cwale, lu eze mutu ka siswaniso sa luna ni ka ku swana ni luna. A be ni maata fahalimw'a litapi, linyunywani, limunanu, lifolofolo ni libupiwa ze zamaya ka mba kaufela.” 
GEN.1.27	 Cwalehe, Mulimu a bupa mutu ka siswaniso sa hae. A bupa munna ni musali. 
GEN.1.28	A ba tohonolofaza ka taelo ye, a li, “Mu pepe, mu ate, mi mu taze lifasi kaufela. Mu be ni maata fahalimw'a litapi ze mwa mezi, linyunywani, ni ze pila fafasi kamukana.” 
GEN.1.29	Mi Mulimu a li, “Bona, ni ku fa limela kaufela ze beya bubeke, ni miselo, kuli u li ce. 
GEN.1.30	Haili kwa lifolofolo ze tuna ni ze nyinyani ni kwa linyunywani kamukana, ni libupiwa ze zamaya ka mba, ni li fa bucwañi bo butala kuli i be lico za zona.” Mi kwa ezahala cwalo. 
GEN.1.31	Mulimu kih'a talima z'a ezize, mi kwa mu tabisa hahulu. Manzibwana a fela, mi kwa taha kakusasana. Leo la ba lizazi la busilela.
GEN.2.1	Cwale lihalimu ni lifasi ni ze ku zona kaufela za felelezwa cwalo. 
GEN.2.2	 Mulimu ha s'a felize z'a n'a eza kamukana, a pumula ka lizazi la busupa. 
GEN.2.3	A tohonolofaza lizazi leo la busupa, mi a li keta ku a mañwi. A li fapanya ni ona kaufela, kakuli n'a pumuzi ku lona ha s'a felize musebezi wa hae ku bupa ni ku eza lika kamukana. 
GEN.2.4	Lihalimu ni lifasi ni ze ku zona kamukana ne li ezizwe ka ona mukwa wo.
GEN.2.4	Mulimu Muñ'a Bupilo s'a ezize lifasi ni lika kaufela ze kwahalimu. 
GEN.2.5	Mwa lifasi ne ku si na simela, mi ne ku si na peu ye n'e melile, kakuli n'a si ka lumela kale pula fafasi, mi hape ne ku si na mutu ya n'a lima masimu. 
GEN.2.6	Mezi a eza muzwetela, mi a kolobisa mubu.
GEN.2.7	 Mulimu Muñ'a Bupilo kih'a nga kwa mubu fafasi, mi a bupa mutu. A bululela mwa lingo za hae moya wa bupilo, mi mutu a ba sibupiwa se si pila.
GEN.2.8	Mulimu Mun'a Bupilo kih'a cala simu mwa Edeni, kwa Upa, mi a beya mwateñi mutu y'a n'a bupile. 
GEN.2.9	 A melisa likota za mifuta-futa, ili likota ze buheha ha li talimwa, mi za beya miselo. Fahal'a simu, ne ku na ni kota ye fa bupilo, ni kota ya bunde ni bumaswe.
GEN.2.10	Nuka ye zwa mwa Edeni ne i bubela mwa simu ku t'o i kolobisa, mi ya ba ni maalo a linuka ze ne. 
GEN.2.11	Libizo la nuka ya pili ki Pishoni. Ki yona ye buba ku potoloha naha ya Havila kaufela. 
GEN.2.12	Moo, ki mona mo ku fumaneha luli gauda ye nde, ni njilela cwalo, ni licwe la butokwa le li bizwa onikisi. 
GEN.2.13	Libizo la nuka ya bubeli ki Gihoni. Yona i buba ku potoloha naha ya Kushi kaufela. 
GEN.2.14	Nuka ya bulalu ki Tigrisi. I bubela kwa upa wa naha ya Asiria. Nuka ya bune ki Yuferati.
GEN.2.15	Cwale Mulimu Muñ'a Bupilo a nga mutu, mi a mu beya mwa simu ya Edeni kuli a i lime ni ku i libelela. 
GEN.2.16	A mu laela, a li, “U ka icela miselo ya likota kamukana ze mwa simu. 
GEN.2.17	Kono u si ke wa icela miselo ya kota ye fa zibo ya bunde ni bumaswe. U si ke wa ca miselo ya yona. Haiba u i ca, luli u ta shwa.”
GEN.2.18	Mulimu Muñ'a Bupilo kiha s'a li, “Ha si nto ye nde kuli munna a pile a nosi. Ni ta mu ezeza mulikani ya ta mu tusa.” 
GEN.2.19	Cwale a nga mubu fafasi, mi a bupa lifolofolo ni linyunywani kaufela ka mishobo ya zona. Kih'a li tisa ku mutu kuli a li beye mabizo, mi libizo l'a n'a file ye ñwi ni ye ñwi, la ba libizo la yona. 
GEN.2.20	Mutu a beya cwalo mabizo kwa limunanu, linyunywani, ni lifolofolo kaufela za mwa naheñi. Kono n'a si ka fumanelwa kale mulikani ya ka mu tusa.
GEN.2.21	Mulimu Muñ'a Bupilo kiha s'a lobaza mutu buloko bo butuna, mi ha s'a lobezi cwalo, Muñ'a Bupilo a nga le liñwi la makupo a hae, mi mwa sibaka seo a tiba mwateñi ka nama. 
GEN.2.22	A eza musali fa likupo l'a n'a zwisize ku munna, mi a mu tisa ku yena. 
GEN.2.23	Cwale munna a li,
GEN.2.23	“Yo, ki yena lisapo la masapo a ka, ni nama ya nama ya ka.
GEN.2.23	Libizo la hae ki Musali kakuli u zwisizwe ku munna.”
GEN.2.24	 Kikabakaelo munna h'a siya ndat'ahe ni m'ahe ku kumalela musal'a hae, kuli ba fetuhe mubili u li muñwi.
GEN.2.25	Bubeli bwa bona ne ba inzi mapunu, kono ne ku si na ya n'a na ni maswabi.
GEN.3.1	 Noha i ne i fita lifolofolo z'a n'a ezize Mulimu Muñ'a Bupilo kwa butali. Noha yeo kiha i buza musali, ya li, “Kana ki niti luli kuli Mulimu u mi bulelezi kuli mu si ke mwa ca muselo wa kota ifi ni ifi ye mwa simu mo?”
GEN.3.2	Musali a alaba, a li, “Lu ka ca muselo wa kota ifi ni ifi mwa simu mo. 
GEN.3.3	Kono ha lu koni ku ca muselo wa kota ye mwahal'a simu. Mulimu u ize lu si ke lwa ca muselo wa kota yeo, nihaiba ku i swala feela, kakuli ha lu ka eza cwalo, lu ka shwa.”
GEN.3.4	Noha ya alaba, ya li, “Ku shwa! Batili, yeo ha si niti! Ha mu na ku shwa. 
GEN.3.5	Mulimu u bulezi cwalo kakuli wa ziba kuli ha mu ka i ca, mu ta ba ni kutwisiso, inge yena, mi mu ka ziba ze nde ni ze maswe.”
GEN.3.6	Musali a bona bunde bwa kota yeo, a lemuha ku lakazeha kwa miselo ya yona, mi a hupula kuli ne i ka ba hande ku ba ni butali. Cwale, kiha s'a nga ye miñwi ya miselo yeo, mi a i ca. Ye miñwi a fa munn'a hae, mi ni yena a ca. 
GEN.3.7	Ha ba se ba cile, ba ba ni kutwisiso, mi ba ipona kuli ba mapunu. Cwale ba ngungahanya matali a kota ya feiga, mi ba itama ona.
GEN.3.8	Manzibwana a lona lizazi leo, ba utwa Mulimu Muñ'a Bupilo a zamaya-zamaya mwa simu, kiha ba ipata mwa likota. 
GEN.3.9	Kono Mulimu Muñ'a Bupilo a biza munna, a li, “U inzi kai?”
GEN.3.10	Munna a alaba, a li, “Ni ku utwile ha n'o li mwa simu, mi ne ni saba kakuli ne ni li mapunu. Kihona ha ne ni ipatile.”
GEN.3.11	Mulimu Muñ'a Bupilo a mu buza, a li, “Ki mañi ya ku bulelezi kuli u inzi mapunu? Kana, kikuli u cile muselo wa kota ye ne ni ize u si ke wa u ca, nji?”
GEN.3.12	Munna a alaba, a li, “Musali y'o ni ezelize, ki yena ya ni file kuli ni ce, kiha se ni ca.”
GEN.3.13	 Mulimu Muñ'a Bupilo a buza musali, a li, “Kiñi ha u ezize cwalo?”
GEN.3.13	Yena a alaba, a li, “Ni pumilwe ki noha, mi ki yona ye ize ni ce.”
GEN.3.14	Cwale Mulimu Muñ'a Bupilo a li kwa noha,
GEN.3.14	“Ka s'o ezize, u ta fiwa mulatu.
GEN.3.14	U kutilwe mwahal'a lifolofolo kaufela.
GEN.3.14	Ku zwa hona fa, u ta hohoba ka mba,
GEN.3.14	mi liluli i ta ba sona sico s'o ta ca.
GEN.3.15	 Wena ni musali mu ta toyana.
GEN.3.15	Peu ya hae ni ya hao ba ka toyana.
GEN.3.15	U ta pyata toho ya hao,
GEN.3.15	mi wena u ta mu luma kwa lisito.”
GEN.3.16	Kih'a li ku musali,
GEN.3.16	“U ta nyanda ha u itwezi,
GEN.3.16	mi u ta utwa butuku hahulu ha u pepa.
GEN.3.16	Kono u ta lakaza hape munn'a hao,
GEN.3.16	mi u ta ku busa.”
GEN.3.17	 Cwale a li ku Adama,
GEN.3.17	“Wena u teelelize musal'a hao,
GEN.3.17	mi u cile muselo o ne ni ize
GEN.3.17	u si ke wa u ca.
GEN.3.17	Kabakala s'o ezize, lifasi li kutilwe!
GEN.3.17	U ta sebeza ka tata mwa bupilo
GEN.3.17	bwa hao kaufela
GEN.3.17	kuli lifasi li ku meliseze lico
GEN.3.17	ze likana.
GEN.3.18	Li ta ku meliseza macacani
GEN.3.18	a miutwa ni liseto,
