GEN.1.1	Ku lubereberye Katonda yatonda eggulu n'ensi.
GEN.1.2	Ensi yali njereere nga yeetabuddetabudde; n'ekizikiza nga kibisse kungulu ku buziba, n'Omwoyo gwa Katonda nga guseeyeeya ku ngulu ku mazzi.
GEN.1.3	Katonda n'ayogera nti, “Wabeewo ekitangaala.” Ne wabaawo ekitangaala.
GEN.1.4	Katonda n'alaba ng'ekitangaala kyali kirungi; Katonda n'ayawula ekitangaala ku kizikiza. 
GEN.1.5	Katonda ekitangaala n'akiyita emisana, n'ekizikiza n'akiyita ekiro. Ne buba akawungeezi, ne buba enkya, olwo lwe lunaku olwolubereberye.
GEN.1.6	Katonda n'ayogera nti, “Wabeewo ebbanga wakati mu mazzi, lyawule amazzi n'amazzi.”
GEN.1.7	Katonda n'assaawo ebbanga n'ayawula amazzi agali wansi w'ebbanga n'amazzi agali waggulu mu bbanga; era ne kiba bwe kityo. 
GEN.1.8	Katonda ebbanga n'aliyita eggulu. Ne buba akawungeezi, ne buba enkya, olwo lwe lunaku olwokubiri.
GEN.1.9	Katonda n'ayogera nti, “Amazzi agali wansi w'eggulu gakuŋŋaanire mu kifo kimu, olukalu lulabike.” Era ne kiba bwe kityo.
GEN.1.10	Katonda olukalu n'aluyita ensi, n'ekkuŋŋaaniro ly'amazzi n'aliyita ennyanja. Katonda n'alaba nga birungi. 
GEN.1.11	Katonda n'ayogera nti, “Ensi emere ebimera: ebimera ebizaala ensigo, n'emiti egy'ebibala ebya buli ngeri ku nsi egizaala ebibala ebirimu ensigo.” Era ne kiba bwe kityo.
GEN.1.12	Ensi n'emera ebimera, ebimera ebizaala ensigo eza buli ngeri, n'emiti egya buli ngeri egizaala ebibala ebirimu ensigo. Katonda n'alaba nga kyali kirungi. 
GEN.1.13	Ne buba akawungeezi, ne buba enkya, olwo lwe lunaku olwokusatu.
GEN.1.14	Katonda n'ayogera nti, “Wabeewo ebyaka mu bbanga ery'eggulu, byawulenga emisana n'ekiro, era bireteewo obubonero n'ebiro n'ennaku n'emyaka; 
