GEN.1.1	元始、上帝創造天地、  
GEN.1.2	地乃虛曠混沌、淵際晦冥、上帝之神煦育乎水面、  
GEN.1.3	上帝曰、宜有光、即有光、  
GEN.1.4	上帝視光為善、遂判光暗、  
GEN.1.5	謂光為晝、謂暗為夜、有夕有朝、是乃一日、○  
GEN.1.6	上帝曰、水中宜有穹蒼、使水判乎上下、  
GEN.1.7	遂作穹蒼、以分穹蒼上下之水、有如此也、  
GEN.1.8	上帝謂穹蒼為天、有夕有朝、是乃二日、○  
GEN.1.9	上帝曰、天下諸水、宜匯一區、俾見大陸、有如此也、  
GEN.1.10	謂大陸為地、謂匯水為海、上帝視之為善、  
GEN.1.11	上帝曰、地宜生草、及結實之蔬、結果之樹、果懷其核、各從其類、有如此也、  
GEN.1.12	地遂生草、及結實之蔬、結果之樹、果懷其核、各從其類、上帝視之為善、  
GEN.1.13	有夕有朝、是乃三日、○  
GEN.1.14	上帝曰、穹蒼宜有輝光、以分晝夜、以為兆象、以定四時年日、  
GEN.1.15	光麗於天、照臨於地、有如此也、  
GEN.1.16	上帝造二巨光、大者司晝、小者司夜、亦造星辰、  
GEN.1.17	置之穹蒼、照臨於地、  
GEN.1.18	以司晝夜、以分明晦、上帝視之為善、  
GEN.1.19	有夕有朝、是乃四日、○  
GEN.1.20	上帝曰、水宜滋生生物、鳥飛地上、戾乎穹蒼、  
GEN.1.21	遂造巨魚、暨水中所滋生之動物、各從其類、又造羽族、各從其類、上帝視之為善、  
GEN.1.22	祝之曰、生育眾多、鱗介充牣於海、禽鳥繁衍於地、  
GEN.1.23	有夕有朝、是乃五日、○  
GEN.1.24	上帝曰、地宜產生生物、各從其類、牲畜昆蟲走獸、各從其類、有如此也、  
GEN.1.25	遂造走獸牲畜、地上昆蟲、皆各從其類、上帝視之為善、  
GEN.1.26	上帝曰、宜造人、其形其象肖我儕、以治海魚飛鳥牲畜、及動於地上之昆蟲、並治全地、  
GEN.1.27	遂造人、維肖乎己、象上帝形、造男亦造女、  
GEN.1.28	上帝祝之曰、生育眾多、遍滿於地、而治理之、以統轄海魚飛鳥、與地上動物、  
GEN.1.29	又曰、遍地結實之菜蔬、懷核之樹果、我予汝以為食、  
GEN.1.30	至地上走獸、空中飛鳥、暨動於地上之生物、我賜之青草以為食、有如此也、  
GEN.1.31	上帝視凡所造者盡善、有夕有朝、是乃六日、  
GEN.2.1	天地萬物既成、  
GEN.2.2	七日上帝造物工竣、乃憩息、  
GEN.2.3	蓋是日上帝畢其工而安息、遂錫嘏此日、別之為聖、○  
GEN.2.4	耶和華上帝創造天地之日、其畧如左、  
GEN.2.5	爾時野無草木、田間蔬菜未生、蓋耶和華上帝未降雨於地、亦無人耕之、  
GEN.2.6	惟霧由地上騰、普潤土壤、  
GEN.2.7	耶和華上帝摶土為人、噓生氣於其鼻、乃成生靈、  
GEN.2.8	耶和華上帝植囿於東方之
GEN.2.9	耶和華上帝使地生諸樹、觀可娛目、食可適口、當囿之中、有生命之樹、及別善惡之樹、  
GEN.2.10	有河流自
GEN.2.11	一曰
GEN.2.12	厥金精良、亦產珍珠碧玉、  
GEN.2.13	二曰
GEN.2.14	三曰
GEN.2.15	耶和華上帝挈其人置
GEN.2.16	命之曰、囿中樹果、任意可食、  
GEN.2.17	惟別善惡之樹、其果不可食、食之日必死、○  
GEN.2.18	耶和華上帝曰、人獨處非善、我將作一相助者以配之、  
GEN.2.19	耶和華上帝以土造野間走獸、空中飛鳥、攜至其人前、視其稱以何名、其所以稱各生物者、即其物之名也、  
GEN.2.20	其人於牲畜飛鳥走獸、各命以名、惟己無相助者配之、  
GEN.2.21	耶和華上帝乃令其人酣睡、取其脇骨之一、彌縫其肉、  
GEN.2.22	以所取之脇骨造女、攜至其前、  
GEN.2.23	其人曰、是乃我骨中之骨、肉中之肉、可稱為女、因自男出也、  
GEN.2.24	是以人將離父母、膠漆其妻、成為一體、  
GEN.2.25	夫婦並裸、亦無愧焉、  
GEN.3.1	耶和華上帝所造之百獸、惟蛇最狡、蛇謂婦曰、囿中諸樹、上帝豈語汝勿食乎、  
GEN.3.2	婦曰、囿樹之實、我儕可食、  
GEN.3.3	惟囿之中一樹、上帝戒之、毋食毋捫、恐致死亡、  
GEN.3.4	蛇曰、爾未必死、  
GEN.3.5	蓋上帝知爾食之日、爾目必明、將如上帝、能辨善惡、  
GEN.3.6	婦視其樹、食可適口、觀可娛目、且可愛慕、益人智慧、遂取果食之、並以遺夫、夫亦食之、  
GEN.3.7	二人之目即明、自知裸體、遂編無花果葉為裳、  
GEN.3.8	晚涼時、耶和華上帝遊於囿、其人與婦聞其聲、匿囿樹間以避之、  
GEN.3.9	耶和華上帝呼其人曰、汝何在、  
GEN.3.10	曰、我聞爾聲於囿、以我裸故、畏而自匿、  
GEN.3.11	曰、孰語爾裸乎、我戒爾勿食之樹果、爾食之乎、  
GEN.3.12	曰、爾所賜偕我之婦、以樹果予我、而我食之、  
GEN.3.13	耶和華上帝謂婦曰、爾何為耶、婦曰、蛇誘我、我遂食之、  
GEN.3.14	耶和華上帝謂蛇曰、爾既為此、較之六畜百獸、必更見詛、且以腹行、畢生食塵、  
GEN.3.15	我以仇隙置爾與婦之間、爰及苗裔、彼將傷爾首、爾將傷其踵、  
GEN.3.16	謂婦曰、我必增爾懷妊之苦、產育劬勞、爾必戀夫、夫必轄爾、  
GEN.3.17	謂
GEN.3.18	土將為爾叢生荊棘蒺藜、汝所食者、田間之蔬、  
GEN.3.19	必汗流浹面、始可得食、迨爾歸土、蓋爾由土出、汝本為土、終則歸之、  
GEN.3.20	其人名婦曰
GEN.3.21	耶和華上帝為
GEN.3.22	耶和華上帝曰、斯人能別善惡、彷彿我儕、恐其舉手、亦取生命樹果、食之而永生、  
GEN.3.23	遂遣其人出
GEN.3.24	既逐之出、又於
GEN.4.2	又生其弟
GEN.4.3	厥後、
GEN.4.4	亦奉以首生之羊與脂、耶和華眷顧
GEN.4.5	而不眷顧
GEN.4.6	耶和華曰、爾怒奚為、變色曷故、  
GEN.4.7	苟爾行善、豈不懽顏、苟行不善、孽伏於門、彼必戀爾、爾其制之、  
GEN.4.9	耶和華謂
GEN.4.10	曰、爾何為耶、汝弟之血有聲、自地籲我、  
GEN.4.11	今地啟口、由於爾手、以受汝弟之血、爾必由地見詛、  
GEN.4.12	汝耕田、地不復効力、爾必流離於地、  
GEN.4.13	謂耶和華曰、我刑之重、實所不堪、  
GEN.4.14	爾今逐我、俾離斯土、不復覿爾面、流離於地、遇我者必殺我、  
GEN.4.15	耶和華曰、凡殺
GEN.4.16	離耶和華前、往
GEN.4.17	與妻同室、懷妊生
GEN.4.18	生
GEN.4.19	娶妻二、一名
GEN.4.20	生
GEN.4.21	其弟
GEN.4.22	生
GEN.4.23	謂妻曰、
GEN.4.24	若殺
GEN.4.25	復與妻同室、生子命名
GEN.4.26	亦生子、命名
GEN.5.2	造男造女、當造之日、錫之以嘏、稱之曰人、  
GEN.5.3	百有三十歲生子、克肖乎己、命名
GEN.5.4	後歷八百年、猶生子女、  
GEN.5.5	享壽九百三十歲而終、○  
GEN.5.6	百有五歲、生
GEN.5.7	後歷八百有七年、猶生子女、  
GEN.5.8	享壽九百十有二歲而終、○  
GEN.5.9	九十歲生
GEN.5.10	後歷八百十五年、猶生子女、  
GEN.5.11	享壽九百有五歲而終、○  
GEN.5.12	七十歲生
GEN.5.13	後歷八百四十年、猶生子女、  
GEN.5.14	享壽九百有十歲而終、○  
GEN.5.15	六十五歲生
GEN.5.16	後歷八百三十年、猶生子女、  
GEN.5.17	享壽八百九十五歲而終、○  
GEN.5.18	百六十二歲生
GEN.5.19	後歷八百年、猶生子女、  
GEN.5.20	享壽九百六十二歲而終、○  
GEN.5.22	後與上帝偕行、歷三百年、猶生子女、  
GEN.5.23	享壽三百六十五歲、  
GEN.5.24	與上帝偕行、上帝接之、遂不在焉、○  
GEN.5.25	百八十七歲生
GEN.5.26	後歷七百八十二年、猶生子女、  
GEN.5.27	享壽九百六十九歲而終、○  
GEN.5.28	百八十二歲生子、  
GEN.5.29	命名
GEN.5.30	後
GEN.5.31	享壽七百七十七歲而終、○  
GEN.5.32	五百歲、生
GEN.6.1	人民繁衍於地、乃生女子、  
GEN.6.2	上帝子見其豔麗、隨意遴選、娶以為室、  
GEN.6.3	耶和華曰、人既屬乎形軀、我神必不恆居其中、然其時日、尚可延至一百二十年、  
GEN.6.4	時、有偉人在世、厥後、上帝子與世人之女同室、生子為上古英武有名之人、○  
GEN.6.5	耶和華鑒觀世人、罪惡貫盈、心所圖維、恆為邪慝、  
GEN.6.6	乃悔造人於地、心焉憂之、  
GEN.6.7	耶和華曰、將以我所造之人、以及牲畜昆蟲飛鳥、翦滅於地、蓋我造之而悔矣、  
GEN.6.8	惟
GEN.6.9	世紀、其畧如左、彼乃義人、於當世為完人、與上帝偕行、  
GEN.6.10	所生三子、
GEN.6.11	舉世敗壞於上帝前、強暴充塞、  
GEN.6.12	上帝見世敗壞、凡有血氣者、行為邪僻、○  
GEN.6.13	上帝諭
GEN.6.14	爾以柏木造方舟、中分為艙、內外塗以瀝青、  
GEN.6.15	其式長三百肘、廣五十肘、高三十肘、  
GEN.6.16	舟上作牖、高一肘、旁置一門、必作三層、分上中下焉、  
GEN.6.17	我必使洪水氾濫於地、以滅天下有血氣之生物、凡在地者、淪胥以亡、  
GEN.6.18	惟我與爾約、爾與妻子及媳、悉入於舟、  
GEN.6.19	將諸生物族類、牝牡各一、挈之入舟、同保厥生、  
GEN.6.20	禽鳥牲畜昆蟲、皆各從其類、須以偶至、以全其生、  
GEN.6.21	蓄諸食品、備爾與物所食、  
GEN.6.22	悉遵上帝命而行、  
GEN.7.1	耶和華諭
GEN.7.2	取畜之潔者、牝牡各七、不潔者、牝牡二、  
GEN.7.3	飛鳥亦取雌雄各七、以存其種、生於全地、  
GEN.7.4	蓋越七日、我將降雨於地、四十晝夜、以殲所造之生物、  
GEN.7.5	悉遵耶和華命而行、○  
GEN.7.6	洪水淹地時、
GEN.7.7	與其妻子及媳、俱入方舟以避之、  
GEN.7.8	畜之潔與不潔者、禽鳥及昆蟲、  
GEN.7.9	牝牡為偶、隨
