MAT.1.1	Atzin te lu'n atzin tajlal t-xe'chil Jesucrist, a tzajnin ti'j qtzan David ex ti'j qtzan Abraham:
MAT.1.2	Ante Abraham, ttata Isaac, a ttata Jacob, a ttata Judá junx kyuk'a ttziky ex titz'in. 
MAT.1.3	Ante Judá tuk'a Tamar, aye' kytata Fares tuk'a Zara. Ante Fares ttata Esrom, a ttata Aram, 
MAT.1.4	a ttata Aminadab, a ttata Naasón, a ttata Salmón. 
MAT.1.5	Ante Salmón tuk'a Rahab, aye' ttata Booz, ex ante Booz tuk'a Rut, aye' ttata Obed, a ttata Isaí. 
MAT.1.6	Ante Isaí, ttata David, a nmaq kawiltaq. Ante David ttata Salomón, a taljo t-xu'jlb'in Urías. 
MAT.1.7	Ante Salomón ttata Roboam, a ttata Abías, a ttata Asa, 
MAT.1.8	a ttata Josafat, a ttata Joram, a ttata Uzías, 
MAT.1.9	a ttata Jotam, a ttata Acaz, a ttata Ezequías, 
MAT.1.10	a ttata Manasés, a ttata Amón, a ttata Josías, 
MAT.1.11	a ttata Jeconías kyuk'a txqantl titz'in, a te' kyxi jtz'o'n aj Israel tzmax toj tx'otx' te Babilonia.
MAT.1.12	Axsa toj Babilonia ante Jeconías ok te ttata Salatiel, a ttata Zorobabel, 
MAT.1.13	a ttata Abiud, a ttata Eliaquim, a ttata Azor, 
MAT.1.14	a ttata Sadoc, a ttata Akim, a ttata Eliud, 
MAT.1.15	a ttata Eleazar, a ttata Matán, a ttata Jacob, 
MAT.1.16	a ttata Jse, a tchmil Mariy, a tnana Jesús, a ok tb'i te Crist, a sk'o'nxix tu'n Dios tu'n tok te Kolil.
MAT.1.17	Ikytzi'n, attaq kyajlajaj tyajil tzajnin ti'j Abraham tzmaxi' tej tul itz'je David; ex kyajlajaj tyajil tzajnin ti'j David, tej kyxi jtz'o'n aj Israel tzmax toj tx'otx' te Babilonia. Ex attaq kyajlajaj tyajil tzajnin, atxix te' kyxi jtz'o'nxjal toj Babilonia tzmax tej tul itz'je Crist.
MAT.1.18	Atzin titz'jlin Jesucrist ikytzi'n kyjalu'n:
MAT.1.18	Ante Mariy, a tnana, otaq b'ant ti'j, tu'n tmeje tuk'a Jse.
MAT.1.19	Me ante Jse, a tu'n toktaq te tchmil, tej tok tka'yin qa otaq tz'ok tz'aq tal Mariy, kub' t-ximin tu'n tkub' tpa'n tib' tuk'a, qu'n jun ichin tz'aqle, ex kub' t-ximin qa noq otaq sk'on Mariy tal. Me tky'e'taq tu'n tel tqanil kywutzxjal, tu'ntzintla mi kub' kyb'inchinxjal mib'in ti'j Mariy; qala' kub' t-ximin tu'n cheb'etaq tu'n tkub' tpa'n tib' tuk'a toj ewajil.
MAT.1.20	Ex tzmataq nximin ti'jjo lo, ok tyek'in jun t-angel qAjaw tib' te toj wutziky', ex xi tq'ma'n te: Jse, ay tyajil qtzan nmaq kawil David. Mi xob'a tu'n tjaw mejey tuk'a Mariy, qu'n atzin tal k-itz'jil nya tk'wal jun ichin, qala' tu'n Xewb'aj Xjan. 
MAT.1.21	Qu'n k-itz'jil jun tal q'a, ex k-okil tq'o'n tb'i Jesús.
