MAT.1.1	Ake ini a Jisas Krais ititeviere oionre. Jisas ini a Devit itevinga na Devit ini a Abraham itevinga.
MAT.1.2	Na Abraham ini a Aisak itema.
MAT.1.2	Na Aisak ini a Jekop itema.
MAT.1.2	Na Jekop ini a Juda ome ititeinre otema.
MAT.1.3	Na Juda ini a Peres ome a Sera otema, na onina ini a Tamar.
MAT.1.3	Na Peres ini a Hesron itema.
MAT.1.3	Na Hesron ini a Ram itema.
MAT.1.4	Na Ram ini a Aminadap itema.
MAT.1.4	Na Aminadap ini a Nason itema.
MAT.1.4	Na Nason ini a Salmon itema.
MAT.1.5	Na Salmon ini a Boas itema, na inina ini a Rahap.
MAT.1.5	Na Boas ini a Obet itema, na inina ini a Rut.
MAT.1.5	Na Obet ini a Jesi itema.
MAT.1.6	Na Jesi ini a Nepes a Devit itema.
MAT.1.6	Na Devit ini a Solomon itema.
MAT.1.6	Na Solomon inina ini a Batsiba ako Devit i pamuespot i a Uria nge.
MAT.1.7	Na Solomon ini a Rehoboam itema.
MAT.1.7	Na Rehoboam ini a Abija itema.
MAT.1.7	Na Abija ini a Asa itema.
MAT.1.8	Na Asa ini a Jehosapat itema.
MAT.1.8	Na Jehosapat ini a Jehoram itema.
MAT.1.8	Na Jehoram ini a Usia itema.
MAT.1.9	Na Usia ini a Jotam itema.
MAT.1.9	Na Jotam ini a Ahas itema.
MAT.1.9	Na Ahas ini a Hesekia itema.
MAT.1.10	Na Hesekia ini a Manase itema.
MAT.1.10	Na Manase ini a Emon itema.
MAT.1.10	Na Emon ini a Josaia itema.
MAT.1.11	Na Josaia ini a Jehoiakin ome ititeinre otema.
MAT.1.11	Na nge wop lemi aken Babilonre o pun tomo e Israelre ma o wolpot ir a Babilon la.
MAT.1.12	Babilonre o wolpot Israelre lale a Babilon la, ma Israelre ole vothong a Babilon i patea nge a Jehoiakin.
MAT.1.12	Na Jehoiakin ini a Sealtiel itema.
MAT.1.12	Na Sealtiel ini a Serubabel itema.
MAT.1.13	Na Serubabel ini a Abiut itema.
MAT.1.13	Na Abiut ini a Eliakim itema.
MAT.1.13	Na Eliakim ini a Asor itema.
MAT.1.14	Na Asor ini a Sadok itema.
MAT.1.14	Na Sadok ini a Akim itema.
MAT.1.14	Na Akim ini a Eliut itema.
MAT.1.15	Na Eliut ini a Eleasar itema.
MAT.1.15	Na Eleasar ini a Matan itema.
MAT.1.15	Na Matan ini a Jekop itema.
MAT.1.16	Na Jekop ini a Josep itema.
MAT.1.16	Na Josep ini toko ako iewo sengenga ini a Maria ako i pop a Jisas, ini toko aken te apeta i ini a Mesaia, ini toko ako God i ateal i ve aro i el werer ile tokokoere.
MAT.1.17	Jisas ititeviere ako i patea nge a Abraham ma me i mulalu nge a Devit kene or ini toko or mule pa omole pothoi or penel. Na i patea mun nge a Devit ma me i mulalu nge owolpotnga a Babilon kene or ini toko or mule pa omole pothoi or penel. Na i patea mun nge owolpotnga a Babilon ma me i mulalu nge a Krais ile velpoling kene or ini toko or mule pa omole pothoi or penel mun.
