MAT.1.1	Jesus Kristo, Dawi panaa, Abaraãm panaa. Hahỹ ta wahë makũ sa häd heen n'aa kerih doo:
MAT.1.2	Abaraãm t'aah, Isak.
MAT.1.2	Isak t'aah, Jakóh.
MAT.1.2	Jakóh taah, Judah, ta hỹỹj daheeh.
MAT.1.3	Judah t'aah, Peres.
MAT.1.3	Peres taah, Eserõm Serah daheeh. Tamar mä sa ỹỹn makũ häd.
MAT.1.3	Eserõm t'aah, Rãm.
MAT.1.4	Rãm t'aah, Aminadab.
MAT.1.4	Aminadab t'aah, Nasõm.
MAT.1.4	Nasõm t'aah, Saramon.
MAT.1.5	Saramon t'aah, Buwas. Buwas ỹỹn Rahab häd näng doo.
MAT.1.5	Buwas t'aah, Obed. Obed ỹỹn mä Rut häd näng doo.
MAT.1.5	Obed t'aah, Jesé.
MAT.1.6	Jesé t'aah kä, Dawi, ër wahë makũ sa wahë n'aa paah.
MAT.1.6	Dawi t'aah, Saromãw. Saromãw ỹỹn Urija häd näng do ỹỹm paah.
MAT.1.7	Saromãw t'aah, Reoboãm.
MAT.1.7	Reboãm t'aah, Abijah.
MAT.1.7	Abijah t'aah, Asah.
MAT.1.8	Asah t'aah, Josapa.
MAT.1.8	Josapa t'aah, Jorãw.
MAT.1.8	Jorãw panaa seeh, Usijah.
MAT.1.9	Usijah t'aah, Jotãw.
MAT.1.9	Jotãw t'aah, Akas.
MAT.1.9	Akas t'aah, Esekijah.
MAT.1.10	Esekijah t'aah, Manaséh.
MAT.1.10	Manaséh t'aah, Amom.
MAT.1.10	Amom t'aah, Josijah.
MAT.1.11	Josijah panaa kä, Jekonija, ta hỹỹj daheeh. Babirõn buuj, Judah buuj majĩĩ, sa häj n'aa hẽnh Judah buuj ramahũũm noo gó Jekonija rababok.
MAT.1.12	Babirõn häj n'aa bä rabaj'eenh do jawén paa bä henäk do hahỹ Jesus wahë makũ sa häd: Jekonija t'aah, Saratijéw.
MAT.1.12	Saratijéw t'aah, Sorobab.
MAT.1.13	Sorobab t'aah, Abijuh.
MAT.1.13	Abijuh t'aah, Erijakĩm.
MAT.1.13	Erijakĩm t'aah, Asor.
MAT.1.14	Asor t'aah, Sadok.
MAT.1.14	Sadok t'aah, Akĩh.
MAT.1.14	Akĩh t'aah, Erijud.
MAT.1.15	Erijud t'aah, Erejasa.
MAT.1.15	Erejasa t'aah, Matãn.
MAT.1.15	Matãn t'aah, Jakóh.
MAT.1.16	Jakóh t'aah, Joséh kä. Marija häd näng do patug ti Joséh. Marija t'aah kä, Jesus, ramaneëënh do Kristo, P'op Hagä Do H'yyb Däng Doo.
MAT.1.17	14 Jesus wahë makũ sa häd ketsén do Abaraãm du doo bä naa, Dawi bä kä tagadäk. 14 sa häd ketsén do Dawi häd bä naa, Judah buuj Babirõn häj n'aa hẽnh ramahũũm bä kä. 14 kä m' Jesus Kristo
MAT.1.18	Hahỹỹ da Jesus Kristo benäng do ky n'aa. Jesus ỹỹn pan'aa Marija häd näng doo. Joséh gatëë do pan'aa m' ti Marija. Ti m' Marija beta däk, dooh Joséh awäd bä ta wë. Marija wén eta däk, P'op Hagä Do Sahee hejój hyb n'aa. 
MAT.1.19	Baad ub, P'op Hagä Do karẽn doo da Joséh, ta patug pan'aa bawät. Ti hyb n'aa m' dooh takarẽn bä Marija taky n'aa tapa bä hajõk do sa matym gó. Dooh takarẽn bä Marija tanu meby bä ta wób sa hã.
MAT.1.20	Ti m', ta ti tahyb n'aa newë däk do jawén paa bä Tak'ëp Hyb N'aa Jawyk Do ããs kas'ee wät ta hã ta s'ëë gó. Ti m' ta s'ëë gó ããs ky hadoo ta hã. Hahỹỹ da ta kyyh:
MAT.1.20	—Joséh, Dawi panaa, —näng mäh —mahyb n'aa p'eed manäh. Magat'ëë né hẽ Marija. Ajãn ta wog gó hasuun doo, P'op Hagä Do Sahee hejój hanaa. 
MAT.1.21	Aj'yy da ta t'aah. Mahäd n'oo da Jesus,
MAT.1.22	Sahõnh hẽ tii d' tawén hadoo, Tak'ëp Hyb N'aa Jawyk Do kyyh ta ky n'aa rod Isajas häd näng do erii wät do paa kaja däk hyb n'aa. Hahỹỹ da taky däng do paah: 
MAT.1.23	“Etaah da maruus aj'yy manepäh nä doo. Enyy däk da aj'yy ta t'aah. Ramaneëënh da ta häd Imanuéw”,
MAT.1.24	Ti m' Joséh ty gawëëj däk bä, ããs mejũũ doo da né hẽ taky daheeh. Marija tagat'ëë däg kän. 
MAT.1.25	Tagat'ëë däk né hẽ, dooh ta wë tawäd bä Marija t'aah nenäng nä bä. Ti m' Marija t'aah benäng do jawén paa bä Joséh häd n'oo däk mä Jesus.
