MAT.1.1	Un mato Jesucristohuunoa tsain shara tapimai. Ahuun shunifoan aton anufo un mato yoiqui tau huai. Ahuun shuni David yafi Abraham.
MAT.1.2	Abraham facu Isaac ini.
MAT.1.2	Isaac facu Jacob ini.
MAT.1.2	Jacob facu Judá yafi ahuun yorafo ini.
MAT.1.3	Judápan facu Fares yafi Zara ini. Aton ahuari Tamar ini.
MAT.1.3	Fares facu Esrom ini.
MAT.1.3	Esrom facu Aram ini.
MAT.1.4	Aram facu Aminadab ini.
MAT.1.4	Aminadab facu Naasón ini.
MAT.1.4	Naasón facu Salmón ini.
MAT.1.5	Salmón facu Booz ini. Ahuun ahuari Rahab ini.
MAT.1.5	Boozpan facu Obed ini. Ahuun ahuari Rut.
MAT.1.5	Obed facu Isaí ini.
MAT.1.6	Isaí facu David ini. Nan David Israelifoan aton niaifocoin ipaoni.
MAT.1.6	David facu Salomón ini. Salomón ahuafin Uriaspan ahuin ipaoniquin.
MAT.1.7	Salomón facu Roboam ini.
MAT.1.7	Roboam facu Abías ini.
MAT.1.7	Abías facu Asa ini.
MAT.1.8	Asa facu Josafat ini.
MAT.1.8	Josafat facu Joram ini.
MAT.1.8	Joram facu Uzías ini.
MAT.1.9	Uzías facu Jotam ini.
MAT.1.9	Jotam facu Acaz ini.
MAT.1.9	Acaz facu Ezequías ini.
MAT.1.10	Ezequías facu Manasés ini.
MAT.1.10	Manasés facu Amón ini.
MAT.1.10	Amón facu Josías ini.
MAT.1.11	Josías facu Jeconías yafi ahuun yorafo ini.
MAT.1.11	Nantianri Babilonia anoa niaifoan ahuun ranushumuafo nichini Israelifo rutushon atirifi ahuun mai ano ihuushonafoanno ahuun oinmatifo huanon. 
MAT.1.12	Chipofin Babilonia anoashu futsafori cainni.
MAT.1.12	Jeconías facu Salatiel ini.
MAT.1.12	Salatiel facu Zorobabel ini.
MAT.1.13	Zorobabel facu Abiud ini.
MAT.1.13	Abiud facu Eliaquim ini.
MAT.1.13	Eliaquim facu Azor ini.
MAT.1.14	Azor facu Sadoc ini.
MAT.1.14	Sadoc facu Aquim ini.
MAT.1.14	Aquim facu Eliud ini.
MAT.1.15	Eliud facu Eleazar ini.
MAT.1.15	Eleazar facu Matán ini.
MAT.1.15	Matán facu Jacob ini.
MAT.1.16	Jacob facu José ini.
MAT.1.16	José ahuin María nan Jesús ahua ini. Jesús Upa Diosin catonni nocon Numamisi inon. Nan non Cristoran huamisi. 
MAT.1.17	Abraham ahuun funafo catorce ahuun unutani David ini. David ahuun funafori catorce ahuun unutani Babilonia anoshon ato achinifo ato mai ano inonfo. Nanfoan ahuun funafori catorce ahuun unutani Cristo cainni.
MAT.1.18	Jesucristo cainfin iscaniquin. José María yoini, —Non fiananon, —ishon. Ascafia fiananfotaima María man facu nanua ini. José ayamafian Diosin Yoshin Sharapan nanumana. 
MAT.1.19	Ascashon José Dios tanasharacoinshon ahuun chain ahuin rafini huacasmaquin yorafoan ointaifi yoicasmani. 
MAT.1.20	Nanscara ahuun nomuranshon shinanfiaino ahuun namapan Diosin ahuun oinmatinin afu nai muran imisi aqui oshon yoiquin isca huani, —José minfin David funaquin. Ascacun shinanchacaquima María fihuu. Nan facu nanuafin Diosin Yoshin Sharapan nanumanaquin. 
MAT.1.21	Ascan nan caianofin anuqui Jesusran min huashquicain. Nantonmain ahuun yorafo chaca soashofain ato numashquiamaiton, —ishon yoini. 
MAT.1.22	Diosinhuunshon inon pacoai yoimisifoan cununifo cuscan man aaquin. 
MAT.1.23	Nanfoan cunuquin isca huani,
MAT.1.23	“Nicapon. Ainfo funuoma tsoa afu iyamafiamisi facu nanushquin. Caianno furonanfacu iishquin. Ahuun anufin Emanuel (Onicoinnin tsainman Diosin nofu icaran) ishquiquin,”
MAT.1.23	ishon Dioshuunshon inon pacoai yoimisi cununi.
MAT.1.24	Ascaino José moinacahuatan nan Diosin oinmatinin afu nai muran imisi yoia cuscan María fiini. 
MAT.1.25	Fiifiashocai afu ipaonima furun caiyain chain. Ascashu furun caincun José anuqui Jesusran huani.
MAT.2.1	Ascano Herodes niaifoaitian Jesús Belén anoashu cainni. Nan Belén Judea muran ini. Nantianri fishifohuunoa tapicoianfo fari oaiquirinoashu fucani Jerusalén ano noconifo. 
MAT.2.2	Ascano nococashon ato yocanifo, —Raniashumun a facu caianquin Judiofoan aton niaifo ishquiai. Non fishi oianhuunshon non tapia facu caincun. Man nonfin ahuun fishi fari oai aria oianquin. Ascacufin non aqui unimai oaquin. Min nocon niaiforan ishon oinpai non oaran, —ishon ato yocanifo.
MAT.2.3	Ascaifoan nicai Herodes ahuun ointi fucashriscatani. Jerusalén anoa yoraforifi Herodes icai cuscan arifi muunifo. 
MAT.2.4	Ascacun ahuun yorafohuunshon Diosin cufimisifoan niaifofo yafi Moisés cununi cuscan tapimamisifo Herodes ato yoimaquin isca huani, —Uqui fucahuun, —ishon ato yoimanano aqui fuaifoan ato yocaquin —¿Raniashumun Cristo cainshquiquin? —ishon Herodes ato yocani. 
MAT.2.5	Ascaiton cumacaquin, —Belén Judea murannoashu cainshquin, —nannori Diosinhuushon inon pacoai yoimisifoan cunuquin isca huani.
MAT.2.6	“Belén anoafoan ua nicasharacahuun. Maton mai Judea muran. Maton pushu ichapayamafiano nannoashu niaifo uhuapacoin cainshquin. Uhuun yora Israelifoan aton cushumisi iishquiran,”
MAT.2.6	icashu cununi.
MAT.2.7	Ascacun Herodes a fishifohuunoa tapicoianfo tsoa yoitama tsain ato fomaquin isca huani, —Fucahuun. Un matofu tsainon, —ishon ato yoimani. Ascano nocotoshiaifoan ato yocaquin, —¿Ahuutianmun man fishi oinquin tau huaquin? —ishon ato yocaiton. Tapimanifo ahuutianmain oinqui tau huafoquin. 
MAT.2.8	Ascashon aton yoini, —Belén ano focashon facu funatacahuun. Fuchicashon nasofuratan ua yoi fuushcaquin. Urifi un ahuun noicanon, —ishon Herodes ato yoini.
MAT.2.9+MAT.2.10	Ascano niaifoan ato yonoa cuscan nicatan fishifohuunoa tapicoianfo fonifo. Focaquin oianfo fishi fari oaiquirinoashu oaiton oincani unimacoinnifo. Ascatan muufocaquin oianfo facu raca manaon nituni. 
MAT.2.11	Ascaiton oincani pushu muran iquifainshon facu yafi ahua María fuchinifo. Ascashon ratoconun mai chachishon facu yoinifo isca huaquin, —Minfin fasi sharashtacoinquin. Min nocon Ifo, —ishon yoinifo. Ascacatan aton mao fupucashon ahuara chicoin inancoinnifo. Oro inanfain ahuun ininti shara inanfain ininti sharacapa futsa ahuun anu mirra nanri inannifo. 
MAT.2.12	Ascashu nanno oshayoafoan aton namapan Diosin ato yoiquin isca huani, —Afanan Herodes ari foyamacahuun. Fai futsan mato mai ari fotacahuun, —ishon Diosin ato yoini. Ascacucai Jerusalén ano fonifoma.
MAT.2.13	Man fishihuunoa tapicoianfo atomaquinoashu foafono Diospan oinmatinin afu nai muran imisi José ahuun namapan yoiquin isca huani, —Funinaca huahuun. Nan facu yafi ahua Egipto ano iyoriscatahuun. Ascashu nanri iyohuu nan un mia afanan yoiaitian. Nan Herodes facu funaiqui rutushquin, —ishon Diospan oinmatinin José yoini. 
MAT.2.14	Asca huaino moinacahuatan facu ahua futan yamu Egipto ano ichoquinifo. 
MAT.2.15	Ascashu nanno iyopaonifo nan Herodes naitian. Ascacun Diosihuunshon inonpacoai yoimisiton cunushoni isca huaquin,
MAT.2.15	“Unfin uhuun facu Egipto anoa afanan yoimanicain,”
MAT.2.15	ishon yoini cuscacoin man aaquin.
MAT.2.16	Ascano fishihuunoa tapicoianfo fai futsan foafo nicai, —Ua paraforan, —icashu Herodes fasi sinacoinni. Nan fishifohuunoa tapicoianfoan yoiafo man fari rafu caano fishi oinquin tau huafo. Ascacun Herodes ranushumuafo yononi, —Belén anoafo yafi a chaima icafoan aton furonanfacufo fari rafu yafo non yomumishti rutuqui cuyotacahuun, —ishon ato yononi. 
MAT.2.17+MAT.2.18	Ascano
MAT.2.17+MAT.2.18	“Ato nicafo Ramá anoashu uaicani aton facuhuunoashu uaiyanan shorarascaifoan nicacaquin. Aton ointi main huamapaicaquin, ‘Uaiyamacahuun,’ ato huafiainfono aton facu manocani unupainifomaran,”
MAT.2.17+MAT.2.18	ishon Jeremías Diosihuunshon inonpacoai yoishomisiton cununi cuscacoin man aaqui.
MAT.2.19	Ascashu man Herodes naano Diosin oinmatinin afu nai muran icaton José ahuun namapan yoiqui isca huani, 
MAT.2.20	—Moinacahuahuu. Facu yafi ahua afanan Israelifo muran ato nasoquishquin. A facu rutupaimisifo man naafoquin, —huani. 
MAT.2.21	Ascaino moinacahuatan José ahua yafi furun Israeli mai ano afanan ato iyoni. 
MAT.2.22	Caaquin nica Herodes man naano ahuun facu Arquelao Judea murannoa niaifo nicai José musuni. Ascaiton Diosin oinmati afu nai muran imisiton afanan ahuun namapan yoini, —Judea muran caquima futsanori catahuun, —huani. Ascano Judea muran catama Galilea anori fonifo. 
MAT.2.23	Ascashu Nazaret pushurasi muran fonifo. Diosihuunshon inon pacoai yoimisiton nannori cunuquin isca huani,
