MAT.1.1	Neney na ɗeriwel ma mezley ma baba tete ma Yezu Kriste hay, bəzey ma David, bəzey ma Abraham.
MAT.1.2	Abraham ma yawa Izak, Izak ma yawa 
MAT.1.3	Zuda ma yawa Fares ta Zara, maya ta na Tamar, Fares ma yawa Esrom, Esrom ma yawa Aram. 
MAT.1.4	Aram ma yawa Aminadab, Aminadab ma yawa Nasoŋ, Nasoŋ ma yawa Salmoŋ. 
MAT.1.5	Salmoŋ ma yawa Boz, may ŋga na na Rahab, Boz ma yawa Zobed, may ŋga na na Rut, Zobed ma yawa Zesey. 
MAT.1.6	Zesey ma yawa bay ɗuhwa na David,
MAT.1.6	David ma yawa Salomoŋ, may ŋga na na ŋgwas ma Uri. 
MAT.1.7	Salomoŋ ma yawa Robowam, Robowam ma yawa Abiya, Abiya ma yawa Aza. 
MAT.1.8	Aza ma yawa Zozafat, Zozafat ma yawa Zoram, Zoram ma yawa Oziyas. 
MAT.1.9	Oziyas ma yawa Zowatam, Zowatam ma yawa Akaz, Akaz ma yawa Ezekiyas. 
MAT.1.10	Ezekiyas ma yawa Manasey, Manasey ma yawa, Amoŋ, Amoŋ ma yawa Zoziyas. 
MAT.1.11	Zoziyas ma yawa Zekoniyas ta malam aŋga hay. A hələmata bəzey ma Israyel hay a Babiloŋ na, da har ana ŋga na tok. 
MAT.1.12	A dəba ma ma hələmata ba a Babiloŋ na, Zekoniyas ma yawa Salatiyel, Salatiyel ma yawa Zorobabel. 
MAT.1.13	Zorobabel ma yawa Abiyud, Abiyud ma yawa 
MAT.1.14	Azor ma yawa Sadok, Sadok ma yawa Akim. Akim ma yawa 
MAT.1.15	 ma yawa 
MAT.1.16	 ma yawa Zozef, zel ma Mariya na ma da yawa Yezu, ma zəlamar Kriste ana. 
MAT.1.17	Me mbəsley ta tabiyaha me bəzey ma hwaɗ hay tok na: zla ka Abraham kasl ka David na, kurow kava faɗ. Ka David kasl ka ma hələmata bəzey ma Israyel hay a Babiloŋ na, kurow kava faɗ satsa. Da me həley ta a Babiloŋ kasl ka Kriste ana, kurow kava faɗ satsa.
MAT.1.18	Nəkafama me zley ma yawa ma Yezu Kriste. Mariya may ŋga na na, kokwa ma Zozef. Arka, amba ŋga ka zəga na, a da sərafa na bəzey da hwoɗ ta gədaŋ ma Mesəfrey Kokwoɗ ana. 
MAT.1.19	Zel aŋga na Zozef ana na ndaw dzerey aha, a wuɗey ma babəlada tek ta guma na ma ndaw hay ka tsənadama kakay, a wuɗey ma mbəɗar mey ta masasuɗok aha. 
MAT.1.20	Andza ŋga ka dzala tsoy na, arka madurlam ma Bay’ərlam ma ɓar vaw da dey mesəney, ma ləvar: «Zozef bəzey ma David, ka da wesey ma zəga Mariya ’ay ɗek ka ŋgwas aha zlay, hərway bəzey ŋga na da hwoɗ ana na, a sawa ta gədaŋ ma Mesəfrey Kokwoɗ ana. 
