MAT.1.1	Xuꞌu é Mateú u ne, iꞌa kakaꞌán u iña táta viꞌi Jesucristu, iꞌxá ika Dāvii, iꞌxá ika Ābraan.
MAT.1.2	Xíō iꞌxá Abraan é nani Īsaa; xíō iꞌxá Isaa é nani Jācoo; xíō iꞌxá Jacoo é nani Jūdaa; xíō ení ña dɨ. 
MAT.1.3	Xíō iꞌxá Judaa é nanī Fare ní Zara (dɨꞌɨ ñā ne, Tamaa nani ña); xíō iꞌxá Fare é nani Ēruun; xíō iꞌxá Eruun é nani Āraan; 
MAT.1.4	xíō iꞌxá Araan é nani Aminādaa; xíō iꞌxá Aminadaa é nani Nāsuun; xíō iꞌxá Nasuun é nani Sālmuun; 
MAT.1.5	xíō iꞌxá Salmuun é nanī Boó (dɨꞌɨ ñā né, Raa nani ña); xíō iꞌxá Boo é nani Ōbeé (dɨꞌɨ ñā né, Ruu nani ña); xíō iꞌxá Obee é nani Isāii; 
MAT.1.6	xíō iꞌxá Isaii é nani Dāvii, ña e kúvi rei. Ēni viꞌi rei Davií san ni ñadɨ̄ꞌɨ kií, ñadɨ̄ꞌɨ́ Uriá, ne, xíō iꞌxá ña é nani Salāmuun.
MAT.1.7	Xíō iꞌxá Salamuun é nani Robōaan; xíō iꞌxá Roboaan é nani Ābia; xíō iꞌxá Abia é nanī Asa; 
MAT.1.8	xíō iꞌxá Asa é nani Josāfaa; xíō iꞌxá Josafaa é nani Jōraan; xíō iꞌxá Joraan é nani Ūzia; 
MAT.1.9	xíō iꞌxá Uzia é nani Jōtaan; xíō iꞌxá Jotaan é nani Ācaa; xíō iꞌxá Acaa é nani Ezēquia; 
MAT.1.10	xíō iꞌxá Ezequia é nani Manāsee; xíō iꞌxá Manasee é nani Āmuun; xíō iꞌxá Amuun é nani Jōsia; 
MAT.1.11	xío ūun iꞌxá Josia é nani Jecōniá ne, xíō ení ña dɨ. Ntoo ña ntuvi dá xee ñáꞌa, ña ñuú Babiloniá san ne, kueꞌen níꞌi ña ña Israeé san ñuú ña kān é nantōꞌo ña ña.
MAT.1.12	Dā rkontûvi xíō iꞌxá Jeconia é nani Salātiee; xíō iꞌxá Salatiee é nani Zorobābee; 
MAT.1.13	xíō iꞌxá Zorobabee é nani Abīuu; xíō iꞌxá Abiuu é nani Eliāquiin; xíō iꞌxá Eliaquiin é nani Āsoo; 
MAT.1.14	xíō iꞌxá Asoo é nani Sādoo; xíō iꞌxá Sadoo é nani Āquiin; xíō iꞌxá Aquiin é nani Elīuu; 
MAT.1.15	xíō iꞌxá Eliuu é nani Lāzaa; xíō iꞌxá Lazaa é nani Mātaan; xíō iꞌxá Mataan é nani Jācoo; 
MAT.1.16	xíō iꞌxá Jacoo é nani Jōseé, dɨvi xɨ̄ɨ Maríā. Maríā sán ne, dɨꞌɨ Jēsuú, dɨvi ñā é kākaꞌan o é Cristu, ña é taxnuu Xuva kō.
MAT.1.17	Xío ūxkɨmi úvata ñā nté Abraan un tsi nté Davii. Xíō tuku uxkɨmi úvata ñā nté Davii un tsi da nté kueꞌen niꞌi ña ña Israeé san ñuú Babiloniá ne, xíō tuku uxkɨmi úvata ñā un tsi da nté ntūvi e káku Cristú san.
MAT.1.18	Dukuan ō kúvi da káku Jesucristu: María, dɨꞌɨ Jēsuú ne, e xéꞌe ñā xuꞌu ña e tántaꞌa ña ni Jōseé ne, ntá tsi diꞌna dá kuntoo niꞌi tāꞌan ña ne, kūtuni ña tsí ñuꞌu iꞌxá ña kuenta iña Espíritū Sántū san. 
MAT.1.19	Dōo vaꞌá ñaꞌa xɨɨ ña Joseé san. Ña ni ntío ña é kāꞌan kíni ñaꞌa san iña Maríā. Dukuān né, dē kuení ña é diin diin tsi naxtuvī mii ña ña. 
MAT.1.20	Ntá tsi da nɨɨ kadē kuení ña ne, xée ūun ánje Xuva kō ñuu éni kān, kakaꞌan ña:
MAT.1.20	—Jōsee, iꞌxá ika Dāvii, ñá ku uꞌvī o é nākiꞌin Maríā é kuvi ña ñadɨ̄ꞌɨ o, tsí iꞌxa é nakāku ña ne, ñuꞌu kuenta iña Espíritū Sántū san. 
MAT.1.21	Nakāku ña uun iꞌxa tií ne, xntēén dɨvī í é Jēsuu, tsí dɨvi ñā é nakakū ñá ña ñuú ña, ña é iō kuetsí i —kaꞌan ánjē san.
MAT.1.22	Un ntɨꞌɨ sāꞌa kúvi vata koo é kūntaa é kākaꞌan ña é kaꞌán naa Xuva ko:
MAT.1.23	Kuꞌun īꞌxá uun ñadɨ̄ꞌɨ kuétsī, ña é vāta kiní ñatīí ne,
MAT.1.23	nakāku ña uun iꞌxa tii é kunani ña Emānuee,
MAT.1.23	kaꞌan ña. Emanueé ne, kani túꞌun: Xuva kō nuu méꞌñu ña kō.
MAT.1.24	Dā ntóto Joseé ne, dē ntaa ñá vatā ó kakaꞌan ánje Xuva kō san. Nākiꞌi ñá ñadɨꞌɨ̄ ña, 
MAT.1.25	ntá tsi ña ni kántoo niꞌi tāꞌan ña da nté ita ntíꞌxin ntuvi e káku iꞌxá ña. Xnteē ñá dɨvī í é Jēsuu.
MAT.2.1	Kāku Jesuu ñuú Beleen ntuvi dá inúu rei Heróde ñūú tsikan. Kidáā né, ēka ña e dóo kiꞌin inī í san ñuú e dóo ikā ne, xée ña ñūú Jerusaleen. 
MAT.2.2	Ntátsixeꞌe ñā:
MAT.2.2	—¿Míꞌi ntu tūví rei iña ñá Israee, ña é dā ve káku san? Īní ntɨ kɨ́mī e kéne e táꞌxi kuenta íña ñá nte ñúú ntɨ kān. Dukuān é vēꞌxí ntɨ é kunūu iní ntɨ ña —kaꞌan ña.
MAT.2.3	Dā téku rei Heródē sán ne, dōo dé kuení ña, ni ūn ntɨɨ́ ntɨ̄ɨ́ ña ñuú Jerusaleen. 
MAT.2.4	Kāna ña un ntɨɨ́ ntɨ̄ɨ tóꞌō dutú san nī mastrú leí san, tsixeꞌe ña ñā:
MAT.2.4	—¿Míꞌi ntu kāku ñá nanī Cristu, ña táxnuu Xuva kō? —kaꞌan ña.
MAT.2.5	Ntákaꞌan ñá ni ñā:
MAT.2.5	—Ñuú Beleen é kāduku ntée ñuú Judea, tsí kuan ō kaꞌan ñá kaꞌán naa Xuva ko kídaā:
MAT.2.6	Dɨvin, ñūú Beleen é tūvín ñuú Judaa,
MAT.2.6	kaꞌnun vata ntáa é un ntɨɨ́ ntɨ̄ɨ́ ñuú naꞌnu
MAT.2.6	mí ntoo ña ntádē kûꞌvé ñuú Judaa.
MAT.2.6	Ntá tsi dií dií ka kuiko ñuꞌu ñāꞌa o,
MAT.2.6	tsí nte ñúu o kan vēꞌxí uun ñaꞌa,
MAT.2.6	ña kada kûꞌvé iña ñaꞌa ko, ñá Israeé san.
MAT.2.6	Kuan ō kaꞌan ña —kaꞌan ñáꞌa san.
MAT.2.7	Kidáā né, kāna xuꞌu Heródē ña dóo kiꞌin inī í san, tsixeꞌe ña ñā nee ntúvi ntiꞌxe é kii díto kɨ́mī san. 
MAT.2.8	Kidáā né, taxnūu ña ña ñuú Beleén san, kakaꞌan ña:
MAT.2.8	—Kueꞌēn ntó, nantuku vāꞌá nto iꞌxá san. Te nāniꞌi nto í ne, taxnūu nto túꞌūn vata koo é kikunúu ini kó i dɨ —kaꞌan ña.
MAT.2.9	Dā téku ña é kākaꞌán reí san ne, kuéꞌēn ká ña. Īní ña tsí dɨvī kɨ́mī e íni ña ñuú ña kān né, odo nūú nuu ña, kuéꞌēn da nté xee mí tuví iꞌxá san. 
MAT.2.10	Dā íni ña kɨ́mī sán ne, ñá tē nté kaa diní ña. 
MAT.2.11	Dá kūkɨ́ꞌvi ña má viꞌi kān né, īní ña iꞌxá san ni dɨꞌɨ i Māríā ne, ínchɨtɨ ñā mí tuví ne, ínūu iní ña i. Nākaán ña etun ñá ne, xéꞌe ña īꞌxá san doméni e kúvi oro, ni kūtú, nī choꞌo vîdin e dóo nuu áꞌvi. 
MAT.2.12	Kidáā ne, xéꞌe Xuva ko ūun xénī é kākaꞌan é ña ku ntiko koó ña mí tuví Heródē. Dukuān ne, tuku itsi kunúꞌu ña.
MAT.2.13	Dā kunúꞌu ña ne, īní Josee ánje Xuva kō ñuu éni kān. Kaꞌan ánjē san:
MAT.2.13	—Nakuntítsin, kiꞌin īꞌxá san ni dɨꞌɨ ī né, kueꞌen náneꞌen ñuú Egítō. Ikan kuntōo nto da nté kāꞌán u ni ō. Tsí kiꞌxi rei Heródē é nantuku ña īꞌxá san é kaꞌnī ñá i —kaꞌan ña.
MAT.2.14	Nákuntītsí ña ne, kīꞌi ña iꞌxá san ni dɨꞌɨ ī, kueꞌen níꞌi ña ña ñūú Egíto, kuān te niñu. 
MAT.2.15	Ikān tsi kantóo ña dā nté xiꞌi Heródē san. Sáꞌā kúvi vata koo é kūntaa é kākaꞌan ñáꞌa, ña é kaꞌán naa Xuva ko nte kídaā: “Nté ñūu Egítō nákaná u iꞌxá ko”, kaꞌan ña.
MAT.2.16	Dā kútuni Heródē tsí ña ni de ntáa ña dóo kiꞌin inī í san ne, kūdiin kuéꞌen ña. Taxnūu ña sntadun é kaꞌnī ñá un ntɨɨ́ ntɨ̄ɨ́ iꞌxa tii é ntoo ñuú Beleén, ni ñūu é ntoo etsin ikān, iꞌxa é īó uvi kuia í, ō é dií ka kuetsī, vata ō ita ntíꞌxin ntuvi é kaꞌan ña dóo kiꞌin inī í san. 
