GEN.1.1	Mula-mula Tuhan Allah bekin langit deng bumi.
GEN.1.2	Itu waktu, bumi balóm jadi, deng samua masi harba-biruk. Yang ada, aer. Deng galáp gulita tutu ame sang dia. Tuhan pung Roh ada bajalan di atas itu aer.
GEN.1.3	Ais Tuhan Allah omong bilang, “Musti ada taráng.” Omong abis bagitu ju, taráng ada. 
GEN.1.4	Lia itu taráng, ju Dia pung hati sanáng, tagal apa yang Dia su bekin tu, memang bae. Ais Dia kasi pisa itu taráng dari galáp, ko satu-satu ada pung waktu sandiri. 
GEN.1.5	Dia kasi nama taráng tu, ‘siang’, deng galáp tu, ‘malam’. Itu hari partama.
GEN.1.6+GEN.1.7	Ais Tuhan Allah omong lai bilang, “Musti ada tampa kosong ko kasi pisa aer. Andia ko ada aer di bagian atas, deng ada aer di bagian bawa.” Omong abis bagitu ju, itu aer tabagi dua. 
GEN.1.8	Ais Dia kasi nama tampa kosong di bagian atas tu, ‘langit’. Itu hari kadua.
GEN.1.9	Ais Tuhan Allah omong lai bilang, “Aer di bagian bawa tu musti takumpul di satu tampa, ko biar ada tana karíng.” Omong abis bagitu ju, tana karíng ada. 
GEN.1.10	Ais tana karíng tu, Dia kasi nama ‘darat’; deng aer yang takumpul tu, Dia kasi nama ‘laut’. Lia itu samua, ju Dia pung hati sanáng, tagal apa yang Dia su bekin tu, memang bae. 
GEN.1.11	Ais Tuhan Allah omong lai bilang, “Darat musti kasi kaluar tanaman. Musti ada tanaman yang babua, yang babiji, deng yang badaon ijo. Biar ko satu-satu tanaman kasi kaluar dia pung hasil iko dia pung macam.” Omong abis bagitu ju, samua tanaman jadi. 
GEN.1.12	Di darat, tanaman dong kasi kaluar dong pung hasil iko satu-satu pung macam. Lia itu samua, ju Dia pung hati sanáng, tagal apa yang Dia su bekin tu, memang bae. 
GEN.1.13	Itu hari katiga.
GEN.1.14+GEN.1.15	Ais Tuhan Allah omong lai bilang, “Di bagian atas tu, musti ada macam-macam barang taráng ko bekin taráng ini bumi. Musti ada yang kasi taráng waktu siang, deng musti ada laen yang kasi taráng waktu malam. Dong samua jadi tanda ko biar bisa itong hari, taon, deng musim.” Omong abis bagitu ju, samua barang taráng ada. 
GEN.1.16	Dia bekin dua macam barang taráng yang bésar. Yang lebe bésar, kasi taráng waktu siang; yang lebe kici, kasi taráng waktu malam. Dia ju bekin bintang dong. 
GEN.1.17	Dia ator itu barang dong di langit, ko dong senter kasi taráng bumi. 
GEN.1.18	Ais dong kasi taráng waktu siang, deng kasi taráng waktu malam. Deng bagitu, dong kasi pisa taráng dari galáp. Lia itu samua, ju Dia pung hati sanáng, tagal apa yang Dia su bekin tu, memang bae. 
GEN.1.19	Itu hari kaꞌampa. 
GEN.1.20	Ais Tuhan Allah omong lai bilang, “Musti ada macam-macam binatang yang idop dalam aer. Deng musti ada macam-macam burung yang tarbáng di atas bumi.” 
GEN.1.21	Ais Dia bekin samua macam ikan deng binatang bésar yang idop di aer. Dia ju bekin samua macam burung yang tarbáng di langit. Lia itu samua, ju Dia pung hati sanáng, tagal apa yang Dia su bekin tu, memang bae. 
GEN.1.22	Ais Dia omong kasi berkat sang itu binatang dong samua bilang, “Ikan dong musti tamba banya, ko bekin ponu aer di mana-mana. Deng burung dong ju musti tamba banya.” 
GEN.1.23	Itu hari kalima.
GEN.1.24+GEN.1.25	Ais Tuhan Allah omong lai bilang, “Musti ada macam-macam binatang yang idop di darat. Andia binatang piara, binatang liar, deng binatang marayap di tana, satu-satu deng dia pung macam.” Omong abis bagitu ju, samua binatang ada. Lia itu samua, ju Dia pung hati sanáng, tagal apa yang Dia su bekin tu, memang bae.
GEN.1.26	Ais Tuhan Allah omong lai bilang, “Mari ko Kotong bekin manusia iko Kotong pung model. Biar dong urus deng ator samua ikan di laut, samua burung di langit, samua binatang piara, deng samua binatang laen dong yang idop di bumi.”
GEN.1.27	Ju Dia bekin manusia iko Dia pung model. Dia bekin sang dong, laki-laki deng parampuan. 
GEN.1.28	Ju Dia omong kasi berkat sang dong bilang, “Bosong musti barana tamba bam-banya, ko bekin ponu deng ator ini dunya. Beta ju kasi hak sang bosong ko urus ikan-ikan, burung-burung, deng samua binatang di darat. 
GEN.1.29	Dengar bae-bae! Beta kasi sang bosong makanan macam-macam di ini dunya. Andia: tanaman yang babua, yang babiji, deng yang badaon ijo. 
GEN.1.30	Beta ju kasi samua macam tanaman, ko jadi samua macam binatang pung makanan. Ada makanan buat binatang piara, binatang liar, binatang marayap, deng burung-burung dong.” Omong abis bagitu ju, samua macam makanan ada. 
GEN.1.31	Lia itu samua, ju Dia pung hati sanáng, tagal apa yang Dia su bekin tu, memang talalu bae. Itu hari kaꞌanam.
GEN.2.1	Deng bagitu, Tuhan Allah bekin ame langit deng bumi, deng dia pung isi dong samua.
GEN.2.2	Dia karjá abis samua, ju dia pung beso, pas deng hari katuju, Dia barenti. 
GEN.2.3	Deng bagitu, Dia bekin hari katuju jadi hari bésar dari hari-hari laen dong. Dia ator bagitu, tagal Dia su bekin abis Dia pung karjá, ais di hari katuju Dia istirahat. 
GEN.2.4	Tuhan Allah bekin langit deng bumi pung carita, andia bagitu.
GEN.2.4	Waktu TUHAN Allah baru mulai bekin langit deng bumi tu, 
GEN.2.5+GEN.2.6	balóm ada tanaman apa-apa, tagal Dia balóm kasi turun ujan. Itu waktu, yang ada cuma kabut yang nae dari tana ko bekin basa bumi. Deng balóm ada manusia yang bekin kabón. 
GEN.2.7	Ais ju TUHAN Allah ame tana sadiki, ko bekin ame jadi manusia. Ais Dia fuu kasi maso napas pi dalam dia pung lobang idong, ju itu manusia idop memang.
GEN.2.8	Ais itu, TUHAN Allah buka ame satu kabón di tana Eden, di sablá matahari nae. Ju Dia kasi itu manusia ko tenga di itu kabón. 
GEN.2.9	Dalam itu kabón, Dia su kasi idop macam-macam pohon yang bagus, deng pohon yang orang bisa makan deng enak. Dia ju kasi idop dua macam pohon di itu kabón pung teng-tenga. Kalo orang makan dari pohon yang satu pung bua, dia dapa idop tarús. Ma kalo orang makan dari pohon yang satu lai pung bua, dia bisa tau mana yang bae deng mana yang jahat.
GEN.2.10	Ada kali satu di situ, yang malele kaluar dari itu kabón. Itu kali bacabang ampa. 
GEN.2.11	Dia pung cabang partama, nama Pison. Itu cabang bataputar kuliling tana Hawila, yang ada banya mas. 
GEN.2.12	Di situ ada mas barisi, ada pohon yang dia pung dara wangi, deng ada batu mangkilat. 
GEN.2.13	Itu kali pung cabang kadua, nama Gihon. Itu cabang bataputar kuliling tana Kus.
GEN.2.14	Dia pung cabang katiga, nama Tigris. Ini cabang ni jadi batas di tana Asyur
GEN.2.15	TUHAN Allah kasi itu manusia tenga di Eden, ko dia urus bae-bae itu kabón. 
GEN.2.16	Ju Dia parenta sang itu manusia bilang, “Lu bole makan bua apa sa dari samua pohon di ini kabón. 
GEN.2.17	Ma ada satu yang lu sonde bole makan. Andia, itu pohon yang kasi tau mana yang bae deng mana yang jahat. Kalo lu makan, lu pasti mati.”
GEN.2.18	Ais TUHAN Allah omong lai bilang, “Sonde bae kalo ini manusia idop sandiri. Jadi Beta mau bekin kasi dia, satu tamán yang pas deng dia.”
GEN.2.19+GEN.2.20	Itu waktu, TUHAN Allah ame tana, ko bekin ame macam-macam binatang deng burung. Ais Dia antar bawa itu binatang deng burung dong pi di itu orang, ko biar dia kasi nama sang dong. Tarús, itu orang kasi nama itu binatang deng burung dong, satu-satu deng dia pung nama. Ma dia sandiri balóm dapa satu tamán yang pas deng dia. 
GEN.2.21	Ais itu, TUHAN Allah bekin itu orang ko tidor sonu. Waktu dia ada tidor, Tuhan ame dia pung tulang rebis satu, ais tutu kambali itu luka. 
GEN.2.22	Dari itu tulang tu, Dia bekin jadi parampuan. Ais Dia sarakan itu parampuan pi itu orang. 
GEN.2.23	Lia itu parampuan, ju itu orang bilang,
GEN.2.23	“Naaa! Ini dolo! Ini baru pas deng beta!
GEN.2.23	Dia pung tulang sama deng beta pung tulang.
GEN.2.23	Deng dia pung daging ju sama deng beta pung daging.
GEN.2.23	Tagal dia jadi dari laki-laki, andia ko beta kasi nama sang dia ‘parampuan’.”
GEN.2.24	Tagal itu, laki-laki musti kasi tenga dia pung papa deng dia pung mama,
GEN.2.24	ko pi idop satu hati deng dia pung bini,
GEN.2.24	te dong dua su taꞌika jadi satu.
GEN.2.25	Itu waktu, dong dua ada talanjang bulat, ma dong sonde ada rasa malu sadiki ju.
