MAT.1.1	Kabuttuanna Yesus Kristus peampoanna tomaraya Daud, peampoanna Abraham, susi inde laoannae:
MAT.1.2	Keanak Abraham dadi Ishak,
MAT.1.2	keanak Ishak dadi Yakub,
MAT.1.2	keanak Yakub dadi Yehuda anna angganna sirondongna.
MAT.1.3	Keanak Yehuda dadi Peres anna Zerah nasibalii Tamar,
MAT.1.3	keanak Peres dadi Hezron,
MAT.1.3	keanak Hezron dadi Ram,
MAT.1.4	keanak Ram dadi Aminadab,
MAT.1.4	keanak Aminadab dadi Nahason,
MAT.1.4	keanak Nahason dadi Salmon,
MAT.1.5	keanak Salmon dadi Boas nasibalii Rahab,
MAT.1.5	keanak Boas dadi Obed nasibalii Rut,
MAT.1.5	keanak Obed dadi Isai,
MAT.1.6	keanak Isai dadi tomaraya Daud,
MAT.1.6	keanak Daud dadi Salomo nasibalii ambo' bainena Uria,
MAT.1.7	keanak Salomo dadi Rehabeam,
MAT.1.7	keanak Rehabeam dadi Abia,
MAT.1.7	keanak Abia dadi Asa,
MAT.1.8	keanak Asa dadi Yosafat,
MAT.1.8	keanak Yosafat dadi Yoram,
MAT.1.8	keanak Yoram dadi Uzia,
MAT.1.9	keanak Uzia dadi Yotam,
MAT.1.9	keanak Yotam dadi Ahas,
MAT.1.9	keanak Ahas dadi Hizkia,
MAT.1.10	keanak Hizkia dadi Manasye,
MAT.1.10	keanak Manasye dadi Amon,
MAT.1.10	keanak Amon dadi Yosia,
MAT.1.11	keanak Yosia dadi Yekhonya anna angganna sirondongna. Attu iatoo dipali' to Israel lako Babel.
MAT.1.12	Mangkai pampalisan lako Babel,
MAT.1.12	keanak Yekhonya dadi Sealtiel,
MAT.1.12	keanak Sealtiel dadi Zerubabel,
MAT.1.13	keanak Zerubabel dadi Abihud,
MAT.1.13	keanak Abihud dadi Elyakim,
MAT.1.13	keanak Elyakim dadi Azor,
MAT.1.14	keanak Azor dadi Zadok,
MAT.1.14	keanak Zadok dadi Akhim,
MAT.1.14	keanak Akhim dadi Eliud,
MAT.1.15	keanak Eliud dadi Eleazar,
MAT.1.15	keanak Eleazar dadi Matan,
MAT.1.15	keanak Matan dadi Yakub,
MAT.1.16	keanak Yakub dadi Yusuf muanena Maria to undadian Puang Yesus to digente' Kristus battu' dikua To dibassei bayu-bayu la ma'pasalama'.
MAT.1.17	Dadi, mengkalao dio Abraham sae lako tomaraya Daud, sapulo appa' lapikna. Mengkalao dio Daud sae lako attunna pampalisan lako Babel, sapulo appa' lapikna. Anna mengkalao dio attunna pampalisan sae lako kadadianna Kristus sapulo appa' duka' lapikna.
MAT.1.18	Kadadianna Yesus Kristus, susi inde uleleannae: Maria indona, situmai Yusuf. Sapo ta'pa sidapo' anna manambukmo ura'na kakuasaanna Penawa Masero. 
MAT.1.19	Inde Yusuf-e mesa to malolo, iamo nangei morai la kumassoro'. Sapo la napomatimmin annu moka la umpakasiri' tumainna lako tau kamban.
MAT.1.20	Inde anna penawa-nawaan liumi Yusuf la kumassoro'e, mangngimpi napellambi'i malaeka' nasua Dewata, ma'kada lako nakua: “O Yusuf peampoanna tomaraya Daud, dau marea' umpobaine Maria, annu itin anak natambukko ura'na kakuasaanna Penawa Masero. 
MAT.1.21	La muane anakna anna la musangai Yesus
MAT.1.22	Ia nangei dadi susi anna malara lemba' battakadanna Puang Allata'alla napalanda' nabinna nakua: 
MAT.1.23	“Patanannia' talinga, itin anak darao la manambuk, la muane anakna anna la disangai Imanuel.” Imanuel kalembasanna “Nasolaangkia' Puang Allata'alla”.
MAT.1.24	Millikki Yusuf, napogau' tongammi susi mangka natulasanni malaeka'na Dewata napolalan umpobaine Maria. 
MAT.1.25	Sapo tae' dengan siballa'i sambu' sae lako dadi anakna, muane. Yusufmo ussangaii Yesus.
MAT.2.1	Inde anna dadimo Puang Yesus dio Betlehem dio lembangna Yudeae, attu iatoo tomaraya Herodes ma'parenta dio. Saemi dio Yerusalem pira-pira to untarru' penono'na bentoen lu yaya mai tandai kabuttuan allo. 
MAT.2.2	Mekutanami nakua: “Umba nangei anak mane dadi, tomarayanna to Yahudi? Mangka kiita bentoenna yaya tandai kabuttuan allo
MAT.2.3	Naissananna tomaraya Herodes tula' iatoo, tikkedu'mi sola angganna issinna Yerusalem. 
MAT.2.4	Urrempummi angganna kapala imam anna angganna to untarru' issinna sura'na Musa anna kutanaii kumua umba la nangei dadi To dibassei bayu-bayu la ma'pasalama'. 
