MAT.1.1	Abrahamkc awo Dawid, Dawidkc awo Jisu Kristokc ope:lok potindc. 
MAT.1.2	Abrahambv Isahakkc abbai, Isahakbv Jakobkc, Jakobbv Judangkc odokkc bvk bvrrangkvdv:dok abbai, 
MAT.1.3	Juda:bv Peroslang Jerahkc abbai Tamarkolokkc lennc, odokkc Perosbv Hejronkc abbai, 
MAT.1.4	odokkc Hejronbv Ra:mkc, Ra:mbv Amminadabkc, odok kc Amminadabbv Nasonkc abbai, Nasonbv Salmonkc, 
MAT.1.5	Salmonbv Boajkc abbai Rahabkolokkc, odokkc Boajbv Obedkc abbai Ru:tkolokkc, odokkc Obedbv Jessi:kc abbai, 
MAT.1.6	odokkc Jessi:bv migom Dawidkc abbai.
MAT.1.6	Odokkc Dawidbvai Solomonkc abbo Uriang cmnam nc:dokkc lennc, 
MAT.1.7	odokkc Solomonbv Rehoboamkc abbai, Rehoboambv Abija:kc, Abijabv Asa:kc, Asa:bv Jehosapatkc, 
MAT.1.8	Jehosapatbv Joramkc, Jorambv Ujjiangkc, 
MAT.1.9	Ujjiangbv Jotamkc, Jotambv Ahajkc, Ahajbv Hejekiangkc abbai, 
MAT.1.10	odokkc Hejekiangbv Manase:kc, Manase:bv Amoskc, Amosbv Josiangkc abbai, 
MAT.1.11	Josiangbv Jekoniangkc odokkc bvk bvrrangkvdv:dok abbai, Babilonolo:pc avkc dungko amo:dokkcm mclvgdodcm onamc.
MAT.1.12	Odokkc Babilonolo:pc avkc dungko amo:dokkc mclvgdodcm Jekonia:bv Seltielkc abbai, Seltielbv Jerubbabelkc abbai, Jerubbabelbv Abiudkc abbai, 
MAT.1.13	odokkc Abiudbv Eliakimkc, Eliakimbv Ajorkc, 
MAT.1.14	Ajorbv Jadokkc, Jadokbv Akimkc, Akimbv Eliudkc, 
MAT.1.15	Eliudbv Eleajarkc, Eleajarbv Mattankc, Mattanbv Jakobkc abbai, 
MAT.1.16	odokkc Jakobbv Josepkc abbai Meri:kc milbo:dc, sc:kobv Jisumc otonc, sc:kom Kristo cmna gogdagaji.
MAT.1.17	Cdcmpc Abrahamkolokkc Dawidkolo:pc opvnc vyvngkolang appi:kai, odokkc Dawidkodokkc Babilonolo:pc mclvgdodo:pc vyvngkolang opvn appi:kai, odokkc Babilonolo:pc mclvgdodokkc Kristokolo:pc vyvngkolang opvn appi:kai.
MAT.1.18	Jisu Kristomc scmpc oto. Cdvlo Bvk anc Meri:mc Josepkcpc tadpvrtonc, bvnyi lckopc du:bosuma:dapci bvm Angunnc Yalodokki ko:ko amvrro dung cmna kinto; 
MAT.1.19	odokkc bvk milbong Jusepbv dormokanc tani:la:yam odokkc bvm ammem yvrratmolv:ma:la, kinmango:pc mcpakpc cmna asinbo mc:to. 
