MAT.1.1	BAHWA inilah surat katurunan Isa Almasih, iya itu anak Daud, dan anak Ibrahim.
MAT.1.2	Maka Ibrahim branakkanlah Isahak, dan Isahak branakkanlah Yakob, dan Yakob branakkanlah Yahuda sŭrta sagala saudaranya;
MAT.1.3	Maka Yahuda branakkanlah Fariz dan Zara deripada Tamar, dan Fariz branakkanlah Ezrom, dan Ezrom branakkanlah Aram;
MAT.1.4	Maka Aram branakkanlah Aminadab, dan Aminadab branakkanlah Naasun, dan Naasun branakkanlah Salmon;
MAT.1.5	Maka Salmon branakkanlah Buz deripada Rahab, dan Buz branakkanlah Obid deripada Ruth, maka Ruth branakkanlah Jessi;
MAT.1.6	Maka Jessi branakkanlah Raja Daud, dan Raja Daud branakkanlah Sulieman deripada pŭrampuan istri Urias dahulu.
MAT.1.7	Maka Sulieman branakkanlah Reboam, dan Reboam branakkanlah Abia, dan Abia branakkanlah Asa.
MAT.1.8	Maka Asa branakkanlah Josafat, maka Josafat branakkanlah Joram, dan Joram branakkanlah Ozias.
MAT.1.9	Maka Ozias branakanlah Joatham, dan Joatham branakkanlah Ahaz, dan Ahaz branakkanlah Izekia;
MAT.1.10	Maka Izekia branakkanlah Manasi, dan Manasi branakkanlah Amon, dan Amon branakkanlah Josia;
MAT.1.11	Maka Josia branakkanlah Jekonia dan sagala saudaranya, iya itu pada masa pindah kaBabil:
MAT.1.12	Maka kŭmdian deripada pindah kaBabil, maka Jekonia branakkanlah Salathial, dan Salathial branakkanlah Zorobabel;
MAT.1.13	Maka Zorobabel branakkanlah Abiud, dan Abiud branakkanlah Illiakim, dan Illiakim branakkanlah Azor;
MAT.1.14	Maka Azor branakkanlah Sadok, dan Sadok branakkanlah Akhim, dan Akhim branakkanlah Iliud;
MAT.1.15	Maka Iliud branakkanlah Iliazar, dan Iliazar branakkanlah Mathan, dan Mathan branakkanlah Yakob;
MAT.1.16	Maka Yakob branakkanlah Yusof, iya itu suami Mŭriam; maka deripada Mŭriam itulah tŭlah jadi Isa yang bŭrgŭlar Almasih.
MAT.1.17	Adapun sagala katurunan deripada Ibrahim sampie kapada Daud, iya itu ampat blas katurunan; dan deripada Daud sampie kapada tŭtkala pindah kaBabil, itu pun ampat blas katurunan juga; dan deripada kutika pindah kaBabil sampielah kapada Almasih, ampat blas katurunan.
