MAT.1.1	Amo ini an mga kalulululuhi ni Jesu-Cristo na kalahi ni David kag kalahi man ni Abraham.
MAT.1.2	Si Abraham ama ni Isaac na ama ni Jacob. Si Jacob naman ama ni Juda kag san iya mga kamaranghod na lalaki.
MAT.1.3	Ini si Juda ama ninda Fares kag Zara na an iloy si Tamar; si Fares naman ama ni Esrom na ama ni Aram.
MAT.1.4	Si Aram ama ni Aminadab na ama ni Naason na ama naman ni Salmon.
MAT.1.5	Si Salmon ama ni Booz na an iloy si Rahab. Si Booz naman ama ni Obed na an iloy si Ruth, tapos si Obed ama ni Jesse
MAT.1.6	na ama san nagin hadi na si David. Tapos, si David ama ni Solomon na an iloy dati asawa ni Urias.
MAT.1.7	Si Solomon naman ama ni Roboam na ama ni Abias na ama naman ni Asa.
MAT.1.8	Si Asa ama ni Josafat na ama ni Joram na ama naman ni Ozias.
MAT.1.9	Si Ozias ama ni Jotam na ama ni Acaz na ama naman ni Esequias.
MAT.1.10	Si Esequias ama ni Manases na ama ni Amon na ama naman ni Josias.
MAT.1.11	Ini siya ama ni Jeconias kag san iya mga kamaranghod na lalaki. Sana na panahon nangyari an pagkabihag san mga taga-Israel sa Babilonia.
MAT.1.12	Pakatapos sani:
MAT.1.12	si Jeconias nagin ama ni Salatiel na ama ni Zorobabel.
MAT.1.13	Si Zorobabel ama ni Abiud na ama ni Eliaquim na ama naman ni Azor.
MAT.1.14	Si Azor ama ni Sadoc na ama ni Aquim na ama naman ni Eliud.
MAT.1.15	Si Eliud ama ni Eleazar na ama ni Matan na ama naman ni Jacob.
MAT.1.16	Ini siya an nagin ama ni Jose na asawa ni Maria na nagin iloy ni Jesus na ginatawag na Cristo.
MAT.1.17	Kun sugad nagkaigwa sin katorse na kalulululuhan tuna kan Abraham hasta kan David. Nagkaigwa man sin katorse na mga kalulululuhan tuna kan David pakadto sa pagkabihag san mga taga-Israel sa Babilonia. Tapos, katorse naman na kalulululuhan tuna sa pagkabihag sa Babilonia hasta kan Cristo.
MAT.1.18	Niyan amo ini an pagkaanak kan Jesu-Cristo. San karaslon pa lang an iya iloy na si Maria kan Jose kag wara pa sinda magbiyo, naaraman na niya na nagbudos si Maria. Nangyari ini sa gahom san Espirito Santo pero dili ini aram ni Jose. 
MAT.1.19	Kay matanos siya na tawo nag-isip na bulagan si Maria pero sa sikreto lang kay dili niya gusto na maaluhan siya sa kadamuan.
MAT.1.20	San ginaisip-isip ini ni Jose, may anghel san Ginoo na nagpakita sa iya sa damgo kag nagsabi, “Jose, kalahi ni David, ayaw pag-alang-alang pag-ako kan Maria na magin asawa mo kay an iya pagbudos paagi sa gahom san Espirito Santo. 
MAT.1.21	Magaanak siyaʼn lalaki kag pagangaranan niyo siyaʼn Jesus dahilan na siya an masalbar san iya mga katawuhan sa inda mga kasal-an.”
MAT.1.22	Nangyari ini tanan agod matuman an ginsabi san Ginoo paagi sa propeta na amo ini,
MAT.1.23	“Tandai, may birhen na magabudos tapos magaanak sin lalaki na pagatawagon Emmanuel (na an gusto sabihon, ‘An Dios adi sa aton.’)”
MAT.1.24	Pagmata ni Jose gintuman niya an ginsugo sa iya san anghel san Ginoo. Kaya ginpakasalan niya si Maria, 
MAT.1.25	pero wara sinda magdurog hasta na siya nag-anak. Lalaki an gin-anak niya kag pagkatapos an bata ginngaranan ni Jose sin Jesus.
MAT.2.1	San gin-anak si Jesus sa lungsod san Betlehem sa probinsya san Judea si Herodes amo an hadi. Sani na panahon may nag-arabot na mga madunong na tawo sa Jerusalem hali sa nasyon sa sirangan. 
MAT.2.2	Nagahunga sinda, “Hain an gin-anak na magigin hadi san mga Judio? San sa sirangan pa kami nakita namon an bituon na tanda na siya nabuhay na kaya nagkadi kami agod sambahon siya.”
MAT.2.3	Pakabati sani san hadi na si Herodes kinulbaan gayod siya hasta an tanan na mga taga-Jerusalem. 
MAT.2.4	Kaya ginpatiripon niya an tanan na mga namumuno san kapadian kag san mga paratukdo san Kasuguan tapos ginhunga kun diin iaanak an Cristo na magigin hadi san mga Judio.
MAT.2.5	Sinabat siya ninda. “Sa Betlehem sa Judea kay ini susog sa ginsurat san propeta,
MAT.2.6	‘Lungsod san Betlehem sa kadutaan san mga lahi ni Juda, dili ka gayod an pinakamenos na lungsod didto,
