MAT.1.1	Yesu *Kurisito de kpara te Me tima engu kpa füh kotö kpakine, teka aküwa wü kpara. Angü Me reke ta ngü la me-ye bala, gü ba, ni ena atima engu, de wüh bï engu gbü nguwa *Davidi, fü engu angbü kpah Mere Miri gbü nzö wü kpara ba Miri Davidi. Yesu Kurisito engu ne, ah kpah de kundu ye *Abarayama, ta te Me mala ngü fefe, gü ba, ni ena aküwa wü kpara füh kotö ne ꞌburu teka ngü kaka ne. Dene ïrï wü mere kundu kundu ye Yesu Kurisito.
MAT.1.2	Abarayama ta de wö ye *Yïsaka,
MAT.1.2	fü Yïsaka abï *Yakobo.
MAT.1.2	Fü Yakobo abï *Yuda de wü di enga ni ye nzükpa de füh ye biri ne.
MAT.1.3	Fü Yuda abï Pereze.
MAT.1.3	Fü Pereze ayia abï Ezerone.
MAT.1.3	Fü Ezerone abï Rama.
MAT.1.4	Fü Rama abï nda-ye ye ye, de ïrï ye Amïnadaba.
MAT.1.4	Fü Amïnadaba abï Nasona.
MAT.1.4	Fü Nasona abï Salamona.
MAT.1.5	Fü Salamona abï Büwaza, ïrï ni ye na de Rakaba.
MAT.1.5	Fü Büwaza abï Obede, ïrï ni ye na de Ruta.
MAT.1.5	Fü Obede abï Yese.
MAT.1.6	Fü Yese adu abï Davidi, te di ta de mere miri ka wü *Yïsarayele ne.
MAT.1.6	Fü Davidi abï *Solomona, ïrï ni ye na de Beteseba, te di ta wara Uriya ne.
MAT.1.7	Fü Solomona abï Robama.
MAT.1.7	Fü Robama abï Abïya.
MAT.1.7	Fü Abïya abï nda-ye Asa.
MAT.1.8	Fü Asa adu abï nda-ye Yosafata.
MAT.1.8	Fü Yosafata abï Yorama.
MAT.1.8	Fü Yorama abï Uziya.
MAT.1.9	Fü Uziya abï Yütama.
MAT.1.9	Fü Yütama abï Aza.
MAT.1.9	Fü Aza abï Izikiya.
MAT.1.10	Fü Izikiya abï nda-ye Manase.
MAT.1.10	Fü Manase abï Amona.
MAT.1.10	Fü Amona abï Yüsiya.
MAT.1.11	Fü Yüsiya abï Yekoniya de wü di enga ni ye.
MAT.1.11	Gbü re te Yekoniya ngbü miri gbü *Yudaya tete, fü wü kpara ka *Babïlona akoro de gü, azoro engu, de wü kpara ka-ye ꞌburu, ago di agba wü, labï tete.
MAT.1.12	Fü Yekoniya abï Salatïyele tïne kpala.
MAT.1.12	Fü Salatïyele abï Zerubabela.
MAT.1.13	Fü Zerubabela adu abï Abiyuda tïne agbü Yudaya, o wüh du eyi agbü tö ka-wü.
MAT.1.13	Fü Abiyuda abï Elïyakima.
MAT.1.13	Fü Elïyakima abï Azora.
MAT.1.14	Fü Azora abï Zadoka.
MAT.1.14	Fü Zadoka abï Akimi.
MAT.1.14	Fü Akimi abï Eliyuda.
MAT.1.15	Fü Eliyuda abï Elazara.
MAT.1.15	Fü Elazara abï Matana.
MAT.1.15	Fü Matana abï Yakobo.
MAT.1.16	Fü Yakobo ayia abï *Yüsefa. Ah de Yüsefa ta te za *Marïya, te wü kpara ngbü efï, gü ba, engu de wö Yesu ne. Amba Yesu ka-ye de Ye Me.
MAT.1.17	Te di bala, te kpo te *Abarayama, akoro te Miri *Davidi, wüh baka wü kpara nzükpa de füh ye bala. Akpo gbü re ka Miri Davidi, akoro gbü re te wüh zoro wü kpara ka Yudaya labï tete agbü Babïlona, wüh baka wü kpara nzükpa de füh ye bala. Kpah bala, akpo gbü re, te ewü di labï tete agbü Babïlona, akoro te Yesu *Kurisito, wüh kpah nzükpa de füh ye bala.
MAT.1.18	Ngü ka yayaka ka Yesu kpo ta bane. *Marïya ta de gara jaji würüse, ta te wüh dara engu fü gara komoko de ïrï ye *Yüsefa. Te wüh dara engu, wüh wu engu würüse tete nda-wü la de. Fü Marïya ayia amaka bu, gbü wazi ka *Nzïla Wazi Me. 
