MAT.1.1	Buk towen waseg delen Yeisuw Kelis, tabun kweiboug Deibid, kweiboug tonen tabun Ebelam.
MAT.1.2	Ebelam natun Aysak. Aysak natun Yekob. Yekob nitun Yud siney tuwan budan.
MAT.1.3	Yud nitun Peles son Selak. Ines Temal. Peles natun Eslon. Eslon natun Alam.
MAT.1.4	Alam natun Amminadab. Amminadab natun Na̱son. Na̱son natun Salmon.
MAT.1.5	Salmon natun Bowas. Bowas inan yagan Leyab. Bowas natun Obed. Obed inan yagan Lut. Obed natun Desiy.
MAT.1.6	Desiy natun Deibid, mtowen king. Deibid natun Solomon. Solomon inan mtowen Uliyak nakwav. Deibid bo ikow vin mana̱wen.
MAT.1.7	Solomon natun Lekoboum. Lekoboum natun Ebiy. Ebiy natun Esap.
MAT.1.8	Esap natun Yosepat. Yosepat natun Yolam. Yolam natun Usay.
MAT.1.9	Usay natun Yotam. Yotam natun Akas. Akas natun Esekay.
MAT.1.10	Esekay natun Ma̱nas. Ma̱nas natun Emon. Emon natun Yosiyak.
MAT.1.11	Yosiyak nitun Yekonay siney budan, tutan ikoulups ineis Babilon.
MAT.1.12	Ineis Babilon ikous, Yekonay natun Salatiyel. Salatiyel natun Delububel.
MAT.1.13	Delububel natun Ebiyud. Ebiyud natun Ilayakim. Ilayakim natun Esol.
MAT.1.14	Esol natun Sa̱dok. Sa̱dok natun Ekim. Ekim natun Eliyud.
MAT.1.15	Eliyud natun Eliyesal. Eliyesal natun Mattan. Mattan natun Yekob.
MAT.1.16	Yekob natun Yosep, mtowen Meliy namwan. Meliy natun Yeisuw, mtowen yagan Kelis.
MAT.1.17	Yeisuw delen, tasilamaw Ebelam waseg, tavin Ebelam, tayuwein Ebelam natun, tatounun Ebelam tabun, tavasin Ebelam tabun natun, beibus ee... tutan Deibid waseg, babiweis sinawatan teivas. Tasilamaw Deibid waseg, tavin Deibid son natun, tatounun Deibid tabun, tavasin Deibid tabun natun, beibus ee... tutan min-Babilon ikawes inawes wasiven, babiweis sinawatan teivas. Tasilamaw tutan ineis Babilon tavin ee... tutan Kelis waseg, babiweis sinawatan teivas.
MAT.1.18	Nakabsilamaw Yeisuw Kelis ma̱wan. Inan Meliy nibokes va̱gan beivays son Yosep. Nag imasis son, tage bo isum-wan; Kululuwan Yowbad isek Meliy mo isum.
MAT.1.19	Namwan Yosep ikin neisum, itilikon, idok kid bipiyev. Taw towen tadidumwal, nag bilivan wavtakon ven; adok vin beivag anmwasin; misinaka bikayeb binoun.
