MAT.1.1	Am maŋge ŋen maŋge ŋen sokbem kotnepeme Zisas ek Abalaam ma Dewit egegat iŋsokŋit penaŋ sokbeye.
MAT.1.2	Âpme Abalaamgat nemuŋaŋ Aisak sokbeye.
MAT.1.2	Aisakgat nemuŋaŋ Zekop sokbeye.
MAT.1.2	Âpme Zekowaŋ nemuŋaŋ Zuda ma meniŋane notnaŋ indambege.
MAT.1.3	Âpme Zudayet nemuŋanet Pelesmak Zelamak sokbewun. Egetgat mamit Tama.
MAT.1.3	Âpme Pelesiyet nemuŋaŋ Eslon sokbeye.
MAT.1.3	Eslongat nemuŋaŋ Lam sokbeye.
MAT.1.4	Âpme Lamgat nemuŋaŋ Aminadap sokbeye.
MAT.1.4	Aminadapgat nemuŋaŋ Nason sokbeye.
MAT.1.4	Nasongat nemuŋaŋ Salimon sokbeye.
MAT.1.5	Âpme Salimongat nemuŋaŋ Boas sokbeye. Egat mamaŋ Leap.
MAT.1.5	Âpme Boasiyet nemuŋaŋ Obet sokbeye. Egat mamaŋ Lut.
MAT.1.5	Âpme Obetgat nemuŋaŋ Esi sokbeye.
MAT.1.6	Âpme Esiyet nemuŋaŋ Dewit ke amobotnaŋ sokbeye.
MAT.1.6	Dewit
MAT.1.7	Âpme Solomongat nemuŋaŋ Liaboam sokbeye.
MAT.1.7	Liaboamgat nemuŋaŋ Abaisa sokbeye.
MAT.1.7	Abaisayet nemuŋaŋ Esa sokbeye.
MAT.1.7	Esayet nemuŋaŋ Ziosapat sokbeye.
MAT.1.8	Ziosapatgat nemuŋaŋ Olam sokbeye.
MAT.1.8	Olamgat nemuŋaŋ Yuzaya sokbeye.
MAT.1.9	Âpme Yuzayayet nemuŋaŋ Zotan sokbeye.
MAT.1.9	Zotangat nemuŋaŋ Eas sokbeye.
MAT.1.9	Easiyet nemuŋaŋ Esekaya sokbeye.
MAT.1.10	Âpme Esekayayet nemuŋaŋ Manase sokbeye.
MAT.1.10	Manaseyet nemuŋaŋ Amon sokbeye.
MAT.1.10	Amongat nemuŋaŋ Zosaya sokbeye.
MAT.1.11	Âpme Zosayayet nemuŋaŋ Zekonayamak ekŋen meniŋane notnaŋ sokbemâbien. Kan keyet Babilon msalen Zuda am indomti indatimti mebien.
MAT.1.12	Ekŋenaŋ met Babilon msalen met tabien ke Zekonaya nemuŋaŋ Sialtisel sokbeye.
MAT.1.12	Âpme Sialtiseliyet nemuŋaŋ Salababet sokbeye.
MAT.1.13	Âpme Salababetgat nemuŋaŋ Abayut sokbeye.
MAT.1.13	Abayutgat nemuŋaŋ Elayakim sokbeye.
MAT.1.13	Elayakimgat nemuŋaŋ Eso sokbeye.
MAT.1.14	Âpme Esoyet nemuŋaŋ Sedok sokbeye.
MAT.1.14	Sedokgat nemuŋaŋ Ekim sokbeye.
MAT.1.14	Ekimgat nemuŋaŋ Elayut sokbeye.
MAT.1.15	Âpme Elayutgat nemuŋaŋ Eliesa sokbeye.
MAT.1.15	Eliesayet nemuŋaŋ Natan sokbeye.
MAT.1.15	Natangat nemuŋaŋ Zekop sokbeye.
MAT.1.16	Âpme Zekopgat nemuŋaŋ Zosep sokbeye.
MAT.1.16	Zosep egaŋ imbiŋaŋ Malia wage.
MAT.1.16	Âpme Malia egaŋ maneti Zisas ambege. Nin eget kwitnaŋ Mesaya kukuyelen. Ningalen zeleset Kawawaŋaŋ Zisas ombempeme nin yomengatnan timkwatndendeyet an sokbein.
