GEN.1.1	Tenang tutuna' masipo' Kumponinge aa'ning paning ee'noko kansi' nkovuu'nang. 
GEN.1.2	Aung kansi' tee, emu' otoina' otoaruko'; naroomparava' otoko'; tamung domaang-po'ningmeeva otoko'. Dau-eta mutaanange daka'pui otoko' tee poonaru' baka otoko, ee'noko tee Kumponing bakaang Tanuaang tee-koo pirung-koo daue aavinuko.
GEN.1.3	Tenang Kumponinge karoma aa'puu', “Araka, tavo'daravai,” ee'noko tenang araka oro'paru'. 
GEN.1.4	Ee'noko Kumponinge tee araka tampa' oovura dotuarara tee araka simpe'uu' mutaanang-eta. 
GEN.1.5	Ee'noko Kumponinge tee araka doonaa' tampuu' ee'noko mutaanang muung tampuu'. Teketa aa'nou' muung tankinuko tane'puu' ee'noko te'mung te'mung tutuna'na'mung.
GEN.1.6	Ee'noko Kumponinge napo' karoma aa'puu', “Meeroo'navaro doona otoai tankaampuresi pirung boonaru' ee'noko ntong kamo'koong.” 
GEN.1.7	Tee meeroo'navaro tee, Kumponinge teing ntong meu' tankaampuree'naang nkovuu' boonaru' daunaru'keta. 
GEN.1.8	Ee'noko Kumponinge tee meeroo'navaro doona auvi'au tampuu', teketa aa'nou' muung tankinuko tane'puu' ee'noko te'mung te'mung ke'munta-na'mung.
GEN.1.9	Teketa napo' Kumponinge aa'puu', “Aia', ntong paning-koo boong otoing naro' poontarako koverenoo' oro'paravai,” ee'noko tee' masika' nkoaru'. 
GEN.1.10	Teketa Kumponinge te' koverenoo' kansi' tampuu' ee'noko tee ntong poonaru' pirung tampuu'. Ee'noko Kumponinge tampa' oovura dotuaru'.
GEN.1.11	Ee'noko Kumponinge napo' karoma aa'puu', “Kansi'koo baa' ee'noko koi'nanka amutemurii' dupuai, aa'noko keenavaang, ee'noko pora'kooning, ee'noko sinampuai ookara muu' amutemurii' kantena'.” Ee'noko tee' ee'na' nkoaru'. 
GEN.1.12	Kansi'koo amutemurii' baa' ee'noko koi'nanka amutemuu'na' sinampumaing dupuu', keenavaang ee'noko pora'kooning, teing-koo kuunge napo' oki'nareka' sinang nkoarikoo' amutemuu'na'. Ee'noko Kumponinge tampa' oovura dotuaru'. 
GEN.1.13	Teketa aa'nou' muung tankinuko tane'puu' ee'noko te'mung te'mung beenana'mung.
GEN.1.14	Teketa napo' Kumponinge aa'puu', “Aia', arakananka tavo'dariai meeroo'navaro-koo meu'ke teke paning-koo doong ee'noko muung simpe'aareaing, ee'noko teke aing aa'ning taa'ni'antavaari otoromaatoai: doonanka, kaarananka ee'noko mare'nanka. 
GEN.1.15	Ee'noko teke meeroo'navaro-koo paning-koo arakavariri otoromaatoai teketa kansi'aape araka po'antavaamaatoai.” Ee'noko tee' ee'na' nkoaru'. 
GEN.1.16	Ee'noko Kumponinge tee' araka pankeng kenaanka nkovuretu', narung aa'na' araka doonaa' araka-koo miring duaa' nkovuu'. Ee'noko nii'nung baru' araka deeaung muunga araka-koo miring kaara nkovuu'. Napo' beento'nanka nkovuru'. 
GEN.1.17	Teing paning-koo meu' nkovurira sipuru' teketa kansi'aape araka po'antavaamaatoo'naang. 
GEN.1.18	Ee'noko teketa doong ee'noko muung tanatavaamaatoai, ee'noko napo' arakanaanka ee'noko mutaanang tankaampaarematoai. Ee'noko Kumponinge tee' ee'na' tampa' oovura dotuaru'. 
GEN.1.19	Teketa aa'nou' muung tankinuko tane'puu', ee'noko te'mung te'mung karenana'mung.
GEN.1.20	Ee'noko Kumponinge napo' karoma aa'puu', “Ntong ee'noko pirung ookarai kapoo'nanka amutemurii' domantoo'nankai maanto'aavai. Ee'noko barennankai porora meeroo'navaro a'dei' auvi'au puraanaama maanto'aavai.” 
GEN.1.21	Tavi' pankenanka nkovuru' pirung-koo kuung otoromaing ee'noko ookara oki'nareka' kapoo' nanaamaing ntong-koo kuunge, ee'noko ookara bareng amutemurii'. Ee'noko Kumponinge tampa' oovura dotuaru'. 
GEN.1.22	Ee'noko Kumponinge ookara biraankevuru' aa'puma, “Ookara kapoo'nanka pirung-kooning parerima berentarima pirung maanto'eriai, ee'noko ookara barennanka tee'ke, parerima berentariai kansi'koo.” 
GEN.1.23	Teketa aa'nou' muung tankinuko tane'puu' ee'noko te'mung te'mung pa'noko'na'mung.
GEN.1.24	Teketa napo' Kumponinge aa'puu', “Enang kansi'koo kapoo'nanka amutemurii' domantoo'nanka tavo'dariai: ookara kau'karenaumo bau'naananka, ee'noko biikoori, ee'noko ookara kapoo' kansi'koo daue nanaamaing.” Ee'noko tee' ee'na' nkoaru'. 
GEN.1.25	Kumponinge kau'karenaumo pora'kooning amutemuu' nkovuru' ee'noko napo' bau'naananka amutemuu' tee' nari' nkovuru' ee'noko napo' teing kansi'koo daue kakanaamaing tee' nari' amutemuu' nkovuru'. Ee'noko Kumponinge tampa' oovura dotuaru'.
GEN.1.26	Teketa napo' Kumponinge aa'puu', “Aia', naning-namuu' nantoong nii' pina' oro'nuka nkoarampiai, niikaang oro'oro'noo' siompuio', ee'noko teinge ookara kapoo'nanka tanatavaariai, aa'ning: tavi' pirung-koonanka, barenanka auvi'au-kooning, kau'karenaumo datauraa'nanka, ee'noko pora'koonanka, ee'noko napo' teing ookara kapoo'nanka kansi'koo daue nanaamaing.” 
GEN.1.27	Tee'koo Kumponinge naning baka bakaang oro'oro'noo' siompuio' nkovuu'. Tee' ee'na' nari' oro' Kumponing-pina' nkovuu', aa'nou' donkaani ee'noko manikuma nkovuretu'. 
GEN.1.28	Ee'noko Kumponinge biraankevurema aa'puretu', “Dee' parerema berentareai ee'noko deurukaa'ke ookara kansi' maanto'aara ookara kapoo'nanka tanatavaariai tenairu-koo. Ee'noko dee'ke tee aa'noaing ookara tavi' pirung-kooning tanataverereriai, barenanka auvi'au-kooning ee'noko ookara kapoo'nanka kansi'koo daue nanaamaing.” 
GEN.1.29	Ee'noko Kumponinge aa'puretu', “Oovereko, ninge tee dee' arompesing ookara kapoo'nanka sinampumaing ookara-koo kansi'koo daue otorinanka; dee' deekaang taamang, ookara baa'nanka, koi'nanka, keenavaang ee'noko pora'kooning naro'ka. 
GEN.1.30	Ee'noko ookara kau'karenaumo-nanka kansi'kooning, napo' barennanka auvi'au-kooning ee'noko ookara kapoo'nanka kansi'koo daue nanaamaing, ee'noko ookara kapoo' domantoo'nanka, ninge teing ookara kapoo' dupumaung maa'koo avoronsing.” Ee'noko tee' ee'na' nkoaru'. 
GEN.1.31	Ee'noko Kumponinge ookara kapoo'nanka teie nkovuru'ning tampa' masika' oro'pariko oovura dotuaru'. Teketa aa'nou' muung tankinuko tane'puu', ee'noko te'mung te'mung ˜na'mung-taa-na'mung.
GEN.2.1	Tee' ee'na' nari' Kumponinge aa'ning paning ee'noko kansi' bakevuu', ee'noko ookara kapoo'nanka mmau' nari' bakevuru'. 
GEN.2.2	Ee'noko Kumponinge ookara bakaang nko-nko nkovuru'nanka ˜na'mung-taa-na'mung bakevura, te'mung ˜ke'munta-taa-na'mung uaavou'. 
GEN.2.3	Ee'noko Kumponinge te'mung ˜ke'munta-taa-na'mung biraankevura meeka'antavuu', ai' te'mung ee'na'mung tee, tee uaavou'na'mung bakaang nko-nko kansi' nko-koong bakevura.
GEN.2.4	Tenang tutuna' Kumponinge kansi'naanka paning nkovuu'na'koong minkunaa aung: 
GEN.2.5	Tenang Ovoringe Kumponinge kansi' ee'noko paning nkovuu'nang kapoo' keenavaang tovang koi' dovang baa' otoaruko' kansi'koo, mme' Kumponinge apo' botovuaruko ee'noko naning otoaruko' mintoong nkovupeu'nung. 
GEN.2.6	Nka ntonoo' tenang ee'nang tavo'arako' oki'nareka' kansi'koo dau tompatompa'anta-koo. 
GEN.2.7	Ee'noko tenang ee'nang teie Ovoringe Kumponinge naning kansi'koong da'mong-etab nkovuu', ee'noko ke'nie deto uupuvura domaang avuu' domang-antavuma ee'noko tee naning tenang domaang-po'nung deemparu'.
GEN.2.8	Teketa Kumponinge tee naning nkovura tampoo' temu' nerievuu'noo' sipuu' teka Iideni'ka duaa' pomanoo'aapea. 
GEN.2.9	Tenau tenau Kumponinge koi'nanka amutemurii' tampa' oro'nanka keempuru'nau ee'noko sinang maa'koo tamparanankai. Ee'noko meeroo' tenau-koo koi' kevarira sipuretu': navari domaang isikung avu'navari; nii'navari noru' aa'ning tampara ee'noko orara avu'navari.
GEN.2.10	Ee'noko teing ntong kareriiru te' Iideni' tavearikoo' tenau mintoonau duu'paama, teketa nari deempari siarakoo'. 
GEN.2.11	Tutuna'nari teing-koo miring Piison-nari, Aavila nameng, kooro-po'nameng, korovui pomanari. 
GEN.2.12	Tee kooro temeng-koong tampara ee'noko narung napo' koi' tampa' nuuraa' otomanoo' miring deliam. Napo' kapang tampa' oro'nanka-po'noo', miring kaneliani, ereng naakiomaing. 
GEN.2.13	Keriira-nari ntong miring Kiong-nari, Kus-nameng-eta pomanari. 
GEN.2.14	Beeriiru-nari miring Taikirisi-nari, Asiria-nameensi'koo duaa' pomanoo'aapeita pomanari. Kareriiru-nari miring Iuperetisi-nari.
GEN.2.15	Ee'noko teie Ovoringe Kumponinge tee naning nkavura te' Iideni'nau-koo sipuu' tenau mintoompuma teke tarevui otoo'naang. 
GEN.2.16	Ee'noko Ovoringe Kumponinge botovuma aa'puu' tee naning, 
GEN.2.17	“Ookara koi'koong sinananka mintoong-koo otoining-koong tamung naro'keta maa'emaatoaing, teka tevari koi'navari noru'anta nka-navari teing aa'ning-koo tampara ee'noko orara dake maa'eauka' tee sinang tevari-koong, ai' te'mung da' tevari-koo sinang maa'eaina'mung da' tee dooaing.”
GEN.2.18	Teketa Ovoringe Kumponinge aa'puu', “Aung naning baka oto'koo tampa' deea'. Ninge bakaang pakupakunung tee-koo makosi nkoevompaing.” 
GEN.2.19	Teketa teie Ovoringe Kumponinge teing kau'karenaumo-nanka ee'noko barennanka kansi'keta temu' nkovuru'ning te' Aadama-anko po'antavuru' teie namurii'na' oovurira miring tampurii'naang, ee'noko aming miring teie Aadamai tampuru'nung teing kapoo' domantoo'nanka-koo tee tee biikaang miring deemparu'. 
GEN.2.20	Ee'noko tenang Aadamai mirinanka tampuru' teing kau' karenaumo-nanka-koong bau'naananka-koo ee'noko biikoori-koo, napo' ookara barennanka-koo tampuru', teka tee Aadama bakaang pakupakunung tee-koo makosi otoaruu'.
GEN.2.21	Teketa teie Ovoringe Kumponinge tee Aadama aa'na' aasi'antavuu', ee'noko tenang aatuko paramparang-koo koo'koo nari' bita'ura te' napo' bio'ke avo'antavuu'. 
GEN.2.22	Ee'noko teri' paramparang-nari' nkavuu'nari'keta Kumponinge nani manikuma nkovuu' ee'noko teni te' Aadama-anko tavo'uu'. 
GEN.2.23	Teketa Aadamai aa'puu', “Emu' ani ee'nani mmaiko' masikani. Bakaang koo' tee ning-koong-eta koo'ketaing ee'noko bakaang bio' tee ning-koong-eta bio'ketaing. Ani donkaani-koong-eta koo'keta nkonii'nani naning-eta-nani, te'koo manikuma tampampaing.”
