MAT.1.1	Kanan mʋ nɩɩ Yesu Krisito kakʋʋgɛ tɔ kɩnaana ki du ndee. Yesu Krisito lɩɩ Owura Dawidi kanaan tɔ, nɩɩ Dawidi mɔɔ lɩɩ Abraham kanaan tɔ.
MAT.1.2	Abraham mu‐bii ɩ gyɛ Isaki,
MAT.1.2	nɩɩ Isaki mu‐bii ɩ gyɛ Gyekobu,
MAT.1.2	nɩɩ Gyekobu mɔɔ mu‐bii ana ɩ gyɛ Gyuda maa mu‐supu ana.
MAT.1.3	Gyuda mu‐bii ana ɩ gyɛ Peresi maa Sera, nɩɩ bamʋ‐nyi ɩ gyɛ Tama.
MAT.1.3	Peresi mu‐bii ɩ gyɛ Hesiron,
MAT.1.3	nɩɩ Hesiron mɔɔ mu‐bii ɩ gyɛ Ram.
MAT.1.4	Nɩɩ Ram mu‐bii ɩ gyɛ Aminada,
MAT.1.4	nɩɩ Aminada mu‐bii ɩ gyɛ Naason,
MAT.1.4	nɩɩ Naason mu‐bii ɩ gyɛ Salimon.
MAT.1.5	Nɩɩ Salimon mu‐bii ɩ gyɛ Bowasi, nɩɩ mu‐nyi ɩ gyɛ Rahabu,
MAT.1.5	nɩɩ Bowasi mu‐bii ɩ gyɛ Obedi, nɩɩ mu‐nyi ɩ gyɛ Rufu,
MAT.1.5	nɩɩ Obedi mu‐bii ɩ gyɛ Gyeese.
MAT.1.6	Nɩɩ Gyeese mu‐bii ɩ gyɛ Owura Dawidi.
MAT.1.6	Nɩɩ Owura Dawidi taa ɔkyɩɩ mʋ nɩɩ ɔ daa ɔ gyɛ Yuriya mʋ‐ka kʋʋgɛ Solomon.
MAT.1.7	Solomon mu‐bii ɩ gyɛ Rehobowam,
MAT.1.7	nɩɩ Rehobowam mu‐bii ɩ gyɛ Abigya,
MAT.1.7	nɩɩ Abigya mu‐bii ɩ gyɛ Asa.
MAT.1.8	Nɩɩ Asa mu‐bii ɩ gyɛ Gyehosafati,
MAT.1.8	nɩɩ Gyehosafati mu‐bii ɩ gyɛ Gyehoram,
MAT.1.8	nɩɩ Gyehoram mu‐bii ɩ gyɛ Yusiya.
MAT.1.9	Nɩɩ Yusiya mu‐bii ɩ gyɛ Gyotam,
MAT.1.9	nɩɩ Gyotam mu‐bii ɩ gyɛ Ahasi,
MAT.1.9	nɩɩ Ahasi mu‐bii ɩ gyɛ Hesekiya.
MAT.1.10	Nɩɩ Hesekiya mu‐bii ɩ gyɛ Manase,
MAT.1.10	nɩɩ Manase mu‐bii ɩ gyɛ Amon,
MAT.1.10	nɩɩ Amon mu‐bii ɩ gyɛ Gyosiya.
MAT.1.11	Nɩɩ Gyosiya mu‐bii ɩ gyɛ Gyekoniya maa mu‐supu ana.
MAT.1.12	Nɩɩ lɩɩ saŋa mʋ nɩɩ ba yɛgɛ Ɩsɩrayɩ abi mʋ nɩɩ ba kɩtaa kpee Babilon naa fʋʋ saŋa mʋ nɩɩ ba kʋʋgɛ Yesu mʋ, ɩmʋ kakʋʋgɛ tɔ nkyaga sʋ ndee.
MAT.1.12	Gyekoniya mu‐bii ɩ gyɛ Selatiye,
MAT.1.12	nɩɩ Selatiye mu‐bii ɩ gyɛ Serubabeli.
MAT.1.13	Nɩɩ Serubabeli mu‐bii ɩ gyɛ Abiyudi,
MAT.1.13	nɩɩ Abiyudi, mu‐bii ɩ gyɛ Eliyakim,
MAT.1.13	nɩɩ Eliyakim mu‐bii ɩ gyɛ Aso.
MAT.1.14	Aso mu‐bii ɩ gyɛ Sadoki,
MAT.1.14	nɩɩ Sadoki mu‐bii ɩ gyɛ Akim,
MAT.1.14	nɩɩ Akim mu‐bii ɩ gyɛ Eliyudi.
MAT.1.15	Nɩɩ Eliyudi mu‐bii ɩ gyɛ Eleyasa,
MAT.1.15	nɩɩ Eleyasa mu‐bii ɩ gyɛ Matan,
MAT.1.15	nɩɩ Matan mu‐bii ɩ gyɛ Gyekobu.
MAT.1.16	Nɩɩ Gyekobu mu‐bii ɩ gyɛ Gyosefu, Mɛɛrɩ mu‐kuli mʋ. Nɩɩ Mɛɛrɩ maŋa ɩ kʋʋgɛ Yesu mʋ nɩɩ bɛɛ tɩɩ yɛ Krisito mʋ.
MAT.1.17	Ɩmʋ sʋ lɩɩ Abraham saŋa naa fʋʋ Owura Dawidi kanaana tɔ kakʋʋgɛ nkyaga sʋ mʋ ɩ gyɛ kudu ana. Nɩɩ lɩɩ Dawidi naa fʋʋ saŋa mʋ nɩɩ ba kɩtaa bamʋ waa anyɛ mʋ kanaana tɔ kakʋʋgɛ nkyaga sʋ ɩ gyɛ kudu ana. Nɩɩ lɩɩ saŋa mʋ nɩɩ ba yɛgɛ Ɩsɩrayɩ abi lɩɩ Babilon naa fʋʋ Krisito kakʋʋgɛ saŋa mʋ gbaa gyɛ kanaana tɔ kakʋʋgɛ nkyaga sʋ kudu ana.
MAT.1.18	Yesu Krisito kakʋʋgɛ asɩn ndee. Ba taa mu‐nyi Mɛɛrɩ sa Gyosefu kekili, amaa pɔyɩ kɛ ba bɩɩ abaa mʋ, ɩ ba fɛɛ ɔkyɩɩ mʋ sʋ ɔtɔ, nɩɩ Kayaayu Kyɩrɛkyɩrɛ mʋ ɩ yɛgɛ nɩɩ ɩ ba kanɩn. 
MAT.1.19	Gyosefu mʋ nɩɩ ɔ gyɛ mu‐kuli mʋ gyɛ ɔsa mʋ nɩɩ mʋ ɩkpa i kyiigi, nɩɩ maa mee biti fɛɛ ɔ ŋaabaa Mɛɛrɩ asa nsana tɔ sʋ mʋ, ɔ waa mʋ nfɛɛrɛ fɛɛ ee biti ɔ baala kina mʋ.
MAT.1.20	Amaa Gyosefu, maa fɛ falɛ nfɛɛrɛ mʋ, nɩɩ Ɔnyɩrɩpɛ Ɩbwaarɛ kabɔɔ lɛɛ mʋ n‐yɩɩ kaapʋ mʋ idee tɔ tɔwɛ mʋ yɛ, “Gyosefu, Dawidi kanaana‐bii, man waa kufuu fɛɛ fʋ mɛɛ yɛ fʋ taa Mɛɛrɩ kili, lɩɩ fɛɛ Kayaayu Kyɩrɛkyɩrɛ mʋ ɩ yɛgɛ nɩɩ ɔ nyɛ ɔtɔ. 
MAT.1.21	Ee biti ɔ kʋʋgɛ obii‐nyɩnsa, kɛ fʋ yɩla mʋ kɩtɩɩ yɛ Yesu, kpalɩ fɛɛ mʋ ii biti ɔ ba mɔlɩgɛ mʋ asa lɩɩ bamʋ alibi tɔ.”
MAT.1.22	Ɩnɩmʋ kpini ɩ ba waa, kɛ ɩ ba tɔ fɛɛ kanan mʋ nɩɩ Ɔnyɩrɩpɛ bɔla mʋ ɔtɔwɛpʋ sʋ tɔwɛ yɛ, 
