MAT.1.1	Jisu Khrista David atu ate Abraham sanao pa puhang pahang na jiekka shi. 
MAT.1.2	Abraham hi Isaac hina mapa, Isaac na Jacob hina mapa Jacob na Judah akha chu ulenao ngei mapa. 
MAT.1.3	Judah na Perez lea Zerah mapa, hana manu na Tamar, Perez na Hezron mapa, Hezron na Ram mapa. 
MAT.1.4	Ram na Amminadab mapa. Amminadab na Nahshon mapa, Nashon na Salmon mapa. 
MAT.1.5	Salmon na Boaz mapa manu na Rahab Obed mapa na Boaz akha chu manu na Ruth, Jesse mapa na Obed. 
MAT.1.6	Akha chu arengpa David manu chu Uriah namei ae. 
MAT.1.7	Rehoboam mapa na Solomon, Abijah mapa na Rehoboam, Asa mapa na Abijah. 
MAT.1.8	Jehoshaphat mapa na Asa. Jehoram mapa na Jehoshaphat, Uzziah mapa na Jehoram. 
MAT.1.9	Jotham mapa na Uzziah Ahaz mapa na Jotham Hezekiah mapa na Ahaz. 
MAT.1.10	Manasseh mapa na Hezekiah, Amon mapa na Manasseh. Josiah mapa na Amon. 
MAT.1.11	Akha chu Jeconiah lea uleh nao ngei mapa na Josiah, Babylon na phaija ta lei sunga don.
MAT.1.12	Babylon na phaija ta nutienga Jeconiah hi shealtiel ma pa ae. Zerubbabel mapa na Shealtiel. 
MAT.1.13	Abiud mapa na Zerubbabel. Eliakim mapa na Abiud. Azo mapa na Eliakim. 
MAT.1.14	Zadok mapa na Azos. Akim mapana Zadok. Eliud mapa na Akim. 
MAT.1.15	Eleazar mapa na Eliud. Mathan mapa na Eeazar. Jacob mapa na Matthan. 
MAT.1.16	Akha chu Khrista Jisu ta kok Messiya manu Mary pasal na Josep hina mapa na Jacob.
MAT.1.17	Abram hai thou David phao shunga meerul asom inly, Huna David hai thou Babylon na phaija tah phao sung hina meerul asom inly. Huna hai thou wa khrista phao sung kom meerul asom inly.
MAT.1.18	Jisu Khrista hi ta don ae, manu Mary hi Josep kolla nuhla ranga reikung silsha so weh chuti weta manui ani na taichang matieng Mary chu muihla athieng na nao ron so ae. 
MAT.1.19	Chuna mapasal chang angpa Josep chu adiek tullu lu mee sou chu mee ngei na thei hap matienga athei chak alung sunga daitiek ta hran hou rang hal so. 
MAT.1.20	Rouram lim mahal su nutienga Arengpu wanrui na ma manga amo ta kok, “David sanao Josep, Mary ta nei ang ati no oh rouram chu mawon sunga naoron chu muihla athieng hai thou ae. 
MAT.1.21	Namei hana spa don ange akha chu nangna maming hi Jisu ta kokko, amona mamee ngei ta pak hai thou sanpi ange.”
MAT.1.22	Nalim pa hi Arengpu rou ma ril rouphu na rilsha ha thungpi ranga ae. 
MAT.1.23	“Athieng snu chunga naoron nange amo na spa akha don ange, akha chu amota Immanuel ta kokkange” (hina rilna chu, “Anita am haso Chungthieng.”)
MAT.1.24	Josep na eenhrang lakjuija Areng wanrui na amo ta trongsan pek nu juija amona Mary ta anamei changa ma inn na rui phao. 
MAT.1.25	Chuti weta amona nao don ma lim ma anamei ae ta jalha hrun ha no ae. Akha chu aming ko amo na Jisu ta kokkae.
MAT.2.1	Herod Reng na reng changlei ah. Judea ram Bethlehem ma Jisu don su takka, nasu tienga athei asingei na Jerushalem ma phao. 
MAT.2.2	Akha chu sai, “Jews ngei Rengpa don so weti chu hoija mo ae? Kani na nasu tienga ma-arshi ri unge akha chu amo ta mokranga phao unge.” 
MAT.2.3	Herod rengpa akha chu Jerushalem ma am lim pa na theijuija lung ehekta olso. 
MAT.2.4	Amona mamee ngei chungtekti thiempu akha chu roukung ocha ngei ta kokka rachun piweta manita sai, “Khrista ha hoi mun na don nang sha?”
MAT.2.5	Mani na sange, “Judea Bethlehem ah ae.” “Nahi ae rouphu ngei na jiekka hita shi: 
MAT.2.6	“Judah ram sunga Bethlehem nang chu Judah ram sanao ngei karra sintekti ano ae; rouram chu kamee Israel ngei ta lamkai pi ang akha nakolla hai thou shuk kange.”
MAT.2.7	Chuna Herod na nasu tienga athei achang tuita kokweta ejong apha ah arshi na sukmoti hrabakta dangpha so. 
MAT.2.8	Amona manita Bethlehem ah hla weta hita ril, “Thingo hanaweta unga am na ha hrabak dang shu nutienga keita takko, dangpi oh chuleh chu kei kom thingweta amota mok thing tikkae.” 
MAT.2.9	Rengpa kolla mani thei su nutienga mani na mani lam hana thinga nasu tienga mani ri arshi hana matienga thinge nao san am na pha ma lim ma. 
MAT.2.10	Arshi ha na ngir rijui ariem na shihakti so. 
MAT.2.11	Inn hana mani lutjuija naosan ha chu manu Mary hitta am riso. Akha chu manina huk hrun weta amo ta moksho. Hana mani thul hongweta ariem hoi shariktui akha chu sona ha pepi sho.
MAT.2.12	Mani ta amanga dangpi nu juija Herod am na tienga lea no wa, mani na adang lampi tienga mani ram ma lea so weh.
MAT.2.13	Mani thing nutienga Arengpa wanrui na Josep manga ripi ah amo na rille; “Thou jou wo, hana unga lea manu hitta Egypt pa bithingo. Amunt hana am mo nakolla Le-ota kadang pimalimma, rouram chu Herod na unga ha ta that ranga jonga am meh.”
MAT.2.14	Chuna amo na thou weta unga akha chu manu ta jantinga Egypt pa thing so. 
MAT.2.15	Amunt hana Herod theet malim ma amo na ammeh. Chuna rouphu thiempu na rilshukha atun chu tungso ae: “Keina kasanaopa Egypt hai thou sunga kokkange.”
MAT.2.16	Herod na dangphaso nasutienga athei achangei na amota routhup so ae ta madangpha ah, amo na alung sha ah Bethlehem sunga am nao san spa akum ani thuija am lim ta that ranga trongsan pe so. 
MAT.2.17	Hana rouphu pa Jeremiah na ril phur ha adiek takka shukso: 
MAT.2.18	“Ramah hai thou wa meetrap sanrol akha chu Rachel na asanao ngei taranga trap pa; akha chu ma hoi rang ephou am no ae rouram chu mani ha am no jarra.”
MAT.2.19	Herod thit su takka Egypt ram ma Josep manga Arengpa wanrui na amota ripi. 
MAT.2.20	Akha chu ril, “Thou oh, unga akha chu manu ruiweta Israel ramma lea oh rouram chu unga hata la tikkae ta ae mee amo ha thi so ae.” 
MAT.2.21	Chuna amona thou weta unga akha chu manu ta rui weh ta Israel ram thing so.
MAT.2.22	Chuti weta Arkileas na Judea ram ma mapa Herod hut sil so weh theipa chu amo na amunt hana thing rang atri. Chutichun mamanga takpi nu juija amona Galily ram tienga thingso. 
MAT.2.23	Akha chu amona Nazaret hulokka thingweta amso. Chuna rouphu ngei ril phur ha tungso, “Amo ta Nazarete mee ta kokkange.”
MAT.3.1	Hanalei rungnie ah Johon Baptias na Judiah ram rukka phaoweta rouril ae. 
MAT.3.2	Akha chu hita ril, “Shilung hlongo, Rengpa ma ram thangwan neiso ae.” 
MAT.3.3	Hiso ae rouphu Isaiah marou ril phur ha,
MAT.3.3	“Ram rukka sanrol akha na koka am Arengpa
MAT.3.3	tarang lam shatto, mataranga lam jangpi oh.”
MAT.3.4	Johon punchoi dirchoi chu utshamul ae hana akung hit huppa. Mabak ma inn chu hou akha chu ram ma hui stui ae. 
MAT.3.5	Jerushalem akha chu Judiah ram ma malmashi ngei akha chu Jordon ram tienga malmashi ngei na makolla phao ae. 
MAT.3.6	Mani na mani pak rilsukweta Jordan turella makol hai thou Baptias ae.
MAT.3.7	Chutiweta amona Pharisi akha chu Saddukis ngei baptias ae ranga wak mari juija mo na mani ta ril lea, “Arul tu te ngei! atu na nangei ta tanna thingo, rilla meh? Chungthieng malungshit tung ang so. 
MAT.3.8	Pak hei thou wa hlonga hou sange ti ha nangei tullu na ri pi oh. 
MAT.3.9	Nathei chakka hita halla nathei ah hita rilno oh, ‘kani pa Abraham hek ti unge ta.’ Keina nangei ta rilla aminge Chungthieng na allung hai thou wa ko Abraham sanao ngei wul pi nea ae. 
MAT.3.10	Thing too ah arei na tan na am so ae. Akha chu thingkung hana ara ahra ra no lea chu tan weta sermei ah jun ange. 
MAT.3.11	“Keina nangei ta tui ah baptias ae pi sange nalung hlong sarukka, chuti weta kanutienga phao ang pa amo chu kei ta hella chungtek ae machung huirang phao ron na ephao matick cha nonge. Amo na nangei ta muihla athing akha chu sarmei ah baptias ae pi ange. 
MAT.3.12	Arengpa makutta balei ha am meh akha chu shangrei na, ruimunt hana mashang lim rachon weta masier ah shangtak makhai chu shiweta ashi awai ta chu atreem am low sarmei ah deng-ange.
