MAT.1.1	Ŋìnó a tà-ká-tà gítí ṛèngbó bà jò Jézù tí Bìndi-Mbíṛì, tí ꞌviì mì Dàvídè tí gbolò gba mì ndâ Ìzìrìyélì, tí ꞌviì mì Àbìráámò tí mbe jò ŋa ndâ Ìzìrìyélì ꞌdáá gî.
MAT.1.2	Ŋìnó a ṛè ndâ ká gù Jézù mbe ꞌbìtà ꞌdo tí Àbìráámò yee tí Dàvídè:
MAT.1.2	Àbìráámò ká jò Ìzákò,
MAT.1.2	Ìzákò giì jò Jàkóbè,
MAT.1.2	Jàkóbè giì jò ndâ Júdàà ta ndâ náꞌvindí wó.
MAT.1.3	Júdàà giì jò ndâ Pèrézì ta Zérà mítí Tàmárà,
MAT.1.3	Pèrézì giì jò Èzìrónì,
MAT.1.3	Èzìrónì giì jò Rámù,
MAT.1.4	Rámù giì jò Àmìnàdábì,
MAT.1.4	Àmìnàdábì giì jò Nàsónì,
MAT.1.4	Nàsónì giì jò Sàlìmónì,
MAT.1.5	Sàlìmónì giì jò Bòwázì mítí Ràꞌábù,
MAT.1.5	Bòwázì giì jò Òbédì mítí Rútà,
MAT.1.5	Òbédì giì jò Jésì,
MAT.1.6	bìndi  Jésì giì jò Dàvídè tí gbolò gba mì ndâ Ìzìrìyélì.
MAT.1.6	Ŋìnó a ṛè ndâ gù Jézù mbe ꞌbìtà ꞌdo tí Dàvídè yee tí o bà kaa ndâ Ìzìrìyélì tí ndâ zà-za gó ꞌdo ꞌbá mì ndú ya tí  gí Bàbìlónìyà:
MAT.1.6	Dàvídè tí gbolò gba mì ndâ Ìzìrìyélì giì jò Sólómònì mítí nawù wó Ùráyà,
MAT.1.7	Sólómònì giì jò Rèyòbòwámù,
MAT.1.7	Rèyòbòwámù giì jò Àbíjà,
MAT.1.7	Àbíjà giì jò Ásà,
MAT.1.8	Ásà giì jò Yòsàfátì,
MAT.1.8	Yòsàfátì giì jò Yòrámù,
MAT.1.8	Yòrámù giì jò Ùzáyà,
MAT.1.9	Ùzáyà giì jò Yòtámù,
MAT.1.9	Yòtámù giì jò Àázì,
MAT.1.9	Àázì giì jò Èzìkíyà,
MAT.1.10	Èzìkíyà giì jò Mànásè,
MAT.1.10	Mànásè giì jò Àmónì,
MAT.1.10	Àmónì giì jò Yòsíyà,
MAT.1.11	Yòsíyà giì jò ndâ Jèkòníyà ta ndâ náꞌvindí wó. ꞌDo bà-i-nò à giì kaa ndâ Ìzìrìyélì tí ndâ zà-za gó ya tí  gí Bàbìlónìyà.
MAT.1.12	Ŋìnó a ṛè ndâ gù Jézù mbe ꞌbìtà ꞌdo tí o bà kaa ndâ Ìzìrìyélì tí ndâ zà-za gó ꞌdo ꞌbá mì ndú ya tí  gí Bàbìlónìyà yee tí o bà jò Jézù:
MAT.1.12	Jèkòníyà giì jò Sèlìtìyélì si ndú Bàbìlónìyà,
MAT.1.12	bìndi  Sèlìtìyélì giì jò Zèrùbàbélè,
MAT.1.13	Zèrùbàbélè giì jò Àbìyúdì,
MAT.1.13	Àbìyúdì giì jò Èlìyàkímì,
MAT.1.13	Èlìyàkímì giì jò Àzórì,
MAT.1.14	Àzórì giì jò Zàdókì,
MAT.1.14	Zàdókì giì jò Àkímì,
MAT.1.14	Àkímì giì jò Èlìyúdì,
MAT.1.15	Èlìyúdì giì jò Èlìyázàrà,
MAT.1.15	Èlìyázàrà giì jò Màtánì,
MAT.1.15	Màtánì giì jò Jàkóbè,
MAT.1.16	bìndi  Jàkóbè giì jò Jùzépè nó mbe kò Màríyà tí nawu Jézù nó tí Bìndi-Mbíṛì nô.
MAT.1.17	Muu ndâ gù Jézù mbe ꞌbìtà ꞌdo tí Àbìráámò tí bu ndâ Ìzìrìyélì ꞌdáá gî, yee tí Dàvídè tí gbolò gba mì ndâ Ìzìrìyélì a bà ꞌdòkò bà jò tí tabà  muuꞌbì-nje nàꞌô. ꞌDo tí Dàvídè yee tí o bà kaa ndâ Ìzìrìyélì tí ndâ zà-za gó ya tí  gí Bàbìlónìyà ꞌdáá gî a bà ꞌdòkò bà jò tí tabà  muuꞌbì-nje nàꞌô. ꞌDo tí o bà kaa ndâ Ìzìrìyélì tí ndâ zà-za gó ya tí  gí Bàbìlónìyà yee tí o bà jò Jézù ꞌdáá gî a ndâ ꞌdakò muuꞌbì-nje nàꞌô.
MAT.1.18	Ṛèngbó bà jò Jézù tí Bìndi-Mbíṛì énô. Ta o tí nò Jùzépè ꞌvee káa có tí Màríyà tí nawu Jézù tí Bìndi-Mbíṛì jéé gî, káa ndú toko bà sili ta yí lá. Káa kùṛo bà ko yí gí ꞌbá, Màríyà giì tè nakáyì ta wotí mì Bèṛi-mì-Mbíṛì gî. 
MAT.1.19	Jùzépè mâ giì ŋò énò, yí giì bàkà có bà dele ndi ndâ i mì wó ꞌdo tàkò Màríyà gbí ꞌdê có á tàbèngìì, tacó yí a tó ꞌdakò, káa go bà te nô á ṛo Màríyà mí kùṛo ndâ ꞌduù tí wó wálá. 
MAT.1.20	Káa si yí kû koṛo ŋa có tí nò, basìlì mì Mbíṛì giì gì gí muu wó gbí ṛiì, bìndi  yí giì ꞌdè có ji yí máa, «Jùzépè, ꞌviì mì Dàvídè, cì gúku tí bà kò Màríyà tí nawù lo lá. Tacó ꞌviì tí nò gbí yì wó nò a ꞌviì mì Bèṛi-mì-Mbíṛì. 
MAT.1.21	Yí bà jò a ꞌviì-ꞌdakò, bìndi  wò bà gbì ṛè wó tí Jézù, tacó yí bà ꞌvala ndâ ꞌduù mì yo ꞌdo gbí ndâ vò i mì ndú.»
MAT.1.22	I tí nò bàkà tí ꞌdáá ká tacó wàa có tí nó náa Mbíṛì táánò tuu ta ꞌbí mbe ꞌdòkò có mì wó máa,
MAT.1.23	«ꞌBí ngbutu ꞌvinî bà giì tè nakáyì,
MAT.1.23	yí bà jò ꞌviì tí nò tí ꞌviì-ꞌdakò,
MAT.1.23	náa àá bà gbì ṛè wó tí Èmànùwélè (gbí  máa: Mbíṛì ta ndoo) nó» ꞌví dù tí  tí yúcó.
MAT.1.24	Jùzépè mâ giì ziya ꞌdo tí ṛì, yí giì ko Màríyà gí ꞌbá go có tí nó náa basìlì mì Mbíṛì ꞌdè ji yí gbí ṛiì nô. 
MAT.1.25	Káa ndú toko bà sili ta yí lá. Bìndi  Màríyà giì jò ꞌviì mì wó, tí ꞌviì-ꞌdakò, bìndi  Jùzépè giì gbì ṛè wó tí Jézù.
MAT.2.1	Ta o tí nò, gbolò gba Jùdéyà a Èródè. Mâ giì zekeꞌo, ndâ ꞌbí ꞌdakò tí ndâ mbe ꞌdi gbí-o, tí ndâ mbe kû pà-có ndâ i ta ndâ yii, giì ŋò yii tí nó mbe tùbà o bà jò Jézù nó co gî, bìndi  ndú giì njè nó ya gí Jèrùzàlémè, kû ꞌvee ndâ ꞌduù, 
MAT.2.2	máa, «Dó ꞌviì tí nó tí gbolò gba mì ndâ Jùdéyà nó ngò? Tacó ze ŋò yii mì wó si ze ꞌbá mì ze á Wàá, káa ze giì gì tacó bà ùlù yí.»
MAT.2.3	Èródè tí gbolò gba mì ndâ Jùdéyà mâ giì ꞌdi có tí nò, líkíꞌo giì cee ꞌdo tí wó gî. Gúku bà ꞌdi có tí nò delè giì zèè ndâ ꞌduù Jèrùzàlémè ꞌdáá gî. 
MAT.2.4	Èródè bà-i-nò giì kili ndâ Kùṛo ndâ bu-Mbíṛì ta ndâ kpo-kpò ꞌduù mbe ꞌdi gbí tàkìì mì ndâ Jùdéyà ꞌdáá gî, bìndi  yí giì ꞌvee ndú, máa, «À cu mí gbí wáràgà mì Mbíṛì máa, àá bà jò Bìndi-Mbíṛì mí ngò?»
MAT.2.5	Káa ndú giì ꞌvìsì có ji yí, máa, «Àá bà jò yí mí gbí gbata Bétèlèmè, go có tí nó náa Míkà tí mbe ꞌdòkò có mì Mbíṛì cu mí gbí wáràgà mì wó táánò sàà, máa,
MAT.2.6	‹Káa wò tí Bétèlèmè á gbí to mì Júdàà,
MAT.2.6	wò me ꞌdé to á kùṛo ndâ gba kòtí Júdàà lá,
MAT.2.6	tacó gba tí nó náa yí bà giì dù tí mbe kpolo tí ndâ ꞌduù mì ye tí ndâ Ìzìrìyélì nó bà gì ꞌdo mì lo.› »
MAT.2.7	Èródè mâ giì ꞌdi có tí nò, yí giì tèꞌé tí ndâ mbe ꞌdi gbí-o tí nó mbe gì ꞌdo Wàá nó tàbèngìì, bìndi  yí giì ꞌvee ndú gítí kpédélé o bà ŋò yii tí nò mì ndú. 
MAT.2.8	Bìndi  yí giì ꞌdè có ji ndú máa, ndú ya gí bà pà bàndò tí nó náa à jò ꞌviì tí nò mítí  á Bétèlèmè nô, ndú má ꞌde gî, ndú ꞌví dele ndi ndú gì gí bà ꞌdè có ji yì. Tacó wàa, yì ꞌví ya gí bà ùlù yí delè.
MAT.2.9	Ndâ mbe ꞌdi gbí-o tí nò mâ giì ꞌdi có tí nò náa Èródè ꞌdè ji ndú nò gî, ndú giì njè nó ꞌdo Jèrùzàlémè kû ya gí Bétèlèmè. Ndú mâ giì di kpokèjì, yii tí nó mbe kû tùbà kpokèjì ji ndú nó giì co ndi wó kákáꞌi mí kùṛo ndú kû tùbà kpokèjì ji ndú. Yii tí nò giì ko ndú yee Bétèlèmè, bìndi  yí giì ṛò tíyò á ꞌvii ta muu bàndò tí nó ta dó Jézù tí  nô. 
MAT.2.10	Líkíꞌo bà ŋò yii tí nò giì bàkà ndú ngé ndii gî. 
MAT.2.11	Ndú mâ giì ṛì gí tàꞌi, ndú giì ꞌde ndâ ꞌviì tí nò ta nawu wó Màríyà. Ndú bà-i-nò giì kucuku muungbó ndú mí kùṛo dó ꞌviì tí nò, bìndi  ndú giì ùlù yí go bà ùlù Mbíṛì. Bìndi  ndú giì njaanga gbí ndâ káꞌi mì ndú, ndú giì je ndâ i-nambeè ꞌdo tí dâꞌbì, ta dì, ta banga pó i bà ŋònòkò bàà ji ꞌviì tí nò.
MAT.2.12	Káa ta kùṛo o bà dele ndi ndú gí ꞌbá mì ndú, Mbíṛì giì kpo-gbí-tà-tù ndú gbí ṛiì, máa, ndú ꞌví dele co mì Èródè lá. Tacó énò, ndú giì waa to ꞌdo tí Èródè co tí ꞌbí kpokèjì.
MAT.2.13	Ndâ mbe ꞌdi gbí-o tí nò mâ giì njè nó gî, basìlì mì Mbíṛì giì ꞌdè có ji Jùzépè gbí ṛiì, máa, «A gí yaà, wò ꞌví kaa ndâ ꞌviì tí nò ta nawu wó, wàa wò ꞌví fa ngèlè ta ndú ya gí Másìrì. Yo ꞌví dù ta ndú kà yee tí o tí nó náa ye bà tèꞌé tí lo. Tacó Èródè kû pà kpokèjì bà ꞌde ꞌviì tí nò, wàa yì ꞌví zi yí gî.»
MAT.2.14	Jùzépè mâ giì ziya ꞌdo tí ṛì, yí giì kaa ndâ Jézù ta nawu wó Màríyà, yí giì zèè kpokèjì Másìrì ta ndú ta bèbìlì tí nò, go có tí nò náa basìlì mì Mbíṛì ꞌdè ji yí gbí ṛiì nò. 
MAT.2.15	Ndú giì dù á Másìrì yee tí o bà cì Èródè. I tí nò bàkà tí jé ká go có tí nó náa ꞌbí mbe ꞌdòkò có mì Mbíṛì ta ṛè wó a Òsíyà ꞌdè sàà, énó máa, Mbíṛì máa,
MAT.2.15	«Ye tèꞌé tí ꞌviì mì ye ꞌdo Másìrì,» nô.
MAT.2.16	Èródè mâ giì ꞌdi gbí  ni gî máa, ndâ mbe ꞌdi gbí-o tí nò mbe gì ꞌdo Wàá nò eendi yì gî, tàkòcò wó giì kpolo ngé ndii gî. Tacó énò, yí giì ꞌdè có ji ndâ àsìkérì mì wó, máa, ndú ya gí bà ziki ndâ dó ꞌviì-ꞌdakò gbí gbata Bétèlèmè ta ndâ to tí nó dê-dê seè Bétèlèmè nó ꞌdáá gî. Máa, ndú ꞌbìtà ꞌdo tí ndâ délékè dó ꞌviì yee tí ndâ ŋìnó ta ndoò tí ndú sósòꞌô, nô. Èródè ꞌdeke o tí nò ꞌvii ta o tí nó náa ndâ mbe ꞌdi gbí-o tí nó mbe gì ꞌdo Wàá nó ꞌdeke ji yí máa ndâ yì ꞌbìtà bà ŋò yii tí nò gbí  nô. 
MAT.2.17	Ŋa i tí nò náa Èródè bàkà nò gì ká jé go có tí nó náa Jèrèmíyà tí mbe ꞌdòkò có mì Mbíṛì ꞌdè sàà táánò, máa,
MAT.2.18	«À ꞌdi kòcò ꞌduù gí gbí gbata Rámà,
MAT.2.18	ꞌduù tí nò kû wa gbí, ta bà tò kû ngéé gí yaà.
MAT.2.18	A niì tí nó tí Ràkélè nó ká kû wa ndâ ꞌviì mì wó.
MAT.2.18	Bà yìì yí kpo ndâ ꞌduù gî,
MAT.2.18	tacó ndâ ꞌviì mì wó mìì ꞌdáá gî,» nô.
