GEN.1.1	Uru-uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.
GEN.1.2	Lodꞌo rai-haha jꞌajꞌi mèka, aaꞌi-aaꞌi dhae mèci mèka. Dhu abhu, èi. Aa maroga aatu-aatu saguru nare ne. Ka Roh Lamatua lela ètu dedha èi èèna.
GEN.1.3	Hèia Ama Lamatua peka, “Hudꞌi ku dènge saraa.” Ropa peka nare sèmi neꞌe, ka saraa jꞌajꞌi dènge ka. 
GEN.1.4	Ropa nèdhi saraa ne, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa. Hèia Na hagꞌe eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na. 
GEN.1.5	Ka pangare saraa ne ‘mèu’, aa maroga na ‘mèda’. Neꞌe ne, lodꞌo ka èci kèna.
GEN.1.6+GEN.1.7	Hèia Ama Lamatua lii hari, Na peka, “Hudꞌi dènge ku era talele, sèna ka hagꞌe eele èi. Nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha.” Ropa peka nare sèmi èèna, hèia èi bꞌagi dènge mi dua. 
GEN.1.8	Ka Na pangare èi re dedha na, ‘liru’. Neꞌe ne, lodꞌo ka dua kèna.
GEN.1.9	Hèia Ama Lamatua peka hari, aku Nèngu na, “Èi re haha hudꞌi pakaboko ku mi ca era, sèna ka abhu rai kamango.” Ropa padhai lii nare sèmi neꞌe, jꞌajꞌi dènge ka rai mango. 
GEN.1.10	Ka era rai mango, Na pangare na ‘rai-dedha’; aa era èi dhu kaboko èèna, Na pangare na ‘dhasi’. Ropa nèdhi aaꞌi-aaꞌi ne, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa. 
GEN.1.11	Ka Ama Lamatua lii hari, peka na, “Rai hudꞌi pamamuri ku rupa-rupa ana aajꞌu. Sèna ka abhu ajꞌu dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. Sèna ka ajꞌu-ajꞌu se, hua-hela madhutu rupa rèngu.” Ropa padhai lii nare sèmi neꞌe, jꞌajꞌi dènge ka ana aajꞌu aaꞌi-aaꞌi ra. 
GEN.1.12	Ètu dedha-rai, ana aajꞌu se hua-hela ka madhutu rupa rèngu. Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa. 
