MAT.1.1	Kĩtabũ kya wĩleli wa kĩYesu Kilisito, umuana wa kĩDaudi, umuana wa kĩIbũlahimu. 
MAT.1.2	uIbũlahimu numulela uIsaki; uIsaki numulela uYakobo; uYakobo numulela ũYuda nĩanũna aakue; 
MAT.1.3	ũYuda nu Tamali naamulela uPelesi nuZela; uPelesi numulela uHeziloni; uHeziloni numulela uAlamũ; 
MAT.1.4	uAlamũ numulela uAminadabũ; uAminadabũ numulela uNasoni; uNasoni numulela uSalimoni; 
MAT.1.5	uSalimoni nuLahabũ naamulela uBoazi; uBoazi nuLũti naamulela uObedi; uObedi numulela ũYese; 
MAT.1.6	ũYese numulela umutemi Daudi. uDaudi numulela uSolomoni kumusungu wakĩ Ulia.
MAT.1.7	uSolomoni numulela uLehoboamũ; uLehoboamũ numulela uAbia; uAbia numulela uAsa; 
MAT.1.8	uAsa numulela ũYosapati; ũYosapati numulela ũYolamũ; ũyolamũ numulela uUzia; 
MAT.1.9	uUzia numulela ũYotamũ; ũYotamũ numulela uAzi; uAzi numulela uHezekia; 
MAT.1.10	uHezekia numulela uManase; uManase numulela uAmoni; uAmoni numulela uYosia; 
MAT.1.11	uYosia numulela ũYekonia nĩanũna aakue muntondo za usaamĩgua wa usese wa kuBabeli.
MAT.1.12	Pĩna uusaamĩli wa kuBabeli naukĩla, ũYekonia numulela uSelitieli; uSelitieli numulela uZelubabeli; 
MAT.1.13	uZelubabeli numulela uAbihudi; uAbihudi numulela uEliakimũ; uEliakimũ numulela uAzoli; 
MAT.1.14	uAzoli numulela uSadoki; uSadoki numulela uAkimu; uAkimu numulela uEliudi; 
MAT.1.15	uEliudi numulela uEliezeli; uEliezeli numulela uMatani; uMatani numulela uYakobo; 
MAT.1.16	uYakobo numulela uYosepu umugoosia wa kĩMalia naalumulelile ũYesu nukuĩtaguaa Kilisito.
MAT.1.17	Wĩleli wensi kwipũna uIbũlahimu sunga uDaudi ingĩ wĩleli kyumi naunĩĩ; nukwipũna kwa kĩDaudi sunga uusaamĩli wa kuBabeli ingĩ wĩleli kyumi naunĩĩ; nukwipũna uusaamĩli wa kuBabeli sunga uKilisito ingĩ wĩleli kyumi naunĩĩ.
MAT.1.18	Kwilelua kumuakue ũYesu Kilisito alĩ itĩ. UMalia unina waakue pĩna alĩ muligigue nuYosepu, pĩna alĩ ikaalĩ kalagonania, nwigyelela utĩĩte ndaa kuusũũmi wa kĩMuau Muelu. 
MAT.1.19	uYosepu, mwiligia waakue, kuitĩ alĩ munakulukuuluu, sika nusiia kukumukolia inshoni, alusĩĩgile kukumuleka kukĩmpisĩmpisĩ. 
MAT.1.20	Pĩna nũipindĩkia izi, laaa, Malaĩka wa kĩShekulu numũgyeleela mundooti, nuũga, “Yosepũ muana wa kĩDaudi, ulekioopoka kukumusola uMalia umusungu waako, kunsooko nakĩtũndue mundaa yaakue ingĩ kuusũũmi wa kiMwau Muelu. 
MAT.1.21	Ukakĩtũnguĩla muana, ukakumuĩta ĩliina liakue Yesu, kuitĩ uyo muene ukakuagũna ĩantu kwipũna mumilandu yaao.” 
MAT.1.22	Izi tũlũ zitũlile koona lutimĩĩligue ulukaani naalĩ lutambulue nũShekulu kumunakĩdagu, nuũga, 
MAT.1.23	“Laaa, munanso,
MAT.1.23	Ukakĩtũnguĩla muana ĩkakumuĩta ĩliina liakue Imanueli,”
MAT.1.23	(ĩNdogolelio yaakue, Nzua wĩpalumuĩ nindiishie.)
MAT.1.24	uYosepu pĩna nulaĩla mundoolo, nutenda kĩna uMalaĩka wa kĩShekulu alumulagĩlĩĩlie; numusola umusungu waakue; 
MAT.1.25	sika nugonania nunduyo sunga pĩna nwĩtũnguĩla umuana; numuĩta ĩliina liakue Yesu.
MAT.2.1	Pĩna ũYesu nulelua muBetelehemũ ya Uyahũdi pantondo za mutemi Helode. Laa anamĩlimu naakulu a kukĩĩlĩma naapika kũYerusalemũ, naaũga, 
MAT.2.2	“Wĩĩlĩ mpĩĩ namulelue mutemi wa Ayahũdi? Kuitĩ alĩ kumĩoonie ĩnsonda,
MAT.2.3	uMutemi Helode pĩna nuziigia, nukankanala, niYelusalemũ tũlũ palumuĩ nduyo.” 
MAT.2.4	Nualundĩĩla ĩapolia naakulu tũlũ nĩalangi a antu, nukolekeelia kumiao uKilisito ukilelua mpĩĩ. 
MAT.2.5	Nĩndĩo naamuĩĩla, “muBetelehemũ ya UYahũdi,” kuitĩ iio yandĩkue numunakĩdagu,
MAT.2.6	“Nduue Betelehemũ, nsĩĩ iYuda
MAT.2.6	Sikumuniino nĩnainiino muatemi iYuda,
MAT.2.6	Kunsooko kumuako ukipũna mutemi
MAT.2.6	Nukakuadĩĩma ĩantu aane ĩAsilaeli.”
MAT.2.7	Paapo uHelode nuĩĩta ĩanamĩlimu aasio kukĩmpisĩmpisĩ, nuakolekelia kĩĩsakĩĩsa tyũngo kĩ ĩnsonda pĩna aligyelĩĩle; 
MAT.2.8	nuatuma kuBetelehemũ, nuũga, “Longolĩ mudũũme kĩĩsakĩĩsa impola za kaana. Pĩna mukakukaona mundeetele impola itĩ nineene nĩĩze nĩkakulye.” 
MAT.2.9	Pĩna naamũigia umutemi, naalongola, laaa, kumpumpukĩli ĩnsonda naalĩ amĩoonie kuKĩĩlĩma nĩatongeela, sunga nienda niĩma mukiania pĩna alĩ kĩĩlĩ ĩkaana. 
MAT.2.10	Pĩna naamĩona ĩnsonda, naalumba ulumbi ukulu dũũ; 
MAT.2.11	naingĩla munumba, naakaona ĩkaana palumuĩ nuMalia unina waakue, naatũngama naakatekela; naatũngula iinaugenda yaao, naakapũnĩlia ipeelo, zahabũ, ulũmba niilago. 
MAT.2.12	Pĩna naasugulua mundooti aleke kumushookela uHelode, naenda kunsiao naakĩlĩla nzĩla yĩngĩ.
MAT.2.13	Ĩo pĩna naalongola kunsiao, laaa, uMalaĩka wa kĩShekulu numũgyeleela uYosepu mundooti, nuũga, “Uuka ukasole ĩkaana nunina waakue, utalamĩle kuMĩsili, wikyale kuko sunga nukuĩĩle; kunsooko uHelode usĩĩgile kukukadũũma Ĩkaana wakaulage.” 
MAT.2.14	Nuuuka nukasola Ĩkaana nunina waakue muutiku, nulongola kuMĩsili, 
MAT.2.15	nuĩwikuuko sunga uHelode nukia; itĩ lutimĩĩligue ulukaani naalĩ lutambulue nũShekulu kumunakĩdagu, nuũga, “Kwipũna kuMĩsili nanumuĩta muana waane.”
MAT.2.16	Paapo uHelode, pĩna nuona kĩna wakongaguaa nĩanamĩlimu aasio nutakĩkia, nutuma antu kukuaulaga ĩaana tũlũ naagoosia naaniino sunga naatĩĩte ĩmiaka ĩbĩlĩ, tũlũensi muBetelehemũ numumĩmbĩ zaakue tũlũ, kwipũna intondo pĩna alĩ wikolekeelia kuanamĩlimu aasio. 
MAT.2.17	Papo lutimĩĩligue ulukaani naalĩ lutambulue nũYelemia munakĩdagu, nuũga,
MAT.2.18	“Luli nalũigigua kuLama,
MAT.2.18	Kĩlĩlo, niiombo iingĩ
MAT.2.18	uLaheli nukualĩĩla ĩaana aakue,
MAT.2.18	Sika nugomba kwipumbuligua
MAT.2.18	kunsooko akutilĩ.”
MAT.2.19	uHelode pĩna nukia, kumpumpukĩli uMalaĩka wa kĩShekulu numũgyeleela uYosepu mundooti kuMĩsili nuũga; 
MAT.2.20	“Uuka, ukasole ĩkaana nunina waakue, wende kunsĩĩ ya ĩSilaeli, kunsooko akiile naalĩ amĩdũũmile ĩnkolo ya kaana.” 
MAT.2.21	Nuuuka, nukasola ĩkaana nunina waakue, nupika munsĩĩ ya ĩSilaeli. 
