MAT.1.1	Uwanggo yo a si are ka uga ku Yesu Kristi ka. Yesu à zhi nu uki ku uttu Doda, u Doda a zhi nu uki ku Ibrayi. Uwanggo yo a si asa a ábáchí ma wa.
MAT.1.2	Ibrayi à si aki a Ishaku.
MAT.1.2	Ishaku à si aki a Yakubu.
MAT.1.2	Yakubu à si aki a Yahuda
MAT.1.2	na amuyirr ba.
MAT.1.3	Yahuda à si aki a Perrezi tuku Zerra,
MAT.1.3	(Ayirr ambarr wa à si Tama).
MAT.1.3	Perrezi à si aki a Hezroni.
MAT.1.3	Hezroni à si aki a Ramu.
MAT.1.4	Ramu à si aki a Aminada.
MAT.1.4	Aminada à si aki a Nashoni.
MAT.1.4	Nashoni à si aki a Salimo.
MAT.1.5	Salimo à si aki a Bowazi.
MAT.1.5	(Ayirr ama wa yo à si Raha).
MAT.1.5	Bowazi à si aki a Obedi.
MAT.1.5	(Ayirr ama wa yo à si Rutu.)
MAT.1.5	Obedi à si aki a Jesi.
MAT.1.6	Jesi à si aki a Doda.
MAT.1.6	Doda à si aki a Solomo.
MAT.1.6	(Ayirr ama wa yo à si Basheba,
MAT.1.6	ayamba a Urriya.)
MAT.1.7	Solomo à si aki a Rehobowa.
MAT.1.7	Rehobowa à si aki a Abija.
MAT.1.7	Abija à si aki a Asa.
MAT.1.8	Asa à si aki a Jehoshafa.
MAT.1.8	Jehoshafa à si aki a Jehorramu.
MAT.1.8	Jehorramu à si aki a Uziya.
MAT.1.9	Uziya à si aki a Jotamu.
MAT.1.9	Jotamu à si aki a Ahazi.
MAT.1.9	Ahazi à si aki a Hezekiya.
MAT.1.10	Hezekiya à si aki a Manase.
MAT.1.10	Manase à si aki a Amoni
MAT.1.10	Amoni à si aki a Josiya.
MAT.1.11	Josiya à si aki a Jekoniya
MAT.1.11	na amuyirr ba.
MAT.1.11	(Na ase ka nggo a vɨ anu
MAT.1.11	Israila ba igarr yi
MAT.1.11	na ko nu Babilo.)
MAT.1.12	Nu ugo ku igarr ku nu Babilo:
MAT.1.12	Jekoniya à si aki a Sheyalitiye.
MAT.1.12	Sheyalitiye à si aki a Zerrubabe.
MAT.1.13	Zerrubabe à si aki a Abiyudu.
MAT.1.13	Abiyudu à si aki a Eliyaki.
MAT.1.13	Eliyaki à si aki a Azorr.
MAT.1.14	Azorr à si aki a Zado.
MAT.1.14	Zado à si aki a Akimu.
MAT.1.14	Akimu à si aki a Eliyudu.
MAT.1.15	Eliyudu à si aki a Eliyaza.
MAT.1.15	Eliyaza à si aki a Matani.
MAT.1.15	Matani à si aki a Yakubu.
MAT.1.16	Yakubu à si aki a Isuhu.
MAT.1.16	Isuhu yo à si unuru a Maryamu wa.
MAT.1.16	Maryamu à si ayirr Yesu wa.
MAT.1.16	A yo Yesu yo di Kristi.
