MAT.1.1	Yàrɨ́ nɨ́ Yěsù 
MAT.1.2	Àbràhamʉ̀ náadhɨ̀ Ìsakà, Ìsakà náadhɨ̀ Yàkɔbhɔ̀, Yàkɔbhɔ̀ náadhɨ̀ Yudhà mà adɔ́na mànà. 
MAT.1.3	Yudhà náadhɨ̀ Pàrezì mà Zǎrà nà. Abádhí-tsánà nɨ’ɨ̀ Tàmarɨ̀. Pàrezì náadhɨ̀ Ɛ̀srɔmʉ̀, Ɛ̀srɔmʉ̀ náadhɨ̀ Àramʉ̀. 
MAT.1.4	Àramʉ̀ náadhɨ̀ Àmɨ̀nàdabhʉ̀, Àmɨ̀nàdabhʉ̀ náadhɨ̀ Nàsɔnɨ̀, Nàsɔnɨ̀ náadhɨ̀ Sàlmɔnɨ̀, 
MAT.1.5	ndɨrɔ̀, Sàlmɔnɨ̀ náadhɨ̀ Bɔ̀azà. Bɔ̀azà-tsánà nɨ’ɨ̀ Ràhabà. Bɔ̀azà náadhɨ̀ Ɔ̀bɛdɛ̀. Ɔ̀bɛdɛ̀-tsánà nɨ’ɨ̀ Rútà. Ɔ̀bɛdɛ̀ náadhɨ̀ Yɛ̌sɛ̀, 
MAT.1.6	Yɛ̌sɛ̀ náadhɨ̀ Ádrʉ̀ngbǎ kamà Dàwudì, ndɨrɔ̀, Dàwudì náadhɨ̀ Sɔ̀lɔ̀mɔnɨ̀. Sɔ̀lɔ̀mɔnɨ̀-tsánà nɨ’ɨ̀ yà Ùriyà-fɔ́ rɔ̀ Dàwudì akɔ̀ tsìbhálɛ. 
MAT.1.7	Sɔ̀lɔ̀mɔnɨ̀ náadhɨ̀ Rɛ̀hɔ̀bɔ̀hamʉ̀, Rɛ̀hɔ̀bɔ̀hamʉ̀ náadhɨ̀ Àbiyà, Àbiyà náadhɨ̀ Asà, 
MAT.1.8	Asà náadhɨ̀ Yɔ̀sàfatà, Yɔ̀sàfatà náadhɨ̀ Yɔ̀ramà, Yɔ̀ramà náadhɨ̀ Ùziyà, 
MAT.1.9	Ùziyà náadhɨ̀ Yɔ̀tamʉ̀, Yɔ̀tamʉ̀ náadhɨ̀ Àhazɨ̀, Àhazɨ̀ náadhɨ̀ Zèkíyà, 
MAT.1.10	Zèkíyà náadhɨ̀ Mànasɨ̀, Mànasɨ̀ náadhɨ̀ Àmɔsɛ̀, Àmɔsɛ̀ náadhɨ̀ Yòsíyà, 
MAT.1.11	ndɨrɔ̀, Yòsíyà náadhɨ̀ Yɛ̀kɔ̀nɨyà mà adɔ́na mànà, yà Pbàìsràyélí ka kʉmba kowù nà ɨnɔ tɨ́ Bàbelì tɔ́ pbìrì ɔ̀ nɨ́nganɨ́.
MAT.1.12	Pbàìsràyélí ka kʉ́mbà kowù nà ɨnɔ tɨ́ Bàbelì tɔ́ pbìrì ɔ̀ dhu-dzidɔ̌, Yɛ̀kɔ̀nɨyà náadhɨ̀ Sàrtɨ̀yɛlɛ̀, Sàrtɨ̀yɛlɛ̀ náadhɨ̀ Zèrùbàbelì. 
MAT.1.13	Zèrùbàbelì náadhɨ̀ Àbìhudì, Àbìhudì náadhɨ̀ Èlìyàkimù, Èlìyàkimù náadhɨ̀ Àzɔrɔ̀. 
MAT.1.14	Àzɔrɔ̀ náadhɨ̀ Zàdhokì, Zàdhokì náadhɨ̀ Àkimù, Àkimù náadhɨ̀ Èlìhudì, 
MAT.1.15	Èlìhudì náadhɨ̀ Èlìyèzerì, Èlìyèzerì náadhɨ̀ Màtanɨ̀, Màtanɨ̀ náadhɨ̀ Yàkɔbhɔ̀, 
MAT.1.16	Yàkɔbhɔ̀ náadhɨ̀ Yɔ̀zɛfʉ̀, ndɨ Yɔ̀zɛfʉ̀ nɨ’ɨ̀ Màrɨyà bhà alɛ. Ndɨ Màrɨyà nɨ́ ndɨ, Yěsù, yà Krɨ́stɔ̀ tɨ́ kátɨna alɛ nadhɨ̀.
