MAT.1.1	Arepa Abraham Chha, ngale Devit Chha, Jisu Krista te awa heh nginkong.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Abraham tôpumma Devit Lowang tôko, te awa heh areheh dângwah: Abraham, Isak, Jakob, Juda ngale ate pho anaa heh; erediko paraz ngale Zera (thin nyongpa Tama dângwah), Haran, Ram, Aminadab, Nason, Salmon, Boz (ate nyong pa Rahab dângwah), Obad (ate nyong pa Rut dângwah), Jisi, ngale Devit Lowang.
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Devit Lowang tôpumma chenthu Isrial mihnyan heh Babilon nâng chêmsiet rãng sietkattah tôko te awa heh areheh dângwah: Devit, Solomon (ate nyong pa Uria tangnyu dangtah dihiaknyu pa dângwah), Rihobom, Abija, Asa, Jihosapat, Jihoram, Uzia, Jotham, Ahas, Hizikia, Manisa, Amon, Josia ngale Jihochin ngale ate pho anaa heh.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Babilon nâng chêmsiet rãng sietkattah tôpumma Jisu Chhat sanpoat tôko te awa heh areheh dangwah: Jihochin, Saltial, Zirubabal, Abuid, Iliakim, Ajor, Jadok, Achim, Iluid, Iliajar, Mathan, Jakob, ngale Josep, Josep pa Misaia ngama rooeka Jisu nyong Mariam keptepa.
MAT.1.17	Abraham tôpumma Devit tôko echhi roanbelii, Devit tôpumma Babilon nâng chêmsiet rãng sietkattah tôko echhi roanbelii, Babilon nâng chêmsiet rãng sietkattah tôpumma Krista tôko echhi roanbelii dângwah.
MAT.1.18	Jisu Krista chhat pa aroh dângwah. Ate nyong Mariam pa Josep demnâng kepmînrâng ngama kahkhetmîn wah, rohkomin atenii roamsông mako Mariam ma Asâthôanju wah naawun lahma dângwah. 
MAT.1.19	Mariam tangwa Josep pa toangtang mihnyan dâng phumma, Mariam nok atang mako rêsê chohthuk lehunma; atema ahuh chhama chiakpherãng themawa wah. 
MAT.1.20	Josep ma aroh themawa poatko, Teso ngintatte kalahma Josep nâng metmãngnâng ngatkatwah, “Josep Devit chha, Mariam pa nang tangnyurãng keprãng nekchei. Chenrãngma ngako atema wun eka naapa Asâthôanju chaanma wun eka. 
MAT.1.21	Atema delachha echha a, ngale nangma ate mînpa Jisu ngama mînmin - Chenrãngma ngako atema ate mihnyan heh papwah pepângmin.”
MAT.1.22	Joban ma Mõng hehnâng jabthuktah nginpa toangtang dângkatrãng arepa dangeka, 
MAT.1.23	“Janchhôsâ ma naawun lahma delachha ehongchha a, ate mînpa Imanual ngama mînmin” (Are ngaeka pa, “Joban pa nãngdemnâng ngaeka”).
MAT.1.24	Josep jupwah satlahma, Teso ngintatte ma chenroh chientah a ererãngrãng, atema Mariam ate tangnyu rãng kepwah. 
MAT.1.25	Rohkomin Mariam ma atechaa delachha pa chhatmako Josep ma Mariam nâng ate tangnyu rãngrãng keplahma roamjup ho. Ngale Josep ma Jisu ngama mînwah.
MAT.2.1	Hirot pa Lowang danglahma pên sanpoatko, Judia diakwah Bethlehem hahnâng Jisu chhatwah. Erediko lemlienma, sankat ngewah mihnyan khuthe meritnâng sûlahma jienjette heh Jeroselem nâng hokwah 
MAT.2.2	Thinma thôngphâ wah, “Jews heh Lowang rãng chhaeka naapa chenkoa? nima ate merit pa sankatnâng hong lahma khetih, erohwah nima Atenâng soamtô rãng kaerii.”
MAT.2.3	Chenthu Hirot lowang ma aroh chohtat diko, ate nyahrãng hungkê wah, ngale Jeroselem wah mihnyan hehmin anga nga ate demnâng hungjohkê wakwah. 
MAT.2.4	Atema chentô soam aroakte adong ngale Niemarang hethôte heh aroamma khôanroo lahma thôngphâ wah, “Misaia pa chennge nâng chhatmin a?”
MAT.2.5	“Judia diakwah Bathlehem hahnâng chhatmin,” ngama dânthâng wah. “Chenrãngma ngako Mõng hehma aroh raangwah:
MAT.2.6	‘Judia diakwah Bathlehem,
MAT.2.6	Nanga Judia diak kowah arinchha thôan dangmoh;
MAT.2.6	Chenrãngma ngako lemsênte pa nangwah hôngmin, atema nga mihnyan Isrial heh epên a.’ ”
MAT.2.7	Ephumma Hirot ma sankatwah jet ajien mihnyan hutah heh ahuh chhama khôanroo lahma, merit hongtah sanpoat pa jetloatwah. 
MAT.2.8	Erediko atema aroh thôko lahma Bathlehem nâng chienkatwah: “kaletma naachha pa lemsûka en, mechoh khetetko, ngamemin Atenâng rangsoam katrãng, ngakthô wãngkohha.”
MAT.2.9+MAT.2.10	Thin erethe kowah loatchhoan ko, thinma sankat ngenâng khetah merit pejô thinma lemko khewah. Chenthu thinma ere merit pa khe phumma nyahrãng khuhah nâhah, rinroan bahsa dângwakwah! Ngale ere merit pa naachha punko matang tangjek thin mamako wângwah. 
MAT.2.11	Humkhenko nyupwãng waklahma, naachha pa ate nyong Mariam demko chohkhe wah, phumma dakuhtho waklahma Atenâng soamwakwah. Erediko mâmâ tõng dok lahma Atenâng hînhô chohkoh wah, Kem, Frankinsen (Arepa bãngkhoan, wennâng tûmthhekli) Myrh (Arepa seknâng tûmhutli tien, nyahrãng thãchaanjat).
MAT.2.12	Metmãngnâng Hirot tânâng nekngak wãngen ngama Joban ma ngatjunko, thin diaknâng lemhanma ngakwâng wakwah.
MAT.2.13	Thin chhoan diko, Teso ngintatte ma metmãngnâng Josep nâng ngatwah, “Hirot ma naachha pa ritphe rãng ephoang lemsûa. Erohwah sat o, naachha ngale ate nyong sietlohma Igip nâng huhtongka en, ngama enângwah chhoan en ngama mathô thôkohko enâng tongen.”
MAT.2.14	Ephumma Josep toansat lahma, naachha le ate nyongnii sietlahma, rangpen penko Igip nâng katwah, 
MAT.2.15	Hirot mariirii thin enâng sôngwah. Arepa Teso ma Mõng hehnâng jabthuktah nginpa toangtang dângrãng moatwah, “Ngama ngachha pa Igip wah eloatroo ang.”
