MAT.1.1	Abraham sapa David sapa Jesu Khrista ahungshuwna puhpee lerii 
MAT.1.2	Abraham ing Issak aberhing, Issak ing Jakob aberhing engkhejege Jakob ing Judas le auanehe aberhing, 
MAT.1.3	Judas le Tamar ing Perez le Zora emberhing, Perez ing Hezron aberhing engkhejege Hezron ing Aram aberhing, 
MAT.1.4	Aram ing Aminadab aberhing, Aminadab ing Nason aberhing engkhejege Nason ing Salmon aberhing, 
MAT.1.5	Salmon le Rahab ing Boaz emberhing, Boaz le Ruth ing Obed aberhing engkhejege Obed ing Jesse aberhing. 
MAT.1.6	Jesse ing iruwng David aberhing, David iruwng ing mensa ing Uriah lumhi enshuw besachuw alumhi besuwge Solomon aberhing. 
MAT.1.7	Solomon ing Rehaboam aberhing, Rehoboam ing Abijah aberhing engkhejege Abijah ing Asa aberhing. 
MAT.1.8	Asa ing Jehoshaphat aberhing. Jehoshaphat ing Joram aberhing engkhejege Joram ing Uzziah aberhing, 
MAT.1.9	Uzziah ing Jotham aberhing, Jotham ing Ahaz aberhing engkhejege Ahaz ing Hezekiah aberhing. 
MAT.1.10	Hezekiah ing Manasseh aberhing, Manasseh ing Amos aberhing engkhejege Amos ing Josiah aberhing. 
MAT.1.11	Amaching Babilon paamte Israel sitihechuw mine ing enrhie apha rove leching Josiah ing Jekonia engkhejege auanehe aberhing.
MAT.1.12	Babilonte enghinrhie aanhuwna Jekonia ing Shealtiel aberhing engkhejege Shealtiel ing Zerubbabel aberhing, 
MAT.1.13	Jerubbabel ing Abiud aberhing, Abiud ing Eliakim aberhing engkhejege Eliakim ing Azor aberhing. 
MAT.1.14	Azor ing Zadok aberhing, Zadok ing Achim aberhing engkhejege Achim ign Eliud aberhing. 
MAT.1.15	Eliud ing Eleazar aberhing, Eleazaring Matthan aberhing engkhejege Matthan ing Jakob aberhing. 
MAT.1.16	Jakob ing Khrista ate Jesu aanrhing Mary puwsar Joseph chuw aberhing.
MAT.1.17	Hanghing ichiin Abraham na betthiimge David phana chuw meesien sum malhii minlii chona David ing Babilon te enghinrhie epha in meesien sum malhii minlii, engkhejege Babilon te enghinrhiena joliege Jesu Khrista phanahing meesien summalhie minlii ne.
MAT.1.18	Ate Jesu Khrista aberhing chuw hanghin ichiin iheshuw, amanuw Mary chuw Joseph ing Zuw tiige changgechuw empaarhama lhiile Enthiing Chipita ne areenpe. 
MAT.1.19	Changechuw apusar Joseph hie dharmo echermi aansuwtana Mary chuw mi mhekungna ningjaa apinamaa ing derenging bethin gete tege amindeen. 
MAT.1.20	Changgechuw amaing changchin amindeen le, ibiirruw, Thangnhang meechier ingkhe ing aromhang ingkhena anhingna theng ge amana arhier, Joseph, “David sapa,” nang nalumhe mary kha ne areenpe tein ebii ittemaa, awin na enthin nepang kha Enthiing Chipi taga. 
MAT.1.21	Ama ing sapa ingkhe berhing vate, engkhejege nang ing ama aromhing chuw Jesu Khrista tevang niete, ajiena ate inche ama ing amihe chuw isii tena karpi vate.
MAT.1.22	Thangnhang ing Larchang Pa dee aminrhier besa attongdeen chuw abesuwna rotum chove chuw isuwga, hevebekhehie Thangpa ing Thiimdee aminrhierkha abesuwga amachuwbe, 
MAT.1.23	“Ibierruw, Ibuwrmalhii lunghaa ingkhe ing ne reen niege sapa ingkhe berhing vate, engkhejege aromhing chuw Emmanual, ateche aeniethoh eeonghaa Thangnhang, tevate. Aanhuwna Joseph ijaartena hangthiege Thangnhang michier ing anhingna abetthoh bekhe chuw ama ing atupe, engkhejege alumhi chuw abiipe.”
MAT.1.24	Hanghing Joseph ing ajaartaatena hangthiege Thangven michiering arhier inhuw ijiing alumhe chuw abiipe. 
MAT.1.25	Changgechuw mary ing asapa amhuwr aberhing maa taang engkhejege aromhing Jesu tege aphuwmaa taang Joseph ing mary chuw shaangram tuhaamaa.
