GEN.1.3	 Då sa Gud: «Det skal bli lys!» Og det vart lys. 
GEN.1.4	Gud såg at lyset var godt, og Gud skilde lyset frå mørkret. 
GEN.1.5	Gud kalla lyset dag, og mørkret kalla han natt. Og det vart kveld, og det vart morgon, første dagen.
GEN.1.6	Gud sa: «Det skal bli ein kvelv midt i vatnet! Han skal skilja vatn frå vatn.» 
GEN.1.7	 Gud laga himmelkvelven og skilde vatnet som er under kvelven, frå vatnet som er over kvelven. Og slik vart det. 
GEN.1.8	Gud kalla kvelven himmel. Og det vart kveld, og det vart morgon, andre dagen.
GEN.1.10	Gud kalla det tørre landet jord, og vatnet som hadde samla seg, kalla han hav. Og Gud såg at det var godt.
GEN.1.11	Gud sa: «Jorda skal bli grøn! Grøne vekstar skal gro på jorda, planter som set frø, og frukttre som ber frukt med frø i, av alle slag.» Og slik vart det. 
GEN.1.12	Jorda bar fram grøne vekstar, planter som set frø, av alle slag, og tre som ber frukt med frø i, av alle slag. Og Gud såg at det var godt. 
GEN.1.13	Og det vart kveld, og det vart morgon, tredje dagen.
GEN.1.15	Dei skal vera lys på himmelkvelven og skina over jorda.» Og slik vart det. 
GEN.1.16	 Gud laga dei to store lysa, det største lyset til å herska over dagen og det minste til å herska over natta, og stjernene. 
GEN.1.17	Gud sette dei på himmelkvelven til å lysa over jorda, 
GEN.1.18	til å herska over dagen og over natta og til å skilja lyset frå mørkret. Og Gud såg at det var godt. 
GEN.1.19	Og det vart kveld, og det vart morgon, fjerde dagen.
GEN.1.20	Gud sa: «Det skal kry av liv i vatnet! Fuglar skal flyga over jorda, oppunder himmelkvelven.» 
GEN.1.21	Og Gud skapte dei store sjødyra og kvar levande skapning av alle dei slag som vatnet yrer og kryr av, og alle slag fuglar med venger. Og Gud såg at det var godt. 
GEN.1.22	Gud velsigna dei og sa: «Ver fruktbare og bli mange og fyll vatnet i havet! Og fuglane skal bli mange på jorda.» 
GEN.1.23	Og det vart kveld, og det vart morgon, femte dagen.
GEN.1.24	Gud sa: «Jorda skal bera fram levande skapningar av alle slag: fe, kryp og villdyr av alle slag!» Og slik vart det. 
GEN.1.25	Gud laga alle slag ville dyr og alle slag fe og krypet på marka av alle slag. Og Gud såg at det var godt.
GEN.1.27	 Og Gud skapte mennesket i sitt bilete, i Guds bilete skapte han det, som mann og kvinne skapte han dei. 
GEN.1.28	 Gud velsigna dei og sa til dei: «Ver fruktbare og bli mange, fyll jorda og legg henne under dykk! De skal råda over fiskane i havet og over fuglane under himmelen og over alle dyr som det kryr av på jorda.» 
GEN.1.29	 Og Gud sa: «Sjå, eg gjev dykk alle planter som set frø, så mange som finst på heile jorda, og alle tre som ber frukt med frø i. Det skal de ha å eta. 
GEN.1.30	Og til alle dyr på jorda og til alle fuglar under himmelen og til alt som kryp på jorda, alt som har livsande i seg, gjev eg alle grøne planter å eta.» Og slik vart det. 
GEN.1.31	Gud såg på alt det han hadde gjort, og sjå, det var svært godt! Og det vart kveld, og det vart morgon, sjette dagen.
GEN.2.1	Så var himmelen og jorda fullførte, med heile sin hær. 
GEN.2.2	 Den sjuande dagen fullførte Gud det arbeidet han hadde gjort, og den sjuande dagen kvilte han frå heile det arbeidet han hadde gjort. 
GEN.2.3	Gud velsigna den sjuande dagen og helga han. For den dagen kvilte han frå heile sitt arbeid, det som Gud hadde gjort då han skapte.
GEN.2.5	Det fanst ikkje ein busk på jorda, og endå hadde inga plante spirt fram på marka. For 
GEN.2.6	 Men ei kjelde kom opp av jorda og vatna heile jordoverflata. 
GEN.2.7	 Då forma 
GEN.2.9	 Og 
GEN.2.10	Ei elv går ut frå Eden og vatnar hagen. Derifrå deler ho seg i fire greiner. 
GEN.2.11	 Den første heiter Pisjon. Det er den som går rundt heile landet Havila, der det finst gull. 
GEN.2.12	 Gullet i det landet er godt. Det finst bedolah-kvae og onyks-stein der. 
GEN.2.13	 Den andre elva heiter Gihon. Det er den som går rundt heile landet Kusj. 
GEN.2.14	Den tredje elva heiter Hiddekel. Det er den som går austafor Assur. Og den fjerde elva er Eufrat.
GEN.2.15	Så tok 
GEN.2.16	Og 
GEN.2.17	 Men av treet til kunnskap om godt og vondt må du ikkje eta. For den dagen du et av det, skal du døy.»
GEN.2.19	Og 
GEN.2.20	Mennesket gav namn til alt feet, til fuglane under himmelen og alle villdyra på marka. Men til seg sjølv fann mennesket ingen hjelpar av same slag.
GEN.2.21	Då lét 
GEN.2.22	 Av sidebeinet 
GEN.2.23	«No er det bein 
GEN.2.23	og kjøt av mitt kjøt.
GEN.2.23	Ho skal kallast kvinne,
GEN.2.23	for av mannen er ho teken.»
GEN.3.2	Kvinna sa til slangen: «Vi kan eta av frukta på trea i hagen. 
GEN.3.3	 Men om frukta på treet som står midt i hagen, har Gud sagt: Et henne ikkje og rør henne ikkje! Gjer de det, skal de døy.» 
GEN.3.4	Då sa slangen til kvinna: «De skal slett ikkje døy! 
GEN.3.5	Men Gud veit at den dagen de et av frukta, skal auga dykkar opnast; de skal bli som Gud og kjenna godt og vondt.» 
GEN.3.6	 No fekk kvinna sjå at treet var godt å eta av og ein fryd for auget – eit tillokkande tre, sidan det kunne gje innsikt. Så ho tok av frukta og åt. Ho gav òg til mannen sin, som var saman med henne, og han åt. 
GEN.3.7	 Då vart auga deira opna, og dei skjøna at dei var nakne. Dei fletta saman fikenblad og batt kring livet.
GEN.3.9	Men 
GEN.3.10	Han svara: «Eg høyrde lyden av deg i hagen og vart redd fordi eg er naken, og eg gøymde meg.» 
GEN.3.11	Då sa han: «Kven har sagt deg at du er naken? Har du ete av det treet eg forbaud deg å eta av?» 
GEN.3.12	Mannen svara: «Kvinna som du gav meg å vera saman med, ho gav meg av treet, og eg åt.» 
GEN.3.13	 Gud spurde kvinna: «Kva er det du har gjort?» Kvinna svara: «Slangen narra meg, og eg åt.»
GEN.3.14	«Forbanna er du,
GEN.3.14	utstøytt frå alt fe 
GEN.3.14	fordi du gjorde dette.
GEN.3.14	På buken skal du krypa,
GEN.3.14	og støv skal du eta 
GEN.3.15	mellom deg og kvinna,
GEN.3.15	mellom di ætt 
GEN.3.15	Han skal råka hovudet ditt,
GEN.3.15	men du skal råka 
GEN.3.16	«Tungt vil eg gjera ditt strev
GEN.3.16	når du er med barn,
