MAT.1.1	Mua pãrag ĩgkhakhim, jãga warrgar David reikha sĩerrjö, Ẽwandamau jũrr ich Iewaa Jesucristoogta mʉg durr gaai chi Pörkhamkhĩir ichdëucha pʉ̈ijĩ. Mag Jesucristojã mag rey David khararr ag chaain ewagam khʉʉn dën ajim a khap amkhĩir, ag nawe jöoi Abrán khararr sĩejerr aigmua ewag pawi khĩeb chi Jesús thaabatarr aig pãrag jaaukhim.
MAT.1.2	Maataa, ich jöoi Abrán, Isá aai ajim anaabá;
MAT.1.2	maagwai, Isá jũrr Jacob aai;
MAT.1.2	Jacob jũrr Judá aai.
MAT.1.2	Mamʉ mag Judá ich appai khaba, tagam ich khodnaanpa doce naajim aajem, ich khurau, ich jöoi Jacob chaainpai.
MAT.1.3	Mag ich Judá, Fares aai anaa ĩchab Zara aai ajim aajem; am ãd, Tamar a thʉ̈r sĩejim aajem.
MAT.1.3	Mag Fares, Esrom aai ajim;
MAT.1.3	maagwai chi Esrom jũrr Aram aai.
MAT.1.4	Ich Aram, Aminadab aai ajim aajem;
MAT.1.4	maagwai chi Aminadab jũrr Naasón aai.
MAT.1.4	Naasón jũrr Salmón aai ajim aajem.
MAT.1.5	Chi Salmón, Booz aai ajim aajem, Rahab dʉ̈ím;
MAT.1.5	maagwai chi Booz, Obed aai, Rut dʉ̈ím.
MAT.1.5	Obed jũrr Isaí aai ajim aajem;
MAT.1.6	maagwai chi Isaí jũrr mag rey David khararr ag aai ajim aajem.
MAT.1.6	Mag chi rey David, Salomón aai ajim aajem, Urías jua eem ʉʉi khecheu autarr dʉ̈ím.
MAT.1.7	Salomón, Roboam aai ajim aajem;
MAT.1.7	maagwai Roboam jũrr Abías aai;
MAT.1.7	maimua chi Abías jũrr Asa aai.
MAT.1.8	Ich Asa, Josafat aai ajim aajem;
MAT.1.8	maagwai Josafat jũrr Joram aai;
MAT.1.8	maimua chi Joram jũrr Uzías aai.
MAT.1.9	Uzías, Jotam aai ajim aajem;
MAT.1.9	maagwai chi Jotam jũrr Acaz aai;
MAT.1.9	maimua Acaz jũrr Ezequías aai.
MAT.1.10	Chi Ezequías, Manasés aai ajim aajem;
MAT.1.10	maagwai Manasés jũrr Amón aai;
MAT.1.10	maimua chi Amón jũrr Josías aai.
MAT.1.11	Chi Josías, Jeconías aai ajim aajem.
MAT.1.11	Mag chi Jeconías khod ãbam khʉʉn khapan sĩejim anaabá, maach jöoin israelnaan Babiloniapienau amach durrag pʉrkha arr nʉm jaar.
MAT.1.12	Mag am chikhamnau amach durr pʉrkha arrtarr khur, Jeconías chaai paarpajim aajem.
MAT.1.12	Ma, Salatiel a thʉ̈rjim aajem, Zorobabel aai.
MAT.1.13	Ich Zorobabel, Abiud aai ajim aajem;
MAT.1.13	maagwai chi Abiud jũrr Eliaquim aai;
MAT.1.13	maimua chi Eliaquim jũrr Azor aai.
MAT.1.14	Ich Azor, Sadoc aai ajim aajem;
MAT.1.14	maagwai chi Sadoc, Aquim aai;
MAT.1.14	maimua chi Aquim jũrr Eliud aai.
MAT.1.15	Chi Eliud, Eleazar aai ajim aajem;
MAT.1.15	maagwai chi Eleazar, Matán aai;
MAT.1.15	maimua chi Matán jũrr Jacob aai.
MAT.1.16	Chi Jacob, José aai ajim aajem.
MAT.1.16	Mag Joseeta, María jaai ajim anaabá;
MAT.1.16	maimua chi María, Jesús ãd.
MAT.1.16	Mag Jesuuta maadëu ich Ẽwandamaucha pʉ̈iwia bëejim aajem ag Jesuu,
MAT.1.16	amach peerdʉ aumkhĩir warrgarwe õrau nʉajerr.
MAT.1.17	Wajapcharan, mag jöoi Abrán khararr sĩerr aigmua ewag pawi David reikha sĩsiju jaar pa nʉm aar, catorce generaciones dichjim anaabá. Mag David sĩsiewaim aigmua ewag nassi pawi maach jöoin israelnaan Babiloniapienau pʉrkha arrtarr jaar pa nʉm aar agjö catorce generaciones dichjim aajem. Mag maach jöoin Babiloniapien durr narr aigmua ich Ẽwandamaucha pʉ̈iju jaaujerr ewag nassi pawi thaabachë nʉm jaar pa nʉm ora agjö catorce generaciones dichjim anaabá; ajapcharan maach Pör Jesús thaabachë nʉm jaarma.
MAT.1.18	Mag Jesucristo thaabatarran mʉgta ajim aajem:
MAT.1.18	Chi María, ewag pawi i ãdpaju, ya Joseeu iek dee wai sĩejim aajem, ag dʉ̈i paag. Pari mag sĩi iek dee wai sĩewai agtha ag dʉ̈ijã khaba nʉmta bi ee pabaadëjim anaabá. Pari ma chan chikham dënjã khaba, ich Ẽwandam Akharauta ich iiu aawai mag i bi ee papijim anaabá. 
MAT.1.19	José chi jaaipajuun Ẽwandam dau na nem agchata waaujerr aawai, sĩi warre ich ʉʉi chi thethemnaanag jaauju khãyau, ichta warag sĩi khĩuu öbërju khĩirjubaadëjim aajem. 
MAT.1.20	Ya irua mag pʉaju khĩirjubaadëmta, Ẽwandam chog ʉ̈gtharmua bëewi irig, —José, David khararr chaain ewagam khʉʉn bi eem, oob pʉch ʉʉi pʉaju khĩirju chiram ajim anʉm. Jãg chaai irua bi ee wai sim chan deeum dën khaba, ich Ẽwandam Akharauta jõorpitarr khabahab ajim anʉm. 
MAT.1.21	Mariaau jãg chaaidam athaawai i thʉ̈rdam Jesús a thʉ̈rbá. I thʉ̈r magta thʉ̈rju, ichdëuta ich phöbör amach pekau ee thʉnʉm peerdʉ auju aawai a jaaumajim anaabá chi Ẽwandam chogau.
MAT.1.22	Mamʉ thum mamagkharran, ich i jaaujem khʉʉnag maach Pör Ẽwandamau phãpitarr gaai jaau simjöo öbëbërg mamkhĩirta magpibajieb. Mag irua phãpitarr gaai mag sim:
MAT.1.23	“Ʉʉi õor meraa khitʉm bi ee pawi chaai ooju.
MAT.1.23	Mag chaai thʉ̈rdam Emanuel a thʉ̈rju” a phã sim. 
MAT.1.23	Mag Emanuel a simʉn, “Ẽwandam maach dʉ̈i sim” aawaiu.
MAT.1.24	Maimua mag chi José khãi werba thʉnaawi daukhanpawi phiidʉbaadeeu, Ẽwandam chogau ichig jaautarrjö tag María pʉaju khĩirjuba, ich mag ag dʉ̈i sĩsijim aajem. 
MAT.1.25	Pari mag ag dʉ̈i ya ich ʉʉikha wai sĩerrjã, chi chaai auba nʉwe chan José bʉ̈ʉrjã ich ʉʉi dʉ̈i khapes aba aajeejim anaabá. Ya maimua chadcha chi Ẽwandam chogau jaautarrjö chi chaaidam athaawai, Joseeu i thʉ̈rdam Jesús a thʉ̈rjim aajem, ichig thʉ̈rpi jaautarrjö.
MAT.2.1	Mag Jesús thaabaawai phöbördam Belén anʉm eeta thaabajim aajem, Judea durr. Mag jaar Erodeeta mag Judea durr reikha sĩejim aajem. Ich mag jaar ĩchab khĩirjug khaug athee chi machnaan magonaan anʉm khʉʉn edau öbeerjem bi garmua bëejierram aajem, Jerusalén phöbörög. Makhʉʉn, edjã eem phĩdagta estudiejem khʉʉn ajim aajem. 
MAT.2.2	Mag bëewi bardʉtkhachëwi, judionaanag, —Pãar rey thaabatarr, ¿jamta wai nʉma? I thaababarm jaau sim phĩdag maach daúacha ootarr aawai iita marau jʉr wëdurumgui aajeejim anʉm, iita judionaan reikhaju aawai i ajaug thö iekhaan.
MAT.2.3	Mag judionaan rey thaababarm anʉm ũr athaawai chi rey Erodes warre khakhaisamjö aadëjim anaabá. Mag nʉm dʉ̈i tagam khʉʉn chi Jerusalenpienjã jʉ̈gderraata aphöbaadëjim anʉm. 
MAT.2.4	Magbaawai chi rey Erodeeu phadnaan chi pörnaan thum Moiseeu Ẽwandam iek phã pʉarr jawaag chi machnaanpa thʉ̈rkhʉʉipʉ̈iwia amag, —¿Jamta mag warrgarwe Ẽwandamau pʉ̈iju jaaujerr thaabaju aajẽ? ajim anʉm.
MAT.2.5	Magbaawai amachdëu irig, —Judea durr phöbördam Belén anʉm eeta thaabaju aajem anaabahab, ich magta Ẽwandamau ich i jaaumie Miqueas khakhitarrag jaaupitarr aawai ajim anʉm. Mag irua jaautarr iek gaai,
