GEN.1.1	I begynnelsen skapte Gud himmelen og jorden. 
GEN.1.2	Og jorden var øde og tom, og det var mørke over det store dyp, og Guds Ånd svevet over vannene. 
GEN.1.3	Og Gud sa: Bli lys! Og det ble lys. 
GEN.1.4	Og Gud så at lyset var godt, og Gud skilte lyset fra mørket. 
GEN.1.5	Og Gud kalte lyset dag, og mørket kalte han natt. Og det ble aften, og det ble morgen, dag én. 
GEN.1.6	Og Gud sa: La det bli en hvelving* midt i vannene, og den skal skille vann fra vann. 
GEN.1.7	Og Gud gjorde hvelvingen og skilte vannet som er under hvelvingen, fra vannet som er over hvelvingen. Og det ble slik. 
GEN.1.8	Og Gud kalte hvelvingen himmel. Og det ble aften, og det ble morgen, andre dagen. 
GEN.1.9	Og Gud sa: La vannet under himmelen samles på ett sted, og la det tørre landet komme til syne. Og det ble slik. 
GEN.1.10	Og Gud kalte det tørre landet jord, og vannet som var samlet, kalte han hav. Og Gud så at det var godt. 
GEN.1.11	Og Gud sa: Jorden skal la gress, planter som sår seg, frukttrær som bærer frukt med frø i, spire fram på jorden, hvert etter sitt slag. Og det ble slik. 
GEN.1.12	Og jorden lot gress gro fram, planter som sår seg, hvert etter sitt slag, og trær som bærer frukt med frø i, hvert etter sitt slag. Og Gud så at det var godt. 
GEN.1.13	Og det ble aften, og det ble morgen, tredje dagen. 
GEN.1.14	Og Gud sa: La det bli lys på himmelhvelvingen til å skille mellom dagen og natten. Og de skal være til tegn som fastsetter høytider og dager og år. 
GEN.1.15	Og de skal være lys på himmelhvelvingen til å lyse over jorden. Og det ble slik. 
GEN.1.16	Og Gud gjorde de to store lysene, det største til å råde over dagen, det mindre til å råde over natten, og stjernene. 
GEN.1.17	Og Gud satte dem på himmelhvelvingen til å lyse over jorden, 
GEN.1.18	og til å råde om dagen og om natten, og til å skille lyset fra mørket. Og Gud så at det var godt. 
GEN.1.19	Og det ble aften, og det ble morgen, fjerde dagen. 
GEN.1.20	Og Gud sa: La vannet vrimle med et mylder av levende sjeler, og la fugler fly over jorden, under himmelhvelvingen. 
GEN.1.21	Og Gud skapte de store sjødyrene og alle de levende sjeler som rører seg, som vrimler i vannet, hvert etter sitt slag, og hver vinget fugl etter sitt slag. Og Gud så at det var godt. 
GEN.1.22	Og Gud velsignet dem og sa: Vær fruktbare og bli mange og fyll vannet i havet, og fuglene bli mange på jorden! 
GEN.1.23	Og det ble aften, og det ble morgen, femte dagen. 
GEN.1.24	Og Gud sa: Jorden skal la levende sjeler gå fram, hver etter sitt slag: Fe og kryp og jordens ville dyr, hvert etter sitt slag. Og det ble slik. 
GEN.1.25	Og Gud gjorde de ville dyrene på jorden, hvert etter sitt slag, og kveget etter sitt slag, og alt landjor dens kryp etter sitt slag. Og Gud så at det var godt. 
GEN.1.26	Og Gud sa: La oss gjøre mennesk er i vårt bilde, etter vår liknelse. Og de skal råde over havets fisker og over himmelens fugler, og over feet og over all jorden, og over hvert kryp som rører seg på jorden. 
GEN.1.27	Og Gud skapte mennesket i sitt bilde, i Guds bilde skapte han det, til mann og kvinne* skapte han dem. 
GEN.1.28	Og Gud velsignet dem og Gud sa til dem: Vær fruktbare og bli mange og fyll jorden, og legg den under dere og råd over havets fisker og himmelens fugler og over alt levende som rører seg på jorden. 
GEN.1.29	Og Gud sa: Se, jeg har gitt dere alle planter som sår seg over hele jorden, og hvert tre med frukt som setter frø. Det skal være føde for dere.
GEN.1.30	Og til alle jordens dyr og til alle himmelens fugler og til alt som kryper på jorden som det er levende sjel i, gir jeg alle grønne planter til føde. Og det ble slik. 
GEN.1.31	Og Gud så alt det han hadde gjort, og se, det var overmåte godt. Og det ble aften og det ble morgen, den sjette dagen. 
GEN.2.1	Så ble himmelen og jorden fullført med hele sin hær. 
GEN.2.2	Og Gud fullførte på den sjuende dagen det verk han hadde gjort, og han hvilte på den sjuende dagen fra alt sitt verk som han hadde gjort. 
GEN.2.3	Og Gud velsignet den sjuende dagen og helliget den, for på den hvilte han fra alt sitt verk, det Gud hadde skapt og ville gjøre. 
GEN.2.4	Dette er historien om himmelen og jorden da de ble skapt. På den dagen da Gud Herren* gjorde jord og himmel, 
GEN.2.5	fantes det ennå ingen av markens vekster på jorden, og ingen av markens planter var ennå grodd fram, for Gud Herren hadde ikke latt det regne på jorden, og det fantes ikke et menneske til å dyrke landjorden. 
GEN.2.6	Men en tåke steg opp av jorden slik at hele landjordens overflate ble vannet. 
GEN.2.7	Og Gud Herren formet mennesket* av landjordens** støv, og blåste livets ånde i hans nese, og mennesket ble til en levende sjel. 
GEN.2.8	Så plantet Gud Herren en hage i Eden, i Østen. Der satte han mennesket som han hadde formet. 
GEN.2.9	Og Gud Herren lot alle slags trær vokse opp av landjorden, prektige å se på og gode å ete av, også livets tre midt i hagen, og treet til kunnskap om godt og ondt. 
GEN.2.10	Og en elv rant ut fra Eden for å vanne hagen, og derfra delte den seg og ble til fire hovedstrømmer. 
GEN.2.11	Navnet på den ene er Pisjon. Det er den som renner omkring hele landet Havila, der det er gull. 
GEN.2.12	Og gullet i dette landet er godt. Der er bdellium og onyks-stein. 
GEN.2.13	Og navnet på den andre elven er Gihon. Det er den som renner omkring hele landet Kusj*. 
GEN.2.14	Og navnet på den tredje elven er Hiddekel*. Det er den som renner øst for Assur. Og den fjerde elven er Frat**. 
GEN.2.15	Og Gud Herren tok mennesket og satte ham i Edens hage til å dyrke og verne den. 
GEN.2.16	Og Gud Herren bød mennesket: Av hvert tre i hagen kan du fritt ete, 
GEN.2.17	men treet til kunnskap om godt og ondt, må du ikke ete av, for den dagen du eter av det, skal du visselig dø. 
GEN.2.18	Så sa Gud Herren: Det er ikke godt for mennesket å være alene. Jeg vil gjøre ham en medhjelp som er hans like. 
GEN.2.19	Og Gud Herren hadde formet av landjorden alle markens dyr og alle himmelens fugler. Og han førte dem til mennesket for å se hva han ville kalle dem. Det mennesket kalte hver levende sjel, det ble dens navn. 
GEN.2.20	Så ga mennesket navn til alt feet, til himmelens fugler og til alle markens dyr. Men for seg selv fant mennesket ingen medhjelp som var hans like. 
GEN.2.21	Da lot Gud Herren en dyp søvn komme over mennesket, og mens han sov, tok han et av hans ribben og fylte igjen med kjøtt. 
GEN.2.22	Og Gud Herren bygde av det ribben han hadde tatt av mannen, en kvinne, og førte henne til mannen. 
GEN.2.23	Da sa mannen: Denne gang er det ben av mine ben og kjøtt av mitt kjøtt. Hun skal kalles manninne*, for av mannen er hun tatt. 
GEN.2.24	Derfor skal mannen forlate sin far og sin mor og forbli hos sin hustru, og de skal være ett kjød. 
GEN.2.25	De var nakne, både Adam og hans hustru, men skammet seg ikke. 
GEN.3.1	Men slangen* var listigere enn alle dyr på marken som Herren Gud hadde gjort, og den sa til kvinnen: Har Gud virkelig sagt: Dere skal ikke ete av noe tre i hagen? 
GEN.3.2	Kvinnen sa til slangen: Vi kan ete av frukten på trærne i hagen, 
GEN.3.3	men om frukten på det treet som er midt i hagen, har Gud sagt: Dere skal ikke ete av den og ikke røre den, for da dør dere. 
GEN.3.4	Da sa slangen til kvinnen: Dere kommer slett ikke til å dø! 
GEN.3.5	Men Gud vet at den dagen dere eter av det, vil øynene deres åpnes, dere vil bli slik som Gud til å kjenne godt og ondt. 
GEN.3.6	Kvinnen så nå at treet var godt å ete av, og at det var en lyst for øynene - et prektig tre, siden det kunne gi forstand. Så tok hun av frukten og åt. Hun ga også sin mann, som var med henne, og han åt. 
GEN.3.7	Da ble begges øyne åpnet, og de skjønte at de var nakne. Så flettet de sammen fikenblad og bandt dem om livet. 
GEN.3.8	Og de hørte Herren Gud da han kom vandrende i hagen da dagen var blitt sval. Og Adam og hans hustru skjulte seg for Herren Guds åsyn mellom trærne i hagen. 
GEN.3.9	Da kalte Herren Gud på Adam og sa til ham: Hvor er du? 
GEN.3.10	Han svarte: Jeg hørte din røst i hagen, og da ble jeg redd, fordi jeg var naken, og jeg gjemte meg. 
GEN.3.11	Da sa han: Hvem har fortalt deg at du er naken? Har du ett av treet jeg forbød deg å ete av? 
GEN.3.12	Adam sa: Kvinnen som du ga meg til å være hos meg, hun ga meg av treet, og jeg åt. 
GEN.3.13	Da sa Herren Gud til kvinnen: Hva er det du har gjort? Kvinnen svarte: Slangen dåret meg, og jeg åt. 
GEN.3.14	Da sa Herren Gud til slangen: Fordi du gjorde dette, skal du være forbannet fremfor alt fe og fremfor alle markens dyr. På buken skal du krype, og støv skal du ete alle ditt livs dager. 
GEN.3.15	Fiendskap setter jeg mellom deg og kvinnen, mellom din ætt og hennes ætt. Han skal knuse ditt hode, og du skal knuse hans hæl. 
