MAT.1.1	นี้​เป๋น​บันทึก​ราย​จื้อ​ป้อ​อุ๊ย​แม่​หม่อน​ของ​พระเยซู​คริสต์ ผู้​ตี้​เป๋น​ลูกหลาน​ของ​กษัตริย์​ดาวิด​ใน​ผะกุ๋น​อับราฮัม
MAT.1.2	อับราฮัม​เป๋น​ป้อ​อิสอัค อิสอัค​เป๋น​ป้อ​ยาโคบ ยาโคบ​เป๋น​ป้อ​ยูดาห์ ตึง​หมู่​น้อง​บ่าว​ของ​เขา
MAT.1.3	ยูดาห์​เป๋น​ป้อ​เปเรศ​กับ​เศราห์ แม่​จื้อ​ทามาร์ เปเรศ​เป๋น​ป้อ​เฮสโรน เฮสโรน​เป๋น​ป้อ​ราม
MAT.1.4	ราม​เป๋น​ป้อ​อัมมีนาดับ อัมมีนาดับ​เป๋น​ป้อ​นาโชน นาโชน​เป๋น​ป้อ​สัลโมน
MAT.1.5	สัลโมน​เป๋น​ป้อ​โบอาส แม่​จื้อ​ราหับ โบอาส​เป๋น​ป้อ​โอเบด แม่​จื้อ​รูธ โอเบด​เป๋น​ป้อ​เจสซี
MAT.1.6	เจสซี​เป๋น​ป้อ​ดาวิด​ผู้​เป๋น​กษัตริย์ ดาวิด​เป๋น​ป้อ​ซาโลมอน แม่​ของ​ซาโลมอน​เกย​เป๋น​เมีย​ของ​อุรียาห์​มา​ก่อน
MAT.1.7	ซาโลมอน​เป๋น​ป้อ​เรโหโบอัม เรโหโบอัม​เป๋น​ป้อ​อาบียาห์ อาบียาห์​เป๋น​ป้อ​อาสา
MAT.1.8	อาสา​เป๋น​ป้อ​เยโฮชาฟัท เยโฮชาฟัท​เป๋น​ป้อ​โยรัม โยรัม​เป๋น​ป้อ​อุสซียาห์
MAT.1.9	อุสซียาห์​เป๋น​ป้อ​โยธาม โยธาม​เป๋น​ป้อ​อาหัส อาหัส​เป๋น​ป้อ​เฮเซคียาห์
MAT.1.10	เฮเซคียาห์​เป๋น​ป้อ​มนัสเสห์ มนัสเสห์​เป๋น​ป้อ​อาโมน อาโมน​เป๋น​ป้อ​โยสิยาห์
MAT.1.11	โยสิยาห์​เป๋น​ป้อ​เยโคนิยาห์ ตึง​หมู่​น้อง​บ่าว​คน​อื่น﻿ๆ ของ​เขา ใน​เวลา​นั้น​หมู่​จาว​ยิว​ถูก​บังคับ​ไป​เป๋น​เชลย​ตี้​ประเทศ​บาบิโลน
MAT.1.12	หลัง​จาก​เหตุก๋ารณ์​นั้น​แล้ว เยโคนิยาห์​ก็​มี​ลูก​จื้อ​เชอัลทิเอล เชอัลทิเอล​เป๋น​ป้อ​เศรุบบาเบล
