MAT.1.1	Ибрагимнен тувган Дауттынъ улы Иса Масихтинъ асылы-тукымы сосындай эди: 
MAT.1.2	Ибрагим – Исхактынъ атасы; Исхак – Якуптынъ атасы; Якуп – Юда ман онынъ кардашларынынъ атасы; 
MAT.1.3	Юда – Перес пен Зерахтынъ атасы, аналары Тамар эди; Перес – Хесроннынъ атасы; Хесрон – Рамнынъ атасы; 
MAT.1.4	Рам – Амминадавдынъ атасы; Амминадав – Нахшоннынъ атасы; Нахшон – Салмоннынъ атасы эди. 
MAT.1.5	Салмон – Боаздынъ атасы, Боаздынъ анасы Рахав эди; Боаз – Оведтинъ атасы, Оведтинъ анасы Рут эди. Овед – Ишайдынъ атасы, 
MAT.1.6	А Ишай – Даут патшадынъ атасы эди. Даут патша – Сулейменнинъ атасы, Сулейменнинъ анасы Уриядынъ хатыны эди. 
MAT.1.7	Сулеймен – Рехавамнынъ атасы; Рехавам – Авиядынъ атасы; Авия – Асадынъ атасы; 
MAT.1.8	Аса – Йошафаттынъ атасы; Йошафат – Йорамнынъ атасы; Йорам – Узиядынъ атасы эди. 
MAT.1.9	Узия – Йотамнынъ атасы; Йотам – Ахаздынъ атасы; Ахаз – Хизкиядынъ атасы; 
MAT.1.10	Хизкия – Манашединъ атасы, Манаше – Амоннынъ атасы; Амон – Йошиядынъ атасы; 
MAT.1.11	Йошия – Йоакимнинъ атасы; Йоаким – Екония ман онынъ кардашларынынъ атасы эди. Сосы зат Бабылга коьширилеектен алдын болган эди.
MAT.1.12	Бабылга коьширилгеннен сонъ Екония – Шалтиелдинъ атасы болды; Шалтиел – Зерубавелдинъ атасы; 
MAT.1.13	Зерубавел – Авихудтынъ атасы; Авихуд – Элиякимнинъ атасы; Элияким Азурдынъ атасы эди. 
MAT.1.14	Азур – Садоктынъ атасы; Садок – Якиннинъ атасы; Якин – Элихудтынъ атасы; 
MAT.1.15	Элихуд – Элазардынъ атасы; Элазар – Матаннынъ атасы; Матан – Якуптынъ атасы; 
MAT.1.16	Якуп – Юсуптынъ атасы эди; Юсуп та Масих деп аталган Исады тапкан Марьемнинъ эри болды.
MAT.1.17	Соны ман, Ибрагимнен Даутка дейим баьриси он доьрт несил бар эди; Дауттан Бабыл есирине дейим он доьрт несил эм Бабыл есириннен Масихке дейим де он доьрт несил болган эди.
MAT.1.18	Исадынъ тувувы сосындай болды. Марьем, Исадынъ анасы, Юсуп пан соьз тавыскан эди. Ама олар кавысаяктан алдын Марьем Алладынъ Кие Рухы
MAT.1.19	Марьемнинъ эри – Юсуп, туврашыл аьдем болган себепли, муны билгенде, исти тысына яйып уялтпага суьймей, оны ясыртын йибереек болды.
MAT.1.20	Юсуп сондай ойда токталганда, ога туьсинде Раббийдинъ бир маьлеги коьринип айтты: «Даут улы Юсуп! Марьемди хатын этип алмага коркпа, неге десе онынъ карнындагы Бала – Кие Рухтан болган. 
MAT.1.21	Марьем ул табаяк, сен Оны Иса
MAT.1.22	Баьри затлар, Раббийдинъ пайхамбар аркалы билдирилген соьзи толтырылар уьшин болды: 
MAT.1.23	«Кыз юкли болып, ул туваяк, эм Ога Иммануел деген ат берилеек». Иммануелдинъ маьнеси – „Алла бизи мен“.
MAT.1.24	Юсуп уйкысыннан уянганда, Раббийдинъ маьлеги буйыргандай, Марьемди хатын этип алды. 
MAT.1.25	Ама, Марьем улын тапканша, Юсуп оны ман яшамады эм Бала тувганда, Ога Иса деген атты берди.
MAT.2.1	Иса, Ирод патшалык суьрген кезуьвде, Юдеядынъ Бетлехем шахарында тувды. Ол тувганнан сонъ, юлдыз билимшилери куьнтувардан Ерусалимге барып, 
MAT.2.2	аьдемлерден: «Ювытлардынъ янъы тувган патшасы кайда экен? Биз Онынъ юлдызынынъ тувганын коьрип, Ога табынмага келгенмиз», – дедилер.
MAT.2.3	Муны Ирод эм оны ман биргесине буьтин Ерусалим де эситип тынышсызланды. 
MAT.2.4	Ол оьзине баьри бас дин куллыкшыларын эм дин аьлимлерин шакырды да Масихтинъ каерде туваягын олардан сорады. 
MAT.2.5	Ога: «Юдеядынъ Бетлехем шахарында», – деп явапладылар. «Онынъ акында пайхамбар аркалы булай язылган: 
MAT.2.6	„Юдеядынъ ериндеги Бетлехем, сен эш бир зат пан да Юдеядынъ баска шахарларынынъ арасында кем тувылсынъ. Меним халкым Исраилге йол коьрсетеек Басшы сеннен шыкпага керек“».
MAT.2.7	Сонда Ирод, юлдыз билимшилерин оьзине ясыртын шакыртып, олардан янъы юлдыздынъ коьринетаган туьз вакытын билди. 
MAT.2.8	Сонъ оларды Бетлехемге сосындай тапшырув ман йиберди: «Барып, Аьвлеттинъ акында баьрисин уьйкен мукаятлык пан билинъиз. Сиз Оны тапсанъыз, мен де Ога барып табынар уьшин, мага билдирерсиз».
MAT.2.9	Юлдыз билимшилери, патшадынъ тапшырувын тынълап, йолга шыктылар. Олар тувганын коьрген юлдыз, олардынъ алдында барып, сонъында бала болган ердинъ уьстине келип токтады. 
MAT.2.10	Юлдызды коьргенде, олар айлак бек кувандылар. 
MAT.2.11	Уьйге кирип, Балады анасы Марьем мен коьргенде, Ога бас ийдилер, сонъ савгага алтын, ладан
MAT.2.12	Тек, туьслеринде оларга Иродка кайтпанъыз деген билдируьв болганы уьшин, баска йол ман оьзлерининъ кыралларына кайттылар.
MAT.2.13	Юлдыз билимшилери кеткеннен сонъ, Юсупка туьсинде Раббийдинъ бир маьлеги коьринди: «Тур, Балады да, Онынъ анасын да алып, олар ман Мысырга кашып кет. Мен айтканга дейим онда токтап тур, неге десе Ирод Балады оьлтиреек болады», – деп билдирди. 
MAT.2.14	Юсуп, турып, Иса ман Марьемди алды да кешесинде Мысырга кашты. 
MAT.2.15	Олар онда Ирод оьлгенге дейим турдылар. Соьйтип, Раббий Оьзининъ пайхамбары аркалы билдирилген: «Улымды Мысырдан шакырдым», – деген соьзлери толтырылды.
MAT.2.16	Ирод, юлдыз билимшилер оны алдаганын анълаганда, бек ашувланды, Бетлехемде эм онынъ тоьгерегинде эки ясындагы эм оннан да кишкей болган баьри эркек балаларды оьлтирмеге буйырык берди. Балалардынъ ясларын, юлдыз билимшилери айтканша, белгилеген эди. 
MAT.2.17	Сонда Еремия пайхамбар аркалы билдирилген толтырылды: 
MAT.2.18	«Рамада давыс эситиледи, йылав эм ашы сыйыт! Рахел оьз балаларына йылайды эм юбанув таппайды, неге десе энди балалары йок».
MAT.2.19	Ирод оьлгеннен сонъ, Раббийдинъ бир маьлеги Мысырда Юсупка туьсинде коьринди. 
MAT.2.20	«Тур! – дейди ол. – Балады да, Онынъ анасын да алып, Исраил ерине кайт. Сол Балады оьлтиреек болганлар оьлди».
MAT.2.21	Юсуп турып, Балады эм Онынъ анасын алып, Исраил ерине кайтты. 
MAT.2.22	Ама Юдеяда Иродтынъ орнына улы Архелайдынъ патшалык суьргенин билгенде, онда бармага коркты. Сонда ога тагы да туьсинде билдируьв болганнан сонъ, Юсуп Галилеяга кайтты. 
MAT.2.23	Онда барганда Назарет шахарында орынласты. Соьйтип, пайхамбарлардынъ: «Оны (Масихти) Назаретши деп атаяклар», – деген соьзлери толтырылдылар.
MAT.3.1	Сол куьнлерде Шомылдырувшы Яхъя Юдеядынъ шоьлинде Алладынъ соьзин айтып баслады. 
MAT.3.2	«Тевбе этинъиз! – дейтаган эди ол, – Алла Патшалыгы ювыкта!» 
MAT.3.3	Ешая пайхамбар Яхъядынъ акында айткан эди: «Шоьлде шакыратаганнынъ давысы: „Раббийге йол аьзирленъиз! Онынъ алдына йолларды туьз этинъиз!“ – дейди».
MAT.3.4	Яхъя туье юниннен кийим эм белинде кайыс белбав киетаган эди, эм шегертке мен кийик бал ашайтаган эди. 
MAT.3.5	Ога Ерусалимнен, Юдеядынъ баьри якларыннан эм Йордан сувынынъ тоьгерегиннен халк келетаган эди. 
MAT.3.6	Ким оьзининъ куьналарын ашык айтып билдирсе, Яхъя соларды, Йордан сувында шомылдырып, тазалайтаган эди.
MAT.3.7	Сувда шомылдырылув уьшин келе туратаган парисейлер мен садукейлерге Яхъя айтатаган эди: «Сиз, йылан балалары! Сизге, Алладынъ келеятырган ашувыннан куткарылмага заман еткенин, ким билдирди? 
MAT.3.8	Тевбеге туьскенинъиздинъ тийисли ислерин коьрсетинъиз. 
MAT.3.9	Юрегинъизди: „Бизим атамыз – Ибрагим“, – деп, юбантып олтырманъыз, неге десе, Алла сосы таслардан Ибрагимге балалар курастырмага болаяк деп, айтаман.
MAT.3.10	Энди балта да тереклер туьбинде ятады: ийги емис бермейтаган аьр бир терек кесилип отка тасланаяк.
MAT.3.11	Мен сизди сувда шомылдырып тазалайман, ама Сол, меннен сонъ келеек, меннен куьшли. Мен Онынъ шарыкларын аькетпеге де тийисли тувылман. Ол сизди Кие Рух эм от пан тазалаяк. 
MAT.3.12	Аслык сувырувшы куьрегин колына алган: Оьз ындырын тазалап, бийдайын амбарына йыяяк, а тобанын соьнмес отта куьйдиреек».
MAT.3.13	Сонда Иса Галилеядан Йорданга, Яхъядан сувда шомылдырылаяк болып, келди. 
MAT.3.14	Яхъя Оны токтатаяк болып: «Мен Сеннен сувда шомылдырылмага керекпен, а Сен мага неге келгенсинъ?» – деди.
MAT.3.15	Ама Иса яваплады: «Баьриси де солай болмага тийисли, бизге баьри тувралыкты толтырмага керек». Муннан сонъ Яхъя разы болды.
MAT.3.16	Иса сувда шомылдырылганлай, коьклер как ярылдылар эм Ол, Алладынъ Рухынынъ Ога коьгершин кебинде туьсеятырганын, коьрди. 
MAT.3.17	Эм коьктен: «Бу – Меним суьйген Улым, Мен Ога разыман», – деген давыс эситилди.
MAT.4.1	Оннан сонъ Алладынъ Рухы Исады ибилиске сынатпага шоьлликке аькетти. 
MAT.4.2	Онда кырк куьн эм кырк кеше ораза тутканнан сонъ Иса бек ашыкканын сезди. 
MAT.4.3	Сонда азгырувшы
MAT.4.4	Иса ога явапка: «„Аьдем тек бир оьтпек пен яшамаяк, ама Алладынъ авызыннан келген аьр соьз бен яшаяк“, – деп те язылган», – деди.
MAT.4.5	Оннан сонъ ибилис Исады кие шахарга
MAT.4.6	«Сен Алладынъ Улы болсанъ, туьбине атыл! Аьше: „Алла Сени Оьз маьлеклерине аманат этер“, эм „Олар, аягынъды таска да тийгистпей, Сени колларында аькетерлер“, – деп язылган», – деди.
MAT.4.7	Иса ога явапка: «Сондай болып: „Раббий Алланъды сынама“, – деп те язылган», – деди.
MAT.4.8	Сонъында ибилис Исады айлак бийик тавга алып келди, оннан Исага дуныядынъ баьри эллеринде болган ярасыклыкларды коьрсетти: 
MAT.4.9	«Эгер Сен аягыма йыгылып, мага бас ийсенъ, солардынъ баьрисин де Сага берермен», – деди.
MAT.4.10	Иса ога явапка: «Меннен тай, шайтан! „Раббий Алланъа бас ий эм тек Ога кылын“, – деп язылган», – деди.
MAT.4.11	Сонда ибилис Оны калдырды. Исага маьлеклер келип, Ога ярдам эттилер.
MAT.4.12	Яхъядынъ тутнакка салынганын эситкенде, Иса Галилеяга кайтты. 
MAT.4.13	Ол Назаретти калдырды эм Завулон ман Напталийдинъ ерлериндеги коьлдинъ касында орынласкан Капарнаумда ерлести. 
MAT.4.14	Соьйтип, Ешая пайхамбардынъ билдирген йорувы толтырылды: 
MAT.4.15	«Денъизге баратаган йолдагы, Йордан сувынынъ аргы ягындагы Завулон ман Напталий ери, баска миллетлер турувшы Галилея! 
MAT.4.16	Каранъалыкта яшайтаган халк уллы ярык коьрди. Оьлим куьлеткисининъ кушагындагы кыралда яшайтаганларга саьвле яркырады».
MAT.4.17	Сосы вакыттан алып Иса: «Тевбе этинъиз, Алладынъ Патшалыгы
MAT.4.18	Бир кере Галилея коьлининъ бойы ман бараятырганда, Иса эки кардашты коьрди: сонъында Петер деген ат берилген Шимонды эм онынъ кардашы Эндрейди. Олар балыкшы болып, тап сол вакытта коьлге йылымды атып туры эдилер. 
MAT.4.19	«Мени мен келинъиз, – деди оларга Иса, – Мен сизди, балык ыслагандай, аьдем коьнъилин авламага уьйретермен!» 
MAT.4.20	Кардашлар, сол саьатлей йылымларын калдырып, Исадынъ ызыннан кеттилер.
MAT.4.21	Бираз барганнан сонъ, Ол Зебедей уллары Якуп пан Яхъяды коьрди. Кайыкта аталары Зебедей мен йылымларын ямай эдилер. Иса оларды да шакырды. 
MAT.4.22	Сол саьатлей олар, кайыгын да, аталарын да калдырып, Исадынъ артыннан иердилер.
MAT.4.23	Иса буьтин Галилеяды айланды, синагогларда
MAT.4.24	Онынъ хабары буьтин Сирияга яйылды. Исага кайдай туьрли маразлыларды да аькелетаган болдылар: куьшли авырувдан кыйналатаганларды, йинлилерди, талма маразлыларды, паралич сокканларды. Эм Ол баьрисин де савартатаган эди. 
MAT.4.25	Исадынъ ызыннан, топарласып, Галилеядан, Декаполистен, Ерусалимнен, Юдеядан эм Йорданнынъ артындагы ердинъ тоьгерегиннен коьп аьдемлер келе эдилер.
MAT.5.1	Бир вакыт Иса, касында топарласкан аьдемлерди коьрип, тавдынъ бавырына коьтерилди. Ол олтырганда, сокталары тоьгерегине келдилер. 
MAT.5.2	Иса оларды булай уьйретип баслады:
MAT.5.3	«Коьнъил яктан пакырлар – бактылы! Алладынъ Патшалыгы олардыкы.
MAT.5.4	Йылайтаганлар – бактылы! Олар юбанаяклар.
MAT.5.5	Юваслар – бактылы! Олар ерге ие болаяклар.
MAT.5.6	Тувралык этпеге суьйип термилгенлер – бактылы! Олар суьйгенлерин алаяклар.
MAT.5.7	Баскаларды языксынатаганлар – бактылы! Алла оларга да языксынаяк.
MAT.5.8	Таза юреклилер – бактылы! Олар Аллады коьрееклер.
MAT.5.9	Аьдемлерге тынышлык аькелетаганлар – бактылы! Олар, Алладынъ уллары деп, саналаяклар.
MAT.5.10	Туврашыл болганлары уьшин кувылып юретаганлар – бактылы! Алладынъ Патшалыгы олардыкы.
MAT.5.11	Мени уьшин сизди кашан корласалар, кувсалар эм яманласалар – сиз бактылысыз! 
MAT.5.12	Куванынъыз эм шатланынъыз! Коьклерде сизди уллы савга саклайды. Тап соьйтип сизинъ алдынъызда болган пайхамбарларга да залымлык эткен эдилер.
MAT.5.13	Сиз ердинъ тузысыз: ама туз оьзининъ даьмин йойтса, оны не зат тузлы этпеге болаяк? Ол, энди тыска атылып, аьдемлердинъ аягы астында калувдан баска бир затка да яравсыз.
MAT.5.14	Сиз дуныядынъ ярыгысыз. Тав басында орынласкан шахарды ясырып болмас. 
MAT.5.15	Майшыракты яндырып, оны уьй савытынынъ туьбине салмайдылар, оны, баьри уьйдегилерге ярык берсин деп, шыраксалгышка саладылар. 
MAT.5.16	Сизинъ ярыгынъыз да аьдемлерге ярык берсин, соьйтип олар яхшы ислеринъизди коьрип, Коьктеги Атанъызга мактав салсынлар.
MAT.5.17	Мен Тауратты яде пайхамбарлардынъ уьйретуьвлерин йок этпеге келгенмен деп, ойламанъыз. Мен йок этпеге тувыл, ама толтырмага келгенмен. 
MAT.5.18	Сизге дурысын айтаман: коьк пен ер йогалмаганша, Таураттынъ бир кишкей аьриби де, бир сызыгы да йогалмай, баьриси толтырылаяк. 
MAT.5.19	Эгер дейим ким бу парызлардынъ энъ кишкейлериннен бирин бузса эм баска аьдемлерди оны бузбага уьйретсе, сол Алладынъ Патшалыгында энъ кишкей деп, саналаяк. А ким парызларды толтырып, сога аьдемлерди де уьйретсе, сол Алладынъ Патшалыгында уллы деп, саналаяк. 
MAT.5.20	Сизге айтаман: эгер дейим сиз Алладынъ парызларын парисейлер мен дин аьлимлериннен мукаят толтырмасанъыз, Алладынъ Патшалыгына киралмаяксыз.
MAT.5.21	Сиз бурынгы аьдемлерге „оьлтирме“ эм „аьр бир оьлтирген шуьшине еткерилеек“ дегенди эситкенсиз. 
MAT.5.22	Ама Мен сизге айтаман: эгер аьдем (иман) кардашына ашувды тутса, ол шуьшине еткерилеек. Ким кардашына рака
MAT.5.23	Сонынъ уьшин, сен савганъды курман этилуьвши ерге аькелетаган заманда, кардашынъ бир зат уьшин сага разы болмаганын онда эсинъе туьсирсенъ, 
MAT.5.24	савганъды сол ерде калдырып, алды ман барып кардашынъ ман ярас, а сонъ кел де савганъды бер. 
MAT.5.25	Сени мен давласувшы сени оькимге аькетеектен алдын, йолда ок оны ман яраспага шалыс; олай болмаса, давласувшы сени кадыга берер, кады каравылшыга тапшырар эм сени тутнакка саларлар. 
MAT.5.26	Сага дурысын айтаман: сонъгы увак акшанъызга
MAT.5.27	„Зиналык этпенъиз“ деп, айтылганды эситкенсиз. 
