GEN.1.1	Mebineŋ tububihila Bepaŋdi kunum eŋ kwet yehitubumintaguk. 
GEN.1.2	Kwet adi giyoŋgiyoŋeeŋ eŋ hamap hakuk. Kaŋ mambip wapumdi ime wapum fuliŋgoŋ hinek mambipnit u kufulaŋa hakuk. Kaŋ Wapum’walaŋ Munabulidi ime foloniŋgoŋ wole-kumuŋkumuŋeeŋ hatiguk. 
GEN.1.3	Kaŋ Bepaŋdi indiŋ yoguk, “Hautawek!” yobune hautaguk. 
GEN.1.4	Kaŋ Bepaŋ adi hauta kaune utumbaune hauta eŋ mambip yehidaneguk. 
GEN.1.5	Tiŋa hautadok wou hadapmo yoguk eŋ mambipdok wou bufa yoguk. Unduŋ tulune kwet bufaaŋ heleune melenai 1 tuguk.
GEN.1.6	Kaŋ Bepaŋ adi indiŋ yoguk, “Ime lekiŋgoŋ ginaŋ kamehep fafaŋeniŋ niŋ mintaaŋ wendigoŋ ime danewek.” 
GEN.1.7	Unduŋ yobune ime lekiŋgoŋ kamehep wapum mintaaŋ ime daneune fukuniŋ wohiŋkade loguk eŋ fukuniŋ komaŋkade hakuk, kaŋ lekiŋgoŋ hamap mintaguk. 
GEN.1.8	Kaŋ Bepaŋdi wou hamap wapum yoguk. Unduŋ tulune kwet bufaaŋ heleune melenai 2 tuguk.
GEN.1.9	Kaŋ Bepaŋdi indiŋ yoguk, “Kunum falipmeŋ ime dambek niŋkadegoŋ wooŋ bopneune kwet silidawek.” Yobune undugoŋ mintaguk. 
GEN.1.10	Kaŋ Bepaŋdi siliŋ wondok wou kwet yoguk, eŋ imeŋgwaŋ wapum wondok wou luhi yoguk. Unduŋ tiŋa kaune utumba tuguk. 
GEN.1.11	Kaŋ Bepaŋdi yoguk “Kwet foloŋ nemenemek duhuŋa labiiŋ u kadoŋa labuneŋ, nanaŋe, yuwoiyuwoi, wowoŋgimiŋ youlihinit hogohogok, eŋ bem heki, kilikihik namandap molomolom kadoŋa labuneŋ.” Yobune undugoŋ hinek mintaguk. 
GEN.1.12	Kwetdi yehininiŋineune nanaŋe, yuwoiyuwoi, wowoŋgimiŋ mebimebi eŋ bem mebimebi youli hinit hogohogok labugiŋ, folonamandap molomolom labugiŋ. Kaŋ Bepaŋdi kaune utumbaguk. 
GEN.1.13	Kaŋ kwet bufaaŋ heleune melenai 3 tuguk.
GEN.1.14+GEN.1.15	Kaŋ Bepaŋdi indiŋ yoguk, “Kunum ginaŋ hauta mintaneŋ. Tiŋa adikuyeŋgoŋ hadapmo eŋ bufa yehidaneyaneeŋ. Tiŋa yeyaneeŋ e gwi mele eŋ duhuduhu nai eŋ gulet nai diniŋ fek tiŋa kunumneniŋ hauta tiŋa hautayaneeŋ.” Yobune undugoŋ mintagiŋ. 
GEN.1.16	Bepaŋdi unduŋ tiŋa kudup hauta wapumnit lufom yehitubumintaguk, hauta wapumgoŋdi hadapmo timeŋ tiŋa kadokooŋ hatidok, eŋ hauta wapum niŋ gwehegweheyeŋgoŋdi bufa kadokooŋ hatidok yapmeguk. Tiŋa yeguk e hinantilamek maaŋ yehitubumintaguk. 
GEN.1.17	Adi kwet tubuhautadok 
GEN.1.18	eŋ bufa dut hadapmo yabudokooŋ bufa eŋ hadapmo yehidanedok kunum foloŋ yapmeguk. Unduŋ tiŋa Bepaŋdi kaune utumbaguk. 
GEN.1.19	Unduŋ tulune kwet bufaaŋ heleune melenai 4 tuguk.
GEN.1.20	Tubune Bepaŋdi indiŋ yoguk, “Ime maaneŋ ime diniŋ kale mebimebi mintaaŋ imeŋgwaŋ tokiune waliwali wapum mintawek. Eŋ bagi heki adi hamap foloŋ wole yawaneeŋ.” Yobune mintaguk. 
GEN.1.21	Bepaŋdi luhi kale kakahi gili eŋ nemek hatihati hinit mebimebi ime maaneŋ waliwali hinit hakiiŋ eŋ bagi papalihinit mebimebi, yehitubumintaaŋ yabuune utumbaguk. 
GEN.1.22	Kaŋ Bepaŋdi indiŋ yoŋa yehikahaŋneguk, “Hidi youlinit tiŋa kisaŋ ulihakaaŋ imeŋgwaŋ wapum tokidapmaneeŋ eŋ bagi heki adi kwet foloŋ ulihakaneeŋ.” 
GEN.1.23	Unduŋ yolune kwet bufaaŋ heleune melenai 5 tuguk. 
GEN.1.24	Dapmaune Bepaŋdi indiŋ yoguk, “Kwetdi nemek mebimebi namandap molomolom yehitubumintawek, kale mimihi, eŋ miŋgembet, kaleŋgiŋgiŋ eŋ kale moihi mebimebi.” Yobune undugoŋ mintagiŋ. 
GEN.1.25	Bepaŋ adi kale mimihi mebimebi eŋ kale moihi mebimebi tiŋa miŋgembet eŋ kaleŋgiŋgiŋ mebimebi unduŋku tubumintadapmaaŋ kaune utumbaguk.
GEN.1.26	Kaŋ Bepaŋ adi indiŋ yoguk, “Agaŋ! Indi meeniŋ indi inde indihigoŋ yehitubumintanim! Kaŋ adi luhi kale, hamap foloŋ bagi hatiiŋ eŋ kale mimihi eŋ kale moihi hogohogok tiŋa miŋgembet, kaleŋgiŋgiŋ heki kwet foloŋ kayohik kohohikdi yaliŋa uŋambuŋat tiiŋ wapum eŋ molom tiŋa yabudokoneeŋ.” 
GEN.1.27	Kaŋ biyagoŋ kuyoŋ, Bepaŋ adi meeniŋ ne undiniŋgoŋ tubumintaguk. Me eŋ tam yehitubumintaguk. 
GEN.1.28	Tiŋa yehikahaŋneeŋ indiŋ yeniŋguk, “Wapmihi hiyenit tiŋa ulihakaaŋ kwet tokiŋa kadokoneeŋ. Tiŋa luhi kale eŋ hamap foloŋ bagi hatiiŋ eŋ kwet foloŋ kale hatiiŋ eŋ kaleŋgiŋgiŋ heki hogohogok wapum eŋ molom tiyemiŋa yabudokoneeŋ.”
