GEN.1.1	Chongpangpülei Kahvangi vangshothü hatü kahdoknyü ling. 
GEN.1.2	Kahdoknyü-ü dhaomü mehe deiaeiyao neshiüi kong mü nyuteke hatü yungching ilangmong shak kü vangnyaki jümtü ha shangkü Kahvang laangha kamteiyei nyu. 
GEN.1.3	Hapheikü Kahvangi, “Vangngai vamtuh” shei e, hatü vangngai vam. 
GEN.1.4	Kahvangi vangngaiyü meiangke shei vei, hatü Kahvangi vangnyak kübü vangngai hanhü. 
GEN.1.5	Kahvangi hapa vangngai kü, “Nyihnüng” hatü vangnyak kü, “Yanüng” shei nyük, hatü om dhüei peihpheikü dhom vam, hapayü shongpü nyih nyuteke.
GEN.1.6	Hapheikü Kahvangi, “Yung kübü yung handaitü ha aa kü shingkong vamtuh” shei e. 
GEN.1.7	Kahvangi shingkong ling, hatü ha shingkong dok kübü yung mü ha shingkong phang kübü yung nyi baong hanhü, hatü ha vamteke. 
GEN.1.8	Kahvangi hapa shingkong kü, “Vangshang” shei men, hatü om dhü, hatü dhom shei nyipabü nyih nyuteke.
GEN.1.9	Hapheikü Kahvangi, “Vangshang phang kübü yungthü shing hükei thaidaituh, hatü kahvan vamtuh” shei e, hatü ha vam. 
GEN.1.10	Kahvangi ha kahvan kü, “Kahdok” shei men, hatü thaiyei shüngpü yung kü, “Yungching” shei men. Hatü Kahvangi hayü meiangke shei veiteke. 
GEN.1.11	Hapheikü Kahvangi, “Kahdoknyüi phenhavunglak vamhütuh; livang kohpü püthü, vang kohtü betjük jükpü püthü lem laolao vamtuh” shei e, hatü ha vam. 
GEN.1.12	Kahdoknyüi hathü vang kohshi betjük jükpü püthü lem laolao vamhü, hatü Kahvangi hayü meiangke shei vei, 
GEN.1.13	hatü om dhü, hatü dhom shei nyih jempabü nyuteke.
GEN.1.14	Hapheikü Kahvangi, “Vangnyak kübü vangngai hanhen shingvaishi vangshangei vangngaithü vamtuh, hatü hathüi hepak vangpan, nyih hatü bongthü nyinghen nyangeihepü hük vaihütuh, 
GEN.1.15	hatü hathüi kahdoknyü kü vangngai shuohhen shingvaishi vangshangei vangngai kei nyemnyu” shei e, hatü ha vamteke. 
GEN.1.16	Kahvangi vangngai longpü nyi linglongpüba vangngaiyü nyihnüng nyahen vanghe, hatü maanpüba vangngaiyü yanüng nyahen lennyü hatü lithathü ling. 
GEN.1.17	Kahvangi kahdoknyü kü vangngai shuohhen, 
GEN.1.18	hatü nyihnüng hatü yanüng kü vanglem lemhen, hatü vangnyak kübü vangngai hanhen vangshangei shih-ei tuh, hatü Kahvangi hayü meiangke shei vei, 
GEN.1.19	hatü om dhü hatü dhom shei alipabü nyih nyuteke.
GEN.1.20	Hapheikü Kahvangi, “Yungi yungyen vamhütuh, hatü kahdok shak kü vangshangei ouhiyüh piteituh” shei e. 
GEN.1.21	Hanangkü Kahvangi yungching yem longpü hatü yungmongei kamteipü yemhimak lem laolao hatü ouhiyüh lem laolao ling, hatü Kahvangi hayü meiangke shei vei. 
GEN.1.22	Kahvangi hathü kü, “Cheha sheiyei daeishetuh hatü yungching mahütuh, hatü kahdoknyü kü ouhiyüh daeishetuh” shei moihimanei e, 
GEN.1.23	hatü om dhü hatü dhom shei ngapabü nyih nyuteke.
GEN.1.24	Hapheikü Kahvangi, “Kahdoknyüi yemhimak lem longi vamhütuh: haümyem hatü lüei kampü yemhimak, hatü phaüyem lem laolao vamhütuh” shei e, hatü ha vamteke. 
GEN.1.25	Kahvangi haümyem, phaüyem hatü lüei kampü yem lem laolao ling, hatü Kahvangi hapayü meiangke shei vei.
GEN.1.26	Hapheikü Kahvangi, “Jeni jenei deiaei leshi hangkuli lingshah, hatü hapa hangku-i yungching yemhathü, shangouthü, haümyem, phaüyem hatü kahdokei lüei kamteipü yemhamakha peü shak kü khei nyemvai” shei e.
GEN.1.27	Hanangkü Kahvangi hangkuli büpalei deiaei kei,
GEN.1.27	Kahvangei deiaei kü büpai
GEN.1.27	jomphong nyüha, baha shei ling.
GEN.1.28	Kahvangi jomphong kü, “Betjük jüktuh, hatü daeishetuh, hatü kahdoknyü mahütuh, hatü ungei-aeiyei tuhtuh, hatü yungching yemhathü, shangouthü hatü kahdoknyülei nyupü yemhimak peü shak kü khei vaituh” shei moihimanei e.
GEN.1.29	Hapheikü Kahvangi, “Veituh, ngei am kü kahdok shak kü livang vampü pühivung lemphü hatü vang kohtü betjük jükpü lemphü ammi hahhen shingvaishi shuohnyüpeih. 
GEN.1.30	Kahdoknyü kübü yemhimak lemphü, hatü shangouthü, kahdok shakei lüei kamteipü yem, yangnyu ngü nyupü yem lemphü, hatü pühivung peü ammi hahhen shuohnyüpeih” shei e, hatü hapakei nyuteke. 
GEN.1.31	Kahvangi büpai lingpü lemphü kü meiangke shei mongongei vei, hatü om dhü hatü dhom shei vokpabü nyih nyuteke.
GEN.2.1	Hapa keiha vangshothü hatü kahdoknyü hatü halei nyupüthü lingei tem. 
GEN.2.2	Nyih nyetpabü kü Kahvangi büpai dükpü dou peü tem, hatü dousho peü kübü büpai nyiumeiyei nyih nyetpabü kü them. 
GEN.2.3	Hanangkü Kahvangi nyih nyetpabü-ü moihimanei daüeilanghü; mehenangkü ha nyih Kahvangi lingpü dousho peü kübü nyiumeiteke.
GEN.2.4	Vangshothü hatü kahdok lingshingkü nyupü jung: 
GEN.2.5	pühivung meheyao neshiü hatü sheili vang meheyao nekoh-i nyu; mehenangkü 
GEN.2.6	shejao kahmong leipü yung vamei kahdok shak kü yung shuohhen mü nyuteke.
GEN.2.7	Hapheikü 
GEN.2.8	Hapheikü 
GEN.2.9	 Kahvangi kahmong leipü veihen meipü hatü hahhen meipü betjükpüthü kohei longhü, hatü hapa pe jiamei yangnyu pü, manghimei nyingpü püao nyuteke.
GEN.2.10	Eden leipü yungyen hük pe kü yung shuohhen yenei sha, hatü hatouei ali anei phaakteke. 
GEN.2.11	Shongpü yungyenü Pishon; hapai hon nyupü Havilah kahdok shonei yenteke; 
GEN.2.12	hatü hapa kahdok leipü honü meishi nyüke; halei longi taoshi dangpü vong meipü meli hatü onyx douvang yaong dangnyüke. 
GEN.2.13	Nyipabü yungyenü Gihon; hapai Kush kahdok shinei yennyüke. 
GEN.2.14	Jempabü yungyenü Tigris; hapai Assyria heongphi kü yennyüke, hatü alipabü yungyenü Euphrates nyüke.
GEN.2.16	hatü 
GEN.2.17	shejao nüngi manghimei nyingpü pü leipü tehah; mechem nüngi haleipü hahhen, nüng hingmei ha nyih-üng dihen” shei shahkung shuoh.
GEN.2.18	Shaang 
GEN.2.19	 Kahvangi kahdok hanei yah-ei yemhimak hatü shangouthü ling. Büpai hathü kemei hapa shennyaki mehe men menkahen shei veihen müei dei, hatü yemlem ieyei kü hapa shennyaki mehe men men, hapayü yemhimakthülei men leiteke. 
GEN.2.20	Hapa shennyaki yemhimakthü hatü shangouthü peü kü men menteke, shejao shennyak shingvaishi büpa mü jiüteipü sheühbü hükao nedang. 
GEN.2.21	Hanangkü 
GEN.2.22	 Kahvangi hapa shennyak leipü yahpü haampati nyüha hük ling, hatü büpa touei pinnyü deijateke. 
GEN.2.23	Hahepak kü hapa shennyaki eteke:
GEN.2.23	“Shaang shomshiang hapa vangü ngelei vang;
GEN.2.23	hapa phaiyü ngelei phai;
GEN.2.23	pinnyü kü ‘Nyüha’ shei nyükhen;
GEN.2.23	mehenangkü pinnyü-ü baha leipü yahpeih.”
GEN.2.24	Hanangkü baha hüki laophülei nyühipa tuhphongtü laophülei nyüha mü mongjemei nyunyeih, hatü jijinyi phai hük leinyeih.
GEN.2.25	Hapa baha hatü chenyüha nyiphen bümkong nyu, shejao jiji neveütei.
GEN.3.1	Shaang 
GEN.3.2	Hapa nyühai biü kü, “Pemongei nyupü püthü kübü betjük hami hahhen aok; 
GEN.3.3	shejao Kahvangi pe jiamei nyupü pü kübü betjük tehah hatü ha kü lakiyao tehong, hei nevaijema dihen shei ephopeih” shei e.
GEN.3.4	Shejao hapa biüi nyüha kü e, “Hingmei payü nedipih; 
GEN.3.5	mechem nüngi ha hahhenshang, nüngei mük aphen, hatü nüngao Kahvang keiha tenhimei nyinghen shei Kahvangi nyingei nyüke.”
GEN.3.6	Mechem hapa nyühai hapa pü kübü betjükü hahhen meihen khih, veihenao meiangke hatü kihikon danghenao lümshi khih shei veiaokpa, pinnyüi maani yah-ei ha hah. Shao pinnyüi pinnyü mü nyupü chepaha kao hanei shuoh, hatü büpai ha hah. 
GEN.3.7	Hahepak kü jijiphenei mük ap, hatü jijiphen bümkong nyupü khih shei nying; hanangkü jijinyi-i pülak phaenei jümhahteke.
GEN.3.8	Hahepak kü hapa baha hatü chenyüha nyi-i om kü vanglük lükha dhüngpü hepak kü pemongei 
GEN.3.9	Shejao 
GEN.3.10	Büpai, “Pemongei nüng kamteipü danei ngei bümkong nyupü nangkü nyemei jodaipeih” shei e.
GEN.3.11	Büpai, “Nüng bümkong nyüke shei üpai ephopa? Nüngi ngei haleipü tehah shei epü pü leipü betjük hahpü je?” shei e.
GEN.3.12	Hapa shennyaki, “Nüngi ngei mü tuhphopü nyühapinnyüi hapa pü leipü betjük hanei yahphopeih, hatü ngei ha hahpeih” shei e.
GEN.3.13	Hahepak kü 
GEN.3.14	Hanangkü 
GEN.3.14	“Nüngi ha dükpü nangkü, yemhimak peü khongkü nüng thaüvaütüktih;
GEN.3.14	Nüngei vomi lüei nüng kamhen,
GEN.3.14	hatü nüngei den kemei kübhih hahhen.
GEN.3.15	Ngei nüng hatü nyüha aa kü,
GEN.3.15	hatü nüngei li hi pinnyülei li aa kü ve vaihühen.
GEN.3.15	Büpai nüngei shangjing ngümtükhen,
GEN.3.15	hatü nüngi büpalei la-ong kü bheihen” shei e.
GEN.3.16	Büpai nyühanyü kü:
GEN.3.16	“Nüng hapeü koshingkü ngei nüng kü hanghi nyeinya nyeihühen;
GEN.3.16	tüngpai nüngi hapeü bühhen.
GEN.3.16	Shejao nüngei ampaha kü lümpü nedoh-i nyuhen,
GEN.3.16	hatü büpai nüng shak kü vanglem lemhen” shei e.
GEN.3.17	Büpai bahapa kü:
GEN.3.17	“Nüngi anyühalei shah bangei,
GEN.3.17	‘Nüngi haleipü tehah’ shei ejü nüngi hapa pü leipü hahpü nangkü,
GEN.3.17	nüng tata kü kahdok kü thaüvaütüktih,
GEN.3.17	nüngei den kemei tokvai hanghiyei dükei hahhen.
GEN.3.18	Hapai nüng shing hühhinyai vamhühen,
GEN.3.18	hatü nüngi kahdok kübü vampü phenhavunglak hahhen.
GEN.3.19	Nüng nyipabü kahshalei mangshü thahshi
GEN.3.19	shangjing kübü lem-ow yenei dükei mon hahhen danghen,
GEN.3.19	mehenangkü nüngü kahdok yah-ei lingpeih,
GEN.3.19	shao nyipabü kahdok leidaihen” shei e.
GEN.3.20	Hapa bahapai chenyüha kü Ev shei men; mehenangkü pinnyü-ü yemmü nyupü peüei nyü nyuteke. 
GEN.3.21	 Kahvangi Adam hi chenyüha nyi kü yemhalei shuw yah-ei ashak lingei ümshuohteke.
GEN.3.22	Hapheikü 
GEN.3.23	Hanangkü 
GEN.3.24	Büpai hapa shennyak changtükpheikü yangnyu pü philei üpaiyao neheihhen shingvaishi heong philei cherubim hatü nyeleppü awlom vampü yanlu hük tuhphong.
GEN.4.1	Hapheikü Adami chenyüha Ev mü jem, hatü pinnyü büm nekongi lei, hatü Kain büh. Pinnyüi, “
GEN.4.2	Hapheikü pinnyüi büpalei chenaü Abel büh. Shaang Abel-ü mi haümpü shennyak, Kainü kah ling am nyuteke. 
GEN.4.3	Hapa hepak kü Kaini 
GEN.4.4	Shejao Abeli büpalei shongpü mi cheha nitshüpü yah-ei moila koteke. 
GEN.4.5	shejao Kain hatü büpalei moila neyah. Hanangkü Kain mongshih hatü büpalei dhe yim. 
GEN.4.6	Hahepak kü 
GEN.4.7	Nüngi jiüshi düklangmeyü nüngei moila neyahhen je? Nüngi jiüshi nedükpü nangkü mangi nüng kü yepei nyeanhen shadenei danei nyüke; hapai nüng shak kü vanglem lemhünyüke, shejao nüngi ha aokhen vongbong” shei e.
GEN.4.8	Shaang Kaini chenaü Abel kü, “Ji kahlei shashah” shei e. Mechem jiji kahlei shaei nyupa, Kaini chenaü Abel jütük. 
GEN.4.9	Hapheikü 
GEN.4.10	i, “Nüngi mehe dükpa? Bangtuh! Anaüei iy kahdok leipü ngei thahshi lenei aongnyüke. 
GEN.4.11	Sheyü nüng thaüvaü phangkü nyüke, hatü kah nelingaokhen. Mechem nüngi anaü jüpa hapalei iy jüphen ju kashi nyupükei kahdoki anaülei iy jüplangteke. 
GEN.4.12	Nüngi kah lingjao hapai meheyao nekohhühen. Nüngü kahdoknyü kü shem neshiüi longteipü am vaihen” shei e.
GEN.4.13	Kaini 
GEN.4.14	Shinnyih nüngi ngei hapa kahdok leipü changtüknyu khih, hatü ngei nüng toueipü daiyei joshi nyuhen; ngeiyü hapa kahdok kü benhayaha shing nelingi longteipü am vaihen khih hatü hanei ami ngei pongjema jütükhen khih” shei e. 
GEN.4.15	Hahepak kü 
GEN.4.16	Hanangkü Kaini 
GEN.4.17	Kaini chenyüha mü jem, hatü büm nekongi lei hatü Enokh büh. Hahepak kü Kaini ching hük agei nyu, hatü büpai hapa ching kü naüei men aimü Enokh shei men. 
GEN.4.18	Enokh kü Irad bühjateke, Iradü Mehujaelei chepa, Mehujaelü Methushaelei chepa, Methushaelü Lamekhei chepa nyu.
GEN.4.19	Lamekh-i nyüha nyi yah; hükei men Adah hatü hükpalei men Zillah nyu. 
GEN.4.20	Adah-i Jabal büh; büpayü ashakshemei nyuei yemhimak haümpüthülei chepa nyuteke. 
GEN.4.21	Chenaüei menü Jubal nyu; büpayü liping hatü harp vüngteipüthülei chepa nyuteke. 
GEN.4.22	Zillahlei cheha Tubal-Kain shei nyu; büpai melangnyiam hatü nyiam yah-ei lemphü douhinang lingbü nyuteke. Tubal-Kainei chenaü nelanyülei menü Naamah nyu.
GEN.4.23	Lamekh-i chenyüha kü e, ngelei shah bangtuh;
GEN.4.23	Lamekhei nyüha nyi, ngei mehe enya, bangtuh:
GEN.4.23	Ngei kü ma yahphopü nangkü,
GEN.4.23	ngei shennyak hük jütepih.
GEN.4.23	Ngei kü bheiphopü nangkü ngei nethe hük jütepih.
GEN.4.24	Kain jüpü nangkü
GEN.4.24	shingnyet bhüh yemjema Lamekh jüpü nangkü
GEN.4.24	pejempüanpünyetpa bhüh yemhen.
GEN.4.25	Shao Adami chenyüha mü jem, hatü pinnyüi yeshang hük büh hatü naü kü Seth shei men; mehenangkü pinnyüi “Kaini Abel jütükpü nangkü ha nangjei Kahvangi ngei kü shao lebü hapeü hük yahphopeih” shei e. 
GEN.4.26	Seth-i shao yeshang hük büh, hatü büpai naü kü Enosh shei men.
GEN.4.26	Hapa hepak kü hangkui Kahvangei men eshi khümhen chongpangteke.
GEN.5.1	Hapayü Adamei hühihathülei men nyangpü: Mechem Kahvangi hangkuli ling, büpai büpayü Kahvang lepü kü ling. 
GEN.5.2	Büpai nyüha baha shei lingtü moihiman. Mechem büpai hathü ling, büpai hathü kü, “Hangkuli” shei men.
GEN.5.3	Mechem Adam bong 130 nyupa, büpai büpa anshi yeshang hük büh, hatü büpai naü kü Seth shei men. 
GEN.5.4	Seth bühpheikü Adami bong 800 nyu, hatü hapheikü lebü hapeüthü büh. 
GEN.5.5	Peüshep Adami bong 930 nyutü büpa di.
GEN.5.6	Seth bong 105 nyushi Enosh büh. 
GEN.5.7	Büpai Enosh bühpheikü bong 807 nyu, hatü yiükha yeshangthü longi büh. 
GEN.5.8	Peüshep Seth-i bong 912 nyutü büpa di.
GEN.5.9	Enosh bong 90 nyushi Kenan büh. 
GEN.5.10	Büpai Kenan bühpheikü büpa bong 815 nyu hatü shao yiükha yeshangthü büh. 
GEN.5.11	Peüshep Enosh-i bong 905 nyutü büpa di.
GEN.5.12	Kenan bong 70 nyushi Mahalalel büh. 
