GEN.1.1	Adikeh la Tsingrangbanü ninglih thricho. 
GEN.1.2	Alimih tsü müthriziepü adeng licho ko amarürah tsü hiba müthrizieba asoh-u michah licho; ko Tsingrangba Anbü kih michah mongchi licho. 
GEN.1.3	 Ko Tsingrangbanü yocho, “Atsingse lieng,” ko atsingse chürocho. 
GEN.1.4	Ko Tsingrangbanü atsingse tsü tsa ngucho; ko Abinü atsingse tsü amarürah tenü changsahjücho. 
GEN.1.5	Abinü atsingse te “Anyümong” ko amarürah te “Aromang” pü dsicho. Macho ko tsingsecho, hütsü akhudiba nyümong licho.
GEN.1.6	Hütsüpü Tsingrangbanü yocho, “Kih la tsü ningkong khüdu chürosohng ko hütsü khu kih lanü kih tsü changsahsohng.” 
GEN.1.7	 Ko Tsingrangbanü ningkong tsü külüpcho ko hütsü khu amilang liba kih lanü apohki liba kih tsü changsahcho. 
GEN.1.8	Abinü ningkong te “Ning” pü dsicho. Macho ko tsingsecho, hütsü anyüuba nyümong licho.
GEN.1.9	Hütsüpü Tsingrangbanü yocho, “Ning pohki kih tsü müdüm khüdu la tingbülung ko alih akung chürung ko hütsüta kangcho.” 
GEN.1.10	Abinü akung te tsü “Alih” pü dsicho ko tingbülungba kih te “Kihdi” pü dsicho. 
GEN.1.11	Ko Tsingrangbanü yocho, “Alihnü singdonglidong lüpcho chürosohng, atse zehba ko asih sihba, ko hütsüta chürocho.” 
GEN.1.12	Hütsüta alihnü singdonglidong chürosohcho ko Tsingrangbanü hütsü tsa ngucho. 
GEN.1.13	Macho ko tsingsecho, hütsü asangu nyümong licho.
GEN.1.14	Hütsüpü Tsingrangbanü yocho, “Ama tenü anyümong changsahnung nengdang ningkong chah atsingse chürosohng ko hütsü khu akyang, kang ko nyümong müdhesohng; 
GEN.1.15	ko limih khyang atsingse jünung nengdang arühnü ning chah visohng ko hütsüta kangcho.” 
GEN.1.16	Ko Tsingrangbanü atsingse amülülah anyüh külüpcho, anyümong nengdang nyü ko aromang nengdang chonu; ko Abinü chenghitisü külüpcho. 
GEN.1.17	Abinü limih la visohnung ning chah atsingse yohpücho, 
GEN.1.18	anyümong ko aromang michah xükümnung, ko amarürah lanü atsingse changsahsohcho. Ko Tsingrangbanü hütsü tsa ngucho. 
GEN.1.19	Macho ko tsingsecho, hütsü müyüu nyümong licho.
GEN.1.20	Hütsüpü Tsingrangbanü yocho, “Kih tsü kangzahnü jeng kang ko ningwüm tsü uzatinü jengsohng.” 
GEN.1.21	Hütsüta Tsingrangbanü kihkangdi, kih la liba kanglungrü langkhüru ko uza lüpcho külüpcho. Ko Tsingrangbanü hütsü tsa ngucho. 
GEN.1.22	Abinü arüh apüm müwajücho ko kih la kanglungrü te kih jeng azah thsanung ko uzati te suhchehnung mülacho. 
GEN.1.23	Macho ko tsingsecho, hütsü müngau nyümong licho.
GEN.1.24	Hütsüpü Tsingrangbanü yocho, “Aliminü kanglungrü lüpcho chürosohng: Kuh la kangba ko rangmü kanglungrü, azikyah ko amülah.” Ko hütsüta chürocho. 
GEN.1.25	Hütsüta Tsingrangbanü arüh apüm külüpcho ko Abinü hütsü tsa ngucho.
GEN.1.26	 Hütsüpü Tsingrangbanü yocho, “Ihsanü nyitsarü Ihsa tsah, Ihsa kyochola thrinung; ko arüh tsü nguh, uza ko kanglungrü apüm, kuhla kangba ko rangmü kanglungrü, azikyah ko amülah apüm michah abüdongrü kangsohnung.” 
GEN.1.27	 Hütsüta Tsingrangbanü Apu kyocho la nyitsarü thricho. Abinü arüh khingkurü ko adhrerü thricho. 
GEN.1.28	Ko Tsingrangbanü arüh müwajo yocho, “Suhchehng ko limih sohjeng ko hütsü rahsehng. Nguh, uza ko rangmü kanglungrü apüm michah Ihnü nührü abüdongrü kangsohre. 
GEN.1.29	Ihnü nührü khyang singtse ko singsih adhangpi atsunung jüre; 
GEN.1.30	ta rangmü kanglungrü ko uza apüm shulüm atsunung zanu ko singvarova jüre”, ko hütsüta kangcho. 
GEN.1.31	Ko Tsingrangbanü Abinü thricho apüm dhengcho ko Abinü hütsü tsa ngucho. Macho ko tsingsecho, hütsü dhüroh-u nyümong licho.
GEN.2.1	Hütsüta ninglih ko hütsüla liba apüm rungnümcho. 
GEN.2.2	 Adhünyeh nyümong chihdelü Tsingrangbanü Abi nguchi thümcho, ko dhünyeh nyümonglü Abinü kyahshangcho. 
GEN.2.3	Abinü dhünyeh-u nyümong tsü müwajücho ko pathsa nyümong kang yohpücho, tunüo hütsü nyümong tsü nguchi thümcho ko kyahshangcho. 
GEN.2.4	Hütsüta ninglih tsü thricho.
GEN.2.5	limih la singdonglidong mülicho ko singvarova müchiecho, tunüo Abinü tsing mümütheh-echo ko luh thsanung süsü mülicho; 
GEN.2.6	ta alih yonglangnü kih chüro alih tsü kyangcho.
GEN.2.7	 Hütsüpü 
GEN.2.8	Hütsüpü 
GEN.2.9	 Abinü hütsüla singsih sihba atsah atsa singdongti chisohcho. Tbü longla akang singdong ko atsa amütsa müdhesohba singdongti sü yasohcho.
GEN.2.10	Eden lanü yongkhi khüdu pohcheh tsicho ko tbü tsü hütsünü kyangjücho; Eden khupü hütsü yongkhi müyü kang changnahcho. 
GEN.2.11	Akhudiba yongkhi tsü Pishon; hütsü Havila limih mükang pohre. 
GEN.2.12	(Hütsüla amüthsengcheh hon ko axümlichi atsauba thsidi lungsü ngure.) 
GEN.2.13	Anyüuba yongkhi tsü Gihon; hütsü Kush limih mükang pohre. 
GEN.2.14	Yongkhi asanguba tsü Tigris, hütsü Assyria nyüchürolang pohre, ko müyüuba yongkhi tsü Eufrates.
GEN.2.15	Hütsüpü 
GEN.2.16	Abinü abi te yocho, “Nühnü tbü la singdong masü chahnü singsih tsunung kohle, 
GEN.2.17	ta atsa amütsa müdhesohba singdong chahnü nühnü tütsu. Khüi nyümong nühnü hütsü tsunang nüh sünung.”
GEN.2.18	Hütsüpü 
GEN.2.19	Hütsüpü Abinü alih lanü alih hirocho ko kanglungrü apüm ko uza apüm külüpcho. Hütsüpü Abinü arüh tsü nyitsarü yang aneng jüsohnung norocho; hütsüta nyitsarü tsünü tu dsijücho hütsü arüh neng kangcho. 
GEN.2.20	Hütsüta nyitsarü tsünü uza apüm ko kanglungrü apüm neng dsijücho; ta arüh yola abi tronungthsa süsü mülicho.
GEN.2.21	Hütsüpü 
GEN.2.22	Abinü thringrü tsünü khingkurü khüdu thricho ko abi yang abükyü tsü norojücho. 
GEN.2.23	Hütsüde adhreba tsünü yocho,
GEN.2.23	“Achangkala, hila Ipu kyo khüdu lile,
GEN.2.23	I rüh lanü arüh, ko I shutsa lanü shutsa.
GEN.2.23	Abükyü te Khingkurü pü dsinung,
GEN.2.23	tunüo abükyü adhreba chahnü khyüchehcho.”
GEN.2.24	 Hütsünü adhrerünü atpa ko au pehjünung ko anitpü te lümkha linung ko anyüh shuh khüdu kangnung.
GEN.2.25	Adhreba ko khingkutpü anyüding tbhüdeng licho ta anyüh müshahtapü licho.
GEN.3.2	Khingkutpü tsünü lalingcho, “Ihjünü tbü la tsü alongla yaba singdong chah tsü khu apa masü chahnü singsih tsunung kohle. 
GEN.3.3	Tsingrangbanü hütsüba singdong chah tsünü singsih mütsunung mahkhang athahpü mii müthahpünung; ko tsukhang, sünungepü yoko.”
GEN.3.4	Mürü tsünü lalingcho, “Hütsü arahkheh, nührü müsünung. 
GEN.3.5	Tunüo khode nührünü hütsü tsunang, nührü Abi kyo kangnung ko atsa amütsa müdhe kangnung Abinü müdhechonü hütsüta yocho.”
GEN.3.6	Khingkutpü tsünü hiba singdong tsü adhengnung atsa ko asih tsü atsunung tsara ngucho ko müdhe kangnung tsü khüta anyemüyangnung pü lümcho. Achotsü abükyünü singsih tsü laa rocho ko tsucho; ko abükyünü anii khyangsü jücho, ko abinü tsucho. 
GEN.3.7	Anyünü hütsü tsuyeng, anyüh tbhüdeng thsacho müdhe kangcho; achotsü anyünü ngurüsingva xürüta lüpticho.
GEN.3.8	Hütsü anyüzehlang 
GEN.3.9	Ta 
GEN.3.10	Abinü lalingcho, “Ihnü tbü la Nü yuva yuchiko; ta Ih tbhüdeng thsachonü, Nü tenü dro rangkhucho.”
GEN.3.11	Tsingrangbanü tsingdhengcho, “Nüh tbhüdengepü sünü yocho? Ihnü nü te tütsuba singsih sü tsucho mah-o?”
GEN.3.12	Adhrebanü lalingcho, “Nühnü I te linung jüba khingkutpü tsünü I khyang singsih tsü jücho, ko Ihnü tsucho.”
GEN.3.13	Abükyünü lalingcho, “Mürünü Ih thsühyohchü hütsü tsusohcho.”
