MRK.1.1	Kutatika kwa Uthenga Uweme wa Yesu Kristu, Mwana wa Mulungu. 
MRK.1.2	 Ngani Malembo a Mneneli Yesaya onena kuti, “Mulungu olaŵila kuti,
MRK.1.2	‘Nikatume mtumiki wangu pa nthangu panu
MRK.1.2	kuti akawamye mseu wakuti mukapitemo.’
MRK.1.3	‘Wamyani mseu wakuti akapitemo Leza
MRK.1.3	Lungamikani mseu wakuti azepitemo.’”
MRK.1.4	Zamene izi zechitika chendi pechifwika Yohane Mbatizi mu malambo, notatika kuŵilizya. Enzouzya ŵanthu kuti, “Lekani viipa vanu, mubatiziwe, na kuti Mulungu akulekeleleni ku machimo ŵanu.” 
MRK.1.5	Ŵanthu ofumila mu chalo cha Yudeya na a ku Yelusalemu enzokuya kwake. Wove enze kuti akaulula machimo ŵawo, yove enzowabatiza mu mumana wa Yolodani. 
MRK.1.6	Yohane enzovwala vovwala va usako wa ngamila, nomangila muluunda bande wa chikumba. Chakulya chake chenze zombe na uchi wamsanga. 
MRK.1.7	Mukuŵilizya kwake enze kuti, “Pa vuli pangu pakuza munthu muyakine wamphamvu wopula newo, mwakuti newo nine wosawamila kuŵelama no masula myando za nkhwaŵilo zake. 
MRK.1.8	Newo nukubatizani na manzi, koma yove azekubatizeni na Mzimu Utuŵa.”
MRK.1.9	Paliyopite nsita ikulu Yesu ewela kufumila ku Nazaleti, ku munzi wa ku Galileya, nipo Yohane embatiza mu mumana wa Yolodani. 
MRK.1.10	Penzofuma mu manzi Yesu ewona Kululu kwekezuka, na Mzimu Utuŵa eseluka pa yove ngani nkhunda. 
MRK.1.11	Tetyo kwimvwika malizu kufumila Kululu kuti, “Wewo niwe Mwana wangu wotemweka. Nusangalala nawe ngako.”
MRK.1.12	Nsita yamene iyo Mzimu Utuŵa etwala Yesu ku malambo. 
MRK.1.13	Kwechinkhala masiku makumi anai, penzoyezyewa na Satana. Kwenze nyama za msanga, koma angelo enzomuyavya.
MRK.1.14	Yohane pechipozewa mu ndende, Yesu eluta ku Galileya kuyoŵilizya Uthenga Uweme wa Mulungu. 
MRK.1.15	Enze kuti, “Nsita yakwana; Ufumu wa Mulungu uli pafupi. Lekani viipa vanu nochetekela Uthenga Uweme uyu.”
MRK.1.16	Yesu penzoyenda mu mbali mwa Chimumana cha Galileya, ewona ŵanthu aŵili, Simoni na mkwawo Andeleya, enzopoza makombe pa manzi, pakuti enze okata masaŵi. 
MRK.1.17	Yesu eŵauzya kuti, “Mwewo munikonkhe, nikakusambizyeni kunkhala okata ŵanthu noŵaleta ku Ufumu wa Mulungu.” 
MRK.1.18	Pameneapo esiya makombe ŵawo nomukonkha.
MRK.1.19	Pechiyenda patontho Yesu ewona Yakobe na Yohane ŵana ŵa Zebediyo, aŵa enze mu ngalawa, enzowamya makombe ŵawo. 
MRK.1.20	Nsita yamene iyo yove eŵaita. Pameneapo eŵasiya mu ngalawa ausu wawo a Zebediyo pamo na ŵanthu aganyu, nokonkha Yesu.
MRK.1.21	Wonse aŵa eluta ku Kapilinamu. Peifwika nsiku ya Sabata, Yesu eloŵa mu kachisi wa Ayuda notatika kusambizya. 
MRK.1.22	Vosambizya vake venzoŵakata mitima ngako ŵanthu, chikomo chakuti enzosambizya mowonesha ulamulilo, kusiyana na mwenzochitila Asambizyi a Malamulo.
MRK.1.23	Mu kachisi wa Ayuda mwala mwiloŵa munthu wokatiwa na chiŵanda. Elaŵila moŵilikizya kuti, 
MRK.1.24	“Kansi takuifyilani chinji Yesu wa ku Nazaleti? Kansi mwewela kuzoticheneka? Nakuziŵani, nimwe Mtuŵa Mwana wa Mulungu.” 
MRK.1.25	Koma Yesu elamulila chiŵanda kuti, “Nkhala chelele, fuma mwa uyu munthu.” 
MRK.1.26	Apo chiŵanda chala chemusungʼuzya ngako wala munthu, nipo cheŵilikizya koyofya, nofuma.
MRK.1.27	Ŵanthu wonse ŵala etatika kulaŵila, nokonshana kuti, “Kansi ichi ni chinji? Kansi ni ma sambizyi alomba! Uyu munthu ali na ulamulilo pa viŵanda nipo vumumvwa chendi.” 
MRK.1.28	Mumangu mbili yake yewanda paliponse ku mbali yonse ya ku Galileya.
