GEN.1.2	 Ensi ekaba etari mu buteeka, kandi erimu busha; omwirima gukaba gushwekire amaizi maingi, kandi Omwoyo wa Ruhanga akaba naagyendagyenda ahaiguru y'amaizi. 
GEN.1.3	 Ruhanga yaagira ati: Habeho omushana. Omushana gwabaho. 
GEN.1.4	Ruhanga yaareeba omushana guri murungi; yaataanisa omushana n'omwirima. 
GEN.1.5	 Ruhanga yaayeta omushana Nyomushana, n'omwirima yaagweta Nyekiro. Bwaira, bwasheesha, kyaba ekiro ky'okubanza.
GEN.1.6	Ruhanga yaagira ati: Habeho omwanya ahagati y'amaizi, gutaanise amaizi n'agandi. 
GEN.1.7	Ruhanga yaataho ogwo mwanya, gwataanisa amaizi g'ahansi yaagwo n'ag'ahaiguru yaagwo. Kyaba nikwo kyaba. 
GEN.1.8	Ruhanga yaayeta ogwo mwanya Eiguru. Bwaira, bwasheesha, kyaba ekiro kya kabiri.
GEN.1.10	Ruhanga yaayeta eryo itaka Ensi, n'eiteeraniro ry'amaizi yaaryeta Enyanja. Ruhanga yaareeba kiri kirungi. 
GEN.1.11	 Ruhanga yaagira ati: Ensi emere ebirikumera, ebirikwera enjuma, kandi n'ebiti ebirikwana ebijuma, ebirimu embibo, buri kimwe omu muringo gwakyo. Kyaba nikwo kyaba. 
GEN.1.12	Ensi yaamera ebirikumera, ebirikwera enjuma omu miringo yaabyo, n'ebiti ebirikwana ebijuma ebirimu embibo, buri kimwe omu muringo gwakyo. Ruhanga yaareeba kiri kirungi. 
GEN.1.13	Bwaira, bwasheesha, kyaba ekiro kya kashatu. 
GEN.1.14	 Ruhanga yaagira ati: Habeho ebirikwaka omu mwanya omu iguru, bitaanise nyomushana na nyekiro; kandi bibe eby'okumanyisa obunaku n'ebiro n'emyaka; 
GEN.1.15	bigume byakye omu mwanya omu iguru, bibone kwakira ensi. Kyaba nikwo kyaba. 
GEN.1.16	Ruhanga yaakora ebirikwaka bihango bibiri, ekirikwaka ekihango okutegyeka nyomushana, kandi ekikye okutegyeka nyekiro; kandi yaakora n'enyonyoozi. 
GEN.1.17	 Ruhanga yaabita omu mwanya omu iguru okujwera ensi, 
GEN.1.18	n'okutegyeka nyomushana na nyekiro, kandi n'okutaanisa omushana n'omwirima. Ruhanga yaareeba kiri kirungi. 
GEN.1.19	Bwaira, bwasheesha, kyaba ekiro kya kana.
GEN.1.20	Ruhanga yaagira ati: Amaizi gaijure ebirikwegyendesa ebiine amagara, kandi n'ebirikuguruka bigurukye ahaiguru omu kaabunga. 
GEN.1.21	Ruhanga yaahanga 
GEN.1.22	Ruhanga yaabiha omugisha, naagira ati: Muzaare, mukanye, mwijure omu maizi g'omu nyanja, kandi n'ebirikuguruka bikanye omu nsi. 
GEN.1.23	Bwaira, bwasheesha, kyaba ekiro kya kataano.
GEN.1.25	Ruhanga yaahanga enyamaishwa z'omu nsi omu miringo yaazo, n'amatungo omu miringo yaago, n'ebirikwekurura ahansi omu miringo yaabyo; Ruhanga yaareeba kiri kirungi.
GEN.1.27	 Ruhanga yaahanga omuntu orikumushusha; omu kushusha kwa Ruhanga yaaba nimwo yaamuhangira; yaahanga omushaija n'omukazi. 
GEN.1.28	 Ruhanga yaabaha omugisha, kandi yaabagira ati: Muzaare, mukanye, mwijure ensi, ebe eyaanyu; mutegyekye eby'omu nyanja, n'ebirikuguruka omu mwanya, na byona ebiine amagara ebirikwegyendesa ahansi. 
