LUK.1.1	Nganyang kwabba babin, Theophilus.
LUK.1.1	Boola moorta kwabba-don. Baal boordak karni warrinya mili-milikal, mandang noolonga edjeniny ngalany kardakor. 
LUK.1.2	Baalap boordak karni noolonga mili-milikal, moodlooka moorta warranga ngalany. Nidja-nidja moorta kwadja-djinang moodlooka alikwadjakang, kidji baalap warranga Warda-Kwabba.
LUK.1.3	Kidji ngarl, nganyang birdiyar, ngany kardjir mardayin-kaaditj moodlooka alikwadjakang. Ngany kaaditj nidja boorda kwabba, karni bardip mili-milikal boordakiny. 
LUK.1.4	Ngany boordakiny ngarl noonook boorda-kaaditj moorart karnarny, moodlooka noonook kwadja-dwangka.
LUK.1.5	Keny mammarap, baalang kol Zechariah, baal nyiny yakin-kooranyi birokal Herod nyiny Djelyib Judea-kang. Baal keny yakina-kooranyikang ngiyan yaka Abijah-kang. Elizabeth baalang koort-maat. Baalang moorta kardjir nyiny yakina-kooranyi. 
LUK.1.6	Koodjal kwabba karra Boolanga-Yirakang miyalakal, moodlooka doniny Boolanga-Yirakang Warrinya waangki. 
LUK.1.7	Koodjal koorlang-birt, narla Elizabeth yoowart kwadja-boodjari-biny. Baal wer Zechariah, koodjal karakor-djil.
LUK.1.8	Keny kedela, Zechariah, baal kwadja-yaka Maya-maya-Kooranyi-bwora, narla baalang kedela yakin-kooranyi yaakiny. 
LUK.1.9	Yakina-kooranyi, baalap kalyakool banitja kooranyi boyara, djinanginy naatj mammarap boorda-narra manna-ngoonyang karla-kooranyal. 
LUK.1.10	Ngarl Zachariah, baal bwora-koorl Boolanga-Yirakang Maya-maya-Kooranyi. Bandak, moorta boola baalap Boolanga-Yira kwadja-yanganiny narla manna-ngoonyang kwadja-narriny.
LUK.1.11	Boolanga-Yirakang djin-djin-kwabba, baal Zechariah-kany yoowal-koorl, kidji baal yaaka ngwoornmoorn karla-kooranyikang, kwabbarap manna-ngoonyang narrinyang. 
LUK.1.12	Nginda Zechariah djinang djin-djin-kwabba, baal wayarn.
