GEN.1.1	Maawac tahsh kihci niikaan, Kishemanitoo okii oshihtoon kiishik, ahkiini kaye. 
GEN.1.2	Kiih⁠pikwacaya'iiwan, kii⁠mashashkwaa hsa kaye o'o ahki. Nipi tahsh kiih⁠kiishkaayawaa, wiinke tahsh misiwe kiih⁠kashkiitipihkan. Kishemanitoo tahsh otAhcaahkwan ahshicipiik kiih⁠pimi ayaawan. 
GEN.1.3	 Kishemanitoo tahsh kii‑ihkito, “Taka ta⁠waahseyaa.” Miihsh kaa⁠ishi waahseyaanik. 
GEN.1.4	Miitahsh kaa⁠ishi minwaapantank i'i kaakii waahseyaanik. Okii nenaawinaan tahsh i'i kaakii waahseyaanik i'i kaye kaakii kashkiitipihkaninik. 
GEN.1.5	Kaakii waahseyaanik tahsh kiishikan okii ishinihkaataan shikwa kaakii kashkiitipihkaninik tahsh tipihkan okii ishinihkaataan. Miihsh kaa‑anishi tipihkaninik, kii⁠ani kishepaawakanini kaye, mii 'i kiih⁠peshikokiishikaninik.
GEN.1.6	Kishemanitoo tahsh kii‑ihkito, “Taka, ta‑ayaamakan aahsamikiishik akwana'ikanink ke⁠inentaakwahk keshi piihtawaakin nipiin.” 
GEN.1.7	Miitahsh kaakii oshihtootc aahsamikiishik, ekii nenaawinank ini nipiin anaamikiishik eyaanikin, ini kaye wakici kiishik. Mii hsa 'i kaaishihsenik. 
GEN.1.8	Kiishik tahsh okii ishinihkaataan i'i aahsamikiishik. Miihsh kaa‑anishi tipihkaninik ekii ani kishepaawakaninik kaye, mii 'i kii⁠niishokiishikaninik.
GEN.1.9	Kishemanitoo tahsh miinawaa kii‑ihkito, “Taka ta⁠maamawiciwanoon ini aahsamikiishik eyaakin nipiin i'imaa peshik ayaawinink, ci⁠naakwahk ci⁠paankwahkamikaak.” Mii hsa 'i kaa⁠ishihsenik. 
GEN.1.10	Kaakiih paankwahkamikaanik tahsh ahki okii ishinihkaataan, kaakii ishi maamawiciwaninikin tahsh nipiin kihcikam okii ishinihkaataan. Wiinke tahsh okii minwaapantaan. 
GEN.1.11	Kishemanitoo tahsh miinawaa kii‑ihkito, “Taka o'omaa ahkiink ta⁠saakahkiiwan kaa⁠tahswewaanakahkin kihtikaani kekoonan, taapishkoo ashkipakoon kaa⁠miiniwankin kihtikaanenhsan, iki kaye miinaahtikook entinowiwaatc kaa⁠nihtaawikihtoowaatc miinan i'imaa kaa⁠piintekin wahkantaaminan.” Mii hsa 'i kaaishihsenik. 
GEN.1.12	Kiihpi saakahkiiniwan tahsh ini kaa⁠tahswewaanakahkin kihtikaani kekoonan taapishkoo ashkipakoon minihk entinowiwaatc kaa⁠miiniwankin kihtikaanenhsan, iki kaye miinaahtikook minihk entinowiwaatc kaa⁠nihtaawikihtoowaatc miinan i'imaa kaa⁠piintekin wahkantaaminan. Wiinke tahsh okii minwaapantaan. 
GEN.1.13	Miinawaa tahsh kii⁠ani tipihkan, kii⁠ani kishepaawakan kaye, mii 'i kii⁠nihsokiishikaninik.
GEN.1.14	Kishemanitoo tahsh kii‑ihkito, “Taka ta‑ayaamakanoon ke⁠onciwaahseyaak aahsamikiishik, ci⁠onci nenaawinikaatekin kaa⁠kiishikahkin, kaa⁠tipihkahkin kaye. Mii hsa iwe ke⁠onci kihkinawaaci kihkencikaatekin aaniin eshi kiishikahk, aaniin kaye ahpii ke⁠pipoonk, ahpii kaye ke⁠wiihkwantinaaniwank. 
GEN.1.15	Taka ta‑ayaamakanoon ke⁠waahseyaakin aahsamikiishik ke⁠onciwaahseyaak o'o ahki.” Mii hsa 'i kaaishihsenik. 
GEN.1.16	Miitahsh Kishemanitoo kaa⁠ishi oshihtootc niishin kehci waahsahkonenikin; kiisihsoon ke⁠tipentaminitc kiishikan shikwa tipihkikiisihsoon ke⁠tipentaminitc tipihkan. Wanankohsha' tahsh kaye okii oshi'aa'. 
GEN.1.17	Miiwa' o'o kaa⁠ishi pakitinaatc aahsamikiishik ci⁠waahseshkaminitc ahkiini. 
GEN.1.18	Ci⁠tipentaminitc kaa⁠kiishikaninik, kaa⁠tipihkaninik kaye ci⁠nenaawishkaminitc kaa⁠waahseyaanik, onci kaa⁠kashkiitipihkaninik. Kishemanitoo tahsh okii minwaapantaan. 
GEN.1.19	Kii⁠ani tipihkan tahsh, miinawaa ekii ani kishepaawakahk, mii 'i kii⁠niiwikiishikaninik.
GEN.1.20	Miinawaa tahsh Kishemanitoo kii‑ihkito, “Taka ta⁠paahtiinowak nipiink kaa‑ayaawaatc ke⁠mooshkinewaatc i'imaa nipiink. Ta⁠tashi papaamihsewak kaye pinehshiinshak newacikiishik.” 
GEN.1.21	Miitahsh kaa⁠ishi oshi'aatc kihci tinowihkaana' i'imaa kihcikamiink ci⁠ayaanitc. Okii oshi'aa' kaye kahkina nipiink kaa‑ayaanitc kaa⁠wahkawiinitc i'i wehkwiinonitc i'imaa nipiink, anooc entahswewaanakisinitc, kahkina kaye kaa⁠pimihsenitc pinehshiinsha' aaniin entahswewaanakisinitc. Okii minwaapantaan tahsh i'i kaakii waapantank. 
GEN.1.22	Kishemanitoo tahsh okii'inaa' ci⁠minohsenitc ekii ihkitotc, “Nihtaawikinaawahsok cini paahtiinoyek, misiwe ani ayaak o'omaa kihcikamiink, tani paahtiinowak kaye pinehshiinshak wakitahkamik.” 
GEN.1.23	Miinawaa kii⁠ani tipihkan, kii⁠ani kishepaawakan kaye. Mii hsa 'i kii⁠naanokiishikaninik.
GEN.1.24	Miinawaa tahsh Kishemanitoo kii‑ihkito, “Taka ta‑ayaawak aya'aawihshak wakitahkamik, anooc ci⁠tahswewaanakisiwaatc. Awahkaanak ta‑ayaawak, iki kaye kaa⁠pimootewaatc, pikwaci aya'aawihshak kaye.” Mii hsa 'i kaaishihsenik. 
GEN.1.25	Miitahsh i'i nahke kaa⁠ishi oshi'aatc pikwaci aya'aawihsha', minihk iko entahswewaanakisinitc ci‑ishi'ayaanitc, okii oshi'aa' kaye awahkaana' entahswewaanakisinitc ci‑ishi'ayaanitc. Kahkina kaye mihtahkamik kaa⁠pimootenitc, entahswewaanakisinitc okii oshi'aa'. Kishemanitoo tahsh okii minwaapantaan.
GEN.1.27	 Miitahsh kaa⁠ishi oshi'aatc awiya' pemaatisinitc ekii ishi'aatc taapishkoo eshinaakositc. Mayaa hsa piko eshinaakositc ekii ishi'aatc. Okii ishi'aa' ci‑ininiiwinitc, ci‑ihkwewinitc kaye. 
GEN.1.28	Miitahsh kaa'inaatc ci⁠minohsenitc. O'o okii'inaa', “Nihtaawikinaawahsok cini paahtiinoyek, misiwe ani ayaak i'imaa ahkiink. Tipentamaasok ahki. Tipenimihkook kinooshek kihcikamiink kaa‑ayaawaatc, pinehshiinshak kaye newacikiishik kaa‑ayaawaatc, kahkina kaye kekoon kaa⁠pimaatahk kaa⁠wawaahkawiimakahk wakitahkamik.” 
GEN.1.29	Miihsh kaye kaa'inaatc, “Inashke, kahkina kimiinininim kaa⁠miiniwankin kihtikaanenhsan o'omaa misiwe wakitahkamik, kahkina kaye tinowaahtikook kaa⁠miiniwiwaatc kaa⁠wahkantaaminiwiwaatc mii 'iwe ke⁠omiicimimiyan. 
GEN.1.30	Kahkina kaye aya'aawihshak miinaawak kahkina kihtikaanan kaa⁠nihtaawikininikin ci⁠miiciwaatc, iki kaye kahkina pinehshiinshak, kaa⁠pimootewaatc kaye mihtahkamik. Minihk hsa ko pemaatisiwaatc aya'aawihshak mii 'i eshi miinakwaa cishi omiicimimiwaatc.” Mii hsa 'i kaaishihsenik. 
GEN.1.31	Kishemanitoo tahsh okii waapantaan kahkina kekoon kaakii oshihtootc, aahpici tahsh wiinke kii⁠onishihshinini. Miinawaa tahsh kii⁠ani tipihkan, ekii ani kishepaawakahk kaye. Mii 'i kii⁠ninkotwaahsokiishikaninik.
GEN.2.1	Mii 'iwe kaa⁠ishi kiishihcikaatek kiishik, ahki kaye, kahkina kaye kekoonan i'imaa eyaakin. 
GEN.2.2	 Miihsh Kishemanitoo kaa⁠niishwaahsokiishikaanik aasha okii onci kiishihtoon minihk kekoon kaakii oshihtootc. Miitahsh kaa⁠ishi aahtehshink kaa⁠niishwaahsokiishikaninik kaa⁠ishkwaa oshihtootc minihk kekoon kaakii anohkaatank. 
GEN.2.3	Kishemanitoo tahsh okii inahtoon i'i kaa⁠niishwaahsokiishikaninik ci⁠minwakincikaatenik shikwa ci⁠kihci inentaakwaninik i'i kiishikan, aaniihsh mii 'i ahpii Kishemanitoo kaa‑anwehshink kahkina kii⁠kiishihtootc otanohkiiwin.
GEN.2.4	Mii hsa 'i enaatotek ekii oshihcikaatek kiishik, ahki kaye.
GEN.2.4	Ahpii kaaTipenciketc Kishemanitoo kii⁠oshihtootc ahkiini, kiishik kaye, 
GEN.2.5	Kaawiin mahshi kii⁠ayaahsinoonan wiikwapiinhsan ahkiink, kaawiin kaye mahshi kiih⁠pi saakahkiihsinoonan ashkipakoonhsan, aaniihsh kaaTipenciketc kaamahshi okii oshihtoohsiin ci⁠kimiwaninik ahkiink. Kaawiin kaye mahshi kii⁠ayaahsii inini ke⁠pikishka'ahkiitc. 
GEN.2.6	Kashkawan tahsh ahkiink kii⁠onci ompishkaa kaa⁠onci nipiiwihcikaatek o'o ahki misiwe.
GEN.2.8	KaaTipenciketc Kishemanitoo tahsh okii oshihtoon kihtikewahkamik i'imaa waapanonk mino ahkiink Iitin 
GEN.2.9	 KaaTipenciketc Kishemanitoo tahsh okii oshi'aa' mihtikoo' ci⁠saakikinitc kahkina kaa⁠minonaakosinitc, kaa⁠onishihshinitc ci⁠onci wiihsininitc. Ini kaye pimaatisiwinaahtikoon mekwe kihtikewahkamikonk okii ishi'aan ci⁠saakikinitc. Ini tahsh kaye peshik mihtikoon wenci kihkencikaatenik mino'ishiwepisiwin, i'i kaye maci'ishiwepisiwin.
GEN.2.10	Siipi tahsh kii⁠onciciwan i'imaa mino ahkiink Iitin kaakii icikaatek ekiih shaapopacikaatek kihtikewahkamik. Mii 'imaa kaa⁠onci niiwi pahkehtikweyaakin siipiin. 
GEN.2.11	I'i tahsh peshik ishinihkaate siipi Payishan 
GEN.2.12	Onishihshi a'a osaawi shooniyaawahsin e⁠onciitc i'imaa ahkiink. A'ahsh kaye pikiw kehci onishihshitc i'imaa ayaa ahkiink. A'ahsh kaye Aanikihs 
GEN.2.13	Niishin siipi kaasheciwank Kaaihan 
GEN.2.14	Nihsin siipi Taaikarihs 
GEN.2.15	KaaTipenciketc Kishemanitoo tahsh okii ishiwinaan ininiwan mino ahkiink Iitin kaakii ishinihkaatenik kihtikewahkamikonk ekiih pakitinaatc ci⁠kihtikaataminitc, ci⁠kanawentaminitc kaye. 
GEN.2.16	KaaTipenciketc Kishemanitoo tahsh okii'inaan ini ininiwan, “Pisaan iko kika onci wiihsin kahkina oko mihtikook eyaawaatc o'omaa kihtikewahkamikonk. 
GEN.2.17	A'ahsh wiin peshik mihtik kaa⁠onci kihkentaakwahk mino'ishiwepisiwin, i'i kaye maci'ishiwepisiwin, kaawiin i'imaa kika ontancikehsii. Ahpii hsa i'imaa ontancikeyan, tepwe kika nip,” okii'inaan.
GEN.2.18	Miinawaa tahsh kaaTipenciketc Kishemanitoo kii‑ihkito, “Kaawiin ta⁠onishihshihsinoon ci⁠nihshihke ayaahpan a'a inini. Ninka oshi'imaan kwayahk ke⁠wiici'ikotc.” 
GEN.2.19	Miitahsh kaa⁠ishi oshi'aatc kahkina aya'aawihsha', ahkiinaank ekii onci oshi'aatc, i'i kaye pinehshiinsha' kaa⁠pimihsenitc newacikiishik. Miitahsh kaa⁠ishi ishiwitawaatc ininiwan ci⁠wiinaanitc. Aaniin tahsh iko kaa‑ayishinihkaanaatc a'a inini iniweniwa' aya'aawihsha', mii ko'i kaa‑ayishinihkaasonitc. 
GEN.2.20	Miitahsh kaa⁠ishi wiinaatc a'a inini kahkina awahkaana', minihk kaye pinehshiinsha' kaa⁠pimihsenitc newacikiishik, aya'aawihsha' kaye. Kaawiin tahsh mahshi kii⁠mihkawimaahsiiwan kwayahk ke⁠wiici'ikotc a'a inini.
