MAT.1.1	A revereve huri retubui Jisas, netui Devet, netui Ebraham.
MAT.1.2	I Ebraham mo bava Aesak, ko i Aesak mo bava Jekob, ko i Jekob mo bava Juda mei retahine. 
MAT.1.3	I Juda mo bava Beres mei Sera, retahire Tama, i Beres mo bava Hesron, ko i Hesron mo bava Ram, 
MAT.1.4	ko i Ram mo bava Aminadab, ko i Aminadab mo bava Nason, ko i Nason mo bava Salmon, 
MAT.1.5	ko i Salmon mo bava Boas, retahine Rehab. I Boas mo bava Obed, retahine Rut; ko i Obed mo bava Sese, 
MAT.1.6	ko i Sese mo bava na ratahigi lawua hi Devet.
MAT.1.6	I Devet mo bava Solomon, retahine gahorai Uraia tau tomue, 
MAT.1.7	i Solomon mo bava Rehoboam, ko i Rehoboam mo bava Abia, ko i Abia mo bava Asa. 
MAT.1.8	I Asa mo bava Jehosavat, ko i Jehosavat mo bava Joram, ko i Joram mo bava Usia. 
MAT.1.9	I Usia mo bava Jotam, ko i Jotam mo bava Ehas, ko i Ehas mo bava Hesekia. 
MAT.1.10	I Hesekia mo bava Manase, ko i Manase mo bava Amon, ko i Amon mo bava Josia. 
MAT.1.11	I Josia I tubui mo bava Jekonaea mei retahine, lo tarogi hi ram reve vohoginire duvi Israel vano a Babilon.
MAT.1.12	Lo tagugi hi rau reve vohoginire vano a Babilon, i Jekonaea mo bava Salatiel, ko i Salatiel I tubui Serubabel. 
MAT.1.13	I Serubabel mo bava Abiut, ko i Abiut mo bava Eliakim, ko i Eliakim mo bava Aso. 
MAT.1.14	I Aso mo bava Sadok, ko i Sadok mo bava Akim, ko i Akim mo bava Eliud. 
MAT.1.15	I Eliud mo bava Eliesa, ko i Eliesa mo bava Matan, ko i Matan mo bava Jekob, 
MAT.1.16	ko i Jekob mo bava Josev, nge hi u legi mei Meri, u hakovi Jisas, ngehi mo warea ve i Kraes.
MAT.1.17	Giniehi, a teriterigi doluegi den Ebraham mo dadari lui Devet, a qatu hangavulu domwagi gaivesi. Den Devet mo dadari lo tarogi hi ram reve vohoginire vano a Babilon, a qatu hangavulu domwagi gaivesi; ko dena tarogi hi ram reve vohoginire vano a Babilon mo dadari lui Kraes, a qatu hangavulu domwagi gaivesi.
MAT.1.18	Nge ngaha a leo huri Jisas Kraes u vora mwere ngaha. I Josev mo waratau goro Meri, retahi Jisas, nge lune ingere rohe toga te bubugi mosigei, mo haqea ve mo tino gina Vui Gogona. 
MAT.1.19	I Josev tubune ingeie a tangaloi vovohoi, nge he tarani tea ve vin vagamaemaegi Meri lo nagora tangaloi; giniehi, ingeie mo lado ve vin teu vohogi rorongo ginie.
MAT.1.20	Lune ingeie mo lado huri na gineu ingere ngaha, a engsel nona Huqe mo serelue lawea lolo boborea, mo veve vena, “Josev, netui Devet, gon mese matagu ve gon lai Meri gi gahoramu. Huri a gineu ngehi ingeie mo tino ginie mo vonai dena Vui Gogona. 
MAT.1.21	Nge vin hakovi na maresu, ko iniko goin warea gi Jisas, a vevenagi ingeie vin vagamwasoi na nona sinobu dena nora galegaleasi.”
MAT.1.22	A gineu doluegi ingere ngaha mo vaire huri ve vin vagahorongi na leo nona Huqe ngehi u vevea gina singoi tangaloi ligoligogi: 
MAT.1.23	“Leo, a matavono vin tino ko vin hakovi na maresu, ko rain warea gi Emanuel.” (Lo noda leo ve, “I God mei gide.”)
MAT.1.24	Siu i Josev mo rada, mo vai mwere hi a engsel nona Huqe u veve lawea, ko mo lai meri gi gahorana 
MAT.1.25	ingeie he bulusie tea mo dadari lune ingeie mo hakovi na maresu mwera. Ko i Josev vin warea gi Jisas.
MAT.2.1	Jisas u vora beno a Betlehem lolo loloi venue ta Judia lo tarogi hi i Herot mo ratahigi. Siu ira mataisao huri na visiu dena vui matainaho ram vonai Jerusalem, 
MAT.2.2	ram hui vena, “?A maresu ngehilogo hi mo bei vora ve vin ratahigi gorora ta Judia? Huri gamai gau lehi na nona visiu lo vui matainaho, ko gam vonai ve gan huduhudu goroe.”
MAT.2.3	Lune i Herot a ratahigi mo rongo huri na gineu ngaha, ingeie mo ladoasi, ko meire sinobu doluegi a Jerusalem. 
MAT.2.4	Ko ingeie mo ware bubugi nire muei rugurugu ko ira huhui talo Leo Hora noi Mosis vonai lobena, mo huire vena, “?I Kraes vin vora logo?”
MAT.2.5	Ingere ram duvi lawea vena, “A Betlehem lolo loloi venue Judia; huri a tangaloi ligoligogi u reve mwerehi vena:
MAT.2.6	Ko iniko, Betlehem, lolo loloi venue ta Juda,
MAT.2.6	go he biti tea den ira lawua goro ta Juda;
MAT.2.6	huri a tangaloi lawua goro vin vonai denigo,
MAT.2.6	vin tomuegi Israel, a noku sinobu.
MAT.2.7	Siu i Herot mo ware hiliginire mataisao vano lobena, ko mo huire ve na ilo na taro vovohoi hi rau lehi na visiu gitomuegi. 
MAT.2.8	Ko ingeie mo horara vano a Betlehem, mo veve vena: “Nen vano, nen hike vurugegi huri na maresu, ko lune nein haqea, nein vonai taligu nein veve sere laweau, huri ve ineu vage nain vano ve nan huduhudu goroe.”
MAT.2.9	Ngere rau rongo na ratahigi hi beno, siu ram siregi ram vano. Ko a visiu hi rau lehe lo vui matainaho mo tomue ginire mo dadari mo labe lo ului ute hi a maresu mo eno aie. 
MAT.2.10	Ko ram lehi na visiu, ram havuhevu u liu huri.
MAT.2.11	Ngere ram ahu vano lolo vale, ram lehi na maresu mei Meri retahine. Ram taigi hivo, ram hudugoroe, ko ram waga na nora matai gineu, ram bete hogogi lawea, a kol ko a gai buhoru ko a mir. 
MAT.2.12	Nge i God mo surire lo boborea ve ran mese vano taligu lobei Herot; siu ingere ram mule taligu lo vanuara lo matahala wagineu.
MAT.2.13	Lo tagugi hi ira mataisao ingere rau mule taligu beno, a engsel nona Huqe mo serelue lawe Josev lo boborea, mo veve vena: “Maraga, gon lai na maresu mei retahine, nen toa nen vano lo vanue Ijib, ko nen toga aie vin dadari nain veve lawego. Huri Herot vin hikesi na maresu huri ve vin ue vagamatea.”
MAT.2.14	Siu i Josev mo maraga, mo lai na maresu mei retahine lolo bongi, ko ingere ram toa ram vano a Ijib, 
