GEN.1.1	Aum Aunfank muak Gott Himmel un Ieed. 
GEN.1.2	Un de Ieed haud noch kjeen Jeschekj un kjeen Läwen, un äwa daut deepe Wota wia aules stock diesta. Un Gott sien Jeist bewäajd sikj äwa daut Wota.
GEN.1.3	Dan säd Gott: Lot Licht schienen! Un daut wort dach. 
GEN.1.4	Un Gott jefoll daut Licht, un hee sad daut diestre oppoat von daut Licht. 
GEN.1.5	Un Gott nand daut Licht: Dach, un daut diestre nand hee Nacht. De Owent un de Morjen vejinjen vom ieeschten Dach.
GEN.1.6	Un Gott säd: Lot doa een Himmel sennen, om daut Wota oppoat to saten. 
GEN.1.7	Un Gott muak eenen Lofthimmel, toom daut Wota em Lofthimmel von daut Wota unja däm Lofthimmel oppoat to saten. Un daut wia soo. 
GEN.1.8	Un Gott nand dän Rum Himmel. De Owent un de Morjen vejinjen von däm tweeden Dach.
GEN.1.9	Un Gott säd: Lot daut Wota unja däm Himmel sikj opp eene Städ saumlen, un lot doa drieejet Launt väakomen. Un daut wia soo. 
GEN.1.10	Gott nand daut drieeje Launt: Ieed, un daut jesaumelde Wota nand hee Mäa. Un Gott sach daut et waut goodet wia. 
GEN.1.11	Un Gott säd: Lot de Ieed Jewaus väabrinjen, soont aus Plaunten, dee jieda fa sikj Sot haben, un Beem met Frucht, wua dee äare Sot bennen es, eene jiedre Sort fa sikj. Un daut wia soo. 
GEN.1.12	Un doa woss Jreens oppe Ieed, Plaunten dee Sot hauden, jieda Sort fa sikj, un Fruchtbeem, dee Sot enne Frucht hauden, eene jiedre Sort fa sikj. Un Gott sach daut daut goot wia. 
GEN.1.13	De Owent un de Morjen vejinjen von däm dredden Dach.
GEN.1.14	Un Gott säd: Lot doa Lichta em Himmel sennen, dee doa dän Dach von de Nacht unjascheeden. Lot de Lichta Doag un Joarestieden un Joaren aunwiesen, 
GEN.1.15	un lot daut Lichta aum Himmel sennen, daut see de Ieed bedachen. Un daut wia soo. 
GEN.1.16	Un Gott muak twee groote Lichta, daut jratre Licht, woont dän Dach rejieet, un daut kjlandre Licht, woont de Nacht rejieet. Un hee muak uk de Stierns. 
GEN.1.17	Gott sad dee em Himmel, daut see oppe Ieed Licht jeewen, 
GEN.1.18	daut see dän Dach un de Nacht rejieeden, un daut see daut Licht von daut diestre unjascheeden. Un Gott sach daut daut goot wia. 
GEN.1.19	De Owent un de Morjen vejinjen von däm vieeden Dach.
GEN.1.20	Un Gott säd: Lot daut Wota met veschiedne Tieren schwoarmen, un lot Väajel flieejen äwa de Ieed un em Himmel. 
GEN.1.21	Un Gott muak de groote Tieren em Mäa un aul de veschiedne Sorten Tieren dee em Wota schwoarmen, eene jiedre Sort oppoat, un aul de Väajel, eene jiedre Sort oppoat. Un Gott sach daut daut goot wia. 
GEN.1.22	Un Gott säajend dee aula un säd, see sullen Junge haben un sikj vemieren, un daut Mäa fellen; un de Väajel sullen sikj vemieren oppe Ieed. 
GEN.1.23	De Owent un de Morjen vejinjen von däm feften Dach.
GEN.1.24	Un Gott säd: Lot läwendje Tieren oppe Ieed väakomen, eene jiedre Sort oppoat, Vee, un soont waut kjript, un wille Tieren, jiedre Sort oppoat. Un daut wia soo. 
GEN.1.25	Un Gott muak de wille Tieren oppe Ieed, jiedre Sort oppoat, un veschiednet Vee, jiedre Sort oppoat. Hee muak aules waut doa oppe Ieed kjript, eene jiedre Sort oppoat. Un Gott sach daut daut goot wia. 
GEN.1.26	Un dan säd Gott: Well wie Menschen moaken, dee soo aus wie sent un ons likjnen. Lot an Macht haben äwa de Fesch em Mäa, äwa de Väajel enne Loft, äwa daut Vee un de wille Tieren, un äwa aules waut doa kjript. 
GEN.1.27	Un Gott muak Menschen, dee soo wieren aus hee, no sienem Plon. Hee muak Maunsmensch uk Frumensch. 
GEN.1.28	Un Gott säajend dee un säd: Mucht jie Kjinja haben un junt äwa de gaunze Ieed vemieren, un äwa de Ieed rejieren. Jie sellen Macht haben äwa de Fesch em Mäa, äwa de Väajel enne Loft un äwa aules waut doa oppe Ieed läft. 
GEN.1.29	Un Gott säd: Kjikjt emol. Jie derwen von aule Plaunten oppe Ieed dee Sot haben, un von aule Beem, dee Sot en äare Frucht haben, äten. 
GEN.1.30	Un aule Tieren un Väajel un aules waut doa kjript, aules waut oppe Ieed läft, doaf von irjent eene jreene Plaunt fräten. Un daut wia soo. 
GEN.1.31	Un Gott sach waut hee jemoakt haud un hee sach daut daut sea goot wia. De Owent un de Morjen vejinjen von däm sasten Dach. 
GEN.2.1	Un nu wieren de Himmel un de Ieed, un aul daut Läwen waut em Himmel un oppe Ieed es, jemoakt. 
GEN.2.2	Un aum säwenden Dach wia aules foadich waut Gott jemoakt haud, un hee oabeid nich wieda aum säwenden Dach aun daut waut hee jedonen haud. 
GEN.2.3	Un Gott säajend dän säwenden Dach un sad dän oppoat un säd daut dee heilich wia, wiels hee dän Dach opphieed met siene Oabeit en dee hee aules muak. 
GEN.2.4	Dit es woo de Himmel un de Ieed jemoakt worden.
GEN.2.4	Aus Gott de 
GEN.2.5	wieren doa noch kjeene Plaunten oppe Ieed, un doa hauden noch kjeene Bescha jekjient. Doa wia kjeena toom de Ieed beoabeiden, un Gott de 
GEN.2.6	Oba Wota kjwald ut de Ieed rut un bewessad aul daut Launt. 
GEN.2.7	Un Gott de 
GEN.2.8	Un Gott de 
GEN.2.9	Un Gott de 
GEN.2.10	Un doa funk een Riefa aun en Eden, dee dän Goaden bewessad. Un doa, wua de Riefa ut däm Goaden rand, deeld dee sikj en vea. 
